x	y
1	3.0947560
2	3.0947560
3	3.0947534
4	3.0947914
5	3.0948022
6	3.0948131
7	3.0948215
8	3.0948132
9	3.0947176
10	3.0947695
11	3.0949065
12	3.0949577
13	3.0949630
14	3.0949565
15	3.0949500
16	3.0949532
17	3.0949616
18	3.0949450
19	3.0949167
20	3.0949110
21	3.0949137
22	3.0949162
23	3.0949145
24	3.0949151
25	3.0948741
26	3.0948992
27	3.0949885
28	3.0950777
29	3.0950567
30	3.0950737
31	3.0950442
32	3.0949992
33	3.0949984
34	3.0949114
35	3.0949472
36	3.0949110
37	3.0948765
38	3.0948421
39	3.0948382
40	3.0947333
41	3.0947161
42	3.0947145
43	3.0947221
44	3.0947321
45	3.0947466
46	3.0947728
47	3.0947337
48	3.0947045
49	3.0947344
50	3.0947568
51	3.0949088
52	3.0948719
53	3.0947289
54	3.0947339
55	3.0947344
56	3.0948076
57	3.0947805
58	3.0946188
59	3.0946245
60	3.0946245
61	3.0946245
62	3.0946634
63	3.0946762
64	3.0946386
65	3.0945765
66	3.0945787
67	3.0945690
68	3.0944985
69	3.0945130
70	3.0945879
71	3.0945987
72	3.0946096
73	3.0946978
74	3.0947298
75	3.0947390
76	3.0947161
77	3.0946276
78	3.0946169
79	3.0945863
80	3.0945869
81	3.0946433
82	3.0945818
83	3.0945814
84	3.0945100
85	3.0945188
86	3.0945474
87	3.0946280
88	3.0946122
89	3.0945787
90	3.0946128
91	3.0946081
92	3.0946034
93	3.0945071
94	3.0945058
95	3.0944239
96	3.0944223
97	3.0944146
98	3.0944185
99	3.0944228
100	3.0944297
101	3.0944278
102	3.0943939
103	3.0943291
104	3.0943125
105	3.0942887
106	3.0944155
107	3.0943167
108	3.0943094
109	3.0942935
110	3.0942582
111	3.0942457
112	3.0942474
113	3.0942377
114	3.0942279
115	3.0941667
116	3.0942124
117	3.0942582
118	3.0942676
119	3.0942770
120	3.0943021
121	3.0942887
122	3.0942887
123	3.0942679
124	3.0942607
125	3.0942911
126	3.0942881
127	3.0942719
128	3.0943361
129	3.0943193
130	3.0942065
131	3.0942097
132	3.0942036
133	3.0941813
134	3.0941805
135	3.0942062
136	3.0941407
137	3.0941535
138	3.0941666
139	3.0941463
140	3.0941332
141	3.0941483
142	3.0941441
143	3.0941043
144	3.0941178
145	3.0941293
146	3.0940941
147	3.0940402
148	3.0940208
149	3.0940288
150	3.0940408
151	3.0939741
152	3.0941333
153	3.0941571
154	3.0941500
155	3.0941188
156	3.0941056
157	3.0941056
158	3.0941044
159	3.0940883
160	3.0940927
161	3.0940725
162	3.0938801
163	3.0938678
164	3.0938919
165	3.0939670
166	3.0939795
167	3.0939779
168	3.0939607
169	3.0939442
170	3.0939293
171	3.0939413
172	3.0939052
173	3.0938243
174	3.0938041
175	3.0938003
176	3.0937611
