x	y
1	0.4524590
2	0.4524590
3	0.4522200
4	0.4518435
5	0.4518214
6	0.4518848
7	0.4518851
8	0.4521090
9	0.4520800
10	0.4520756
11	0.4520869
12	0.4520808
13	0.4521640
14	0.4521196
15	0.4519272
16	0.4519084
17	0.4518061
18	0.4518033
19	0.4517768
20	0.4514476
21	0.4514483
22	0.4513787
23	0.4514005
24	0.4513815
25	0.4514130
26	0.4514196
27	0.4515673
28	0.4516397
29	0.4516722
30	0.4517057
31	0.4517056
32	0.4517071
33	0.4517101
34	0.4516461
35	0.4516474
36	0.4517283
37	0.4516730
38	0.4517308
39	0.4517422
40	0.4517479
41	0.4518121
42	0.4517939
43	0.4518023
44	0.4518131
45	0.4517328
46	0.4517959
47	0.4515833
48	0.4515112
49	0.4516634
50	0.4516798
51	0.4519217
52	0.4518441
53	0.4518307
54	0.4516602
55	0.4517144
56	0.4517109
57	0.4517280
58	0.4518457
59	0.4517974
60	0.4518240
61	0.4518007
62	0.4519249
63	0.4519603
64	0.4520120
65	0.4520419
66	0.4520396
67	0.4520039
68	0.4520041
69	0.4519613
70	0.4518719
71	0.4518868
72	0.4519745
73	0.4519488
74	0.4518675
75	0.4517633
76	0.4518122
77	0.4517875
78	0.4516803
79	0.4518068
80	0.4520228
81	0.4520020
82	0.4520196
83	0.4519131
84	0.4520034
85	0.4517390
86	0.4517787
87	0.4519571
88	0.4518422
89	0.4518140
90	0.4518616
91	0.4519296
92	0.4520685
93	0.4520061
94	0.4519274
95	0.4519496
96	0.4520834
97	0.4520755
98	0.4520691
99	0.4520230
100	0.4519773
101	0.4519698
102	0.4519713
103	0.4519803
104	0.4520651
105	0.4519867
106	0.4519028
107	0.4520075
108	0.4520295
109	0.4520072
110	0.4520028
111	0.4520371
112	0.4520999
113	0.4518632
114	0.4519196
115	0.4518916
116	0.4518231
117	0.4518185
118	0.4520491
119	0.4520576
120	0.4520142
121	0.4520823
122	0.4520180
123	0.4518535
124	0.4518646
125	0.4518646
126	0.4519704
127	0.4519572
128	0.4519343
129	0.4518877
130	0.4516347
131	0.4516634
132	0.4517165
133	0.4517612
134	0.4517581
135	0.4518216
136	0.4518909
137	0.4519033
138	0.4518924
139	0.4518983
140	0.4518214
141	0.4516566
142	0.4516986
143	0.4516905
144	0.4517423
145	0.4518350
146	0.4518256
147	0.4518487
148	0.4518767
149	0.4517776
150	0.4517614
151	0.4516988
152	0.4515243
153	0.4515389
154	0.4516418
155	0.4517491
156	0.4517408
157	0.4518715
158	0.4518136
159	0.4517971
160	0.4518555
161	0.4521070
162	0.4519777
163	0.4520142
164	0.4519724
165	0.4519796
166	0.4519572
167	0.4518563
168	0.4518596
169	0.4518444
170	0.4518059
171	0.4516399
172	0.4516821
173	0.4516784
174	0.4516675
175	0.4516271
176	0.4515319
177	0.4514944
178	0.4515222
179	0.4515207
180	0.4514917
181	0.4514956
182	0.4517489
183	0.4518579
184	0.4518707
185	0.4519234
186	0.4518968
187	0.4518718
188	0.4518599
189	0.4518808
190	0.4517654
191	0.4517456
192	0.4518494
193	0.4518543
194	0.4516250
195	0.4516729
196	0.4518455
197	0.4518311
198	0.4518301
199	0.4517111
200	0.4517436
201	0.4516961
202	0.4515559
203	0.4515420
204	0.4514444
205	0.4515331
206	0.4515512
207	0.4515927
208	0.4518573
209	0.4519227
210	0.4519999
211	0.4521135
212	0.4521250
213	0.4518417
214	0.4518520
215	0.4517931
216	0.4517646
217	0.4517154
218	0.4514403
219	0.4515010
220	0.4515432
221	0.4513961
222	0.4514342
223	0.4516038
224	0.4516682
225	0.4517316
226	0.4517734
227	0.4516201
228	0.4516762
229	0.4517815
230	0.4518807
231	0.4519200
232	0.4519648
233	0.4519583
234	0.4519770
235	0.4520125
236	0.4519595
237	0.4519654
238	0.4518178
239	0.4516276
240	0.4510504
241	0.4509726
242	0.4503364
243	0.4491827
244	0.4484443
245	0.4483614
246	0.4469318
247	0.4452861
248	0.4437114
249	0.4417221
250	0.4405185
251	0.4381864
252	0.4368172
253	0.4357037
254	0.4347339
255	0.4347362
256	0.4356765
257	0.4383172
258	0.4416154
259	0.4468280
260	0.4542425
261	0.4634606
262	0.4727285
263	0.4823593
264	0.4948132
265	0.5047611
266	0.5163994
267	0.5285422
268	0.5388226
269	0.5495264
270	0.5595956
271	0.5678566
272	0.5754878
273	0.5831129
274	0.5884753
275	0.5941138
276	0.5988366
277	0.6023832
278	0.6050503
279	0.6076557
280	0.6093779
281	0.6106181
282	0.6112303
283	0.6115212
284	0.6116170
285	0.6114539
286	0.6112021
287	0.6108053
288	0.6097352
289	0.6087867
290	0.6073900
291	0.6057924
292	0.6045239
293	0.6033724
294	0.6009075
295	0.5985469
296	0.5962029
297	0.5937248
298	0.5907676
299	0.5875269
300	0.5836894
301	0.5796901
302	0.5746636
303	0.5697661
304	0.5640104
305	0.5582690
306	0.5540628
307	0.5459453
308	0.5409960
309	0.5355917
310	0.5301582
311	0.5244806
312	0.5214281
313	0.5183756
314	0.5161666
315	0.5150631
316	0.5145231
317	0.5145959
318	0.5161634
319	0.5175466
320	0.5197806
321	0.5227122
322	0.5254580
323	0.5281970
324	0.5308738
325	0.5331781
326	0.5351085
327	0.5364050
328	0.5377492
329	0.5392234
330	0.5392435
331	0.5390148
332	0.5388016
333	0.5381232
334	0.5367982
335	0.5352394
336	0.5342608
337	0.5320231
338	0.5298434
339	0.5275636
340	0.5249947
341	0.5228627
342	0.5200239
343	0.5173916
344	0.5144616
345	0.5112701
346	0.5083837
347	0.5057611
348	0.5027114
349	0.4995798
350	0.4966500
351	0.4937724
352	0.4905431
353	0.4876951
354	0.4850125
355	0.4817913
356	0.4786110
357	0.4761840
358	0.4736259
359	0.4704666
360	0.4674497
361	0.4658649
362	0.4628150
363	0.4598744
364	0.4574609
365	0.4548466
366	0.4519880
367	0.4509455
368	0.4464412
369	0.4462615
370	0.4438572
371	0.4426360
372	0.4397790
373	0.4373026
374	0.4358309
