x	y
1	74.1128571
2	74.1128571
3	74.0737037
4	74.0120370
5	74.0084255
6	74.0187970
7	74.0188571
8	74.0555250
9	74.0507780
10	74.0500606
11	74.0519048
12	74.0509158
13	74.0645455
14	74.0572727
15	74.0257576
16	74.0226662
17	74.0059091
18	74.0054487
19	74.0011111
20	73.9471979
21	73.9473009
22	73.9359048
23	73.9394737
24	73.9363636
25	73.9415250
26	73.9426027
27	73.9668056
28	73.9786574
29	73.9839826
30	73.9894720
31	73.9894444
32	73.9896970
33	73.9901900
34	73.9797058
35	73.9799113
36	73.9931629
37	73.9841083
38	73.9935833
39	73.9954444
40	73.9963773
41	74.0068932
42	74.0039117
43	74.0052862
44	74.0070588
45	73.9939130
46	74.0042437
47	73.9694167
48	73.9576087
49	73.9825362
50	73.9852273
51	74.0248462
52	74.0121333
53	74.0099444
54	73.9820202
55	73.9908889
56	73.9903263
57	73.9931250
58	74.0123963
59	74.0044805
60	74.0088529
61	74.0050327
62	74.0253661
63	74.0311765
64	74.0396429
65	74.0445455
66	74.0441638
67	74.0383149
68	74.0383529
69	74.0313393
70	74.0166875
71	74.0191363
72	74.0334921
73	74.0292799
74	74.0159671
75	73.9989091
76	74.0069091
77	74.0028687
78	73.9853131
79	74.0060294
80	74.0414037
81	74.0380000
82	74.0408889
83	74.0234444
84	74.0382372
85	73.9949206
86	74.0014205
87	74.0306483
88	74.0118182
89	74.0072105
90	74.0150000
91	74.0261368
92	74.0488974
93	74.0386667
94	74.0257771
95	74.0294181
96	74.0513333
97	74.0500469
98	74.0490000
99	74.0414359
100	74.0339634
101	74.0327273
102	74.0329678
103	74.0344538
104	74.0483333
105	74.0354879
106	74.0217535
107	74.0389015
108	74.0425000
109	74.0388509
110	74.0381355
111	74.0437500
112	74.0540344
113	74.0152614
114	74.0245000
115	74.0199260
116	74.0086931
117	74.0079487
118	74.0457143
119	74.0471111
120	74.0400000
121	74.0511623
122	74.0406154
123	74.0136838
124	74.0155000
125	74.0155000
126	74.0328333
127	74.0306667
128	74.0269048
129	74.0192871
130	73.9778431
131	73.9825379
132	73.9912313
133	73.9985558
134	73.9980478
135	74.0084510
136	74.0198012
137	74.0218285
138	74.0200478
139	74.0210111
140	74.0084140
141	73.9814286
142	73.9883038
143	73.9869697
144	73.9954652
145	74.0106397
146	74.0091077
147	74.0128859
148	74.0174792
149	74.0012500
150	73.9985833
151	73.9883333
152	73.9597500
153	73.9621465
154	73.9790000
155	73.9965686
156	73.9952206
157	74.0166248
158	74.0071481
159	74.0044339
160	74.0140000
161	74.0552040
162	74.0340242
163	74.0400000
164	74.0331579
165	74.0343257
166	74.0306667
167	74.0141392
168	74.0146713
169	74.0121795
