x	y
1	35327.1930000
2	35327.1930000
3	35327.4191111
4	35326.8199167
5	35326.5506389
6	35327.0323421
7	35326.9488000
8	35327.3625833
9	35327.1608684
10	35327.1248759
11	35327.1348571
12	35326.2627143
13	35326.8600000
14	35326.7212500
15	35325.4658929
16	35325.4883571
17	35324.4457500
18	35324.1913750
19	35323.9370000
20	35320.5134118
21	35320.4941613
22	35319.5762857
23	35319.2565000
24	35318.9235000
25	35319.0443523
26	35319.1170250
27	35320.5538125
28	35320.5538125
29	35320.4342330
30	35320.6810000
31	35320.6810000
32	35320.6810000
33	35320.6083214
34	35319.9602708
35	35319.7503497
36	35319.9009167
37	35319.9825505
38	35320.4775000
39	35320.7488333
40	35320.7846533
41	35320.3418333
42	35320.3212778
43	35320.3007222
44	35320.2979412
45	35319.4953913
46	35319.4719706
47	35317.5165750
48	35317.5842609
49	35319.4113370
50	35319.7143750
51	35321.0880000
52	35320.2821400
53	35320.1383333
54	35318.3623333
55	35318.6460000
56	35318.3538901
57	35318.4933750
58	35319.1484174
59	35319.0305326
60	35319.4001471
61	35319.5278333
62	35319.1771023
63	35319.5437941
64	35320.3248750
65	35319.7999375
66	35319.3750304
67	35318.9501234
68	35319.0123000
69	35319.2365149
70	35319.1128529
71	35319.0729510
72	35319.4600000
73	35319.6486083
74	35318.8125000
75	35317.7654000
76	35317.7234667
77	35317.6815333
78	35317.6285000
79	35317.6404706
80	35318.6808235
81	35318.3611000
82	35318.5781667
83	35318.6460000
84	35318.5990385
85	35316.0683333
86	35316.3184688
87	35317.9811562
88	35316.5092500
89	35315.1661500
90	35315.7461250
91	35315.8648333
92	35316.8145000
93	35316.8145000
94	35317.1427746
95	35317.0842275
96	35317.9948000
97	35317.9676667
98	35317.8523500
99	35317.4657000
100	35317.3029000
101	35317.1197500
102	35317.1197500
103	35317.1736176
104	35317.9773571
105	35317.6582860
106	35316.5459978
107	35317.4596875
108	35317.6285000
109	35316.9889286
110	35316.8726429
111	35317.4250000
112	35317.9337500
113	35317.1808000
114	35317.7302500
115	35317.5126140
116	35316.8286360
117	35316.8145000
118	35317.0180000
119	35317.2486333
120	35316.8145000
121	35317.1907075
122	35316.5703000
123	35316.6924000
124	35316.6924000
125	35316.6924000
126	35316.7534500
127	35317.2622000
128	35316.9307857
129	35316.4194706
130	35314.4443235
131	35314.7055000
132	35315.3900000
133	35315.3388319
134	35315.6179630
135	35314.9508684
136	35315.0429681
137	35316.2040000
138	35316.0819000
139	35316.0244412
140	35315.2400526
141	35315.0702143
142	35315.3591234
143	35315.2050000
144	35315.3043158
145	35316.1485000
146	35315.9727500
147	35315.5886573
148	35315.2543333
149	35315.1356250
150	35315.0847500
151	35314.2707500
152	35312.5867849
153	35312.7099394
154	35313.0904500
155	35314.8752647
156	35314.7675294
157	35314.8023805
158	35314.4758890
159	35314.4869687
160	35314.9830000
161	35316.0066673
162	35314.9830000
163	35314.9830000
164	35314.9830000
165	35315.1051000
166	35315.0237000
167	35314.3434286
168	35313.5149493
169	35313.3863077
170	35313.4422143
171	35313.6334737
172	35313.7620000
173	35313.7620000
174	35313.8175000
175	35313.9900764
176	35313.6602500
177	35313.2553675
178	35313.6589723
179	35313.7620000
180	35313.7640534
181	35313.5824412
182	35313.7620000
183	35313.2871667
184	35313.4567500
185	35313.3041250
186	35313.0672087
187	35312.9480000
188	35312.8462500
189	35313.2418075
190	35312.7659211
191	35312.5410000
192	35312.8462500
193	35312.9757500
194	35311.5489375
195	35311.8750000
196	35313.5400000
197	35313.5076250
198	35313.0599250
199	35313.0206786
200	35313.2070000
201	35312.9265789
202	35311.8432857
203	35311.7015625
204	35311.6252500
205	35312.2357500
206	35312.0101472
207	35311.6437811
208	35313.9562500
209	35313.8416304
210	35314.0264327
211	35314.6468229
212	35314.5081667
213	35311.7315222
214	35314.1544643
215	35314.3218632
216	35314.3186211
217	35314.3153789
218	35312.0526000
219	35312.9988750
220	35313.5185349
221	35311.8999794
222	35312.2357500
223	35312.9480000
224	35313.0352143
225	35312.8462500
226	35313.4228333
227	35313.7453374
228	35314.3065937
229	35314.3343437
230	35315.1876562
231	35315.1458000
232	35315.2400526
233	35315.1757895
234	35315.3421176
235	35315.7371471
236	35315.3318571
237	35314.3725000
238	35313.0497500
239	35311.3200000
240	35305.5480000
241	35303.5361250
242	35297.1767500
243	35286.7439833
244	35279.8792500
245	35278.6582500
246	35262.9378750
247	35247.1259250
248	35231.5323462
249	35211.7563205
250	35199.5985000
251	35176.3995000
252	35162.1545000
253	35151.0637500
254	35141.6371436
255	35141.8796281
256	35151.3011667
257	35177.6205000
258	35208.8577500
259	35261.2590000
260	35335.7400000
261	35428.2307500
262	35520.7215000
263	35617.1805000
264	35742.3330000
265	35842.2300789
266	35958.5528211
267	36079.9395000
268	36183.7245000
269	36290.5620000
270	36390.6840000
271	36474.0172500
272	36550.4823750
273	36626.9475000
274	36680.6715000
275	36737.4480000
276	36784.7539231
277	36820.3194615
278	36847.3380000
279	36874.1660833
280	36891.5201111
281	36903.9524537
282	36910.1146096
283	36913.9503333
284	36914.6738889
285	36914.2640625
286	36911.7457500
287	36907.7775000
288	36896.6189167
289	36885.6638333
290	36871.7580000
291	36858.8696667
292	36845.9813333
293	36834.2122500
294	36808.7238750
295	36785.2959375
296	36761.8680000
297	36737.0410000
298	36707.1977250
299	36674.7700000
300	36635.5587632
301	36595.4050000
302	36545.1405000
303	36495.6900000
304	36438.6082500
305	36381.5265000
306	36339.4020000
307	36258.8160000
308	36209.3655000
309	36155.0310000
310	36100.6965000
311	36043.9200000
312	36013.3950000
313	35982.8700000
314	35960.3740000
315	35946.8967500
316	35940.7256786
317	35941.5086250
318	35957.7978750
319	35971.4113846
320	35993.7181154
321	36023.3978077
322	36050.7529038
323	36078.1080000
324	36104.0542500
325	36126.9480000
326	36146.2990000
327	36160.7382500
328	36173.7576250
329	36186.7770000
330	36187.0212000
331	36186.7437000
332	36185.7003000
333	36178.8405000
334	36165.4095000
335	36149.6475000
336	36139.7685000
337	36117.4852500
338	36095.2020000
339	36072.3082500
340	36046.2759038
341	36023.4682500
342	35995.0800000
343	35968.8285000
344	35939.8297500
345	35908.2363750
346	35879.3139375
347	35853.4440000
348	35822.9190000
349	35790.2572500
350	35761.1058750
351	35733.0228750
352	35700.8190000
353	35672.1724615
354	35645.4379286
355	35614.1280000
356	35581.4662500
357	35555.3051944
358	35529.2685000
359	35498.2856250
360	35468.2185000
361	35452.3455000
362	35421.8205000
363	35392.4825833
364	35368.0965000
365	35342.0855000
366	35313.7620000
367	35303.3835000
368	35258.2065000
369	35256.3750000
370	35232.5655000
371	35220.3555000
372	35191.9062000
373	35167.8118000
374	35152.7426250
375	35135.2323750
376	35117.2827500
377	35098.7642500
378	35081.6804250
379	35067.8130306
380	35059.7940000
381	35041.8407778
382	35025.6060000
383	35014.4643750
384	35001.5760417
385	34990.8456562
386	34978.9027500
387	34968.7973684
388	34958.6952000
389	34948.8865000
390	34939.4656305
391	34933.1152500
392	34924.0798500
393	34917.2422500
394	34913.7827500
395	34909.5750882
396	34905.4901250
397	34899.3018750
398	34890.9460417
399	34890.6909483
400	34888.4571750
401	34887.1446000
402	34882.6602000
403	34881.5280000
404	34877.2545000
405	34877.0846889
406	34877.1895841
407	34877.2545000
408	34879.0046000
409	34879.3912500
410	34880.0017500
411	34881.8332500
412	34888.0215000
413	34892.8500000
414	34896.8898258
415	34900.2245625
416	34902.8955000
417	34906.8434000
418	34909.9162500
419	34917.2422500
420	34923.4490000
421	34928.1480000
422	34933.5870000
423	34940.1360000
424	34951.3177895
425	34959.2834828
426	34966.0822500
427	34970.3557500
428	34978.7399500
429	34984.2446250
430	34990.9601250
431	35003.6280000
432	35017.1042222
433	35025.1326741
434	35030.1847500
435	35038.4265000
436	35042.7000000
437	35049.1102500
438	35059.1793959
439	35062.2360000
440	35065.4411250
441	35069.5620000
442	35073.8355000
443	35081.4057000
444	35086.5847750
445	35089.7254583
446	35092.8661417
447	35098.2091472
448	35100.4940000
449	35101.4843667
450	35104.2078750
451	35111.9316250
452	35115.0442500
453	35115.8073750
454	35117.1131667
455	35117.1810000
456	35119.6230000
457	35122.8111667
458	35124.5070000
459	35129.2383750
460	35131.9630139
461	35133.2066250
462	35133.2371500
463	35133.4203000
464	35133.8171250
465	35134.5802500
466	35135.8012500
467	35136.3804423
468	35136.9596346
469	35140.8052628
470	35141.4653333
471	35142.7134667
472	35145.2278222
473	35145.1876875
474	35145.6455625
475	35146.1797500
476	35148.4691250
477	35149.5375000
