x	y
1	3.9191332
2	3.9191332
3	3.9189941
4	3.9189827
5	3.9186774
6	3.9185824
7	3.9181035
8	3.9177535
9	3.9177549
10	3.9177128
11	3.9173642
12	3.9173099
13	3.9173218
14	3.9172580
15	3.9173343
16	3.9174564
17	3.9172238
18	3.9171783
19	3.9171327
20	3.9168514
21	3.9167614
22	3.9167305
23	3.9167587
24	3.9168314
25	3.9168346
26	3.9167963
27	3.9168062
28	3.9167635
29	3.9165829
30	3.9165305
31	3.9165299
32	3.9164904
33	3.9164720
34	3.9164287
35	3.9163464
36	3.9162640
37	3.9161133
38	3.9160828
39	3.9160479
40	3.9159607
41	3.9159229
42	3.9159067
43	3.9158604
44	3.9157906
45	3.9157394
46	3.9157165
47	3.9156707
48	3.9156380
49	3.9156173
50	3.9155628
51	3.9155130
52	3.9154696
53	3.9154774
54	3.9153604
55	3.9153332
56	3.9153720
57	3.9153525
58	3.9152935
59	3.9152287
60	3.9152265
61	3.9151999
62	3.9151977
63	3.9152134
64	3.9151919
65	3.9151579
66	3.9150739
67	3.9150539
68	3.9149564
69	3.9148400
70	3.9148836
71	3.9148440
72	3.9148151
73	3.9147863
74	3.9147641
75	3.9147478
76	3.9147320
77	3.9147284
78	3.9147248
79	3.9146612
80	3.9146786
81	3.9147658
82	3.9147774
83	3.9148256
84	3.9148313
85	3.9148313
86	3.9148574
87	3.9148491
88	3.9148459
89	3.9149109
90	3.9149335
91	3.9149294
92	3.9149635
93	3.9150323
94	3.9150347
95	3.9150373
96	3.9151877
97	3.9152729
98	3.9152801
99	3.9155071
100	3.9155181
101	3.9156140
102	3.9155835
103	3.9155969
104	3.9156157
105	3.9156700
106	3.9156961
107	3.9157266
108	3.9157979
109	3.9159225
110	3.9159607
111	3.9159607
112	3.9159607
113	3.9159607
114	3.9160014
115	3.9160421
116	3.9160415
117	3.9160487
118	3.9161168
119	3.9161089
120	3.9161177
121	3.9162543
122	3.9162150
123	3.9161792
124	3.9161845
125	3.9162017
126	3.9161980
127	3.9162405
128	3.9162515
129	3.9162713
130	3.9163270
131	3.9163011
132	3.9163095
133	3.9163415
134	3.9163735
135	3.9164287
136	3.9164134
137	3.9163575
138	3.9163728
139	3.9164999
140	3.9164821
141	3.9163778
142	3.9163880
143	3.9163911
144	3.9163778
145	3.9163976
146	3.9164029
