x	y
1	31417.5917000
2	31417.5917000
3	31417.6853601
4	31417.6897500
5	31417.5510000
6	31416.4521000
7	31415.8721250
8	31414.0406250
9	31413.7353750
10	31413.7353750
11	31413.7492500
12	31414.1139643
13	31414.6206000
14	31414.7517860
15	31416.5742000
16	31418.0394000
17	31417.9870714
18	31417.9434643
19	31417.9266923
20	31418.2530750
21	31418.2454501
22	31418.1615000
23	31418.1905714
24	31417.2966250
25	31415.9738750
26	31415.9026500
27	31415.8212500
28	31414.7940595
29	31415.0072500
30	31415.5596071
31	31415.3924464
32	31415.3706429
33	31415.0529336
34	31414.8546250
35	31414.1932500
36	31414.1932500
37	31414.9089203
38	31414.8037500
39	31414.1932500
40	31414.0481372
41	31413.8478726
42	31413.8225893
43	31413.7499107
44	31413.6772321
45	31412.8583869
46	31413.0280517
47	31413.2653054
48	31413.2775000
49	31413.5827500
50	31413.3244615
51	31413.1366154
52	31412.7206703
53	31412.4232473
54	31412.3617500
55	31411.8384643
56	31411.9910893
57	31412.7324107
58	31412.9722500
59	31413.1248750
60	31413.3403455
61	31413.4737321
62	31413.8914813
63	31413.8269500
64	31413.4025071
65	31412.9780643
66	31412.9417250
67	31412.9213750
68	31412.9722500
69	31412.7139615
70	31412.8609348
71	31412.9722500
72	31413.1426476
73	31413.1684821
74	31414.0842321
75	31414.3967500
76	31414.4985000
77	31414.4221875
78	31414.2804643
79	31414.4476250
80	31415.2373988
81	31416.0271726
82	31416.3300000
83	31416.5589375
84	31417.2457500
85	31418.7865357
86	31419.7895000
87	31420.6228810
88	31420.7561250
89	31421.8463036
90	31423.2744375
91	31424.7243750
92	31425.8726964
93	31426.0980000
94	31426.9374375
95	31428.7325982
96	31428.5908750
97	31428.8706875
98	31429.2941471
99	31431.1461681
100	31431.4804320
101	31431.5161875
102	31431.8256516
103	31432.5336875
104	31432.6039435
105	31433.4240000
106	31435.1101429
107	31435.6043571
108	31437.4940000
109	31437.5379736
110	31437.6975000
111	31438.0754286
112	31438.0899643
113	31438.6275414
114	31438.7150000
115	31438.7150000
116	31438.9475714
117	31439.1365357
118	31439.7470357
119	31439.9796071
120	31440.0086786
121	31439.9647050
122	31439.9638828
123	31439.9691791
124	31440.1395000
125	31440.1903750
126	31440.8137006
127	31441.0552500
128	31441.5640000
129	31441.8062619
130	31442.0485238
131	31442.2762500
132	31442.2762500
133	31443.1193214
134	31443.1483929
135	31443.2279118
136	31443.1483929
137	31443.0043794
138	31443.6498750
139	31443.7261875
140	31443.9102353
141	31443.8461071
142	31444.0607885
143	31444.6165000
144	31444.8272679
145	31444.9060962
146	31444.8708750
147	31444.8563393
148	31444.8418036
149	31444.9580893
150	31444.5656250
151	31444.2797967
152	31444.2955962
153	31444.3660385
154	31444.4130000
155	31444.4384375
156	31444.4893125
157	31444.3986170
158	31444.3621250
159	31444.3016613
160	31445.1543214
161	31445.6340000
162	31445.6603841
163	31445.6340000
164	31445.8109937
165	31446.0999979
166	31445.8084286
167	31445.7793571
168	31445.7502857
169	31445.6146190
170	31446.0096923
171	31446.2881071
172	31446.6078929
173	31445.6340000
174	31445.7058235
175	31445.7742269
176	31445.8426303
177	31445.8956429
178	31445.7866250
179	31446.0046607
180	31446.2226964
181	31446.2139750
182	31446.1936250
183	31446.0337321
184	31446.0656130
185	31445.9392500
186	31446.0918750
187	31447.0294286
188	31446.8601303
189	31446.9489231
190	31446.7845577
191	31446.9958846
192	31447.0076250
193	31447.5091071
194	31447.8411077
