x	y
1	0.0394819
2	0.0394819
3	0.0394871
4	0.0395040
5	0.0394167
6	0.0394795
7	0.0396025
8	0.0395197
9	0.0395401
10	0.0396130
11	0.0397113
12	0.0397612
13	0.0398693
14	0.0399231
15	0.0399877
16	0.0400217
17	0.0400248
18	0.0400023
19	0.0400016
20	0.0401388
21	0.0400929
22	0.0401044
23	0.0401098
24	0.0401025
25	0.0401200
26	0.0401332
27	0.0401325
28	0.0401233
29	0.0401353
30	0.0402486
31	0.0403784
32	0.0403756
33	0.0403897
34	0.0404029
35	0.0403752
36	0.0403507
37	0.0403815
38	0.0404036
39	0.0404829
40	0.0404810
41	0.0404456
42	0.0404696
43	0.0405670
44	0.0405567
45	0.0404629
46	0.0404347
47	0.0404818
48	0.0406643
49	0.0406717
50	0.0405437
51	0.0404682
52	0.0405376
53	0.0406550
54	0.0406526
55	0.0406584
56	0.0406390
57	0.0406502
58	0.0407072
59	0.0407280
60	0.0408270
61	0.0408241
62	0.0407865
63	0.0407242
64	0.0405971
65	0.0406278
66	0.0406700
67	0.0406898
68	0.0408255
69	0.0408238
70	0.0408286
71	0.0407714
72	0.0407729
73	0.0407600
74	0.0407928
75	0.0408591
76	0.0408488
77	0.0408147
78	0.0406575
79	0.0408091
80	0.0408188
81	0.0407873
82	0.0407845
83	0.0407654
84	0.0407745
85	0.0407097
86	0.0407106
87	0.0407193
88	0.0407155
89	0.0406920
90	0.0407555
91	0.0408770
92	0.0408350
93	0.0408181
94	0.0408055
95	0.0408584
96	0.0409699
97	0.0409420
98	0.0408872
99	0.0408911
100	0.0408962
101	0.0408395
102	0.0407521
103	0.0408392
104	0.0409107
105	0.0408817
106	0.0408192
107	0.0407564
108	0.0407777
109	0.0408004
110	0.0407765
111	0.0407687
112	0.0407740
113	0.0406165
114	0.0406418
115	0.0406802
116	0.0407609
117	0.0408256
118	0.0408083
119	0.0408106
120	0.0408368
121	0.0408181
122	0.0408886
123	0.0408681
124	0.0408707
125	0.0409070
126	0.0409658
127	0.0409233
128	0.0409476
129	0.0409594
130	0.0411050
131	0.0411186
132	0.0410765
133	0.0410311
134	0.0410086
135	0.0409713
136	0.0410615
137	0.0410684
138	0.0411081
139	0.0410245
140	0.0410256
141	0.0410325
142	0.0410465
143	0.0411085
144	0.0410849
145	0.0410486
146	0.0411347
147	0.0411782
148	0.0412714
149	0.0412497
150	0.0412113
151	0.0411984
152	0.0412518
153	0.0412578
154	0.0412815
155	0.0412975
156	0.0412560
157	0.0411721
158	0.0411618
159	0.0411332
160	0.0412444
161	0.0414030
162	0.0414038
163	0.0413237
164	0.0412428
165	0.0412450
166	0.0412883
167	0.0413217
168	0.0413998
169	0.0414242
170	0.0413985
171	0.0413990
172	0.0413746
173	0.0413926
174	0.0413457
175	0.0412945
176	0.0413400
177	0.0414175
178	0.0413518
179	0.0413390
180	0.0413383
181	0.0414038
182	0.0414041
183	0.0413052
184	0.0413172
185	0.0413234
186	0.0413269
187	0.0413259
188	0.0413376
189	0.0413492
190	0.0414045
191	0.0413654
192	0.0413950
193	0.0414116
194	0.0414044
195	0.0414183
196	0.0414183
197	0.0414071
198	0.0412352
199	0.0412194
200	0.0414680
201	0.0415226
202	0.0416054
203	0.0416126
204	0.0416085
205	0.0416041
206	0.0415402
207	0.0416178
208	0.0416622
209	0.0416405
210	0.0416464
211	0.0416787
212	0.0415628
213	0.0414161
214	0.0415044
215	0.0415445
216	0.0416534
217	0.0416524
218	0.0416743
219	0.0416384
220	0.0416271
221	0.0416729
222	0.0417254
223	0.0417704
224	0.0417402
225	0.0416841
226	0.0417141
227	0.0417668
228	0.0417761
229	0.0418396
230	0.0418176
231	0.0416988
232	0.0416672
233	0.0415979
234	0.0415455
235	0.0414559
236	0.0413081
237	0.0412461
238	0.0411518
239	0.0412053
240	0.0409093
241	0.0407990
242	0.0406906
243	0.0405022
244	0.0403799
245	0.0403391
246	0.0403541
247	0.0403490
248	0.0401149
249	0.0400251
250	0.0399517
251	0.0399481
252	0.0399783
253	0.0398094
254	0.0397564
255	0.0395953
256	0.0395454
257	0.0396007
258	0.0396137
259	0.0393127
260	0.0392525
261	0.0392099
262	0.0391577
263	0.0391025
264	0.0388852
265	0.0387825
266	0.0387606
267	0.0386731
268	0.0386226
269	0.0386609
270	0.0387221
271	0.0388382
272	0.0388705
273	0.0390382
274	0.0390292
275	0.0390016
276	0.0390262
277	0.0390437
278	0.0390611
279	0.0390496
280	0.0392266
281	0.0392993
282	0.0392419
283	0.0392942
284	0.0393764
285	0.0392910
286	0.0393197
287	0.0395687
288	0.0395820
289	0.0395552
290	0.0395877
291	0.0396097
292	0.0395788
293	0.0394797
294	0.0395212
295	0.0395456
296	0.0396371
297	0.0396385
298	0.0397287
299	0.0397952
300	0.0397903
301	0.0399199
302	0.0399155
303	0.0399181
304	0.0400244
305	0.0400468
306	0.0402878
307	0.0403179
308	0.0403461
309	0.0403409
310	0.0403479
311	0.0404109
312	0.0404900
313	0.0405184
314	0.0405654
315	0.0405041
316	0.0405058
317	0.0404619
318	0.0404482
319	0.0404368
320	0.0405084
321	0.0404728
322	0.0403529
323	0.0403998
