x	y
1	0.0003595
2	0.0003595
3	0.0003596
4	0.0003597
5	0.0003589
6	0.0003595
7	0.0003606
8	0.0003599
9	0.0003600
10	0.0003607
11	0.0003616
12	0.0003621
13	0.0003630
14	0.0003635
15	0.0003641
16	0.0003644
17	0.0003645
18	0.0003642
19	0.0003642
20	0.0003655
21	0.0003651
22	0.0003652
23	0.0003652
24	0.0003652
25	0.0003653
26	0.0003654
27	0.0003654
28	0.0003653
29	0.0003655
30	0.0003665
31	0.0003677
32	0.0003676
33	0.0003678
34	0.0003679
35	0.0003676
36	0.0003674
37	0.0003677
38	0.0003679
39	0.0003686
40	0.0003686
41	0.0003683
42	0.0003685
43	0.0003694
44	0.0003693
45	0.0003684
46	0.0003682
47	0.0003686
48	0.0003703
49	0.0003703
50	0.0003692
51	0.0003685
52	0.0003691
53	0.0003702
54	0.0003702
55	0.0003702
56	0.0003700
57	0.0003701
58	0.0003707
59	0.0003709
60	0.0003718
61	0.0003717
62	0.0003714
63	0.0003708
64	0.0003697
65	0.0003699
66	0.0003703
67	0.0003705
68	0.0003717
69	0.0003717
70	0.0003718
71	0.0003712
72	0.0003713
73	0.0003711
74	0.0003714
75	0.0003720
76	0.0003720
77	0.0003716
78	0.0003702
79	0.0003716
80	0.0003717
81	0.0003714
82	0.0003714
83	0.0003712
84	0.0003713
85	0.0003707
86	0.0003707
87	0.0003708
88	0.0003707
89	0.0003705
90	0.0003711
91	0.0003722
92	0.0003718
93	0.0003717
94	0.0003716
95	0.0003720
96	0.0003731
97	0.0003728
98	0.0003723
99	0.0003723
100	0.0003724
101	0.0003719
102	0.0003711
103	0.0003719
104	0.0003725
105	0.0003723
106	0.0003717
107	0.0003711
108	0.0003713
109	0.0003715
110	0.0003713
111	0.0003712
112	0.0003713
113	0.0003698
114	0.0003701
115	0.0003704
116	0.0003712
117	0.0003717
118	0.0003716
119	0.0003716
120	0.0003718
121	0.0003717
122	0.0003723
123	0.0003721
124	0.0003722
125	0.0003725
126	0.0003730
127	0.0003726
128	0.0003729
129	0.0003730
130	0.0003743
131	0.0003744
132	0.0003740
133	0.0003736
134	0.0003734
135	0.0003731
136	0.0003739
137	0.0003740
138	0.0003743
139	0.0003736
140	0.0003736
141	0.0003736
142	0.0003738
143	0.0003743
144	0.0003741
145	0.0003738
146	0.0003746
147	0.0003750
148	0.0003758
149	0.0003756
150	0.0003753
151	0.0003751
152	0.0003756
153	0.0003757
154	0.0003759
155	0.0003760
156	0.0003757
157	0.0003749
158	0.0003748
159	0.0003745
160	0.0003756
161	0.0003770
162	0.0003770
163	0.0003763
164	0.0003755
165	0.0003756
166	0.0003760
167	0.0003763
168	0.0003770
169	0.0003772
170	0.0003770
171	0.0003770
172	0.0003767
173	0.0003769
174	0.0003765
175	0.0003760
176	0.0003764
177	0.0003771
178	0.0003765
179	0.0003764
180	0.0003764
181	0.0003770
182	0.0003770
183	0.0003761
184	0.0003762
185	0.0003763
186	0.0003763
187	0.0003763
188	0.0003764
189	0.0003765
190	0.0003770
191	0.0003767
192	0.0003769
193	0.0003771
194	0.0003770
195	0.0003771
196	0.0003771
197	0.0003770
198	0.0003755
199	0.0003753
200	0.0003776
201	0.0003781
202	0.0003788
203	0.0003789
204	0.0003789
205	0.0003788
206	0.0003783
207	0.0003790
208	0.0003794
209	0.0003792
210	0.0003792
211	0.0003795
212	0.0003785
213	0.0003771
214	0.0003779
215	0.0003783
216	0.0003793
217	0.0003793
218	0.0003795
219	0.0003791
220	0.0003790
221	0.0003795
222	0.0003799
223	0.0003803
224	0.0003801
225	0.0003796
226	0.0003798
227	0.0003803
228	0.0003804
229	0.0003810
230	0.0003808
231	0.0003797
232	0.0003794
233	0.0003788
234	0.0003783
235	0.0003775
236	0.0003761
237	0.0003756
238	0.0003747
239	0.0003752
240	0.0003725
241	0.0003715
242	0.0003705
243	0.0003688
244	0.0003677
245	0.0003673
246	0.0003674
247	0.0003674
248	0.0003653
249	0.0003645
250	0.0003638
251	0.0003638
252	0.0003640
253	0.0003625
254	0.0003620
255	0.0003605
256	0.0003601
257	0.0003606
258	0.0003607
259	0.0003580
260	0.0003574
261	0.0003570
262	0.0003566
263	0.0003561
264	0.0003541
265	0.0003531
266	0.0003529
267	0.0003521
268	0.0003517
269	0.0003520
270	0.0003526
271	0.0003536
272	0.0003539
273	0.0003555
274	0.0003554
275	0.0003551
276	0.0003554
277	0.0003555
278	0.0003557
279	0.0003556
280	0.0003572
281	0.0003578
282	0.0003573
283	0.0003578
284	0.0003585
285	0.0003578
286	0.0003580
287	0.0003603
288	0.0003604
289	0.0003602
290	0.0003605
291	0.0003607
292	0.0003604
293	0.0003595
294	0.0003599
295	0.0003601
296	0.0003609
297	0.0003609
298	0.0003618
299	0.0003624
300	0.0003623
301	0.0003635
302	0.0003635
303	0.0003635
304	0.0003644
305	0.0003647
306	0.0003668
307	0.0003671
308	0.0003674
309	0.0003673
310	0.0003674
311	0.0003680
312	0.0003687
313	0.0003689
314	0.0003694
315	0.0003688
316	0.0003688
317	0.0003684
318	0.0003683
319	0.0003682
320	0.0003689
321	0.0003685
322	0.0003674
323	0.0003679
324	0.0003679
325	0.0003681
326	0.0003690
327	0.0003686
328	0.0003689
329	0.0003700
330	0.0003695
331	0.0003696
332	0.0003687
333	0.0003682
334	0.0003682
335	0.0003684
336	0.0003687
337	0.0003689
338	0.0003690
339	0.0003692
340	0.0003695
341	0.0003699
342	0.0003703
343	0.0003709
344	0.0003712
345	0.0003722
346	0.0003725
347	0.0003722
348	0.0003729
349	0.0003738
350	0.0003738
351	0.0003723
352	0.0003739
353	0.0003731
354	0.0003734
355	0.0003739
356	0.0003740
357	0.0003739
358	0.0003742
359	0.0003761
360	0.0003753
361	0.0003743
362	0.0003743
363	0.0003744
364	0.0003751
365	0.0003762
366	0.0003769
367	0.0003767
368	0.0003765
369	0.0003766
370	0.0003776
371	0.0003773
372	0.0003781
373	0.0003791
374	0.0003779
375	0.0003774
376	0.0003775
377	0.0003783
378	0.0003802
379	0.0003802
380	0.0003790
381	0.0003786
382	0.0003783
383	0.0003781
384	0.0003782
385	0.0003789
386	0.0003775
387	0.0003774
388	0.0003790
389	0.0003795
390	0.0003801
391	0.0003808
392	0.0003806
393	0.0003803
394	0.0003795
395	0.0003791
396	0.0003792
397	0.0003793
398	0.0003798
399	0.0003801
400	0.0003804
401	0.0003809
402	0.0003819
403	0.0003830
404	0.0003841
405	0.0003840
406	0.0003825
407	0.0003815
408	0.0003826
409	0.0003826
410	0.0003832
411	0.0003834
412	0.0003847
413	0.0003838
414	0.0003834
415	0.0003840
416	0.0003858
417	0.0003866
418	0.0003868
419	0.0003860
420	0.0003856
421	0.0003858
422	0.0003864
423	0.0003866
424	0.0003865
425	0.0003874
426	0.0003876
427	0.0003879
428	0.0003890
429	0.0003888
430	0.0003886
431	0.0003869
432	0.0003868
433	0.0003864
434	0.0003882
435	0.0003891
436	0.0003899
437	0.0003901
438	0.0003907
439	0.0003899
440	0.0003903
441	0.0003902
442	0.0003897
443	0.0003897
444	0.0003910
445	0.0003910
446	0.0003913
447	0.0003909
448	0.0003918
449	0.0003925
450	0.0003932
451	0.0003930
452	0.0003921
453	0.0003923
454	0.0003926
455	0.0003925
456	0.0003925
457	0.0003926
458	0.0003924
459	0.0003924
460	0.0003946
461	0.0003956
462	0.0003959
463	0.0003958
464	0.0003957
465	0.0003956
466	0.0003953
467	0.0003941
468	0.0003937
469	0.0003928
470	0.0003929
471	0.0003929
472	0.0003930
473	0.0003936
474	0.0003917
475	0.0003893
476	0.0003899
477	0.0003898
478	0.0003882
479	0.0003870
480	0.0003837
481	0.0003817
482	0.0003811
483	0.0003790
484	0.0003771
485	0.0003753
486	0.0003733
487	0.0003734
488	0.0003688
489	0.0003669
490	0.0003644
491	0.0003611
492	0.0003584
493	0.0003544
494	0.0003508
495	0.0003487
496	0.0003463
497	0.0003425
498	0.0003392
499	0.0003355
500	0.0003319
501	0.0003286
502	0.0003223
503	0.0003191
504	0.0003150
505	0.0003093
506	0.0003035
507	0.0002970
508	0.0002906
509	0.0002847
510	0.0002811
511	0.0002748
512	0.0002662
513	0.0002586
514	0.0002515
515	0.0002457
516	0.0002358
517	0.0002292
518	0.0002235
519	0.0002142
520	0.0002107
521	0.0002034
522	0.0001954
523	0.0001906
524	0.0001862
525	0.0001787
526	0.0001724
527	0.0001677
528	0.0001643
529	0.0001600
530	0.0001582
531	0.0001551
532	0.0001500
533	0.0001445
534	0.0001456
535	0.0001403
536	0.0001397
537	0.0001348
538	0.0001291
539	0.0001238
540	0.0001173
541	0.0001138
542	0.0001158
543	0.0001082
544	0.0001022
545	0.0000974
546	0.0000950
547	0.0000850
548	0.0000792
549	0.0000718
550	0.0000641
551	0.0000593
552	0.0000500
553	0.0000385
554	0.0000344
555	0.0000257
556	0.0000182
557	0.0000089
558	-0.0000005
559	-0.0000084
560	-0.0000181
561	-0.0000218
562	-0.0000325
563	-0.0000439
564	-0.0000567
565	-0.0000699
566	-0.0000762
567	-0.0000899
568	-0.0001006
569	-0.0001085
570	-0.0001187
571	-0.0001309
572	-0.0001436
573	-0.0001522
574	-0.0001587
575	-0.0001733
576	-0.0001865
577	-0.0001943
578	-0.0002072
579	-0.0002164
580	-0.0002280
581	-0.0002417
582	-0.0002494
583	-0.0002624
584	-0.0002675
585	-0.0002801
586	-0.0002921
587	-0.0003006
588	-0.0003135
589	-0.0003226
590	-0.0003322
591	-0.0003395
592	-0.0003492
593	-0.0003599
594	-0.0003704
595	-0.0003716
596	-0.0003785
597	-0.0003857
598	-0.0003951
599	-0.0004060
600	-0.0004109
601	-0.0004126
602	-0.0004196
603	-0.0004244
604	-0.0004278
605	-0.0004297
606	-0.0004326
607	-0.0004357
608	-0.0004380
609	-0.0004435
610	-0.0004424
611	-0.0004457
612	-0.0004488
613	-0.0004500
614	-0.0004495
615	-0.0004456
616	-0.0004421
617	-0.0004400
618	-0.0004393
619	-0.0004312
620	-0.0004282
621	-0.0004207
622	-0.0004202
623	-0.0004172
624	-0.0004100
625	-0.0004018
626	-0.0003902
627	-0.0003860
628	-0.0003790
629	-0.0003714
630	-0.0003616
631	-0.0003525
632	-0.0003438
633	-0.0003317
634	-0.0003214
635	-0.0003127
636	-0.0003022
637	-0.0002899
638	-0.0002768
639	-0.0002658
640	-0.0002514
641	-0.0002404
642	-0.0002288
643	-0.0002140
644	-0.0002002
645	-0.0001833
646	-0.0001693
647	-0.0001590
