x	y
1	5.8008881
2	5.8008881
3	5.8008891
4	5.8008395
5	5.8008794
6	5.8013984
7	5.8014764
8	5.8012457
9	5.8012893
10	5.8013745
11	5.8013199
12	5.8012908
13	5.8013373
14	5.8013187
15	5.8006538
16	5.8008988
17	5.8010623
18	5.8012257
19	5.8012101
20	5.8012417
21	5.8012323
22	5.8013602
23	5.8012893
24	5.8011694
25	5.8011529
26	5.8011307
27	5.8009053
28	5.8008524
29	5.8009954
30	5.8012152
31	5.8013129
32	5.8012600
33	5.8012600
34	5.8020088
35	5.8019055
36	5.8013107
37	5.8008756
38	5.8009667
39	5.8009946
40	5.8010182
41	5.8010844
42	5.8011309
43	5.8010669
44	5.8009100
45	5.8009557
46	5.8008310
47	5.8008413
48	5.8006886
49	5.8007785
50	5.8009509
51	5.8009594
52	5.8009350
53	5.8006916
54	5.8008855
55	5.8009521
56	5.8008583
57	5.8009252
58	5.8010090
59	5.8010018
60	5.8009334
61	5.8008574
62	5.8009527
63	5.8010666
64	5.8011806
65	5.8011309
66	5.8010459
67	5.8010513
68	5.8011255
69	5.8012511
70	5.8012274
71	5.8012342
72	5.8011978
73	5.8009720
74	5.8007925
75	5.8005076
76	5.8006047
77	5.8012872
78	5.8012152
79	5.8007612
80	5.8007972
81	5.8011160
82	5.8011084
83	5.8011009
84	5.8010204
85	5.8010405
86	5.8010209
87	5.8010270
88	5.8011419
89	5.8011105
90	5.8009066
91	5.8009027
92	5.8009361
93	5.8009594
94	5.8009826
95	5.8010435
96	5.8009099
97	5.8009201
98	5.8008489
99	5.8007756
100	5.8009328
101	5.8009681
102	5.8010451
103	5.8009635
104	5.8008621
105	5.8008581
106	5.8007806
107	5.8011847
108	5.8011382
109	5.8010299
110	5.8010473
111	5.8009839
112	5.8009205
113	5.8006567
114	5.8006734
115	5.8008062
116	5.8008140
117	5.8007622
118	5.8008097
119	5.8007751
120	5.8005676
121	5.8005551
122	5.8004786
123	5.8004875
124	5.8005406
125	5.8005145
126	5.8005183
127	5.8005221
128	5.8008326
129	5.8008760
130	5.8012305
131	5.8009876
132	5.8008428
133	5.8010027
134	5.8010146
135	5.8011541
136	5.8013169
137	5.8012457
138	5.8011283
139	5.8011198
140	5.8011067
141	5.8010183
142	5.8009506
143	5.8008916
144	5.8008372
145	5.8008330
146	5.8005712
147	5.8004245
148	5.8004303
149	5.8005611
150	5.8008794
151	5.8013381
152	5.8013322
153	5.8013220
154	5.8013403
155	5.8010626
156	5.8011360
157	5.8011760
158	5.8011725
159	5.8011495
160	5.8011236
161	5.8012135
162	5.8011671
163	5.8013205
164	5.8013153
165	5.8012387
166	5.8011959
167	5.8011531
168	5.8010320
169	5.8009265
170	5.8009753
171	5.8009266
172	5.8007203
173	5.8007115
174	5.8008736
175	5.8009099
176	5.8009344
177	5.8009150
178	5.8006487
179	5.8006256
180	5.8006026
181	5.8005463
182	5.8005524
183	5.8006076
184	5.8005650
185	5.8004412
186	5.8004390
187	5.8004521
188	5.8003300
189	5.8003512
190	5.8003314
191	5.8003788
192	5.8004704
193	5.8005711
194	5.8005714
195	5.8004979
196	5.8005319
197	5.8005436
198	5.8005277
199	5.8005360
200	5.8002558
201	5.8000720
202	5.8000959
203	5.8003130
204	5.8003006
205	5.8004150
206	5.8005012
207	5.8003677
208	5.8004750
209	5.8006522
210	5.8006047
211	5.8007323
212	5.8006848
213	5.8006658
214	5.8004826
215	5.8005611
216	5.8006309
217	5.8006200
218	5.8005543
219	5.8005233
220	5.8006684
221	5.8006578
222	5.8003124
223	5.8003343
224	5.8005428
225	5.8005349
226	5.8003881
227	5.8004317
228	5.8005589
229	5.8005660
230	5.8005694
231	5.8005992
232	5.8006043
233	5.8007329
234	5.8004928
235	5.8005987
236	5.8005900
237	5.8005560
238	5.8005842
239	5.8005859
240	5.8008019
241	5.8008001
242	5.8005102
243	5.8005624
244	5.8007791
245	5.8006047
246	5.8005894
247	5.8005767
248	5.8005284
249	5.8005253
250	5.8004610
251	5.8004298
252	5.8004939
253	5.8005434
254	5.8005175
255	5.8004406
256	5.8005284
257	5.8005575
258	5.8006093
259	5.8006611
260	5.8007024
261	5.8006734
262	5.8006658
263	5.8005996
264	5.8005314
265	5.8004681
266	5.8004707
267	5.8004447
268	5.8005097
269	5.8004899
270	5.8005038
271	5.8006169
272	5.8005202
273	5.8004419
274	5.8003823
275	5.8004477
276	5.8004368
277	5.8002384
278	5.8002745
279	5.8002625
280	5.8001529
281	5.8001492
282	5.8001304
283	5.8002384
284	5.8002994
285	5.8002936
286	5.8002842
287	5.8002140
288	5.8002445
289	5.7999820
290	5.8001390
291	5.8001489
292	5.7998904
293	5.7998943
294	5.7999209
295	5.8002907
296	5.8004813
297	5.8004667
298	5.8004907
299	5.8004921
300	5.8004215
301	5.8004289
302	5.8005681
303	5.8006298
304	5.8006915
305	5.8006047
306	5.8004500
307	5.8004317
308	5.8004134
309	5.8006145
310	5.8005996
311	5.8005911
312	5.8002849
313	5.8001483
314	5.8002173
315	5.8003147
316	5.8003109
317	5.8002506
318	5.7995975
319	5.7996008
320	5.7996041
321	5.7997760
322	5.7996890
323	5.7995165
324	5.7995118
325	5.7995363
326	5.7995821
327	5.7996972
328	5.7996945
