x	y
1	0.0299448
2	0.0299448
3	0.0299457
4	0.0299458
5	0.0299452
6	0.0299451
7	0.0299451
8	0.0299457
9	0.0299454
10	0.0299454
11	0.0299455
12	0.0299456
13	0.0299456
14	0.0299456
15	0.0299456
16	0.0299456
17	0.0299459
18	0.0299459
19	0.0299459
20	0.0299459
21	0.0299457
22	0.0299457
23	0.0299458
24	0.0299464
25	0.0299465
26	0.0299467
27	0.0299478
28	0.0299478
29	0.0299479
30	0.0299479
31	0.0299479
32	0.0299478
33	0.0299479
34	0.0299480
35	0.0299477
36	0.0299474
37	0.0299470
38	0.0299470
39	0.0299472
40	0.0299475
41	0.0299477
42	0.0299477
43	0.0299481
44	0.0299483
45	0.0299479
46	0.0299478
47	0.0299474
48	0.0299474
49	0.0299472
50	0.0299468
51	0.0299469
52	0.0299473
53	0.0299477
54	0.0299477
55	0.0299477
56	0.0299480
57	0.0299486
58	0.0299487
59	0.0299481
60	0.0299478
61	0.0299480
62	0.0299485
63	0.0299484
64	0.0299484
65	0.0299484
66	0.0299484
67	0.0299483
68	0.0299484
69	0.0299486
70	0.0299485
71	0.0299484
72	0.0299483
73	0.0299483
74	0.0299483
75	0.0299484
76	0.0299486
77	0.0299488
78	0.0299489
79	0.0299491
80	0.0299493
81	0.0299494
82	0.0299492
83	0.0299491
84	0.0299491
85	0.0299492
86	0.0299494
87	0.0299494
88	0.0299497
89	0.0299497
90	0.0299491
91	0.0299491
92	0.0299498
93	0.0299498
94	0.0299498
95	0.0299497
96	0.0299497
97	0.0299507
98	0.0299506
99	0.0299501
100	0.0299501
101	0.0299504
102	0.0299501
103	0.0299503
104	0.0299501
105	0.0299503
106	0.0299510
107	0.0299508
108	0.0299511
109	0.0299511
110	0.0299511
111	0.0299509
112	0.0299519
113	0.0299518
114	0.0299518
115	0.0299517
116	0.0299519
117	0.0299519
118	0.0299519
119	0.0299522
120	0.0299522
121	0.0299509
122	0.0299511
123	0.0299511
124	0.0299515
125	0.0299515
126	0.0299515
127	0.0299508
128	0.0299511
129	0.0299513
130	0.0299512
131	0.0299515
132	0.0299525
133	0.0299524
134	0.0299517
135	0.0299518
136	0.0299521
137	0.0299523
138	0.0299520
139	0.0299520
140	0.0299525
141	0.0299524
142	0.0299522
143	0.0299517
144	0.0299517
145	0.0299527
146	0.0299526
147	0.0299526
148	0.0299528
149	0.0299532
150	0.0299527
151	0.0299527
152	0.0299527
153	0.0299530
154	0.0299533
155	0.0299532
156	0.0299528
157	0.0299529
158	0.0299529
159	0.0299530
160	0.0299535
161	0.0299544
162	0.0299542
163	0.0299542
164	0.0299541
165	0.0299540
166	0.0299532
167	0.0299533
168	0.0299536
169	0.0299533
170	0.0299530
171	0.0299530
172	0.0299530
173	0.0299530
174	0.0299541
175	0.0299539
176	0.0299540
177	0.0299542
178	0.0299544
179	0.0299544
180	0.0299544
181	0.0299537
182	0.0299535
183	0.0299539
184	0.0299541
185	0.0299547
186	0.0299541
187	0.0299541
188	0.0299543
189	0.0299545
190	0.0299552
191	0.0299554
192	0.0299551
193	0.0299552
194	0.0299551
195	0.0299551
196	0.0299550
197	0.0299550
198	0.0299550
199	0.0299548
200	0.0299551
201	0.0299551
202	0.0299551
203	0.0299555
204	0.0299555
205	0.0299557
206	0.0299553
207	0.0299554
208	0.0299555
209	0.0299549
210	0.0299549
211	0.0299557
212	0.0299560
213	0.0299570
214	0.0299575
215	0.0299573
216	0.0299563
217	0.0299562
218	0.0299563
219	0.0299563
220	0.0299554
221	0.0299555
222	0.0299556
223	0.0299570
224	0.0299569
225	0.0299569
226	0.0299581
227	0.0299580
228	0.0299580
229	0.0299584
230	0.0299581
231	0.0299581
232	0.0299580
233	0.0299576
234	0.0299573
235	0.0299570
236	0.0299571
237	0.0299571
238	0.0299573
239	0.0299573
240	0.0299577
241	0.0299580
242	0.0299582
243	0.0299581
244	0.0299580
245	0.0299581
246	0.0299581
247	0.0299581
248	0.0299582
249	0.0299585
250	0.0299586
251	0.0299591
252	0.0299597
253	0.0299596
254	0.0299596
255	0.0299596
256	0.0299596
257	0.0299595
258	0.0299594
259	0.0299589
260	0.0299587
261	0.0299590
262	0.0299590
263	0.0299599
264	0.0299599
265	0.0299597
266	0.0299594
267	0.0299594
268	0.0299594
269	0.0299598
270	0.0299597
271	0.0299599
272	0.0299605
273	0.0299605
274	0.0299605
275	0.0299607
276	0.0299606
277	0.0299603
278	0.0299604
279	0.0299604
280	0.0299603
281	0.0299603
282	0.0299604
283	0.0299605
284	0.0299605
285	0.0299612
286	0.0299611
287	0.0299606
288	0.0299603
289	0.0299602
290	0.0299610
291	0.0299612
292	0.0299613
293	0.0299614
294	0.0299617
295	0.0299612
296	0.0299611
297	0.0299613
298	0.0299622
299	0.0299622
300	0.0299622
301	0.0299621
302	0.0299620
303	0.0299620
304	0.0299620
305	0.0299624
306	0.0299624
307	0.0299625
308	0.0299625
309	0.0299625
310	0.0299627
311	0.0299627
312	0.0299626
313	0.0299623
314	0.0299630
315	0.0299630
316	0.0299622
317	0.0299622
318	0.0299625
319	0.0299624
320	0.0299625
321	0.0299630
322	0.0299633
323	0.0299632
324	0.0299632
325	0.0299638
326	0.0299637
327	0.0299637
328	0.0299641
329	0.0299647
330	0.0299646
331	0.0299642
332	0.0299642
333	0.0299642
334	0.0299644
335	0.0299646
336	0.0299640
337	0.0299642
338	0.0299644
339	0.0299647
340	0.0299659
341	0.0299667
342	0.0299666
343	0.0299663
344	0.0299656
345	0.0299657
346	0.0299661
347	0.0299664
348	0.0299657
349	0.0299653
350	0.0299654
351	0.0299654
352	0.0299654
353	0.0299656
354	0.0299658
355	0.0299656
356	0.0299656
357	0.0299656
358	0.0299657
359	0.0299659
360	0.0299674
361	0.0299675
362	0.0299675
363	0.0299675
364	0.0299673
365	0.0299672
366	0.0299677
367	0.0299673
368	0.0299672
369	0.0299672
370	0.0299682
371	0.0299679
372	0.0299666
373	0.0299675
374	0.0299678
375	0.0299678
376	0.0299678
377	0.0299678
378	0.0299678
379	0.0299677
380	0.0299675
381	0.0299675
382	0.0299677
383	0.0299680
384	0.0299680
385	0.0299682
386	0.0299686
387	0.0299688
388	0.0299688
389	0.0299689
390	0.0299686
391	0.0299688
392	0.0299688
393	0.0299687
394	0.0299688
395	0.0299691
396	0.0299691
397	0.0299691
398	0.0299693
399	0.0299696
400	0.0299697
