x	y
1	58008.8814643
2	58008.8814643
3	58008.8911548
4	58008.3950769
5	58008.7942500
6	58013.9835000
7	58014.7635833
8	58012.4572500
9	58012.8933214
10	58013.7453379
11	58013.1985714
12	58012.9078571
13	58013.3730000
14	58013.1871957
15	58006.5380543
16	58008.9885000
17	58010.6226667
18	58012.2568333
19	58012.1011250
20	58012.4174348
21	58012.3231806
22	58013.6019375
23	58012.8933214
24	58011.6941250
25	58011.5291251
26	58011.3066923
27	58009.0525385
28	58008.5244216
29	58009.9542000
30	58012.1520000
31	58013.1288000
32	58012.5997000
33	58012.5997000
34	58020.0885000
35	58019.0553462
36	58013.1068846
37	58008.7560937
38	58009.6670842
39	58009.9461563
40	58010.1817500
41	58010.8437857
42	58011.3091163
43	58010.6693571
44	58009.0995000
45	58009.5573750
46	58008.3097211
47	58008.4126875
48	58006.8864375
49	58007.7845769
50	58009.5091090
51	58009.5937143
52	58009.3504451
53	58006.9157885
54	58008.8553000
55	58009.5209989
56	58008.5825381
57	58009.2521250
58	58010.0896058
59	58010.0181058
60	58009.3343077
61	58008.5735118
62	58009.5268500
63	58010.6664500
64	58011.8060500
65	58011.3092602
66	58010.4588167
67	58010.5127984
68	58011.2552785
69	58012.5105544
70	58012.2741000
71	58012.3424997
72	58011.9775714
73	58009.7196905
74	58007.9254615
75	58005.0764615
76	58006.0470000
77	58012.8720769
78	58012.1520000
79	58007.6123846
80	58007.9724231
81	58011.1599375
82	58011.0836250
83	58011.0092692
84	58010.2042143
85	58010.4051758
86	58010.2095000
87	58010.2696250
88	58011.4194000
89	58011.1054286
90	58009.0655833
91	58009.0265192
92	58009.3611429
93	58009.5937143
94	58009.8262857
95	58010.4349687
96	58009.0995000
97	58009.2012500
98	58008.4890000
99	58007.7564000
100	58009.3284375
101	58009.6811050
102	58010.4511450
103	58009.6351631
104	58008.6205928
105	58008.5809663
106	58007.8061010
107	58011.8467500
108	58011.3822391
109	58010.2987207
110	58010.4731250
111	58009.8391442
112	58009.2051635
113	58006.5674904
114	58006.7338125
115	58008.0616500
116	58008.1401429
117	58007.6222967
118	58008.0965357
119	58007.7513125
120	58005.6758734
121	58005.5509687
122	58004.7858870
123	58004.8748400
124	58005.4059750
125	58005.1445558
126	58005.1826468
127	58005.2207378
