x	y
1	601.3685714
2	601.3685714
3	601.3750000
4	601.3711765
5	601.3764773
6	601.3827778
7	601.3850000
8	601.3950000
9	601.3916667
10	601.3805556
11	601.3719067
12	601.3630933
13	601.3638889
14	601.3779630
15	601.3800000
16	601.3800000
17	601.3800000
18	601.3830000
19	601.3833333
20	601.3900000
21	601.4050000
22	601.4133333
23	601.4166586
24	601.4116667
25	601.3920940
26	601.3911111
27	601.3853704
28	601.3827778
29	601.3599003
30	601.3600000
31	601.3650000
32	601.3675000
33	601.3762016
34	601.3785714
35	601.3818863
36	601.3800000
37	601.3900000
38	601.3914286
39	601.3892308
40	601.3890476
41	601.3811111
42	601.3852381
43	601.3950794
44	601.3904348
45	601.3875000
46	601.3943332
47	601.3960000
48	601.3955556
49	601.3785185
50	601.3828571
51	601.3845421
52	601.3760000
53	601.4088889
54	601.4075000
55	601.4050000
56	601.3975000
57	601.4003641
58	601.3838020
59	601.3866667
60	601.3925000
61	601.3837682
62	601.3853846
63	601.3930000
64	601.3940769
65	601.3896000
66	601.3832000
67	601.3828429
68	601.3830000
69	601.3819048
70	601.3850000
71	601.3852564
72	601.3810000
73	601.3692222
74	601.3672222
75	601.3664038
76	601.3758333
77	601.3820833
78	601.3851511
79	601.3893333
80	601.3879167
81	601.3682458
82	601.3686957
83	601.3921591
84	601.3933333
85	601.3942857
86	601.3814286
87	601.3748352
88	601.3761111
89	601.3772222
90	601.3786667
91	601.3833333
92	601.3832940
93	601.3842857
94	601.3971671
95	601.3973266
96	601.3919042
97	601.3800000
98	601.3960000
99	601.3866667
100	601.3727346
101	601.3733333
102	601.3742314
103	601.3714105
104	601.3766667
105	601.3740000
106	601.3538974
107	601.3542857
108	601.3850000
109	601.3903185
110	601.3870293
111	601.3837400
112	601.3827406
113	601.3794805
114	601.3592857
115	601.3580952
116	601.3608333
117	601.3675000
118	601.3700000
119	601.3735714
120	601.3671429
121	601.3680000
122	601.3965128
123	601.3976923
124	601.3891243
125	601.3899359
126	601.3896000
127	601.3900000
128	601.3804762
129	601.3867808
130	601.3900000
131	601.3891304
132	601.3971676
133	601.3900000
134	601.3942857
135	601.4209524
136	601.4145455
137	601.4007938
138	601.3990476
139	601.3992000
140	601.3950000
141	601.3981094
142	601.3987500
143	601.4040278
144	601.4074537
145	601.4085714
146	601.4195833
147	601.4177778
148	601.3833618
149	601.3876000
150	601.3942857
151	601.3950063
152	601.3947619
153	601.3816000
154	601.3890064
155	601.3885714
156	601.3910623
157	601.3925763
158	601.3933680
159	601.3925000
160	601.3925000
161	601.3925000
162	601.3972488
163	601.3975000
164	601.3961310
165	601.3911097
166	601.3766667
167	601.3784000
168	601.3984410
169	601.4022222
170	601.4010000
171	601.3853333
172	601.3877778
173	601.3880000
174	601.3913043
175	601.3900000
176	601.3850000
177	601.3850000
178	601.3890000
179	601.3791019
180	601.3823810
181	601.3837201
182	601.3828571
183	601.3762275
184	601.3891283
185	601.3900000
186	601.3912500
187	601.3991667
188	601.3972727
189	601.3933333
190	601.3950000
191	601.3992204
192	601.3792411
193	601.3751317
194	601.3886364
195	601.3855087
196	601.3827778
197	601.3833333
198	601.4136716
199	601.4063281
200	601.4000000
201	601.3900000
202	601.3884615
203	601.3843590
204	601.3854970
205	601.3831250
206	601.3817692
207	601.3857895
208	601.3891520
209	601.3925146
210	601.3938462
211	601.3950592
212	601.3950000
213	601.3850000
214	601.3883333
215	601.4033333
216	601.4113333
217	601.4144018
218	601.4110000
219	601.4100000
220	601.4100000
221	601.4090000
222	601.4050000
223	601.4018931
224	601.4178959
225	601.4112000
226	601.4086667
227	601.4095271
228	601.4110000
229	601.4104762
230	601.4115476
231	601.4176086
232	601.4139103
233	601.4015598
234	601.4000000
235	601.3992857
236	601.4013004
237	601.4020110
238	601.4095833
239	601.4115278
240	601.4075000
241	601.4080000
242	601.4085000
243	601.4080000
244	601.4130097
245	601.4016667
246	601.3883333
247	601.3979762
248	601.3969790
249	601.4082168
250	601.4038889
251	601.4039397
252	601.4069231
253	601.4100000
254	601.4150000
255	601.4178571
256	601.4188889
257	601.4100000
258	601.3720513
259	601.3706667
260	601.3709091
261	601.3805556
262	601.3812500
263	601.3808000
264	601.3700000
265	601.3750000
266	601.4088095
267	601.4080000
268	601.4064286
269	601.3939377
270	601.3976714
271	601.4000000
272	601.3973913
273	601.3996650
274	601.4120017
275	601.4100000
276	601.4138462
277	601.4122222
278	601.4123810
279	601.4192857
280	601.4185714
281	601.4131579
282	601.4104348
283	601.4075000
284	601.4050000
285	601.4145218
286	601.4199921
287	601.4210120
288	601.4066803
289	601.4079318
290	601.4070629
291	601.4045455
292	601.4022727
293	601.3992308
294	601.3975000
295	601.3948597
296	601.3922727
297	601.3917391
298	601.3930435
299	601.4026812
300	601.3978261
301	601.3831643
302	601.3864881
303	601.3884615
304	601.3931818
305	601.3932480
306	601.3957493
307	601.3975000
308	601.3983333
309	601.4050000
310	601.4082353
311	601.4057155
312	601.4063636
313	601.4063636
314	601.4063636
315	601.4033333
316	601.3950000
317	601.3957895
318	601.3948275
319	601.3901725
320	601.3928571
321	601.3953333
322	601.4250000
323	601.4250000
324	601.3833333
325	601.3802549
326	601.3793750
327	601.3855556
328	601.4000000
329	601.3987727
330	601.3880758
331	601.3875000
332	601.3867424
333	601.3881204
334	601.3985714
335	601.4015385
336	601.4084615
337	601.4076190
338	601.4126316
339	601.4100000
340	601.4055556
341	601.3916667
342	601.3875253
343	601.3887500
344	601.3889773
345	601.3807093
346	601.3802364
347	601.3933333
348	601.4003094
349	601.3933333
350	601.3909091
351	601.3916667
352	601.3816667
353	601.3809203
354	601.3812500
355	601.3791830
356	601.3821591
357	601.3847368
358	601.4134450
359	601.4153907
360	601.4107143
361	601.3817532
362	601.3877273
363	601.4012500
364	601.4022348
365	601.3861905
366	601.3958333
367	601.3967929
368	601.3915789
369	601.3933475
370	601.3966667
371	601.3945000
372	601.3973191
373	601.4118182
374	601.4090909
375	601.4066667
376	601.4050000
377	601.4050000
378	601.3950000
379	601.3950000
380	601.3928788
381	601.3912500
382	601.3976471
383	601.3957273
384	601.3870606
385	601.3900000
386	601.3900000
387	601.3875000
388	601.3891667
389	601.3950000
390	601.3950000
391	601.3986364
392	601.3933333
393	601.3962500
394	601.3921032
395	601.3933333
396	601.3925379
397	601.3972914
398	601.4098727
399	601.4092500
400	601.4084695
401	601.4125000
402	601.4175000
403	601.5021970
404	601.5375000
405	601.5850000
406	601.6509586
407	601.6900000
408	601.7750000
409	601.8750000
410	601.9750000
411	602.1365152
412	602.2550000
413	602.4100000
414	602.5300000
415	602.6750000
416	602.8488889
417	603.0077778
418	603.1649739
419	603.2275000
420	603.3837500
421	603.5125000
422	603.6333333
423	603.6700000
424	603.8106061
425	603.9050000
426	603.9956061
427	604.0348788
428	604.0383333
429	604.1273232
430	604.1425000
431	604.1655556
432	604.1994276
433	604.2187500
434	604.2589773
435	604.2816667
436	604.2887289
437	604.2950000
438	604.3001515
439	604.3005000
440	604.2950000
441	604.2964286
442	604.3157792
443	604.3200000
444	604.3372222
445	604.3447368
446	604.3437500
447	604.3454545
448	604.3700000
449	604.3753397
450	604.3628421
451	604.3655000
452	604.3664286
453	604.3789474
454	604.3768426
455	604.3666667
456	604.3605324
457	604.3650000
458	604.3634848
459	604.3619697
460	604.3492390
461	604.3500000
462	604.3740000
463	604.4068831
464	604.3984511
465	604.3950000
466	604.4000000
467	604.4128612
468	604.4033333
469	604.3853535
470	604.3821287
471	604.3800000
472	604.3791388
473	604.3813636
474	604.3861905
475	604.3900000
476	604.3906061
477	604.3783333
478	604.3791667
479	604.3789474
480	604.3778537
481	604.3750000
482	604.3650000
483	604.3525758
484	604.3547059
485	604.3745921
486	604.3766667
487	604.3705000
488	604.3715382
489	604.3689474
490	604.3690476
491	604.3711717
492	604.3575000
493	604.3587500
494	604.3575000
495	604.3536111
496	604.3525000
497	604.3502273
498	604.3495202
499	604.3488889
500	604.3384439
501	604.3314286
502	604.3305882
503	604.3271212
504	604.3260038
505	604.3223295
506	604.3211111
507	604.3187500
508	604.3138889
509	604.3135714
510	604.3100000
511	604.3135897
512	604.3171795
513	604.3150193
514	604.3152687
515	604.3172348
516	604.3158824
517	604.3091667
518	604.3058333
519	604.3100000
520	604.3000000
521	604.2838889
522	604.2725000
523	604.2716421
524	604.2719048
525	604.2810000
526	604.2800690
527	604.2800000
528	604.2500000
529	604.2500000
530	604.2500000
531	604.2306061
532	604.2257143
533	604.2208333
534	604.2217391
535	604.2238761
536	604.2059091
537	604.2070000
538	604.2000000
539	604.2040909
540	604.1987500
541	604.1929167
542	604.1870833
543	604.1573611
544	604.1550000
545	604.1506553
546	604.1416491
547	604.1350000
548	604.1233333
549	604.1066667
550	604.0900000
551	604.0766667
552	604.0725000
553	604.0725000
554	604.0700000
555	604.0483333
556	604.0407143
557	604.0300000
558	604.0150000
559	603.9961111
560	603.9972222
561	603.9907143
562	603.9888889
563	603.9729099
564	603.9754545
565	603.9814286
566	603.9450000
567	603.9361757
568	603.9300000
