x	y
1	0.0275859
2	0.0275859
3	0.0275675
4	0.0274666
5	0.0274690
6	0.0274719
7	0.0275027
8	0.0275815
9	0.0276280
10	0.0276222
11	0.0276052
12	0.0276296
13	0.0277807
14	0.0277565
15	0.0277145
16	0.0276698
17	0.0276569
18	0.0277515
19	0.0277577
20	0.0277167
21	0.0277213
22	0.0277256
23	0.0277215
24	0.0277974
25	0.0278410
26	0.0278701
27	0.0280795
28	0.0279956
29	0.0279176
30	0.0278924
31	0.0279702
32	0.0279787
33	0.0280228
34	0.0280313
35	0.0280492
36	0.0281044
37	0.0280813
38	0.0279871
39	0.0281129
40	0.0280850
41	0.0281681
42	0.0282973
43	0.0282621
44	0.0282549
45	0.0282472
46	0.0282255
47	0.0282150
48	0.0282731
49	0.0283414
50	0.0283882
51	0.0283645
52	0.0283393
53	0.0283214
54	0.0282865
55	0.0282703
56	0.0283747
57	0.0283161
58	0.0283204
59	0.0283580
60	0.0283600
61	0.0284803
62	0.0284693
63	0.0284697
64	0.0285443
65	0.0285603
66	0.0284548
67	0.0284719
68	0.0284713
69	0.0285114
70	0.0285121
71	0.0284561
72	0.0285104
73	0.0287647
74	0.0288325
75	0.0288110
76	0.0287765
77	0.0286800
78	0.0286294
79	0.0286353
80	0.0286120
81	0.0287005
82	0.0287885
83	0.0288100
84	0.0287767
85	0.0286716
86	0.0287248
87	0.0289044
88	0.0288658
89	0.0288220
90	0.0288482
91	0.0288233
92	0.0288054
93	0.0288933
94	0.0289112
95	0.0289260
96	0.0289538
97	0.0289659
98	0.0289436
99	0.0289184
100	0.0290406
101	0.0290776
102	0.0291416
103	0.0290762
104	0.0291610
105	0.0292595
106	0.0291307
107	0.0290470
108	0.0289911
109	0.0290130
110	0.0290146
111	0.0290671
112	0.0291179
113	0.0290139
114	0.0290263
115	0.0290646
116	0.0292057
117	0.0291394
118	0.0291370
119	0.0291650
120	0.0291630
121	0.0291933
122	0.0289613
123	0.0290066
124	0.0291093
125	0.0292786
126	0.0292148
127	0.0292332
128	0.0292368
129	0.0291831
130	0.0292020
131	0.0291860
132	0.0292443
133	0.0292212
134	0.0292050
135	0.0292335
136	0.0292454
137	0.0292588
138	0.0293018
139	0.0293331
140	0.0293070
141	0.0293299
142	0.0293497
143	0.0293592
144	0.0293694
145	0.0293583
146	0.0293854
147	0.0295597
148	0.0295205
149	0.0295695
150	0.0295291
151	0.0295481
152	0.0295992
153	0.0296770
154	0.0296513
155	0.0296337
156	0.0296055
157	0.0296311
158	0.0295877
159	0.0296013
160	0.0295556
161	0.0296781
162	0.0297063
163	0.0297270
164	0.0297619
165	0.0297931
166	0.0298054
167	0.0297755
168	0.0297840
169	0.0297928
170	0.0298387
171	0.0299145
172	0.0298636
173	0.0298442
174	0.0298144
175	0.0298815
176	0.0299467
177	0.0299869
178	0.0299940
179	0.0300144
180	0.0300219
181	0.0300052
182	0.0300498
183	0.0300540
184	0.0300401
185	0.0299908
186	0.0299552
187	0.0299220
188	0.0300933
189	0.0301969
190	0.0302659
191	0.0301795
192	0.0301839
193	0.0302019
194	0.0302010
195	0.0301287
196	0.0301689
197	0.0301665
198	0.0301707
199	0.0301506
200	0.0302253
201	0.0302285
202	0.0302513
203	0.0302806
204	0.0302351
205	0.0302273
206	0.0302149
207	0.0301877
208	0.0302997
209	0.0303296
210	0.0303205
211	0.0303012
212	0.0303474
213	0.0304583
214	0.0304501
215	0.0304827
216	0.0304887
217	0.0305611
218	0.0305557
219	0.0304999
220	0.0305013
221	0.0304571
222	0.0303833
223	0.0304666
224	0.0304711
225	0.0304446
226	0.0304686
227	0.0304801
228	0.0305250
229	0.0304493
230	0.0304609
231	0.0305097
232	0.0305716
233	0.0305724
234	0.0305942
235	0.0306057
236	0.0306143
237	0.0305840
238	0.0305854
239	0.0305545
240	0.0305491
241	0.0305453
242	0.0305423
243	0.0305372
244	0.0305077
245	0.0304378
246	0.0304815
247	0.0307197
248	0.0307476
249	0.0307793
250	0.0307704
251	0.0307658
252	0.0308024
253	0.0307833
254	0.0307811
255	0.0307997
256	0.0308170
257	0.0308749
258	0.0308992
259	0.0309007
260	0.0308979
261	0.0309143
262	0.0309999
263	0.0309664
264	0.0309101
265	0.0310185
266	0.0309949
267	0.0310046
268	0.0310340
269	0.0310172
270	0.0311389
271	0.0310913
272	0.0310034
273	0.0310044
274	0.0310175
275	0.0310543
276	0.0310403
277	0.0310357
278	0.0310273
279	0.0310396
280	0.0311173
281	0.0310870
282	0.0310929
283	0.0312114
284	0.0312347
285	0.0312320
286	0.0312098
287	0.0312330
288	0.0312699
289	0.0312549
290	0.0312021
291	0.0311939
292	0.0311457
293	0.0311105
294	0.0311382
295	0.0311592
296	0.0311721
297	0.0312897
298	0.0313291
299	0.0312050
300	0.0312423
301	0.0312215
302	0.0312091
303	0.0311976
304	0.0312536
305	0.0313962
306	0.0314287
307	0.0314124
308	0.0314117
309	0.0313367
310	0.0311670
311	0.0311761
312	0.0312003
313	0.0312361
314	0.0313093
315	0.0313493
316	0.0313852
317	0.0313714
318	0.0313748
319	0.0313868
320	0.0313929
321	0.0314006
322	0.0314660
323	0.0315427
324	0.0315197
325	0.0314481
326	0.0314896
327	0.0314950
328	0.0314715
329	0.0314794
330	0.0313576
331	0.0313640
332	0.0314191
333	0.0314819
334	0.0315046
335	0.0315096
336	0.0314021
337	0.0314322
338	0.0314842
339	0.0315014
340	0.0315559
341	0.0315934
342	0.0315803
343	0.0314870
344	0.0315153
345	0.0315351
346	0.0314879
347	0.0314484
348	0.0315924
349	0.0316514
350	0.0316643
351	0.0316984
352	0.0316743
353	0.0315805
354	0.0315230
355	0.0315732
356	0.0315628
357	0.0316090
358	0.0316092
359	0.0317086
360	0.0316503
361	0.0316905
362	0.0317014
363	0.0315711
364	0.0315821
365	0.0315813
366	0.0315927
367	0.0316147
368	0.0316823
369	0.0316778
370	0.0315573
371	0.0316001
372	0.0316036
373	0.0315600
374	0.0315553
375	0.0315578
376	0.0316264
377	0.0315427
378	0.0315350
379	0.0315633
380	0.0315936
381	0.0315330
382	0.0315257
383	0.0315257
384	0.0314814
385	0.0317210
386	0.0317445
387	0.0316649
388	0.0316754
389	0.0316916
390	0.0316758
391	0.0316488
392	0.0316279
393	0.0316264
394	0.0316398
395	0.0317324
396	0.0317534
397	0.0316387
398	0.0316716
399	0.0316882
400	0.0316375
401	0.0316671
402	0.0316619
403	0.0316797
404	0.0314973
405	0.0315157
406	0.0315512
407	0.0315492
408	0.0315893
409	0.0316199
410	0.0316369
411	0.0316497
412	0.0316356
413	0.0315985
414	0.0316732
415	0.0316320
416	0.0316418
417	0.0316419
418	0.0316404
419	0.0314800
420	0.0314683
421	0.0315444
422	0.0315527
423	0.0316075
424	0.0316722
425	0.0316555
426	0.0316409
427	0.0316583
428	0.0315922
429	0.0315896
430	0.0316379
431	0.0317715
432	0.0317687
433	0.0316995
434	0.0316564
435	0.0316767
436	0.0316827
437	0.0317005
438	0.0317800
439	0.0318681
440	0.0318407
441	0.0317345
442	0.0317416
443	0.0317203
444	0.0317032
445	0.0316959
446	0.0316601
447	0.0316554
448	0.0316653
449	0.0317062
450	0.0317117
451	0.0317983
452	0.0317753
453	0.0317929
454	0.0316659
455	0.0316322
456	0.0316429
457	0.0316361
458	0.0317472
459	0.0317594
460	0.0318254
461	0.0318045
462	0.0317692
463	0.0316258
464	0.0315955
465	0.0315977
466	0.0316797
467	0.0316838
468	0.0315783
469	0.0314772
470	0.0314852
471	0.0315896
472	0.0316226
473	0.0316506
474	0.0316754
475	0.0316544
476	0.0316676
477	0.0317436
478	0.0317503
479	0.0316028
480	0.0315462
481	0.0315675
482	0.0315648
483	0.0316214
484	0.0316708
485	0.0317379
486	0.0317155
487	0.0316359
488	0.0315690
489	0.0315479
490	0.0315658
491	0.0315721
492	0.0315128
493	0.0315106
494	0.0313918
495	0.0314193
496	0.0314301
497	0.0314768
498	0.0314423
499	0.0314561
500	0.0315952
501	0.0316056
502	0.0315934
503	0.0315461
504	0.0315145
505	0.0314912
506	0.0314302
507	0.0314506
508	0.0316056
509	0.0314769
510	0.0315363
511	0.0315845
512	0.0316566
513	0.0316460
514	0.0315456
515	0.0315117
516	0.0315382
517	0.0315743
518	0.0315817
519	0.0315158
520	0.0315106
521	0.0314691
522	0.0313716
523	0.0314354
524	0.0314407
525	0.0315035
526	0.0313593
527	0.0313670
528	0.0314129
529	0.0314055
530	0.0313594
531	0.0313457
532	0.0313865
533	0.0314149
534	0.0314033
535	0.0315483
536	0.0315341
537	0.0314549
538	0.0314281
539	0.0314846
540	0.0315628
541	0.0315409
542	0.0314724
543	0.0314832
544	0.0314801
545	0.0314732
546	0.0314844
547	0.0314591
548	0.0314721
549	0.0314749
550	0.0314462
551	0.0314679
552	0.0314848
553	0.0314855
554	0.0316115
555	0.0316019
556	0.0315154
557	0.0314532
558	0.0314850
559	0.0314940
560	0.0315105
561	0.0314747
562	0.0314807
563	0.0314662
564	0.0314346
565	0.0314621
566	0.0315014
567	0.0314978
568	0.0314430
569	0.0314188
570	0.0313859
571	0.0313492
572	0.0313504
573	0.0314102
574	0.0313652
575	0.0313710
576	0.0312945
577	0.0312666
578	0.0312472
579	0.0311406
580	0.0310778
581	0.0309756
582	0.0308845
583	0.0307987
584	0.0306655
585	0.0305350
586	0.0303736
587	0.0304355
588	0.0303113
589	0.0300538
590	0.0299900
591	0.0297090
592	0.0295586
593	0.0294317
594	0.0290196
595	0.0287583
596	0.0284972
597	0.0282158
598	0.0280545
599	0.0275183
600	0.0274631
601	0.0268093
602	0.0266064
603	0.0262613
604	0.0256939
605	0.0255342
606	0.0249394
607	0.0243867
608	0.0238669
609	0.0236141
610	0.0228717
611	0.0225590
612	0.0219906
613	0.0210555
614	0.0206889
615	0.0201083
616	0.0195749
617	0.0191137
618	0.0185212
619	0.0180113
620	0.0174969
621	0.0171049
622	0.0168760
623	0.0162772
624	0.0158725
625	0.0154845
626	0.0151987
627	0.0150488
628	0.0148809
629	0.0143985
630	0.0143068
631	0.0141187
632	0.0136345
633	0.0134644
634	0.0132382
635	0.0130057
636	0.0126603
637	0.0124959
638	0.0124066
639	0.0121159
640	0.0116163
641	0.0113421
642	0.0110958
643	0.0108759
644	0.0107850
645	0.0103069
646	0.0098371
647	0.0093644
648	0.0092139
649	0.0091047
650	0.0090005
651	0.0082626
652	0.0079090
653	0.0074883
654	0.0070808
655	0.0064730
656	0.0059475
657	0.0057238
658	0.0055032
659	0.0051391
660	0.0045596
661	0.0039767
662	0.0034799
663	0.0030891
664	0.0027160
665	0.0023156
666	0.0020146
667	0.0017043
668	0.0010501
669	0.0007101
670	0.0003663
671	0.0001017
672	0.0000965
673	-0.0006105
674	-0.0009975
675	-0.0010401
676	-0.0012973
677	-0.0018010
678	-0.0015756
