x	y
1	3.3633579
2	3.3633579
3	3.3633239
4	3.3632251
5	3.3632192
6	3.3632134
7	3.3632442
8	3.3633012
9	3.3633346
10	3.3633144
11	3.3632736
12	3.3632795
13	3.3634306
14	3.3634033
15	3.3633581
16	3.3633129
17	3.3633239
18	3.3634783
19	3.3634771
20	3.3634582
21	3.3634605
22	3.3634875
23	3.3634800
24	3.3635345
25	3.3635977
26	3.3636014
27	3.3637634
28	3.3637806
29	3.3637202
30	3.3636879
31	3.3637024
32	3.3637100
33	3.3637185
34	3.3637270
35	3.3637174
36	3.3637780
37	3.3637770
38	3.3637896
39	3.3639052
40	3.3638703
41	3.3638926
42	3.3639865
43	3.3639832
44	3.3640382
45	3.3640444
46	3.3640382
47	3.3640496
48	3.3640858
49	3.3640829
50	3.3640992
51	3.3641021
52	3.3640869
53	3.3640781
54	3.3640856
55	3.3641034
56	3.3641956
57	3.3641419
58	3.3641535
59	3.3641580
60	3.3641625
61	3.3643093
62	3.3642663
63	3.3642824
64	3.3642954
65	3.3643157
66	3.3642416
67	3.3642439
68	3.3642586
69	3.3642885
70	3.3643264
71	3.3643502
72	3.3644045
73	3.3646012
74	3.3646731
75	3.3646741
76	3.3646299
77	3.3645406
78	3.3645388
79	3.3645118
80	3.3645004
81	3.3645031
82	3.3645266
83	3.3645471
84	3.3645487
85	3.3645199
86	3.3645599
87	3.3647402
88	3.3647273
89	3.3646905
90	3.3647036
91	3.3647179
92	3.3647097
93	3.3648013
94	3.3648114
95	3.3648284
96	3.3648362
97	3.3648373
98	3.3648224
99	3.3647911
100	3.3649208
101	3.3649539
102	3.3649567
103	3.3649539
104	3.3650027
105	3.3650265
106	3.3649821
107	3.3649801
108	3.3649590
109	3.3649529
110	3.3649583
111	3.3649490
112	3.3649844
113	3.3649865
114	3.3649921
115	3.3650472
116	3.3651682
117	3.3651007
118	3.3650989
119	3.3650943
120	3.3650571
121	3.3651142
122	3.3650955
123	3.3651235
124	3.3652171
125	3.3652282
126	3.3651981
127	3.3652005
128	3.3652042
129	3.3651818
130	3.3651981
131	3.3651942
132	3.3652453
133	3.3652510
134	3.3652510
135	3.3652659
136	3.3652795
137	3.3652811
138	3.3652897
139	3.3653249
140	3.3653464
141	3.3653914
142	3.3654047
143	3.3654078
144	3.3654118
145	3.3654094
146	3.3654245
147	3.3654395
148	3.3654545
149	3.3655246
150	3.3655453
151	3.3655862
152	3.3656271
153	3.3657176
154	3.3657082
155	3.3656804
156	3.3656573
157	3.3656778
158	3.3656785
159	3.3657057
160	3.3657108
161	3.3657656
162	3.3657704
163	3.3657969
164	3.3657984
165	3.3658184
166	3.3658269
167	3.3658340
168	3.3658290
169	3.3658217
170	3.3658522
171	3.3659460
172	3.3660002
173	3.3659931
174	3.3659612
175	3.3659830
176	3.3660070
177	3.3660409
178	3.3660427
179	3.3660452
180	3.3660528
181	3.3661240
182	3.3661194
183	3.3661139
184	3.3661261
185	3.3661962
186	3.3661749
187	3.3661773
188	3.3662360
189	3.3663123
190	3.3663228
191	3.3662421
192	3.3662594
193	3.3662817
194	3.3662970
195	3.3663886
196	3.3663784
197	3.3663755
198	3.3663792
199	3.3663839
200	3.3664344
201	3.3664220
202	3.3664191
203	3.3664374
204	3.3664409
205	3.3664351
206	3.3664247
207	3.3664211
208	3.3664448
209	3.3664802
210	3.3664740
211	3.3664806
212	3.3665224
213	3.3665514
214	3.3665412
215	3.3665771
216	3.3666023
217	3.3666217
218	3.3666228
219	3.3665863
220	3.3666069
221	3.3665710
222	3.3665761
223	3.3666659
224	3.3666501
225	3.3666318
226	3.3666531
227	3.3666516
228	3.3667025
229	3.3666976
230	3.3666951
231	3.3667244
232	3.3667854
233	3.3667854
234	3.3667854
235	3.3667956
236	3.3668028
237	3.3667651
238	3.3667909
239	3.3667760
240	3.3667907
241	3.3668058
242	3.3668068
243	3.3667823
244	3.3667528
245	3.3666837
246	3.3667074
247	3.3669598
248	3.3669860
249	3.3669838
250	3.3669967
251	3.3669970
252	3.3670425
253	3.3670437
254	3.3670449
255	3.3670601
