x	y
1	523.4641667
2	523.4641667
3	523.4508333
4	523.4516667
5	523.4632014
6	523.4644444
7	523.4681481
8	523.4625000
9	523.4578883
10	523.4555069
11	523.4566667
12	523.4589474
13	523.4590909
14	523.4467454
15	523.4485000
16	523.4427778
17	523.4391077
18	523.4394118
19	523.4410708
20	523.4414286
21	523.4385714
22	523.4389474
23	523.4500000
24	523.4435857
25	523.4297477
26	523.4300000
27	523.4350000
28	523.4400000
29	523.4672222
30	523.4711462
31	523.4604348
32	523.4541668
33	523.4540000
34	523.4529935
35	523.4494118
36	523.4409150
37	523.4450765
38	523.4478571
39	523.4466667
40	523.4534470
41	523.4580000
42	523.4568182
43	523.4557143
44	523.4550000
45	523.4350000
46	523.4350758
47	523.4403825
48	523.4566667
49	523.4566667
50	523.4550000
51	523.4561111
52	523.4558333
53	523.4496496
54	523.4495201
55	523.4472222
56	523.4385185
57	523.4386957
58	523.4377273
59	523.4333333
60	523.4305051
61	523.4316667
62	523.4314286
63	523.4266667
64	523.4366667
65	523.4291692
66	523.4363785
67	523.4387928
68	523.4400000
69	523.4400000
70	523.4400000
71	523.4435714
72	523.4284615
73	523.4222112
74	523.4271429
75	523.4294118
76	523.4400000
77	523.4294737
78	523.4248246
79	523.4258069
80	523.4275000
81	523.4491667
82	523.4508333
83	523.4513034
84	523.4506667
85	523.4500000
86	523.4392308
87	523.4392308
88	523.4392308
89	523.4493971
90	523.4497990
91	523.4352464
92	523.4338095
93	523.4309561
94	523.4259670
95	523.4266667
96	523.4250000
97	523.4250000
98	523.4483010
99	523.4431313
100	523.4416667
101	523.4349145
102	523.4281624
103	523.4293749
104	523.4313636
105	523.4344689
106	523.4331818
107	523.4377273
108	523.4366667
109	523.4200000
110	523.4216667
111	523.4282479
112	523.4310000
113	523.4370588
114	523.4425000
115	523.4450000
116	523.4452670
117	523.4537500
118	523.4483333
119	523.4350000
120	523.4350000
121	523.4365217
122	523.4420000
123	523.4369231
124	523.4282999
125	523.4260000
126	523.4100000
127	523.4015000
128	523.4125000
129	523.4200000
130	523.4264806
131	523.4300000
132	523.4311907
133	523.4259091
134	523.4253333
135	523.4285128
136	523.4281459
137	523.4350000
138	523.4400000
139	523.4385714
140	523.4364469
141	523.4375000
142	523.4375000
143	523.4341667
144	523.4340879
145	523.4409121
146	523.4418425
147	523.4412500
148	523.4404762
149	523.4191304
150	523.4107656
151	523.4112500
152	523.4314286
153	523.4304545
154	523.4314286
155	523.4301768
156	523.4304167
157	523.4366667
158	523.4350000
159	523.4350000
160	523.4395000
161	523.4379094
162	523.4372519
163	523.4365943
164	523.4369565
165	523.4375000
166	523.4308333
167	523.4334783
168	523.4333333
169	523.4321368
170	523.4309402
171	523.4340631
172	523.4426035
173	523.4425000
174	523.4400000
175	523.4261538
176	523.4305556
177	523.4286590
178	523.4303807
179	523.4321429
180	523.4312500
181	523.4306250
182	523.4267425
183	523.4234063
184	523.4191278
185	523.4319048
186	523.4305556
187	523.4283333
188	523.4262702
189	523.4253846
190	523.4270000
191	523.4253410
192	523.4280952
193	523.4293532
194	523.4308955
195	523.4324378
196	523.4313636
197	523.4304545
198	523.4295455
199	523.4300000
200	523.4300000
201	523.4328571
202	523.4127273
203	523.4151411
204	523.4200000
205	523.4230825
206	523.4233333
207	523.4192308
208	523.4182609
209	523.4171981
210	523.4177273
211	523.4256061
212	523.4248000
213	523.4225000
214	523.4175000
215	523.4222193
216	523.4362953
217	523.4347619
218	523.4328571
219	523.4289011
220	523.4260000
221	523.4268000
222	523.4371429
223	523.4339130
224	523.4300000
225	523.4277778
226	523.4255556
227	523.4249288
228	523.4243020
229	523.4198955
230	523.4194524
231	523.4190092
232	523.4200000
233	523.4200727
234	523.4208696
235	523.4324052
236	523.4350000
237	523.4361893
238	523.4350000
239	523.4230000
240	523.4112564
241	523.4124000
242	523.4140000
243	523.4271429
244	523.4268750
245	523.4084028
246	523.4085000
247	523.4100000
248	523.4116667
249	523.4088141
250	523.4040491
251	523.4084929
252	523.4100000
253	523.4031818
254	523.3900000
255	523.3904348
256	523.4025000
257	523.4110897
258	523.4196795
259	523.4200000
260	523.4233333
261	523.4271429
262	523.4239777
263	523.4242202
264	523.4241078
265	523.4250740
266	523.4205556
267	523.4233253
268	523.4180000
269	523.4050000
270	523.4175000
271	523.4228571
272	523.4216667
273	523.4194579
274	523.4216667
275	523.4316667
276	523.4253333
277	523.3977778
278	523.3950000
279	523.3900000
280	523.3929167
281	523.3958333
282	523.3912577
283	523.3950000
284	523.4055556
285	523.4055556
286	523.4126667
287	523.4211524
288	523.4125641
289	523.4133333
290	523.4100000
291	523.4100000
292	523.4100000
293	523.4098030
294	523.4080000
295	523.4080000
296	523.4060000
297	523.4040000
298	523.4038889
299	523.4015000
300	523.4050000
301	523.4066667
302	523.4071429
303	523.4072222
304	523.4081478
305	523.4055556
306	523.3980973
307	523.4083333
308	523.4052381
309	523.4075000
310	523.4097727
311	523.4114665
312	523.4132833
313	523.4123810
314	523.4125803
315	523.4125000
316	523.4068333
317	523.4090476
318	523.4084181
319	523.3950000
320	523.3933333
321	523.3763636
322	523.3785714
323	523.3843723
324	523.3838095
325	523.3866667
326	523.3866667
327	523.3844056
328	523.3901399
329	523.4021678
330	523.4010000
331	523.3990000
332	523.3991667
333	523.4200000
334	523.4175000
335	523.4179049
336	523.4150000
337	523.4209091
338	523.4291919
339	523.4250000
340	523.4011111
341	523.4058333
342	523.4066667
343	523.4088235
344	523.4065000
345	523.4075000
346	523.4236111
347	523.4222983
348	523.4185234
349	523.4175000
350	523.4150000
351	523.4076190
352	523.4042105
353	523.3911005
354	523.3905263
355	523.3911111
356	523.3948889
357	523.3925000
358	523.3908333
359	523.3891667
360	523.3836616
