x	y
1	4555.4492500
2	4555.4492500
3	4554.8896250
4	4554.8387500
5	4554.2455525
6	4554.0617500
7	4554.1378056
8	4554.4826250
9	4554.9167914
10	4554.8540550
11	4553.9507500
12	4553.8515965
13	4554.9507778
14	4555.1391954
15	4554.7075617
16	4555.1270417
17	4555.8974505
18	4555.7613403
19	4555.5590814
20	4556.7130809
21	4556.6437437
22	4555.8696382
23	4555.0168125
24	4555.3320952
25	4555.9225298
26	4555.6620000
27	4555.1810000
28	4555.1440000
29	4553.3803333
30	4552.4285263
31	4553.1183683
32	4553.7823362
33	4554.0738294
34	4553.5345061
35	4553.7990189
36	4554.5558902
37	4554.6860819
38	4554.7321548
39	4554.5308386
40	4554.2067768
41	4555.4017667
42	4555.4513056
43	4555.4960873
44	4554.4958148
45	4556.2544022
46	4556.4742930
47	4555.7989839
48	4553.8212500
49	4553.5838333
50	4553.6431875
51	4553.7279792
52	4553.8297292
53	4554.2920352
54	4554.3592981
55	4554.6522083
56	4555.1763016
57	4554.7046016
58	4555.0110737
59	4555.2602857
60	4556.0751667
61	4557.1210416
62	4557.0510857
63	4557.0976000
64	4556.6092000
65	4557.0262234
66	4556.1790904
67	4555.9299468
68	4555.7036250
69	4555.1753077
70	4555.2180000
71	4554.9259643
72	4556.0431324
73	4557.1310651
74	4557.3025536
75	4556.0216618
76	4554.8387500
77	4555.4428211
78	4556.1090210
79	4556.1122368
80	4556.0088750
81	4554.5511008
82	4554.4317500
83	4551.6919827
84	4551.7942130
85	4553.1090000
86	4554.6430769
87	4554.9597115
88	4554.6211615
89	4553.0237077
90	4553.0805692
91	4554.6202087
92	4554.8823571
93	4555.5604652
94	4555.8353706
95	4556.1892495
96	4556.5888500
97	4556.7109500
98	4555.0442257
99	4553.9014173
100	4554.0654500
101	4555.0678179
102	4555.5343026
103	4555.2175547
104	4555.2735000
105	4556.6848846
106	4556.4251250
107	4554.9344519
108	4554.8591000
109	4556.0258333
110	4555.7981071
111	4555.4721636
112	4555.3063486
113	4554.9165588
114	4554.0625801
115	4554.2595577
116	4553.4997002
117	4552.1678125
118	4552.7528750
119	4554.3808750
120	4554.1656346
121	4554.1176522
122	4553.6210802
123	4553.9422985
124	4554.1140034
125	4554.5131500
126	4556.1411500
127	4557.3112750
128	4556.1309750
129	4554.8455333
130	4554.2757882
131	4554.2458606
132	4554.7171394
133	4557.2089439
134	4557.1790000
135	4553.9605692
136	4553.9199077
137	4553.4287857
138	4553.8416000
139	4554.4875393
140	4554.3825131
141	4554.4215750
142	4554.4215750
143	4554.7471750
144	4554.8130346
145	4554.3760654
146	4552.9052013
147	4553.9484375
148	4554.6672286
149	4555.8482870
150	4556.0459669
151	4555.9630875
152	4554.7471118
153	4554.8110000
154	4554.7311857
155	4553.8613289
156	4553.7788542
157	4553.4346000
158	4553.9496115
159	4553.9637000
160	4553.5835250
161	4553.7532052
162	4553.8872735
163	4554.5040021
164	4554.4576615
165	4554.4826250
166	4555.0422500
167	4555.0201304
168	4554.6759500
169	4555.2509679
170	4556.0609568
171	4555.8024448
172	4554.5071386
173	4554.4826250
174	4554.6587308
175	4555.1753077
176	4554.4487083
177	4555.0125288
178	4556.2420190
179	4555.2814286
180	4554.6025446
181	4554.8553822
182	4555.0121850
183	4554.1511148
184	4554.5251504
185	4553.8683147
186	4554.5308910
187	4554.3953890
188	4554.4570058
189	4554.6098067
190	4554.7166500
191	4554.7501013
192	4554.5335000
193	4554.3694864
194	4554.2469432
195	4554.3083587
196	4554.5774375
197	4555.0959000
198	4555.1384856
199	4554.7878750
200	4554.7529013
201	4554.5625714
202	4555.4122500
203	4555.2952777
204	4555.0331475
205	4554.4470620
206	4554.2908654
207	4554.4004423
208	4554.6106025
209	4554.9080580
210	4554.9394672
211	4554.0895000
212	4554.4948350
213	4555.0931250
214	4556.2530750
215	4555.7677213
216	4554.2509199
217	4554.3445357
218	4554.1555714
219	4553.5491712
220	4553.6939885
221	4553.6643985
222	4553.2834286
223	4553.7858587
224	4554.0247500
225	4554.0925833
226	4554.2960833
227	4554.5378483
228	4554.4489257
229	4555.0995025
230	4555.0910200
231	4554.9520470
232	4554.9160800
233	4554.5644549
234	4554.5482464
235	4553.7761632
236	4553.6490577
237	4554.0698878
238	4553.9738750
239	4554.2994750
240	4554.4450558
241	4554.0438999
242	4555.0367712
243	4553.9408901
244	4554.2155312
245	4555.1788950
246	4555.0829500
247	4555.0083333
248	4554.9004615
249	4554.7686990
250	4555.3037997
251	4555.4685802
252	4555.4589405
253	4555.7637500
254	4556.3446500
255	4556.4402065
256	4555.4594250
257	4554.9175783
258	4554.3495673
259	4554.0586667
260	4553.8939286
261	4553.8328786
262	4554.2280437
263	4554.1401893
264	4554.4574358
265	4554.7417296
266	4554.9937976
267	4554.5161002
268	4554.9405000
269	4555.9434643
270	4555.1837898
271	4554.8532857
272	4554.7777000
273	4554.1188933
274	4552.7901833
275	4552.3967500
276	4553.8478615
277	4555.7768351
278	4555.3024952
279	4555.2457500
280	4554.8641875
281	4554.6182917
282	4554.9654704
283	4554.7329300
284	4554.5199333
285	4555.5781333
286	4555.0755214
287	4554.5648935
288	4556.3102115
289	4556.2632500
290	4556.3106345
291	4555.8550836
292	4555.8359000
293	4555.5953788
294	4555.5322154
295	4554.4990615
296	4554.9405000
297	4555.5697846
298	4555.5070389
299	4555.5712194
300	4555.1661196
301	4555.3135833
302	4555.1654024
303	4555.1391548
304	4555.2570749
305	4556.0936667
306	4556.3939448
307	4555.1814034
308	4555.2312143
309	4554.7878750
310	4554.6330592
311	4554.6983447
312	4554.7400558
313	4554.7951429
314	4554.4777251
315	4554.1773750
316	4554.4826250
317	4554.3067429
318	4553.9924386
319	4554.9659375
320	4555.5001250
321	4556.5823750
322	4556.4641849
323	4556.0660791
324	4555.4405286
325	4555.0567857
326	4555.4153333
327	4554.9177827
328	4554.7561417
329	4554.2531538
330	4554.6505125
331	4556.5234914
332	4555.4631250
333	4554.2486000
334	4554.3018231
335	4553.8632347
336	4554.6352500
337	4554.2745000
338	4553.5246333
339	4553.8381322
340	4555.4510351
341	4554.9806645
342	4555.1080882
343	4554.7070735
344	4553.7805500
345	4553.8466875
346	4552.8779222
347	4552.8923787
348	4552.5632079
349	4552.0660625
350	4552.5262500
351	4554.2718571
352	4554.6834474
353	4555.2803158
354	4554.9907862
355	4555.0634479
356	4554.8026912
357	4554.9405000
358	4555.0349497
359	4554.6861250
360	4555.2284112
361	4555.2152250
362	4555.3429335
363	4555.2296842
364	4555.5795614
365	4556.0311886
366	4556.2249382
367	4556.5685000
368	4556.2123750
369	4555.9976304
370	4554.6917778
371	4555.1131667
372	4555.7500761
373	4555.0126500
374	4555.1113529
375	4554.6570536
376	4555.1578750
377	4556.3118734
378	4556.6857768
379	4556.6644914
380	4555.7545000
381	4555.7036250
382	4555.9365640
383	4555.7835714
384	4555.6382143
385	4555.0851964
386	4554.3300000
387	4554.2282500
388	4554.5335000
389	4554.7573500
390	4554.2834857
391	4554.3438750
392	4555.4905485
393	4555.2473824
394	4554.3751156
395	4553.7176050
396	4553.6876478
397	4553.8634036
398	4553.6758929
399	4553.6917500
400	4553.8811803
401	4553.7195000
402	4553.8809094
403	4555.3582898
404	4555.4848164
405	4556.1004500
406	4556.8515865
407	4558.3945367
408	4558.5122622
409	4559.2034878
410	4558.6798125
411	4560.8142500
412	4563.3687917
413	4563.2329190
414	4564.7823007
415	4565.8872816
416	4565.8786250
417	4566.0052636
418	4566.6746691
419	4566.5908750
420	4567.5575000
421	4569.9995000
422	4570.6850278
423	4570.4266119
424	4570.6100000
425	4571.3493833
426	4571.8182812
427	4572.2549583
428	4572.0684167
429	4572.0345000
430	4571.8957500
431	4572.7245189
432	4572.6315850
433	4571.9675578
434	4572.0069261
435	4572.0314167
436	4571.9614244
437	4571.6108321
438	4571.8497434
439	4571.8865000
440	4572.4024201
441	4571.9878700
442	4571.8818750
443	4571.4899742
444	4571.6507935
445	4572.2348692
446	4574.2293929
447	4573.7682143
448	4573.6045954
449	4574.0431949
450	4573.4540034
451	4575.0093000
452	4573.3979500
453	4573.4081250
454	4573.5268333
455	4573.5885000
456	4573.6534152
457	4573.2612813
458	4574.7540000
459	4574.9640079
460	4575.4755000
461	4575.7637917
462	4574.7672143
463	4574.1760952
464	4573.9096071
465	4574.2222511
466	4573.7383410
467	4572.5802500
468	4572.3741534
469	4571.8803333
470	4572.5013529
471	4572.6820449
472	4572.2318483
473	4571.8263378
474	4572.1182941
475	4574.5289167
476	4574.3590781
477	4574.0340460
478	4573.9168750
479	4572.9993723
480	4573.1028750
481	4573.1175777
482	4572.6807342
483	4572.3574792
484	4572.6419705
485	4572.7830893
486	4573.3763530
487	4573.2450937
488	4572.0658077
489	4572.4882125
490	4573.7397375
491	4573.5766071
492	4573.5874223
493	4573.7598558
494	4573.2496298
495	4573.5468557
496	4573.8440700
497	4572.8768064
498	4572.3397500
499	4571.6275000
500	4571.5766250
501	4572.4843097
502	4572.3113671
503	4572.1518118
504	4572.3397500
505	4573.2797262
506	4573.6517692
507	4573.0270250
508	4572.4916368
509	4571.9452375
510	4572.5178125
511	4573.7846000
512	4573.5171429
513	4573.7272500
514	4572.8198250
515	4572.4160625
516	4571.9627892
517	4572.0771923
518	4572.4156000
519	4571.8451630
520	4573.1445000
521	4573.1506667
522	4571.9034283
523	4572.1116691
524	4572.2806814
525	4573.4765750
526	4572.0345000
527	4571.7792789
528	4572.0244595
529	4570.7811586
530	4570.7640869
531	4570.8690000
532	4571.8895833
533	4572.1362500
534	4572.4923750
