Seconds	Ch1	Ch2
1	599.030000	526.600000
1	599.280000	526.660000
1	599.260000	526.630000
1	599.300000	526.650000
1	599.290000	526.550000
1	599.280000	526.660000
1	599.340000	526.690000
1	599.250000	526.590000
1	599.240000	526.760000
1	599.290000	526.660000
1	599.400000	526.640000
1	599.270000	526.550000
1	599.220000	526.630000
2	599.240000	526.740000
2	599.240000	526.540000
2	599.410000	526.680000
2	599.290000	526.590000
2	599.170000	526.620000
2	599.310000	526.620000
2	599.210000	526.600000
2	599.250000	526.600000
2	599.150000	526.590000
2	599.280000	526.610000
2	599.210000	526.720000
2	599.290000	526.630000
3	599.200000	526.650000
3	599.280000	526.700000
3	599.160000	526.680000
3	599.170000	526.690000
3	599.190000	526.620000
3	599.280000	526.640000
3	599.190000	526.640000
3	599.330000	526.630000
3	599.140000	526.750000
3	599.180000	526.730000
3	599.170000	526.680000
3	599.330000	526.660000
4	599.240000	526.700000
4	599.220000	526.740000
4	599.260000	526.720000
4	599.050000	526.640000
4	599.270000	526.550000
4	599.270000	526.590000
4	599.270000	526.680000
4	599.180000	526.540000
4	599.240000	526.660000
4	599.330000	526.680000
4	599.150000	526.660000
4	599.240000	526.610000
5	599.220000	526.630000
5	599.250000	526.750000
5	599.220000	526.680000
5	599.270000	526.760000
5	599.220000	526.680000
5	599.090000	526.640000
5	599.180000	526.660000
5	599.040000	526.680000
5	599.190000	526.580000
5	599.240000	526.620000
5	599.120000	526.650000
5	599.270000	526.740000
6	599.090000	526.550000
6	599.180000	526.710000
6	599.180000	526.680000
6	599.220000	526.700000
6	599.210000	526.650000
6	599.260000	526.650000
6	599.250000	526.670000
6	599.280000	526.680000
6	599.300000	526.720000
6	599.170000	526.590000
6	599.280000	526.680000
6	599.270000	526.670000
6	599.220000	526.690000
7	599.330000	526.670000
7	599.300000	526.570000
7	599.240000	526.710000
7	599.210000	526.740000
7	599.190000	526.720000
7	599.350000	526.640000
7	599.050000	526.730000
7	599.220000	526.750000
7	599.190000	526.660000
7	599.110000	526.580000
7	599.210000	526.690000
7	599.220000	526.720000
7	599.140000	526.620000
8	599.110000	526.600000
8	599.310000	526.600000
8	599.150000	526.720000
8	599.080000	526.610000
8	599.170000	526.730000
8	599.220000	526.540000
8	599.300000	526.720000
8	599.320000	526.590000
8	599.150000	526.720000
8	599.400000	526.610000
8	599.160000	526.690000
8	599.290000	526.680000
8	599.240000	526.670000
9	599.190000	526.640000
9	599.300000	526.770000
9	599.370000	526.620000
9	599.150000	526.800000
9	599.050000	526.720000
9	599.200000	526.590000
9	599.050000	526.710000
9	599.130000	526.710000
9	599.180000	526.690000
9	599.270000	526.680000
9	599.340000	526.580000
9	599.210000	526.650000
9	599.190000	526.610000
10	599.340000	526.650000
10	599.100000	526.720000
10	599.250000	526.730000
10	599.280000	526.720000
10	599.160000	526.710000
10	599.220000	526.590000
10	599.180000	526.630000
10	599.230000	526.690000
10	599.250000	526.450000
10	599.190000	526.630000
10	599.140000	526.660000
11	599.250000	526.680000
11	599.210000	526.620000
11	599.410000	526.590000
11	599.240000	526.700000
11	599.190000	526.690000
11	599.220000	526.640000
11	599.320000	526.760000
11	599.240000	526.680000
11	599.250000	526.720000
11	599.260000	526.610000
11	599.210000	526.620000
11	599.310000	526.670000
12	599.180000	526.670000
12	599.370000	526.700000
12	599.240000	526.620000
12	599.370000	526.800000
12	599.160000	526.740000
12	599.110000	526.720000
12	599.210000	526.740000
12	599.380000	526.590000
12	599.270000	526.760000
12	599.180000	526.690000
12	599.170000	526.680000
12	599.090000	526.700000
13	599.250000	526.640000
13	599.190000	526.690000
13	599.190000	526.730000
13	599.160000	526.650000
13	599.060000	526.670000
13	599.050000	526.690000
13	599.190000	526.820000
13	599.360000	526.740000
13	599.210000	526.670000
13	599.190000	526.720000
13	599.300000	526.600000
13	599.230000	526.560000
13	599.250000	526.550000
13	599.210000	526.690000
14	599.360000	526.660000
14	599.190000	526.710000
14	599.160000	526.700000
14	599.320000	526.710000
14	599.260000	526.630000
14	599.280000	526.700000
14	599.230000	526.590000
14	599.270000	526.740000
14	599.290000	526.680000
14	599.160000	526.640000
15	599.180000	526.760000
15	599.130000	526.690000
15	599.230000	526.630000
15	599.210000	526.750000
15	599.250000	526.620000
15	599.210000	526.750000
15	599.410000	526.740000
15	599.210000	526.680000
15	599.130000	526.610000
15	599.300000	526.630000
15	599.180000	526.700000
15	599.210000	526.660000
15	599.260000	526.720000
16	599.180000	526.730000
16	599.290000	526.690000
16	599.250000	526.590000
16	599.250000	526.700000
16	599.270000	526.760000
16	599.180000	526.780000
16	599.270000	526.780000
16	599.120000	526.670000
16	599.280000	526.580000
16	599.050000	526.660000
16	599.310000	526.620000
16	599.230000	526.730000
16	599.300000	526.720000
17	599.300000	526.700000
17	599.280000	526.610000
17	599.260000	526.680000
17	599.270000	526.660000
17	599.160000	526.590000
17	599.240000	526.770000
17	599.180000	526.670000
17	599.200000	526.730000
17	599.120000	526.730000
17	599.190000	526.590000
17	599.230000	526.600000
18	599.270000	526.650000
18	599.220000	526.690000
18	599.170000	526.590000
18	599.140000	526.570000
18	599.410000	526.700000
18	599.050000	526.660000
18	599.220000	526.690000
18	599.300000	526.670000
18	599.190000	526.740000
18	599.310000	526.820000
18	599.220000	526.640000
18	599.240000	526.680000
19	599.250000	526.730000
19	599.150000	526.640000
19	599.210000	526.560000
19	599.250000	526.740000
19	599.270000	526.510000
19	599.300000	526.660000
19	599.260000	526.640000
19	599.300000	526.620000
19	599.260000	526.570000
19	599.260000	526.700000
19	599.160000	526.610000
19	599.160000	526.670000
19	599.150000	526.680000
20	599.260000	526.770000
20	599.030000	526.710000
20	599.170000	526.660000
20	599.130000	526.640000
20	599.180000	526.610000
20	599.230000	526.620000
20	599.220000	526.890000
20	599.190000	526.620000
20	599.300000	526.690000
20	599.310000	526.590000
20	599.240000	526.630000
20	599.150000	526.730000
21	599.370000	526.810000
21	599.250000	526.550000
21	599.260000	526.650000
21	599.340000	526.640000
21	599.320000	526.670000
21	599.270000	526.760000
21	599.110000	526.810000
