x	y
1	0.0333132
2	0.0333132
3	0.0333120
4	0.0333118
5	0.0333115
6	0.0333111
7	0.0333110
8	0.0333109
9	0.0333107
10	0.0333104
11	0.0333111
12	0.0333111
13	0.0333111
14	0.0333116
15	0.0333115
16	0.0333115
17	0.0333112
18	0.0333111
19	0.0333111
20	0.0333106
21	0.0333115
22	0.0333117
23	0.0333112
24	0.0333112
25	0.0333112
26	0.0333109
27	0.0333112
28	0.0333111
29	0.0333103
30	0.0333101
31	0.0333101
32	0.0333099
33	0.0333094
34	0.0333091
35	0.0333093
36	0.0333093
37	0.0333098
38	0.0333100
39	0.0333104
40	0.0333106
41	0.0333106
42	0.0333101
43	0.0333102
44	0.0333103
45	0.0333107
46	0.0333103
47	0.0333107
48	0.0333108
49	0.0333103
50	0.0333102
51	0.0333102
52	0.0333100
53	0.0333097
54	0.0333095
55	0.0333096
56	0.0333102
57	0.0333112
58	0.0333111
59	0.0333105
60	0.0333105
61	0.0333097
62	0.0333103
63	0.0333103
64	0.0333104
65	0.0333098
66	0.0333097
67	0.0333097
68	0.0333097
69	0.0333099
70	0.0333104
71	0.0333106
72	0.0333102
73	0.0333099
74	0.0333100
75	0.0333100
76	0.0333102
77	0.0333107
78	0.0333108
79	0.0333108
80	0.0333106
81	0.0333104
82	0.0333087
83	0.0333097
84	0.0333100
85	0.0333099
86	0.0333097
87	0.0333104
88	0.0333106
89	0.0333106
90	0.0333100
91	0.0333098
92	0.0333101
93	0.0333101
94	0.0333101
95	0.0333093
96	0.0333097
97	0.0333095
98	0.0333095
99	0.0333096
100	0.0333098
101	0.0333098
102	0.0333096
103	0.0333096
104	0.0333099
105	0.0333100
106	0.0333105
107	0.0333105
108	0.0333106
109	0.0333111
110	0.0333102
111	0.0333103
112	0.0333103
113	0.0333103
114	0.0333102
115	0.0333102
116	0.0333101
117	0.0333100
118	0.0333098
119	0.0333098
120	0.0333098
121	0.0333098
122	0.0333100
123	0.0333102
124	0.0333104
125	0.0333107
126	0.0333107
127	0.0333105
128	0.0333104
129	0.0333095
130	0.0333097
131	0.0333096
132	0.0333099
133	0.0333099
134	0.0333098
135	0.0333099
136	0.0333098
137	0.0333101
138	0.0333101
139	0.0333102
140	0.0333102
141	0.0333093
142	0.0333098
143	0.0333100
144	0.0333104
145	0.0333106
146	0.0333106
147	0.0333104
148	0.0333102
149	0.0333105
150	0.0333107
151	0.0333100
152	0.0333099
153	0.0333103
154	0.0333106
155	0.0333106
156	0.0333107
157	0.0333107
158	0.0333107
159	0.0333108
160	0.0333108
161	0.0333099
162	0.0333099
163	0.0333103
164	0.0333100
165	0.0333096
166	0.0333096
167	0.0333088
168	0.0333085
169	0.0333084
170	0.0333087
171	0.0333093
172	0.0333091
173	0.0333100
174	0.0333108
175	0.0333106
176	0.0333093
177	0.0333093
178	0.0333094
179	0.0333094
180	0.0333101
181	0.0333101
182	0.0333102
183	0.0333097
184	0.0333090
185	0.0333091
186	0.0333095
187	0.0333095
188	0.0333099
189	0.0333101
190	0.0333103
191	0.0333110
192	0.0333111
193	0.0333109
194	0.0333107
195	0.0333108
196	0.0333106
197	0.0333099
198	0.0333099
199	0.0333095
200	0.0333093
201	0.0333099
202	0.0333101
203	0.0333103
204	0.0333103
205	0.0333104
206	0.0333095
207	0.0333097
208	0.0333100
209	0.0333098
210	0.0333105
211	0.0333102
212	0.0333104
213	0.0333112
214	0.0333110
215	0.0333101
216	0.0333101
217	0.0333089
218	0.0333093
219	0.0333094
220	0.0333095
221	0.0333095
222	0.0333101
223	0.0333103
224	0.0333102
225	0.0333102
226	0.0333106
227	0.0333102
228	0.0333095
229	0.0333096
230	0.0333098
231	0.0333099
232	0.0333099
233	0.0333102
234	0.0333107
235	0.0333105
236	0.0333105
237	0.0333105
238	0.0333106
239	0.0333102
240	0.0333099
241	0.0333101
242	0.0333101
243	0.0333100
244	0.0333103
245	0.0333104
246	0.0333097
247	0.0333097
248	0.0333097
249	0.0333098
250	0.0333101
251	0.0333103
252	0.0333104
253	0.0333099
254	0.0333099
255	0.0333095
256	0.0333100
257	0.0333099
258	0.0333100
259	0.0333099
260	0.0333099
261	0.0333101
262	0.0333096
263	0.0333095
264	0.0333086
265	0.0333086
266	0.0333101
267	0.0333095
268	0.0333095
269	0.0333093
270	0.0333096
271	0.0333101
272	0.0333095
273	0.0333095
274	0.0333097
275	0.0333097
276	0.0333098
277	0.0333098
278	0.0333092
279	0.0333094
280	0.0333096
281	0.0333095
282	0.0333096
283	0.0333095
284	0.0333095
285	0.0333095
286	0.0333095
287	0.0333096
288	0.0333093
289	0.0333089
290	0.0333090
291	0.0333091
292	0.0333094
293	0.0333099
294	0.0333096
295	0.0333087
296	0.0333087
297	0.0333088
298	0.0333092
299	0.0333096
300	0.0333105
301	0.0333105
302	0.0333098
303	0.0333090
304	0.0333090
305	0.0333095
306	0.0333095
307	0.0333094
308	0.0333095
309	0.0333096
310	0.0333096
311	0.0333097
312	0.0333097
313	0.0333098
314	0.0333100
315	0.0333101
316	0.0333098
317	0.0333091
318	0.0333092
319	0.0333094
320	0.0333094
321	0.0333102
322	0.0333101
323	0.0333101
324	0.0333099
325	0.0333099
326	0.0333099
327	0.0333099
328	0.0333092
329	0.0333092
330	0.0333093
331	0.0333091
332	0.0333096
333	0.0333096
334	0.0333096
335	0.0333102
336	0.0333104
337	0.0333106
338	0.0333105
339	0.0333086
340	0.0333088
341	0.0333091
342	0.0333097
343	0.0333097
344	0.0333099
345	0.0333098
346	0.0333090
347	0.0333091
348	0.0333097
349	0.0333096
350	0.0333095
351	0.0333094
352	0.0333095
353	0.0333097
354	0.0333096
355	0.0333094
356	0.0333097
357	0.0333097
358	0.0333091
359	0.0333089
360	0.0333090
361	0.0333088
362	0.0333088
363	0.0333089
364	0.0333088
365	0.0333088
366	0.0333088
367	0.0333089
368	0.0333090
369	0.0333085
370	0.0333087
371	0.0333087
372	0.0333087
373	0.0333080
374	0.0333082
375	0.0333080
376	0.0333084
377	0.0333093
378	0.0333097
379	0.0333097
380	0.0333090
381	0.0333090
382	0.0333093
383	0.0333087
384	0.0333092
385	0.0333095
386	0.0333093
387	0.0333091
388	0.0333089
389	0.0333087
390	0.0333091
391	0.0333098
392	0.0333097
393	0.0333096
394	0.0333097
395	0.0333100
396	0.0333099
397	0.0333099
398	0.0333099
399	0.0333099
400	0.0333102
401	0.0333101
402	0.0333102
403	0.0333100
404	0.0333099
405	0.0333099
406	0.0333100
407	0.0333103
408	0.0333102
409	0.0333099
410	0.0333098
411	0.0333101
412	0.0333097
413	0.0333096
414	0.0333095
415	0.0333094
416	0.0333097
417	0.0333101
418	0.0333099
419	0.0333091
420	0.0333091
421	0.0333091
422	0.0333089
423	0.0333086
424	0.0333088
425	0.0333087
426	0.0333085
427	0.0333091
428	0.0333094
429	0.0333097
430	0.0333098
431	0.0333089
432	0.0333084
433	0.0333088
434	0.0333091
435	0.0333089
436	0.0333094
437	0.0333092
438	0.0333071
439	0.0333073
440	0.0333080
441	0.0333080
442	0.0333078
443	0.0333079
444	0.0333081
445	0.0333092
446	0.0333090
447	0.0333091
448	0.0333092
449	0.0333092
450	0.0333092
451	0.0333100
452	0.0333095
453	0.0333097
454	0.0333099
455	0.0333106
456	0.0333102
457	0.0333099
458	0.0333102
459	0.0333106
460	0.0333105
461	0.0333101
462	0.0333107
463	0.0333105
464	0.0333105
465	0.0333108
466	0.0333107
467	0.0333099
468	0.0333098
469	0.0333094
470	0.0333098
471	0.0333100
472	0.0333101
473	0.0333099
474	0.0333098
475	0.0333093
476	0.0333094
477	0.0333093
478	0.0333083
479	0.0333083
480	0.0333080
481	0.0333079
482	0.0333079
483	0.0333080
484	0.0333084
485	0.0333087
486	0.0333086
487	0.0333087
488	0.0333088
489	0.0333089
490	0.0333088
491	0.0333083
492	0.0333092
493	0.0333090
494	0.0333089
495	0.0333088
496	0.0333098
497	0.0333095
498	0.0333090
499	0.0333091
500	0.0333091
501	0.0333087
502	0.0333085
503	0.0333085
504	0.0333091
505	0.0333086
506	0.0333087
507	0.0333087
508	0.0333087
509	0.0333088
510	0.0333087
511	0.0333087
512	0.0333084
513	0.0333077
514	0.0333079
515	0.0333082
