x	y
1	32151.1371923
2	32151.1371923
3	32151.3720000
4	32151.6772500
5	32151.8807500
6	32152.3488000
7	32152.8982500
8	32152.8747692
9	32153.0143847
10	32152.9537500
11	32152.9167500
12	32153.2035000
13	32153.2035000
14	32153.2024311
15	32153.6783333
16	32153.7529500
17	32153.4852692
18	32153.5009231
19	32153.3866500
20	32153.2035000
21	32153.5232857
22	32153.8226408
23	32153.9884286
24	32154.1213486
25	32153.4383077
26	32153.5087500
27	32153.5087500
28	32153.3052500
29	32153.4070000
30	32152.6608333
31	32152.7456250
32	32152.8546429
33	32152.6438750
34	32152.8150000
35	32152.9630000
36	32152.9854643
37	32152.8982500
38	32152.9105129
39	32152.9414871
40	32154.1297671
41	32153.9666250
42	32153.6613750
43	32153.5392750
44	32153.3561250
45	32153.3946516
46	32153.5087500
47	32153.6261538
48	32153.7267857
49	32153.7536209
50	32153.7804560
51	32153.8140000
52	32153.6977143
53	32153.6281957
54	32153.5523571
55	32152.8982500
56	32152.8512885
57	32153.0872143
58	32153.2035000
59	32153.1598929
60	32153.2907143
61	32153.8140000
62	32155.0350000
63	32154.8654167
64	32154.9553696
65	32154.7297500
66	32154.5336169
67	32154.1133798
68	32154.2268568
69	32154.1936800
70	32154.1192500
71	32153.7122500
72	32153.8405435
73	32154.0853333
74	32154.0853333
75	32153.9666250
76	32154.0853333
77	32153.9884286
78	32153.6236950
79	32153.3627609
80	32153.5642500
81	32153.5698000
82	32153.7326000
83	32153.8609615
84	32153.8609615
85	32154.4522500
86	32154.4119721
87	32154.4855500
88	32153.8140000
89	32152.8982500
90	32152.9619672
91	32153.2035000
92	32153.2847357
93	32153.5087500
94	32153.2798125
95	32152.8372000
96	32153.0814000
97	32154.1192500
98	32154.5771250
99	32154.5041304
100	32154.5394702
101	32154.5262500
102	32154.3967500
103	32153.9998043
104	32153.8648750
105	32153.7996506
106	32153.7344263
107	32153.9157500
108	32154.0965291
109	32153.6919000
110	32153.6637231
111	32154.1521231
112	32154.2210000
113	32154.2549167
114	32154.0429375
115	32153.8903125
116	32153.9884286
117	32154.0670024
118	32154.3502334
119	32154.5888654
120	32154.7297500
121	32155.0350000
122	32155.0960500
123	32155.0010833
124	32154.9897778
125	32154.9784722
126	32155.0141945
127	32154.9867322
128	32154.8722000
129	32154.5117143
130	32154.4245000
131	32154.2718750
132	32153.8987212
133	32153.9835833
134	32153.9805000
135	32153.8547000
136	32153.7122500
137	32154.0756429
138	32153.9361000
139	32153.3866500
140	32153.2645500
141	32153.9666250
142	32155.6285417
143	32154.6201731
144	32153.8009551
145	32154.5059000
146	32155.1978000
147	32155.6048000
148	32155.4989800
149	32154.9979550
150	32155.0350000
151	32155.0960500
152	32155.2927667
153	32155.2290269
154	32154.7928582
155	32154.7695652
156	32154.2779800
157	32154.7297500
158	32154.7636667
159	32154.7975833
160	32154.7806250
161	32154.7297500
162	32154.7575000
163	32155.6886667
164	32155.4559348
165	32155.4165625
166	32155.6709375
167	32155.6455000
168	32155.0819615
169	32155.3872115
170	32155.3402500
171	32155.3402500
172	32155.4576538
173	32156.2560000
