Start Running : 0 sec
Injection Start : 29 sec
Injection Finished : 210 sec
Stabilization Start : 260 sec
Stabilization End : 680 sec
Injection Start : 708 sec
Injection Finished : 889 sec
Stabilization Start : 939 sec
Stabilization End : 1359 sec
Injection Start : 1387 sec
Injection Finished : 1568 sec
Stabilization Start : 1618 sec
Stabilization End : 2038 sec
Injection Start : 2066 sec
Injection Finished : 2247 sec
Stabilization Start : 2297 sec
Stabilization End : 2717 sec
Injection Start : 2745 sec
Injection Finished : 2926 sec
Stabilization Start : 2976 sec
Stabilization End : 3396 sec
Injection Start : 3424 sec
Injection Finished : 3605 sec
Stabilization Start : 3655 sec
Stabilization End : 4075 sec
Injection Start : 4103 sec
Injection Finished : 4283 sec
Stabilization Start : 4334 sec
Stabilization End : 4754 sec
Injection Start : 4782 sec
Injection Finished : 4962 sec
Stabilization Start : 5013 sec
Stabilization End : 5433 sec
Running Finished : 5433 sec
