x	y
1	3.2899060
2	3.2899060
3	3.2899082
4	3.2899845
5	3.2899961
6	3.2899692
7	3.2900508
8	3.2899833
9	3.2899918
10	3.2900221
11	3.2900103
12	3.2900317
13	3.2900409
14	3.2899932
15	3.2899972
16	3.2899986
17	3.2900174
18	3.2900531
19	3.2900889
20	3.2901065
21	3.2901241
22	3.2901667
23	3.2901328
24	3.2900746
25	3.2900727
26	3.2900761
27	3.2901066
28	3.2901489
29	3.2902025
30	3.2902226
31	3.2902134
32	3.2901880
33	3.2901938
34	3.2901921
35	3.2901371
36	3.2901529
37	3.2901353
38	3.2902217
39	3.2902772
40	3.2902191
41	3.2902287
42	3.2902327
43	3.2902836
44	3.2903190
45	3.2903044
46	3.2902344
47	3.2902374
48	3.2902260
49	3.2901824
50	3.2902099
51	3.2902374
52	3.2903093
53	3.2903072
54	3.2903203
55	3.2903661
56	3.2904404
57	3.2904002
58	3.2903867
59	3.2903867
60	3.2903874
61	3.2904007
62	3.2904002
63	3.2903824
64	3.2903736
65	3.2903699
66	3.2904118
67	3.2904186
68	3.2903661
69	3.2903569
70	3.2903475
71	3.2903699
72	3.2904386
73	3.2904315
74	3.2904385
75	3.2904322
76	3.2904602
77	3.2904646
78	3.2904639
79	3.2904632
80	3.2904733
81	3.2904729
82	3.2905111
83	3.2906202
84	3.2905378
85	3.2905997
86	3.2905584
87	3.2905369
88	3.2904911
89	3.2904867
90	3.2905034
91	3.2905950
92	3.2906391
93	3.2906375
94	3.2905901
95	3.2905645
96	3.2906443
97	3.2906560
98	3.2906391
99	3.2905721
100	3.2905700
101	3.2906200
102	3.2906408
103	3.2906255
104	3.2906598
105	3.2907356
106	3.2906269
107	3.2906295
108	3.2906224
109	3.2905745
110	3.2906044
111	3.2906650
112	3.2906656
113	3.2906688
114	3.2907520
115	3.2907559
116	3.2907597
117	3.2907883
118	3.2908121
119	3.2907596
120	3.2906744
121	3.2906913
122	3.2907171
123	3.2907239
124	3.2906611
125	3.2906561
126	3.2906279
127	3.2907027
128	3.2906696
129	3.2906606
130	3.2906531
131	3.2906498
132	3.2906502
133	3.2906502
134	3.2906995
135	3.2906586
136	3.2906701
137	3.2906769
138	3.2907010
139	3.2907171
140	3.2907215
141	3.2907218
142	3.2908537
143	3.2908087
144	3.2907796
145	3.2908019
146	3.2908141
147	3.2908165
148	3.2908333
149	3.2907415
150	3.2907252
151	3.2907198
152	3.2907543
153	3.2907566
154	3.2907590
155	3.2907747
156	3.2907680
157	3.2907532
158	3.2907598
159	3.2907673
160	3.2907638
161	3.2907985
162	3.2907888
163	3.2907738
164	3.2907579
165	3.2908468
166	3.2908454
167	3.2908481
168	3.2908311
169	3.2908066
170	3.2908206
171	3.2908247
172	3.2908646
173	3.2908884
174	3.2908833
175	3.2909130
176	3.2909002
177	3.2909002
178	3.2909491
179	3.2909502
180	3.2908134
181	3.2908218
182	3.2908305
183	3.2908697
184	3.2908596
185	3.2908636
186	3.2908669
187	3.2908551
188	3.2908530
189	3.2908811
190	3.2909092
191	3.2909351
192	3.2909438
193	3.2909264
194	3.2909503
195	3.2909513
196	3.2910572
197	3.2910623
198	3.2909918
199	3.2909978
200	3.2909969
201	3.2909426
202	3.2909491
203	3.2909766
204	3.2909857
205	3.2909831
206	3.2910612
207	3.2910807
208	3.2910834
209	3.2910781
210	3.2910656
211	3.2910865
212	3.2910791
213	3.2910538
214	3.2910600
215	3.2910529
216	3.2910231
217	3.2911038
218	3.2911591
219	3.2911017
220	3.2911012
221	3.2910130
222	3.2910020
223	3.2909582
224	3.2910376
225	3.2911182
226	3.2911628
227	3.2912866
228	3.2912971
229	3.2912719
230	3.2912102
231	3.2910529
232	3.2910753
233	3.2911444
234	3.2911750
235	3.2911750
236	3.2912665
237	3.2913093
238	3.2913154
239	3.2913123
240	3.2912835
241	3.2912360
242	3.2912304
243	3.2912055
244	3.2911765
245	3.2911673
246	3.2911689
247	3.2912374
248	3.2911968
249	3.2912089
250	3.2912129
251	3.2912006
252	3.2911919
253	3.2912006
254	3.2912914
255	3.2912910
256	3.2912869
257	3.2911750
258	3.2911797
259	3.2911673
260	3.2911716
261	3.2912208
262	3.2912533
263	3.2912527
264	3.2912522
265	3.2912759
266	3.2912757
267	3.2912830
268	3.2912610
269	3.2912342
270	3.2912437
271	3.2912767
272	3.2913276
273	3.2913195
274	3.2913662
275	3.2913337
276	3.2912404
277	3.2912446
278	3.2912225
279	3.2912208
280	3.2912329
281	3.2912333
282	3.2912427
283	3.2912157
284	3.2911964
285	3.2912055
286	3.2912259
287	3.2912971
288	3.2913494
289	3.2913417
290	3.2913398
291	3.2912028
292	3.2912258
293	3.2912259
294	3.2912525
295	3.2913602
296	3.2913581
297	3.2913248
298	3.2913450
299	3.2914179
300	3.2913734
301	3.2913605
302	3.2913276
303	3.2913119
304	3.2913086
305	3.2912997
306	3.2913429
307	3.2913392
308	3.2913213
309	3.2913247
310	3.2913247
311	3.2913160
312	3.2913082
313	3.2912853
314	3.2912742
315	3.2912444
316	3.2912241
317	3.2912273
318	3.2912404
319	3.2912551
320	3.2913429
321	3.2913233
322	3.2913223
323	3.2913825
324	3.2913813
325	3.2913878
326	3.2913848
327	3.2914192
328	3.2914115
329	3.2914166
330	3.2914217
331	3.2914165
332	3.2914192
333	3.2914229
334	3.2914188
335	3.2914192
336	3.2914294
337	3.2914497
338	3.2914528
339	3.2914560
340	3.2914090
341	3.2914035
342	3.2914459
343	3.2915413
344	3.2915074
345	3.2914641
346	3.2914403
347	3.2914192
348	3.2914258
349	3.2914239
350	3.2914350
351	3.2914985
352	3.2914904
353	3.2914382
354	3.2915031
355	3.2915565
356	3.2915605
357	3.2914904
358	3.2915735
359	3.2915718
360	3.2915687
361	3.2915718
362	3.2915989
363	3.2915500
364	3.2915108
365	3.2914589
366	3.2914809
367	3.2914567
368	3.2914635
369	3.2914708
370	3.2914027
371	3.2914497
372	3.2914442
373	3.2914463
374	3.2914693
375	3.2913734
376	3.2914800
377	3.2915413
378	3.2915679
379	3.2915718
380	3.2915414
381	3.2915020
382	3.2915108
383	3.2915535
384	3.2915515
385	3.2915209
386	3.2915794
387	3.2916067
388	3.2917336
389	3.2917304
390	3.2916459
391	3.2916067
392	3.2916125
393	3.2916440
394	3.2916023
395	3.2916069
396	3.2915953
397	3.2916166
398	3.2916133
399	3.2916892
400	3.2916786
401	3.2916305
402	3.2917456
403	3.2917550
404	3.2917533
405	3.2917461
406	3.2918247
407	3.2918150
408	3.2917784
409	3.2917768
410	3.2916634
411	3.2916537
412	3.2916742
413	3.2916780
414	3.2916634
415	3.2916634
416	3.2915342
417	3.2915474
418	3.2915565
419	3.2915718
420	3.2916250
421	3.2916199
422	3.2915892
423	3.2916481
424	3.2916583
425	3.2916685
426	3.2916615
427	3.2916988
428	3.2916847
429	3.2917163
430	3.2918160
431	3.2917916
432	3.2917996
433	3.2918262
434	3.2918160
435	3.2918206
436	3.2917977
437	3.2917575
438	3.2917061
439	3.2916141
440	3.2916334
441	3.2916440
442	3.2916624
443	3.2916678
444	3.2916731
445	3.2917550
446	3.2918112
447	3.2918301
448	3.2918313
449	3.2918364
450	3.2918058
451	3.2918058
452	3.2919097
453	3.2919294
454	3.2919686
455	3.2919393
456	3.2919437
457	3.2919432
458	3.2919353
459	3.2919434
460	3.2919215
461	3.2919185
462	3.2919137
463	3.2917909
464	3.2918771
465	3.2918648
466	3.2918067
467	3.2918364
468	3.2918334
469	3.2918587
470	3.2918575
471	3.2917586
472	3.2917598
473	3.2918499
474	3.2919026
475	3.2918771
476	3.2918888
477	3.2919025
478	3.2918771
479	3.2918771
480	3.2918817
481	3.2918847
482	3.2919008
483	3.2919698
484	3.2920387
485	3.2919436
486	3.2919625
487	3.2919646
488	3.2919992
489	3.2922496
490	3.2923593
491	3.2923722
492	3.2925465
493	3.2929017
494	3.2932436
495	3.2936412
496	3.2938917
497	3.2943191
498	3.2951738
499	3.2953874
500	3.2965657
501	3.2974937
502	3.2985010
503	3.2998899
504	3.3012177
505	3.3028050
506	3.3043923
507	3.3062963
508	3.3081831
509	3.3097342
510	3.3123288
511	3.3148929
512	3.3174570
513	3.3206011
514	3.3237452
515	3.3268892
516	3.3298502
517	3.3334063
518	3.3368099
519	3.3406560
520	3.3445937
521	3.3485315
522	3.3529576
523	3.3573837
524	3.3609246
525	3.3656865
526	3.3702653
527	3.3747524
528	3.3798654
529	3.3843754
530	3.3888855
531	3.3935253
532	3.3987532
533	3.4032323
534	3.4079636
535	3.4125424
536	3.4172738
537	3.4223714
538	3.4274691
539	3.4310100
540	3.4350088
541	3.4390076
542	3.4439526
543	3.4485924
544	3.4532322
545	3.4575668
546	3.4608024
547	3.4646486
548	3.4685558
549	3.4724629
550	3.4765838
551	3.4807047
552	3.4841846
553	3.4877865
554	3.4913885
555	3.4946241
556	3.4983176
557	3.5020111
558	3.5062236
559	3.5096729
