x	y
1	538.8871429
2	538.8871429
3	538.8875000
4	538.9000000
5	538.9019048
6	538.8975000
7	538.9108680
8	538.8997953
9	538.9012000
10	538.9061538
11	538.9042308
12	538.9077273
13	538.9092424
14	538.9014286
15	538.9020833
16	538.9023032
17	538.9053846
18	538.9112393
19	538.9170940
20	538.9199837
21	538.9228734
22	538.9298467
23	538.9242857
24	538.9147619
25	538.9144444
26	538.9150000
27	538.9200000
28	538.9269231
29	538.9357143
30	538.9390000
31	538.9375000
32	538.9333333
33	538.9342857
34	538.9340000
35	538.9250000
36	538.9275846
37	538.9247059
38	538.9388462
39	538.9479487
40	538.9384211
41	538.9400000
42	538.9406477
43	538.9490000
44	538.9547949
45	538.9524000
46	538.9409333
47	538.9414286
48	538.9395652
49	538.9324158
50	538.9369164
51	538.9414170
52	538.9531996
53	538.9528571
54	538.9550000
55	538.9625000
56	538.9746795
57	538.9680952
58	538.9658824
59	538.9658824
60	538.9660000
61	538.9681818
62	538.9680952
63	538.9651802
64	538.9637414
65	538.9631250
66	538.9700000
67	538.9711111
68	538.9625000
69	538.9609951
70	538.9594516
71	538.9631250
72	538.9743750
73	538.9732132
74	538.9743575
75	538.9733333
76	538.9779167
77	538.9786364
78	538.9785198
79	538.9784033
80	538.9800583
81	538.9800000
82	538.9862500
83	539.0041346
84	538.9906250
85	539.0007692
86	538.9940111
87	538.9904762
88	538.9829792
89	538.9822631
90	538.9850000
91	539.0000000
92	539.0072222
93	539.0069551
94	538.9991987
95	538.9950063
96	539.0080706
97	539.0100000
98	539.0072222
99	538.9962500
100	538.9959091
101	539.0040909
102	539.0075000
103	539.0050000
104	539.0106133
105	539.0230249
106	539.0052174
107	539.0056522
108	539.0044934
109	538.9966493
110	539.0015385
111	539.0114652
112	539.0115618
113	539.0120848
114	539.0257143
115	539.0263492
116	539.0269841
117	539.0316667
118	539.0355556
119	539.0269565
120	539.0130000
121	539.0157692
122	539.0200000
123	539.0211111
124	539.0108333
125	539.0100000
126	539.0053846
127	539.0176471
128	539.0122202
129	539.0107401
130	539.0095238
131	539.0089715
132	539.0090385
133	539.0090385
134	539.0171154
135	539.0104167
136	539.0123077
137	539.0134096
138	539.0173597
139	539.0200000
140	539.0207143
141	539.0207692
142	539.0423810
143	539.0350000
144	539.0302381
145	539.0338889
146	539.0358824
147	539.0362821
148	539.0390385
149	539.0240000
