Seconds	Ch1	Ch2
1	538.980000	533.230000
1	538.860000	533.080000
1	538.760000	533.290000
1	538.940000	533.160000
1	538.790000	533.260000
1	538.880000	533.210000
1	538.860000	533.080000
1	538.790000	533.170000
1	539.010000	533.140000
1	538.910000	533.100000
1	538.890000	533.130000
1	539.020000	533.290000
1	538.760000	533.220000
1	538.970000	533.060000
2	538.850000	533.080000
2	538.890000	533.180000
2	538.940000	533.100000
2	538.780000	533.170000
2	538.930000	533.140000
2	538.870000	533.140000
2	538.850000	533.220000
2	538.870000	533.210000
2	538.790000	533.090000
2	538.860000	533.050000
2	538.870000	533.160000
2	538.810000	533.240000
3	538.860000	533.190000
3	538.910000	533.110000
3	538.840000	533.060000
3	539.010000	533.010000
3	538.960000	533.130000
3	538.860000	533.090000
3	538.980000	533.080000
3	538.910000	533.200000
3	538.950000	533.190000
3	538.940000	533.150000
3	538.890000	533.180000
3	538.890000	533.020000
3	539.000000	533.220000
3	538.840000	533.270000
4	538.960000	533.140000
4	538.920000	532.980000
4	538.900000	533.220000
4	538.810000	533.160000
4	538.950000	533.110000
4	538.970000	533.180000
4	538.940000	533.130000
4	538.820000	533.060000
4	538.930000	533.130000
4	538.880000	533.160000
4	538.980000	533.270000
4	539.010000	533.240000
5	538.830000	533.150000
5	538.880000	533.150000
5	538.850000	533.220000
5	538.990000	533.300000
5	538.760000	533.160000
5	538.940000	533.090000
5	538.710000	533.150000
5	539.000000	533.120000
5	538.930000	533.170000
5	538.870000	533.020000
5	538.990000	533.120000
5	538.820000	533.130000
5	539.020000	533.140000
6	538.880000	533.140000
6	538.940000	533.160000
6	538.830000	533.140000
6	538.830000	533.200000
6	538.810000	533.200000
6	538.860000	533.230000
6	538.860000	533.040000
6	538.930000	533.110000
6	538.810000	533.020000
6	538.940000	533.240000
6	538.860000	533.160000
6	538.770000	533.180000
6	538.850000	533.190000
7	538.990000	533.080000
7	538.900000	533.040000
7	539.010000	533.120000
7	538.850000	533.100000
7	538.830000	533.090000
7	538.940000	533.210000
7	538.910000	533.070000
7	538.940000	533.130000
7	538.860000	533.200000
7	539.000000	533.160000
7	538.990000	533.230000
7	539.010000	533.090000
7	538.910000	533.110000
8	538.880000	533.070000
8	538.980000	533.060000
8	538.930000	533.270000
8	539.050000	533.190000
8	538.830000	533.120000
8	538.860000	533.000000
8	538.890000	533.180000
8	538.810000	533.210000
8	538.980000	533.080000
8	538.830000	533.050000
8	538.800000	533.190000
8	538.950000	533.080000
8	538.760000	533.110000
9	538.980000	533.160000
9	538.830000	533.210000
9	538.940000	533.130000
9	538.810000	533.120000
9	538.990000	533.070000
9	538.870000	533.060000
9	538.990000	533.090000
9	538.770000	533.070000
9	538.920000	533.040000
9	539.000000	533.110000
9	539.010000	533.180000
9	538.870000	533.110000
10	539.000000	533.090000
10	538.980000	533.180000
10	539.030000	533.130000
10	538.870000	533.160000
10	538.720000	533.190000
10	538.830000	533.240000
10	538.790000	533.090000
10	539.040000	533.140000
10	538.910000	533.060000
10	538.950000	533.150000
10	538.820000	533.130000
10	538.910000	533.090000
10	538.970000	533.060000
11	538.880000	533.120000
11	539.030000	533.260000
11	538.930000	533.140000
11	538.810000	533.180000
11	538.770000	533.210000
11	538.990000	533.170000
11	539.000000	533.010000
11	538.870000	533.080000
11	538.860000	533.050000
11	538.800000	533.100000
11	538.870000	533.210000
11	538.900000	533.100000
11	538.980000	533.150000
12	538.970000	532.920000
12	538.750000	533.220000
12	539.080000	533.220000
12	538.930000	533.220000
12	538.990000	533.160000
12	538.770000	533.210000
12	539.020000	533.210000
12	538.820000	533.160000
12	539.010000	533.140000
12	538.830000	533.110000
12	539.020000	533.120000
12	538.910000	533.080000
12	538.960000	533.180000
13	538.970000	533.200000
13	538.940000	533.240000
13	538.960000	533.030000
13	538.900000	533.100000
13	538.930000	533.150000
13	538.990000	533.070000
13	538.840000	533.030000
13	538.860000	533.070000
13	538.870000	533.150000
13	538.850000	533.150000
13	538.790000	533.150000
13	539.020000	533.110000
14	538.970000	533.180000
14	538.790000	533.190000
14	538.830000	533.110000
14	538.790000	533.210000
14	538.890000	533.120000
14	539.020000	533.070000
14	539.060000	533.240000
14	538.920000	533.180000
14	538.850000	533.080000
14	538.830000	533.200000
14	538.760000	533.140000
14	538.930000	533.090000
14	539.040000	533.150000
14	538.820000	533.150000
15	538.960000	533.190000
15	538.840000	533.110000
15	538.900000	533.260000
15	538.820000	533.060000
15	538.960000	532.960000
15	538.970000	533.260000
15	538.990000	533.170000
15	538.850000	533.080000
15	538.970000	533.070000
15	538.880000	533.240000
15	538.980000	533.060000
15	538.850000	533.070000
16	538.880000	533.160000
16	538.920000	533.180000
16	538.800000	533.190000
16	538.910000	533.160000
16	538.970000	533.100000
16	538.910000	533.070000
16	538.980000	533.080000
16	538.770000	533.120000
16	538.920000	533.200000
16	538.810000	533.060000
16	538.990000	533.200000
16	538.830000	533.040000
16	538.970000	533.190000
17	538.910000	533.150000
17	538.830000	533.110000
17	538.920000	533.140000
17	538.990000	533.150000
17	538.940000	533.170000
17	538.910000	533.170000
17	539.030000	533.100000
17	538.900000	533.160000
17	538.910000	533.220000
17	538.960000	533.130000
17	538.990000	533.160000
17	538.770000	533.210000
18	538.780000	533.050000
18	538.940000	533.000000
18	538.880000	532.980000
18	538.790000	533.080000
18	538.900000	533.220000
18	538.960000	533.090000
18	539.070000	533.150000
18	538.940000	533.250000
18	539.020000	533.250000
18	538.920000	533.210000
18	538.930000	533.140000
18	538.840000	533.080000
19	538.910000	533.070000
19	538.920000	533.150000
19	538.850000	533.140000
19	538.860000	533.120000
19	538.990000	533.240000
