x	y
1	32550.2029286
2	32550.2029286
3	32548.9296000
4	32549.0297428
5	32548.7943681
6	32548.7820625
7	32548.3635000
8	32548.0274167
9	32547.8917500
10	32547.7508654
11	32547.7391250
12	32547.7609286
13	32547.4936221
14	32547.7009687
15	32547.6147528
16	32547.5504960
17	32547.5865000
18	32547.5865000
19	32547.6882500
20	32548.1970000
21	32548.1206875
22	32548.0342000
23	32547.7900592
24	32547.5865000
25	32547.5865000
26	32547.6385384
27	32547.2526924
28	32547.2202000
29	32546.7046667
30	32546.6562143
31	32546.5399286
32	32546.6707500
33	32547.1638462
34	32546.9533889
35	32546.8726468
36	32546.8783340
37	32546.6040506
38	32546.4765000
39	32546.3685833
40	32547.0813839
41	32547.2812500
42	32547.2812500
43	32547.1887500
44	32547.0962500
45	32546.7191417
46	32546.5904211
47	32545.2194737
48	32545.3625357
49	32545.3051579
50	32545.0224000
51	32544.0456000
52	32544.1177500
53	32544.6748846
54	32544.7714167
55	32544.9070833
56	32544.9537188
57	32544.8525217
58	32544.8175586
59	32544.6168634
60	32544.6667174
61	32544.9155625
62	32544.8758800
63	32545.0697885
64	32545.0323819
65	32544.9949753
66	32545.0936250
67	32545.1105833
68	32545.1167500
69	32545.5792500
70	32545.2403124
71	32544.2973029
72	32544.0481010
73	32543.8711106
74	32543.6941202
75	32544.0328992
76	32544.9410000
77	32545.0766667
78	32545.0740577
79	32544.9331731
80	32544.9003000
81	32544.8646875
82	32544.8392500
83	32544.2913654
84	32543.8594039
85	32544.5340000
86	32544.4526000
87	32544.4674712
88	32544.6996699
89	32544.9318686
90	32544.8758800
91	32544.8671138
92	32544.8583477
93	32544.8392500
94	32544.6983654
95	32544.2991923
96	32542.7964231
97	32542.8433846
98	32542.9686154
99	32542.9800000
100	32542.9467000
101	32542.3557462
102	32542.0920000
103	32539.9317692
104	32539.8691538
105	32539.8244286
106	32539.8209400
107	32540.5458029
108	32540.4013846
109	32540.3869808
110	32540.3160000
111	32539.7827174
112	32538.9038333
113	32539.5368654
114	32539.9756000
115	32540.2050000
116	32540.3961667
117	32540.5657500
118	32540.3622500
119	32540.0796504
120	32540.1217500
121	32540.1078750
122	32540.1994500
123	32540.9727500
124	32540.8710000
125	32540.7913696
126	32540.0626304
127	32537.6045435
