x	y
1	3585.2786538
2	3585.2786538
3	3584.7345941
4	3584.6284500
5	3584.4826589
6	3583.9020937
7	3583.8385000
8	3583.8131448
9	3584.0080833
10	3584.4605625
11	3583.6213029
12	3583.6943013
13	3583.2475673
14	3582.9634500
15	3583.2501196
16	3583.7106296
17	3583.5845883
18	3582.0916455
19	3583.0644808
20	3583.1771250
21	3583.1104375
22	3583.7807869
23	3583.1559534
24	3581.9149625
25	3581.3325852
26	3581.3991976
27	3580.4930287
28	3580.9662429
29	3582.9019527
30	3583.1521615
31	3583.2027205
32	3583.0934515
33	3582.0171750
34	3582.0477181
35	3582.0639231
36	3582.0639231
37	3582.0852692
38	3582.5431442
39	3582.5015231
40	3582.4998916
41	3582.4991178
42	3583.2207321
43	3583.8861264
44	3583.6665751
45	3583.1599058
46	3582.7916490
47	3582.5736692
48	3582.2914916
49	3582.1596250
50	3582.2333569
51	3582.1635385
52	3582.5023103
53	3582.2783333
54	3581.5244143
55	3581.5505603
56	3581.3714194
57	3581.3111005
58	3580.8368750
59	3581.7760681
60	3582.8646071
61	3582.8464375
62	3582.5467174
63	3581.7891758
64	3581.8335554
65	3581.1636490
66	3580.5764847
67	3580.6999038
68	3580.6852534
69	3580.7440995
70	3580.3111667
71	3580.0592143
72	3580.6868590
73	3581.4837143
74	3581.5200536
75	3581.3920275
76	3580.6987857
77	3580.8333716
78	3580.5941391
79	3580.8983385
80	3581.6814000
81	3581.2086538
82	3580.8405000
83	3581.5174615
84	3581.2399615
85	3581.6417436
86	3581.7489022
87	3580.8233195
88	3580.9679167
89	3581.5477415
90	3581.5725662
91	3581.8061738
92	3581.6925316
93	3581.3580376
94	3580.4979929
95	3581.0909587
96	3580.5710545
97	3580.1247233
98	3580.4952857
99	3580.4384422
100	3579.8193750
101	3579.5141250
102	3579.4378125
103	3579.3530208
104	3580.9386250
105	3581.4330256
106	3581.8712147
107	3581.7836786
108	3581.8035000
109	3581.8780673
110	3581.8831304
111	3581.9779286
112	3581.6581429
113	3581.3117083
114	3580.9219533
115	3580.6406429
116	3580.3644643
117	3580.1117665
118	3580.8435109
119	3581.3082149
120	3581.1986057
121	3580.6375529
122	3580.0691605
123	3579.1945490
124	3579.2632891
125	3579.3396964
126	3578.6831667
127	3580.4483080
128	3580.3765153
129	3578.4915934
130	3578.4610311
131	3578.9993269
132	3579.8045038
133	3579.7280609
134	3579.2269515
135	3578.5523452
136	3576.7974000
137	3576.6846923
138	3576.8431875
139	3577.3939183
140	3577.6274808
141	3577.8216833
142	3579.8719893
143	3579.6813496
144	3579.6057000
145	3579.1040283
146	3578.8223571
147	3579.5737756
148	3579.9764423
149	3579.3625805
150	3579.5352577
151	3579.8577269
152	3580.8963525
153	3581.3445791
154	3580.7882120
155	3578.8527500
156	3578.9646750
157	3579.0058690
158	3579.1332921
159	3579.5650000
160	3578.6696000
161	3578.6132805
162	3579.0835385
163	3578.9363304
164	3578.6816250
165	3579.2132357
166	3580.4164347
167	3580.1385000
168	3579.4730337
169	3578.9487188
170	3578.5765714
171	3577.5393375
172	3577.6192241
173	3577.3797967
174	3577.6178002
175	3577.6892609
176	3578.0269132
177	3578.3226662
178	3578.4308118
179	3578.5408154
180	3577.5300000
181	3577.4181868
182	3578.0724348
183	3578.2168125
184	3579.3877761
185	3579.7903036
186	3578.2894911
187	3578.5200126
188	3579.0609462
189	3578.6044800
190	3574.9420370
191	3575.5764000
192	3576.7920656
193	3577.3507262
194	3577.1893425
195	3577.2271105
196	3578.6159856
197	3578.1405000
198	3578.0580000
199	3576.9195000
200	3576.5532000
201	3576.4915154
202	3576.4997813
203	3578.1902909
204	3577.5772630
205	3577.2501875
206	3576.2157292
207	3576.1627534
208	3576.0715833
209	3574.9523333
210	3575.2478565
211	3575.9724787
212	3577.0212500
213	3576.5274253
214	3575.2528177
215	3574.4910667
216	3574.7871103
217	3576.7038128
218	3577.0850209
219	3575.1131915
220	3574.8916154
221	3575.2321458
222	3575.2102756
223	3575.2327008
224	3575.5572397
225	3575.2783299
226	3574.4775000
227	3574.0565963
228	3574.9523333
229	3575.6985000
230	3575.8645132
231	3576.2083681
232	3576.3504878
233	3576.7413064
234	3577.1811429
235	3576.9612436
236	3576.9232945
237	3575.4711275
238	3575.0334038
239	3574.9135714
240	3574.8263571
241	3574.0859505
242	3574.5518217
243	3574.7871739
244	3576.0130000
245	3576.0383189
246	3575.7376346
247	3575.2711500
248	3575.9023913
249	3575.9433709
250	3575.6659400
251	3574.7592692
252	3575.2091310
253	3576.2479500
254	3576.3360346
255	3576.6576577
256	3574.4220000
257	3574.9672849
258	3574.9471975
259	3574.1958442
260	3576.0560786
261	3576.0691607
262	3576.0085952
263	3575.2711500
264	3575.0133833
265	3577.2035055
266	3578.5963352
267	3578.7379450
268	3577.0670934
269	3575.9548317
270	3575.9852500
271	3575.6529969
272	3575.3254167
273	3574.1999548
274	3574.4670641
275	3574.3147000
276	3573.2330192
277	3573.1851818
278	3572.8293425
279	3572.9599714
280	3573.0784375
281	3573.1058317
282	3574.2229059
283	3574.3945734
284	3575.2487749
285	3575.5619907
286	3575.7886636
287	3574.9184399
288	3574.9643250
289	3575.0473000
290	3575.0550371
291	3575.1727917
292	3574.8234065
293	3572.5245444
294	3572.4206964
295	3572.4532105
296	3574.0414286
297	3575.3697692
298	3574.4178461
299	3573.9762244
300	3574.3068634
301	3574.7052262
302	3573.9314020
303	3573.6228000
304	3573.4045407
305	3573.5750217
306	3574.0078846
307	3575.6045769
308	3575.1810286
309	3574.8336250
310	3574.4775000
311	3574.8189231
312	3574.5528214
313	3573.9954537
314	3574.1859471
315	3574.3147494
316	3574.7041250
317	3575.0417500
318	3574.7865320
319	3574.6891400
320	3574.1071300
321	3573.7555595
322	3573.9664666
323	3574.7653071
324	3574.5846465
325	3574.0313654
326	3574.3141365
327	3574.3057884
328	3574.4030436
329	3574.3630312
330	3573.5406410
331	3574.1282137
332	3573.8345389
333	3573.6876647
334	3574.0705000
335	3573.4410404
336	3573.4600000
337	3574.9409070
338	3575.3629833
339	3575.5041204
340	3575.2922555
341	3575.6221875
342	3574.7827500
343	3573.9203127
344	3574.5538125
345	3574.9777708
346	3574.5714231
347	3572.5416410
348	3573.0441522
349	3573.9106071
350	3573.5568067
351	3572.8422321
352	3572.8436869
353	3572.9568000
354	3573.3989500
355	3573.4322500
356	3573.1447523
357	3573.1639242
358	3573.5108750
359	3573.1743173
360	3573.3492808
361	3573.4510549
362	3573.3626739
363	3572.6531513
364	3571.9842207
365	3572.2696315
366	3572.5636472
367	3572.6288444
368	3572.6611677
369	3572.6829227
370	3573.5130870
371	3574.2379576
372	3574.1356200
373	3573.5670938
374	3572.8110802
375	3572.9258125
376	3573.1474821
377	3573.7952532
378	3574.0944113
379	3574.3248750
380	3573.3969086
381	3573.1692857
382	3572.9218990
383	3571.3987556
384	3570.5328442
385	3571.5597970
386	3571.7387115
387	3571.1925722
388	3572.0178894
389	3572.8602779
390	3572.7186786
391	3572.5994857
392	3572.4531918
393	3573.0155132
394	3573.7383836
395	3573.5617500
396	3573.1595952
397	3573.5072411
398	3574.7427768
399	3575.2054970
400	3574.2769071
401	3572.0355000
402	3571.9409552
403	3571.3726714
404	3571.5249154
405	3570.7890625
406	3571.1960625
407	3572.6068733
408	3572.1972299
409	3571.7369053
410	3571.8624365
411	3571.8320000
412	3570.6121911
413	3570.5022218
414	3570.0535491
415	3571.0281750
416	3572.3870823
417	3571.6496716
418	3571.3924392
419	3571.6751820
420	3571.6653376
421	3571.2011500
422	3571.5945833
423	3571.4066640
424	3571.1281737
425	3571.2965507
426	3571.6459663
427	3571.9691484
428	3573.9370748
429	3573.8938352
430	3573.5472143
431	3573.1418294
432	3572.3061873
433	3572.5578989
434	3572.0100625
435	3570.9310500
436	3570.8172394
437	3570.6181976
438	3570.5543739
439	3570.5470915
440	3572.7222728
441	3572.7378359
442	3575.0116875
443	3575.0286458
444	3574.9777708
445	3574.0365833
446	3572.8042778
447	3573.3114127
448	3576.3990102
449	3576.5537656
450	3576.9944737
451	3577.8055729
452	3577.6059421
453	3578.5911071
454	3578.0800438
455	3577.3969423
456	3578.4003772
457	3577.8952903
458	3577.9227740
459	3577.5785056
460	3577.4830385
461	3576.8647115
462	3576.3497000
463	3575.9451667
464	3576.0900833
465	3576.3693791
466	3576.8508708
467	3577.9261690
468	3578.1722143
469	3577.5855000
470	3576.2435893
471	3575.9346368
472	3575.5835357
473	3575.5696167
474	3576.6198000
475	3578.4755865
476	3578.6294286
477	3578.3182321
478	3577.7307609
479	3577.3875500
480	3576.9161083
481	3576.8640000
482	3576.7403315
483	3576.4075723
484	3576.5907692
485	3576.8953846
486	3576.7981827
487	3576.4619423
488	3574.9523333
489	3575.4024381
490	3575.8894089
491	3575.6730625
492	3576.0648000
493	3576.0971412
494	3576.0546250
495	3576.3414579
496	3576.0784615
497	3575.6894872
498	3575.6892500
499	3575.7694167
500	3575.9860543
