x	y
1	-0.3677260
2	-0.3677260
3	-0.3678051
4	-0.3677825
5	-0.3678061
6	-0.3676912
7	-0.3677013
8	-0.3677204
9	-0.3677164
10	-0.3675497
11	-0.3674825
12	-0.3677371
13	-0.3676717
14	-0.3677695
15	-0.3677554
16	-0.3676242
17	-0.3675506
18	-0.3675414
19	-0.3675549
20	-0.3675444
21	-0.3675642
22	-0.3676974
23	-0.3677142
24	-0.3677115
25	-0.3677354
26	-0.3677862
27	-0.3677735
28	-0.3677212
29	-0.3675907
30	-0.3675326
31	-0.3675310
32	-0.3675424
33	-0.3675356
34	-0.3675757
35	-0.3676184
36	-0.3675703
37	-0.3674854
38	-0.3675902
39	-0.3675933
40	-0.3675897
41	-0.3675891
42	-0.3676260
43	-0.3677080
44	-0.3677164
45	-0.3677172
46	-0.3677158
47	-0.3677780
48	-0.3678125
49	-0.3678256
50	-0.3678529
51	-0.3678292
52	-0.3677584
53	-0.3677475
54	-0.3676782
55	-0.3676321
56	-0.3676563
57	-0.3676248
58	-0.3675490
59	-0.3676024
60	-0.3675997
61	-0.3675724
62	-0.3674072
63	-0.3672747
64	-0.3672768
65	-0.3673056
66	-0.3672765
67	-0.3672689
68	-0.3674675
69	-0.3676957
70	-0.3677126
71	-0.3676431
72	-0.3675868
73	-0.3675922
74	-0.3676208
75	-0.3676425
76	-0.3676386
77	-0.3675100
78	-0.3675086
79	-0.3675390
80	-0.3675245
81	-0.3676189
82	-0.3676102
83	-0.3676577
84	-0.3676533
85	-0.3674508
86	-0.3674673
87	-0.3675952
88	-0.3676333
89	-0.3675715
90	-0.3674953
91	-0.3674792
92	-0.3675766
93	-0.3675521
94	-0.3675755
95	-0.3675657
96	-0.3675871
97	-0.3677255
98	-0.3676824
99	-0.3676889
100	-0.3675318
101	-0.3673972
102	-0.3673888
103	-0.3673813
104	-0.3673574
105	-0.3674043
106	-0.3674439
107	-0.3675542
108	-0.3676979
109	-0.3677045
110	-0.3676855
111	-0.3676030
112	-0.3675820
113	-0.3675675
114	-0.3676377
115	-0.3676182
116	-0.3676049
117	-0.3675943
118	-0.3675811
119	-0.3675518
120	-0.3675122
121	-0.3676364
122	-0.3675964
123	-0.3674781
124	-0.3674761
125	-0.3675162
126	-0.3675088
127	-0.3675814
128	-0.3675104
129	-0.3675078
130	-0.3674743
131	-0.3674777
132	-0.3675532
133	-0.3675337
134	-0.3673960
135	-0.3673669
136	-0.3674116
137	-0.3675042
138	-0.3675022
139	-0.3674458
140	-0.3674175
141	-0.3675016
142	-0.3675129
143	-0.3674636
144	-0.3674905
145	-0.3673928
146	-0.3674342
147	-0.3674810
148	-0.3675134
149	-0.3675805
150	-0.3675490
151	-0.3676030
152	-0.3675420
153	-0.3676153
154	-0.3676065
155	-0.3675905
156	-0.3675220
157	-0.3674864
158	-0.3674905
159	-0.3675602
160	-0.3676431
161	-0.3675142
162	-0.3674551
163	-0.3674492
164	-0.3674157
165	-0.3674661
166	-0.3674319
167	-0.3674179
168	-0.3675251
169	-0.3675454
170	-0.3675250
171	-0.3674701
172	-0.3673895
173	-0.3674738
174	-0.3675594
175	-0.3675218
176	-0.3675254
177	-0.3675271
178	-0.3675057
179	-0.3673349
180	-0.3673531
181	-0.3674416
182	-0.3674811
183	-0.3675247
184	-0.3674788
185	-0.3674729
186	-0.3674752
187	-0.3674991
188	-0.3674076
189	-0.3673879
190	-0.3673752
191	-0.3673409
192	-0.3672575
193	-0.3673211
194	-0.3673566
195	-0.3674464
196	-0.3675000
197	-0.3675001
198	-0.3674954
199	-0.3675471
200	-0.3674739
201	-0.3674098
202	-0.3674167
203	-0.3674209
204	-0.3674012
205	-0.3672660
206	-0.3674817
207	-0.3676239
208	-0.3676024
209	-0.3676443
210	-0.3676485
211	-0.3675964
