x	y
1	60.2335714
2	60.2335714
3	60.2465278
4	60.2428409
5	60.2466970
6	60.2278718
7	60.2295385
8	60.2326573
9	60.2320000
10	60.2047051
11	60.1936880
12	60.2354037
13	60.2246795
14	60.2407017
15	60.2384000
16	60.2169026
17	60.2048462
18	60.2033333
19	60.2055556
20	60.2038258
21	60.2070833
22	60.2288889
23	60.2316484
24	60.2312000
25	60.2351154
26	60.2434348
27	60.2413515
28	60.2327877
29	60.2114225
30	60.2018926
31	60.2016355
32	60.2035119
33	60.2023993
34	60.2089583
35	60.2159615
36	60.2080769
37	60.1941657
38	60.2113292
39	60.2118385
40	60.2112500
41	60.2111538
42	60.2172000
43	60.2306331
44	60.2320000
45	60.2321429
46	60.2319048
47	60.2421005
48	60.2477495
49	60.2498864
50	60.2543720
51	60.2504891
52	60.2388791
53	60.2370955
54	60.2257458
55	60.2181989
56	60.2221556
57	60.2170000
58	60.2045874
59	60.2133333
60	60.2128960
61	60.2084188
62	60.1813636
63	60.1596591
64	60.1600000
65	60.1647141
66	60.1599565
67	60.1586984
68	60.1912363
69	60.2286188
70	60.2313846
71	60.2200000
72	60.2107714
73	60.2116667
74	60.2163462
75	60.2198984
76	60.2192628
77	60.1982051
78	60.1979731
79	60.2029522
80	60.2005686
81	60.2160440
82	60.2146151
83	60.2223913
84	60.2216667
85	60.1885043
86	60.1911966
87	60.2121477
88	60.2183986
89	60.2082717
90	60.1957914
91	60.1931515
92	60.2091026
93	60.2050957
94	60.2089310
95	60.2073205
96	60.2108333
97	60.2334978
98	60.2264444
99	60.2275000
100	60.2017766
101	60.1797291
102	60.1783430
103	60.1771237
104	60.1732051
105	60.1808889
106	60.1873764
107	60.2054441
108	60.2289736
109	60.2300556
110	60.2269444
111	60.2134286
112	60.2100000
113	60.2076190
114	60.2191117
115	60.2159236
116	60.2137500
117	60.2120000
118	60.2098436
119	60.2050435
120	60.1985542
121	60.2189057
122	60.2123438
123	60.1929670
124	60.1926507
125	60.1992204
126	60.1980000
127	60.2098889
128	60.1982609
129	60.1978412
130	60.1923504
131	60.1929130
132	60.2052778
133	60.2020833
134	60.1795299
135	60.1747613
136	60.1820833
137	60.1972436
138	60.1969179
139	60.1876786
140	60.1830407
141	60.1968304
142	60.1986654
143	60.1905901
144	60.1950000
145	60.1790000
146	60.1857755
147	60.1934475
148	60.1987500
149	60.2097409
150	60.2045833
151	60.2134270
152	60.2034465
153	60.2154545
154	60.2140049
155	60.2113798
156	60.2001608
157	60.1943376
158	60.1950000
159	60.2064267
160	60.2200000
161	60.1988889
162	60.1892023
163	60.1882448
164	60.1827483
165	60.1910000
166	60.1854012
167	60.1831119
168	60.2006732
169	60.2040000
170	60.2006493
171	60.1916667
172	60.1784615
173	60.1922645
174	60.2062963
175	60.2001369
176	60.2007143
177	60.2010000
178	60.1975000
179	60.1695166
180	60.1725000
181	60.1870000
182	60.1934615
183	60.2005983
184	60.1930823
185	60.1921154
186	60.1925000
187	60.1964118
188	60.1814286
189	60.1782051
190	60.1761245
191	60.1705000
192	60.1568333
193	60.1672527
194	60.1730636
195	60.1877805
196	60.1965556
197	60.1965714
198	60.1958126
199	60.2042737
200	60.1922809
201	60.1817778
202	60.1829192
203	60.1835961
204	60.1803794
205	60.1582275
206	60.1935592
207	60.2168519
208	60.2133333
209	60.2201907
210	60.2208771
211	60.2123560
212	60.2012551
213	60.2037500
214	60.2241667
215	60.2206637
216	60.2160202
217	60.2146667
218	60.2069035
219	60.2032295
220	60.1903572
221	60.1884806
222	60.1864615
223	60.1825568
224	60.1850000
225	60.1824872
226	60.1798116
227	60.1871154
228	60.1940994
229	60.1855841
230	60.1845119
231	60.1751971
232	60.1651239
233	60.1898262
234	60.1903298
235	60.1691280
236	60.1682761
237	60.1667391
238	60.1663118
239	60.1669460
240	60.1932857
241	60.1958261
242	60.1759420
243	60.1852778
244	60.1936283
245	60.1872527
246	60.1236000
247	60.1046886
248	60.1433333
249	60.1811111
250	60.1829167
251	60.2019318
252	60.2106439
253	60.2085606
254	60.1969524
255	60.2081061
256	60.2097231
257	60.2070013
258	60.2045000
259	60.1831960
260	60.1920000
261	60.1814286
262	60.1742087
263	60.1777770
264	60.1896678
265	60.1783556
266	60.1925000
267	60.1918789
268	60.1931056
269	60.1866364
270	60.1750583
271	60.2088046
272	60.2106517
273	60.2098326
274	60.2111930
275	60.1930377
276	60.1914570
277	60.1895430
278	60.1970192
279	60.2004151
280	60.2022245
281	60.1933173
282	60.1930769
283	60.1953571
284	60.2044444
285	60.1718939
286	60.1735312
287	60.1673913
288	60.1731860
289	60.1741667
290	60.1791304
291	60.1951348
292	60.1977778
293	60.1948538
294	60.1906667
295	60.1809304
296	60.1804594
297	60.1779060
298	60.1732692
299	60.1734545
300	60.1780653
301	60.1846230
302	60.1499206
303	60.1427513
304	60.1447884
305	60.1650317
306	60.1760707
307	60.1807490
308	60.1813390
309	60.1779413
310	60.1780832
311	60.1743651
312	60.1626581
313	60.1652778
314	60.1771259
315	60.1833846
316	60.1836630
317	60.1800000
318	60.1739011
319	60.1749503
320	60.1903846
321	60.1989725
322	60.1938095
323	60.1911941
324	60.1769536
325	60.1745333
326	60.1752564
327	60.1712104
328	60.2050769
329	60.2027106
330	60.1659855
331	60.1634115
332	60.1519231
333	60.1520769
334	60.1529282
335	60.1543839
336	60.1643075
337	60.1653347
338	60.1718064
339	60.1762225
340	60.1899314
341	60.1884399
342	60.1909999
343	60.1886667
344	60.1835778
345	60.1834936
346	60.1825397
347	60.1800000
348	60.1785897
349	60.1752381
350	60.1673722
351	60.1690000
352	60.1685556
353	60.1591688
354	60.1729762
355	60.1677476
356	60.1697931
357	60.1761546
358	60.1667143
359	60.1565641
360	60.1531282
361	60.1507303
362	60.1611772
363	60.1748551
364	60.1896480
365	60.1904965
366	60.1785714
367	60.1595238
368	60.1681605
369	60.1636364
370	60.1672222
371	60.1639773
372	60.1705905
373	60.1724410
374	60.1755047
375	60.1977903
376	60.1947727
377	60.1875000
378	60.1851304
379	60.1849524
380	60.1875705
381	60.1890000
382	60.1909580
383	60.2003297
384	60.1877885
385	60.1780000
386	60.1794872
387	60.1823077
388	60.1816154
389	60.1802930
390	60.1942970
391	60.2074679
392	60.2024893
393	60.1816000
394	60.1648571
395	60.1616356
396	60.1612704
397	60.1540132
398	60.1511594
399	60.1701984
400	60.1668285
401	60.1722667
402	60.1820000
403	60.1666667
404	60.1552115
405	60.1600183
406	60.1627601
407	60.1495892
408	60.1498571
409	60.1529698
410	60.1609524
411	60.1667778
412	60.1684412
413	60.1644435
414	60.1619780
415	60.1676090
416	60.1683590
417	60.1640190
418	60.1591667
419	60.1578623
420	60.1575960
421	60.1408333
422	60.1387500
423	60.1423164
424	60.1522056
425	60.1534091
426	60.1498333
427	60.1448095
428	60.1465726
429	60.1488277
430	60.1642166
431	60.1594830
432	60.1294087
433	60.1345892
434	60.1483333
435	60.1536667
436	60.1646154
437	60.1561538
438	60.1648333
439	60.1849679
440	60.1908013
441	60.1877778
442	60.1812222
443	60.1675000
444	60.1655546
445	60.1363644
446	60.1232949
447	60.1509790
448	60.1571652
449	60.1535509
450	60.1495732
451	60.1521374
452	60.1511111
453	60.1345294
454	60.1404167
455	60.1414800
456	60.1490000
457	60.1732564
458	60.1775625
459	60.1477152
460	60.1553636
461	60.1602222
462	60.1642222
463	60.1625755
464	60.1687493
465	60.1997540
466	60.1772222
467	60.1397842
468	60.1447939
469	60.1490351
470	60.1451652
471	60.1233333
472	60.1227492
473	60.1222508
474	60.1266667
475	60.1513743
476	60.1585000
477	60.1577928
478	60.1490909
479	60.1538101
480	60.1711899
481	60.1742329
482	60.1741667
483	60.1825889
484	60.1478571
485	60.1497942
486	60.1534129
487	60.1706250
488	60.1591174
489	60.1657664
490	60.1619580
491	60.1541667
492	60.1564848
493	60.1599242
494	60.1655303
495	60.1643290
496	60.1600433
497	60.1599947
498	60.1453846
499	60.1291613
500	60.1357431
501	60.1527399
502	60.1471571
503	60.1505348
504	60.1642727
505	60.1662857
506	60.1528333
507	60.1242778
508	60.1308998
509	60.1220611
510	60.1049206
511	60.1092778
512	60.1082895
513	60.1019413
514	60.1178497
515	60.1226010
516	60.1182279
517	60.1150000
518	60.1139394
519	60.1247624
520	60.1266012
521	60.1378478
522	60.1384589
523	60.1424675
524	60.1544444
525	60.1555091
526	60.1534722
527	60.1657407
528	60.1648274
529	60.1565550
530	60.1377244
531	60.1322619
532	60.1153846
533	60.1163636
534	60.1148810
535	60.1147143
536	60.1272619
537	60.1175202
538	60.1183561
539	60.1543922
540	60.1457500
541	60.1265680
542	60.1208165
543	60.1431818
544	60.1643939
545	60.1695559
546	60.1587030
547	60.1440748
548	60.1545455
549	60.1594773
550	60.1519580
551	60.1534864
552	60.1538889
553	60.1233333
554	60.1145544
555	60.1279293
556	60.1762500
557	60.1739958
558	60.1597192
559	60.1591856
560	60.1540417
561	60.1377528
562	60.1350000
563	60.1418333
564	60.1502082
565	60.1663571
566	60.1610000
567	60.1438384
568	60.1425000
569	60.1434649
570	60.1513132
571	60.1507143
572	60.1446825
573	60.1489683
574	60.1720370
575	60.1728905
576	60.1545718
577	60.1453535
578	60.1454348
579	60.1438995
580	60.1488388
581	60.1519192
582	60.1493706
583	60.1638282
584	60.1597872
585	60.1610507
586	60.1459225
587	60.1465000
588	60.1482479
589	60.1541636
590	60.1606944
591	60.1475002
592	60.1506167
593	60.1544949
594	60.1693415
595	60.1625748
596	60.1679832
597	60.1871083
598	60.1875000
599	60.1925000
600	60.1898889
601	60.1908333
602	60.1673512
603	60.1630331
604	60.1741433
605	60.1692262
606	60.1658517
607	60.1641041
608	60.1645290
609	60.1557143
610	60.1575000
611	60.1471429
612	60.1416225
613	60.1516667
614	60.1721409
615	60.1650000
616	60.1425000
617	60.1371591
618	60.1251926
619	60.1277778
620	60.1305357
621	60.1257895
622	60.1078610
623	60.1126923
624	60.1344424
625	60.1501515
626	60.1495086
627	60.1252072
628	60.1273383
629	60.1258333
630	60.1459848
631	60.1510768
632	60.1450794
633	60.1443222
634	60.1454211
635	60.1555682
636	60.1585227
637	60.1510839
638	60.1475000
639	60.1386364
640	60.1449806
641	60.1479158
642	60.1668192
643	60.1630263
644	60.1475000
645	60.1378333
646	60.1433333
647	60.1440000
648	60.1314569
649	60.1318182
650	60.1461905
651	60.1497197
652	60.1486626
653	60.1467337
654	60.1455791
655	60.1429167
656	60.1531439
657	60.1346667
658	60.1400500
659	60.1257222
660	60.1359691
661	60.1455204
662	60.1447497
663	60.1559829
664	60.1527778
665	60.1430558
666	60.1372368
667	60.1439649
668	60.1479348
669	60.1863246
670	60.1783333
671	60.1581627
672	60.1380556
673	60.1411905
674	60.1600000
675	60.1603846
676	60.1500000
677	60.1425000
678	60.1438889
679	60.1430808
680	60.1482010
681	60.1470175
682	60.1469599
683	60.1019807
684	60.1074482
685	60.1211995
686	60.1218841
687	60.1204545
688	60.1175000
689	60.1251587
690	60.1192857
691	60.1152174
692	60.1212692
693	60.1295000
694	60.1271558
695	60.1292375
696	60.1741342
697	60.1692857
698	60.1608333
699	60.1623287
700	60.1602820
701	60.1492857
702	60.1430097
703	60.1404316
704	60.1300000
705	60.1342614
706	60.1402812
707	60.1402671
708	60.1265351
709	60.1142857
710	60.1326263
711	60.1320565
712	60.1279167
713	60.1209848
714	60.1182449
715	60.1424218
716	60.1426958
717	60.1425072
718	60.1350000
719	60.1281392
720	60.1305833
721	60.1134673
722	60.1011905
723	60.0966667
724	60.1180204
725	60.1308333
726	60.1245169
727	60.1065056
728	60.1169255
729	60.1500325
730	60.1478571
731	60.1426190
732	60.1190597
733	60.1321667
734	60.1445588
735	60.1531818
736	60.1332655
737	60.1250000
738	60.1269066
739	60.1309804
740	60.1491778
741	60.1332086
742	60.1262879
743	60.1198509
744	60.1298788
745	60.1375758
746	60.1031513
747	60.1050000
748	60.1315942
749	60.1354696
750	60.1250000
751	60.1129167
752	60.1114545
753	60.1084848
754	60.1097619
755	60.1250000
756	60.1262500
757	60.1095707
758	60.1084444
759	60.1118939
760	60.1225000
761	60.1200000
762	60.1366667
763	60.0875518
764	60.0824242
765	60.0854412
766	60.0899379
767	60.0924129
768	60.1128093
769	60.1273571
770	60.1323333
771	60.1133333
772	60.1131095
773	60.1053283
774	60.0853333
775	60.0914158
776	60.1054498
777	60.1050490
778	60.1227843
779	60.1367786
780	60.1250000
781	60.1209581
782	60.0995062
783	60.1006061
784	60.1080745
785	60.1254902
786	60.1254325
787	60.1155470
788	60.0989040
789	60.1118831
790	60.1281979
791	60.1297745
792	60.1155214
793	60.1056244
794	60.1034454
795	60.1033021
796	60.0979253
797	60.0795455
798	60.0983333
799	60.1144538
800	60.1359740
801	60.1225958
802	60.0505902
803	60.0574444
804	60.0695833
805	60.0828824
806	60.0796934
807	60.0742614
808	60.0800000
809	60.0707313
810	60.0709091
811	60.0694444
812	60.0724444
813	60.0971499
814	60.0993750
815	60.1097269
816	60.1130787
817	60.1125000
818	60.1129889
819	60.1125379
820	60.1250794
821	60.1318615
822	60.1300137
823	60.1351253
824	60.1336008
825	60.1327409
826	60.1391532
827	60.1340000
828	60.1317121
829	60.1349242
830	60.1329167
831	60.1121482
832	60.0968012
833	60.0821429
834	60.0823529
835	60.0891176
836	60.0958824
837	60.1150000
838	60.1415476
839	60.1373663
840	60.1283194
841	60.1181269
842	60.1037273
843	60.1077246
844	60.1065000
845	60.1102273
846	60.1053968
847	60.0959374
848	60.1057500
849	60.1235526
850	60.1275000
851	60.1009848
852	60.0930087
853	60.0841176
854	60.0656737
855	60.0644612
856	60.0690584
857	60.0616667
858	60.0716667
859	60.0684545
860	60.1047500
861	60.1167308
862	60.1221670
863	60.1075000
864	60.1066667
865	60.1332386
866	60.1233604
867	60.1120292
868	60.1078307
869	60.1106667
870	60.1076667
871	60.1078750
872	60.1022024
873	60.1012500
874	60.1055051
875	60.1059885
876	60.1031746
877	60.0954762
878	60.0940159
879	60.1011406
880	60.1011304
881	60.1066667
882	60.0751536
883	60.0750909
884	60.0863095
885	60.0740638
886	60.0750420
887	60.0737636
888	60.0768254
889	60.0802562
890	60.0872536
891	60.1058808
892	60.0951675
893	60.0906630
894	60.1182007
895	60.1151880
896	60.0969048
897	60.0964116
898	60.0940000
899	60.1126136
900	60.1325000
901	60.1249454
902	60.1175000
903	60.1109343
904	60.0889983
905	60.0825000
906	60.0943077
907	60.0926480
908	60.0916477
909	60.1130303
910	60.1072222
911	60.1004257
912	60.1114286
913	60.1115945
914	60.1195455
915	60.1165938
916	60.1122230
917	60.1061538
918	60.1017837
919	60.0941667
920	60.1020434
921	60.1116667
922	60.1067182
923	60.1074370
924	60.0933881
925	60.1012024
926	60.1122500
927	60.1095725
928	60.0808696
929	60.0879348
930	60.1019033
931	60.1151797
932	60.1126571
933	60.1118665
934	60.1101676
935	60.1067914
936	60.1032353
937	60.1122409
938	60.1284418
939	60.1253501
940	60.1138889
941	60.1109722
942	60.1108333
943	60.1197222
944	60.1173870
945	60.0977762
946	60.0985985
947	60.1133081
948	60.1146428
949	60.1198810
950	60.1184795
951	60.0833333
952	60.0826050
953	60.0798458
954	60.0705799
955	60.0886593
956	60.0843189
957	60.0797386
958	60.0890038
959	60.0909513
960	60.0594949
961	60.0375758
962	60.0449001
963	60.0471212
964	60.0511111
965	60.0622222
966	60.0939542
967	60.0998148
968	60.1019462
969	60.0874603
970	60.0882707
971	60.1100000
972	60.1155000
973	60.1180556
974	60.1087500
975	60.0977388
976	60.0880678
977	60.0850000
978	60.0807576
979	60.0666667
980	60.0674444
981	60.0850000
982	60.0812991
983	60.0924718
984	60.1045419
985	60.0967857
986	60.0950000
987	60.0838639
988	60.0952271
989	60.0977273
990	60.1013636
991	60.0927273
992	60.0612355
993	60.0829091
994	60.0997368
995	60.0853030
996	60.0856061
997	60.0875835
998	60.0825000
999	60.0903837
1000	60.1172568
1001	60.1131222
1002	60.1056250
1003	60.0955114
1004	60.1070951
1005	60.1021537
1006	60.0853964
1007	60.0738131
1008	60.0527466
1009	60.0655455
1010	60.0785000
1011	60.0725000
1012	60.0750000
1013	60.0775926
1014	60.0816646
1015	60.0835714
1016	60.0659345
1017	60.0593411
1018	60.0622059
1019	60.0555222
1020	60.0533824
1021	60.0702381
1022	60.0601201
1023	60.0718846
1024	60.0828053
1025	60.0511111
1026	60.0469444
1027	60.0730556
1028	60.0648781
1029	60.0600000
1030	60.0800345
1031	60.0892857
1032	60.0910000
1033	60.0635000
1034	60.0700000
1035	60.0633333
1036	60.0650000
1037	60.0783333
1038	60.0831439
1039	60.0870714
1040	60.0907143
1041	60.1013978
1042	60.0962539
1043	60.0725971
1044	60.0916667
1045	60.0836957
1046	60.0736364
1047	60.0678283
1048	60.0654825
1049	60.0584722
1050	60.0545000
1051	60.0564702
1052	60.0506140
1053	60.0815744
1054	60.0693488
1055	60.0698810
1056	60.0791558
1057	60.0889517
1058	60.1159305
1059	60.0858333
1060	60.0814394
1061	60.0800614
1062	60.0836842
1063	60.0891667
1064	60.0806313
1065	60.0756818
1066	60.0751138
1067	60.0762269
1068	60.0768182
1069	60.0784722
1070	60.0861742
1071	60.0993182
1072	60.0965152
1073	60.0958333
1074	60.0933333
1075	60.0775694
1076	60.0783333
1077	60.0781651
1078	60.0755485
1079	60.0765227
1080	60.0712045
1081	60.0730000
1082	60.0730556
1083	60.0722211
1084	60.0760662
1085	60.0783044
1086	60.0950347
1087	60.0966250
1088	60.0830952
1089	60.0998846
1090	60.1027843
1091	60.0977771
1092	60.0792265
1093	60.0557843
1094	60.0508333
1095	60.0630435
1096	60.0650000
1097	60.0627451
1098	60.0622222
1099	60.0610005
1100	60.0717500
1101	60.0583333
1102	60.0626343
1103	60.0738889
1104	60.0709138
1105	60.0740846
1106	60.0804762
1107	60.0759804
1108	60.0744550
1109	60.0754850
1110	60.0739972
1111	60.0825000
1112	60.0909470
1113	60.0962030
1114	60.0979365
1115	60.1105135
1116	60.1128540
1117	60.1022222
1118	60.0862500
1119	60.0797601
1120	60.0814515
1121	60.1075411
1122	60.0935847
1123	60.0825000
1124	60.0820137
1125	60.0853975
1126	60.0902415
1127	60.0949047
1128	60.0853846
1129	60.0873810
1130	60.0858333
1131	60.0746212
1132	60.0589622
1133	60.0594203
1134	60.0764386
1135	60.0916364
1136	60.1130298
1137	60.1116633
1138	60.1073810
1139	60.1024708
1140	60.0850758
1141	60.0777284
1142	60.0507817
1143	60.0570901
1144	60.0716667
1145	60.0711111
1146	60.0722222
1147	60.0754630
1148	60.0635913
1149	60.0664723
1150	60.0737973
1151	60.0698214
1152	60.0751084
1153	60.0654968
1154	60.0710000
1155	60.0990909
1156	60.0954167
1157	60.0683333
1158	60.0842504
1159	60.0926107
1160	60.0875556
1161	60.0546397
1162	60.0659091
1163	60.0731250
1164	60.0768182
1165	60.0722727
1166	60.0650000
1167	60.0712586
1168	60.0718554
1169	60.0660000
1170	60.0746390
1171	60.0787500
1172	60.0831280
1173	60.0684783
1174	60.0612500
1175	60.0746711
1176	60.0711111
1177	60.0711811
1178	60.0876257
1179	60.0950000
1180	60.1001495
1181	60.1052324
1182	60.0932609
1183	60.0945833
1184	60.0891180
1185	60.0783333
1186	60.0782353
1187	60.0741833
1188	60.0943500
1189	60.0908333
1190	60.0889278
1191	60.0843436
1192	60.0869857
1193	60.0767662
1194	60.0794641
1195	60.0845166
1196	60.0864059
1197	60.0866667
1198	60.0744236
1199	60.0768182
1200	60.0819697
1201	60.0799282
1202	60.0559809
1203	60.0407895
1204	60.0419298
1205	60.0534091
1206	60.0543421
1207	60.0478970
1208	60.0789562
1209	60.0712632
1210	60.0741667
1211	60.0816308
1212	60.0820000
1213	60.0696172
1214	60.0522348
1215	60.0678214
1216	60.0811931
1217	60.0816667
1218	60.0731061
1219	60.0730918
1220	60.0795669
1221	60.0869048
1222	60.0775000
1223	60.0705808
1224	60.0703285
1225	60.0942913
1226	60.1004983
1227	60.0992754
1228	60.0714192
1229	60.0730152
1230	60.0739281
1231	60.0737386
1232	60.0767030
1233	60.0722222
1234	60.0603261
1235	60.0682609
1236	60.0650417
1237	60.0597857
1238	60.0622267
1239	60.0646793
1240	60.0627632
1241	60.0587036
1242	60.0681987
1243	60.0659524
1244	60.0654326
1245	60.0598306
1246	60.0593939
1247	60.0732680
1248	60.0677090
1249	60.0698142
1250	60.0783333
1251	60.1144444
1252	60.1338889
1253	60.1684721
1254	60.1842857
1255	60.2100000
1256	60.2850000
1257	60.3683333
1258	60.4464899
1259	60.4939580
1260	60.5394258
1261	60.6124837
1262	60.6605556
1263	60.7057143
1264	60.8175000
1265	60.8880000
1266	60.9892735
1267	60.9997619
1268	61.1373788
1269	61.1433333
1270	61.2295455
1271	61.2806250
1272	61.3226326
1273	61.3302797
1274	61.3645609
1275	61.3888889
1276	61.4287202
1277	61.4399161
1278	61.3887500
1279	61.3540278
1280	61.3637500
1281	61.3829167
1282	61.3522222
1283	61.3468519
1284	61.2605724
1285	61.2445791
1286	61.2532941
1287	61.1597942
1288	61.1193333
1289	61.1125000
1290	61.0636111
1291	60.9972537
1292	60.9497917
1293	60.9287500
1294	60.8455833
1295	60.8366638
1296	60.7559387
1297	60.7500950
1298	60.6788889
1299	60.6615404
1300	60.5941220
1301	60.5431818
1302	60.5408333
1303	60.5401316
1304	60.4975000
1305	60.4792500
1306	60.4602500
1307	60.4470588
1308	60.3960475
1309	60.3700000
1310	60.3446591
1311	60.3282197
1312	60.2823251
1313	60.2836624
1314	60.2744459
1315	60.2677216
1316	60.2238624
1317	60.2315962
1318	60.2211439
1319	60.2025962
1320	60.1948288
1321	60.1872465
1322	60.1642857
1323	60.1600000
1324	60.1491489
1325	60.1614583
1326	60.1667868
1327	60.1691667
1328	60.1656418
1329	60.1750327
1330	60.1564646
1331	60.1510438
1332	60.1456229
1333	60.1369449
1334	60.1360714
1335	60.1336742
1336	60.1357143
1337	60.1347381
1338	60.1252619
1339	60.1294444
1340	60.1291667
1341	60.1416897
1342	60.1290909
1343	60.1155882
1344	60.1013636
1345	60.1126667
1346	60.1037500
1347	60.0839003
1348	60.0844737
1349	60.0787135
1350	60.0750000
1351	60.0819697
1352	60.0911310
1353	60.0692788
1354	60.0654861
1355	60.0655072
1356	60.0663889
1357	60.0618182
1358	60.0812341
1359	60.1055584
1360	60.1057143
1361	60.0993185
1362	60.0820886
1363	60.0585714
1364	60.0523443
1365	60.0489866
1366	60.0430965
1367	60.0357291
1368	60.0384938
1369	60.0406081
1370	60.0664286
1371	60.0693143
1372	60.0505939
1373	60.0417545
1374	60.0296152
1375	60.0253333
1376	60.0261111
1377	60.0315091
1378	60.0426998
1379	60.0572727
1380	60.0603846
1381	60.0600000
1382	60.0150000
1383	59.9955286
1384	60.0108081
1385	60.0108614
1386	60.0110000
1387	60.0041212
1388	60.0022684
1389	60.0137273
1390	60.0106667
1391	60.0060695
1392	60.0042857
1393	59.9968182
1394	60.0008000
1395	59.9956682
1396	60.0117035
1397	60.0137562
1398	60.0200000
1399	60.0365152
1400	60.0465385
1401	60.0094129
1402	60.0062680
1403	59.9998830
1404	59.9889316
1405	59.9895343
1406	59.9966616
1407	59.9969643
1408	59.9917778
1409	59.9853353
1410	59.9815055
1411	59.9674242
1412	59.9610373
1413	59.9443326
1414	59.9273871
1415	59.9401879
1416	59.9347475
1417	59.9417677
1418	59.9372601
1419	59.8989627
1420	59.9183707
1421	59.8875000
1422	59.8911111
1423	59.8821618
1424	59.8722357
1425	59.8818182
1426	59.8989583
1427	59.8875000
1428	59.8604444
1429	59.8486330
1430	59.8840000
1431	59.8845341
1432	59.8697273
1433	59.8225795
1434	59.7909524
1435	59.7875000
1436	59.7674024
1437	59.7109540
1438	59.6632034
1439	59.5816499
1440	59.6040000
1441	59.5336742
1442	59.4785714
1443	59.4080986
1444	59.3482736
1445	59.3116667
1446	59.3169444
1447	59.2246870
1448	59.2105769
1449	59.1360556
1450	59.1214620
1451	59.0754705
1452	59.0272568
1453	59.0034189
1454	59.0005556
1455	58.9990476
1456	58.9931169
1457	59.0273864
1458	59.0332197
1459	59.0247751
1460	59.0422222
1461	59.0500000
1462	59.0475758
1463	59.1044859
1464	59.1372540
1465	59.1723462
1466	59.1855606
1467	59.2351010
1468	59.2605185
1469	59.2919545
