x	y
1	-0.3673073
2	-0.3673073
3	-0.3672869
4	-0.3672550
5	-0.3671145
6	-0.3671338
7	-0.3672747
8	-0.3672743
9	-0.3671690
10	-0.3671656
11	-0.3671531
12	-0.3669906
13	-0.3668195
14	-0.3668739
15	-0.3669532
16	-0.3669901
17	-0.3671394
18	-0.3671678
19	-0.3671929
20	-0.3671814
21	-0.3671795
22	-0.3671625
23	-0.3670581
24	-0.3670966
25	-0.3669675
26	-0.3670044
27	-0.3670601
28	-0.3670482
29	-0.3670624
30	-0.3670669
31	-0.3670654
32	-0.3670336
33	-0.3669570
34	-0.3669142
35	-0.3670083
36	-0.3669906
37	-0.3668947
38	-0.3669025
39	-0.3669480
40	-0.3670208
41	-0.3670359
42	-0.3669355
43	-0.3669532
44	-0.3670206
45	-0.3670950
46	-0.3670543
47	-0.3670643
48	-0.3669952
49	-0.3669777
50	-0.3670041
51	-0.3669605
52	-0.3669710
53	-0.3669489
54	-0.3669105
55	-0.3670253
56	-0.3670270
57	-0.3669930
58	-0.3671110
59	-0.3671754
60	-0.3670522
61	-0.3668847
62	-0.3668575
63	-0.3668758
64	-0.3668988
65	-0.3669566
66	-0.3670272
67	-0.3670341
68	-0.3670373
69	-0.3670180
70	-0.3670384
71	-0.3670814
72	-0.3669901
73	-0.3669227
74	-0.3669620
75	-0.3671220
76	-0.3671560
77	-0.3671557
78	-0.3671352
79	-0.3670326
80	-0.3670169
81	-0.3670708
82	-0.3671376
83	-0.3671333
84	-0.3672275
85	-0.3672123
86	-0.3672244
87	-0.3672124
88	-0.3670588
89	-0.3670033
90	-0.3670118
91	-0.3670128
92	-0.3670810
93	-0.3669928
94	-0.3670170
95	-0.3669636
96	-0.3670357
97	-0.3671091
98	-0.3670178
99	-0.3670377
100	-0.3670342
101	-0.3670030
102	-0.3669945
103	-0.3669933
104	-0.3669813
105	-0.3670365
106	-0.3670616
107	-0.3668664
108	-0.3668529
109	-0.3668768
110	-0.3670309
111	-0.3670230
112	-0.3669945
113	-0.3669232
114	-0.3669105
115	-0.3670448
116	-0.3672856
117	-0.3673255
118	-0.3672183
119	-0.3672139
120	-0.3671808
121	-0.3671525
122	-0.3671168
123	-0.3670677
124	-0.3670578
125	-0.3669663
126	-0.3669434
