x	y
1	613.7928571
2	613.7928571
3	613.7904039
4	613.7885714
5	613.7656349
6	613.7685714
7	613.7911905
8	613.7870833
9	613.7733333
10	613.7733333
11	613.7697436
12	613.7435897
13	613.7225988
14	613.7280000
15	613.7425000
16	613.7500000
17	613.7675000
18	613.7671429
19	613.7670978
20	613.7653333
21	613.7658333
22	613.7655556
23	613.7666755
24	613.7654808
25	613.7393333
26	613.7370469
27	613.7445084
28	613.7404142
29	613.7425000
30	613.7430000
31	613.7437778
32	613.7401603
33	613.7400000
34	613.7412725
35	613.7529403
36	613.7447826
37	613.7301568
38	613.7315789
39	613.7347368
40	613.7412500
41	613.7405391
42	613.7269514
43	613.7300000
44	613.7383333
45	613.7486752
46	613.7430769
47	613.7440125
48	613.7403846
49	613.7404167
50	613.7433333
51	613.7370833
52	613.7388000
53	613.7401128
54	613.7414256
55	613.7543641
56	613.7560000
57	613.7503846
58	613.7507692
59	613.7461538
60	613.7282051
61	613.7291047
62	613.7196474
63	613.7216205
64	613.7230769
65	613.7320000
66	613.7580000
67	613.7585714
68	613.7584615
69	613.7487179
70	613.7459459
71	613.7513333
72	613.7495238
73	613.7385714
74	613.7338902
75	613.7573684
76	613.7560000
77	613.7573077
78	613.7563636
79	613.7400000
80	613.7374359
81	613.7412500
82	613.7440000
83	613.7525000
84	613.7519231
85	613.7515385
86	613.7475000
87	613.7500000
88	613.7500000
89	613.7490476
90	613.7442857
91	613.7430000
92	613.7440769
93	613.7451538
94	613.7446667
95	613.7286957
96	613.7325000
97	613.7398077
98	613.7382353
99	613.7416000
100	613.7416000
101	613.7379692
102	613.7380507
103	613.7364286
104	613.7357633
105	613.7450000
106	613.7446667
107	613.7250000
108	613.7226409
109	613.7261538
110	613.7397245
111	613.7357949
112	613.7389414
113	613.7395762
114	613.7350000
115	613.7420000
116	613.7714359
117	613.7695000
118	613.7565000
119	613.7565385
120	613.7530769
121	613.7492075
122	613.7453380
123	613.7407537
124	613.7361694
125	613.7221429
126	613.7223810
127	613.7476270
128	613.7435714
129	613.7440000
130	613.7546667
131	613.7420833
132	613.7428571
133	613.7510380
134	613.7320389
135	613.7268655
136	613.7275000
137	613.7400000
138	613.7425000
139	613.7445455
140	613.7426923
141	613.7325000
142	613.7296310
143	613.7411590
144	613.7373560
145	613.7335530
146	613.7188767
147	613.7202039
148	613.7088870
149	613.7089474
150	613.7213158
151	613.7270000
152	613.7312500
153	613.7346667
154	613.7330000
155	613.7333333
