x	y
1	0.0341207
2	0.0341207
3	0.0341206
4	0.0341205
5	0.0341192
6	0.0341194
7	0.0341207
8	0.0341204
9	0.0341197
10	0.0341197
11	0.0341195
12	0.0341180
13	0.0341168
14	0.0341171
15	0.0341179
16	0.0341184
17	0.0341193
18	0.0341193
19	0.0341193
20	0.0341192
21	0.0341192
22	0.0341192
23	0.0341193
24	0.0341192
25	0.0341178
26	0.0341176
27	0.0341181
28	0.0341178
29	0.0341179
30	0.0341180
31	0.0341180
32	0.0341178
33	0.0341178
34	0.0341179
35	0.0341185
36	0.0341181
37	0.0341173
38	0.0341173
39	0.0341175
40	0.0341179
41	0.0341178
42	0.0341171
43	0.0341173
44	0.0341177
45	0.0341183
46	0.0341180
47	0.0341180
48	0.0341178
49	0.0341178
50	0.0341180
51	0.0341176
52	0.0341177
53	0.0341178
54	0.0341179
55	0.0341186
56	0.0341187
57	0.0341184
58	0.0341184
59	0.0341181
60	0.0341172
61	0.0341172
62	0.0341167
63	0.0341168
64	0.0341169
65	0.0341174
66	0.0341188
67	0.0341188
68	0.0341188
69	0.0341183
70	0.0341181
71	0.0341184
72	0.0341183
73	0.0341177
74	0.0341175
75	0.0341188
76	0.0341187
77	0.0341188
78	0.0341187
79	0.0341178
80	0.0341177
81	0.0341179
82	0.0341180
83	0.0341185
84	0.0341185
85	0.0341184
86	0.0341182
87	0.0341184
88	0.0341184
89	0.0341183
90	0.0341180
91	0.0341180
92	0.0341180
93	0.0341181
94	0.0341181
95	0.0341172
96	0.0341174
97	0.0341178
98	0.0341177
99	0.0341179
100	0.0341179
101	0.0341177
102	0.0341177
103	0.0341176
104	0.0341176
105	0.0341181
106	0.0341181
107	0.0341170
108	0.0341168
109	0.0341170
110	0.0341178
111	0.0341176
112	0.0341177
113	0.0341178
114	0.0341175
115	0.0341179
116	0.0341196
117	0.0341194
118	0.0341187
119	0.0341187
120	0.0341185
121	0.0341183
122	0.0341181
123	0.0341178
124	0.0341176
125	0.0341168
126	0.0341168
127	0.0341182
128	0.0341180
129	0.0341180
130	0.0341186
131	0.0341179
132	0.0341180
133	0.0341184
134	0.0341174
135	0.0341171
136	0.0341171
137	0.0341178
138	0.0341179
139	0.0341181
140	0.0341180
141	0.0341174
142	0.0341172
143	0.0341179
144	0.0341177
145	0.0341174
146	0.0341166
147	0.0341167
148	0.0341161
149	0.0341161
150	0.0341168
151	0.0341171
152	0.0341173
153	0.0341175
154	0.0341174
155	0.0341174
156	0.0341177
157	0.0341179
158	0.0341182
159	0.0341181
160	0.0341176
161	0.0341175
162	0.0341173
163	0.0341164
164	0.0341167
165	0.0341171
166	0.0341171
167	0.0341169
168	0.0341174
169	0.0341185
170	0.0341184
171	0.0341176
172	0.0341176
173	0.0341176
174	0.0341178
175	0.0341183
176	0.0341182
177	0.0341183
178	0.0341184
179	0.0341185
180	0.0341185
181	0.0341186
182	0.0341194
183	0.0341191
184	0.0341187
185	0.0341184
186	0.0341179
187	0.0341178
188	0.0341180
189	0.0341178
190	0.0341178
191	0.0341178
192	0.0341181
193	0.0341183
194	0.0341182
195	0.0341180
196	0.0341183
197	0.0341179
198	0.0341180
199	0.0341174
200	0.0341174
201	0.0341175
202	0.0341173
203	0.0341173
204	0.0341165
205	0.0341166
206	0.0341166
207	0.0341170
208	0.0341171
209	0.0341170
210	0.0341161
211	0.0341162
212	0.0341165
213	0.0341166
214	0.0341169
215	0.0341177
216	0.0341180
217	0.0341179
218	0.0341178
219	0.0341185
220	0.0341184
221	0.0341184
222	0.0341174
223	0.0341174
224	0.0341175
225	0.0341181
226	0.0341178
227	0.0341178
228	0.0341182
229	0.0341188
230	0.0341188
231	0.0341182
232	0.0341182
233	0.0341193
234	0.0341192
235	0.0341181
236	0.0341176
237	0.0341175
238	0.0341174
239	0.0341175
240	0.0341171
241	0.0341169
242	0.0341174
243	0.0341178
244	0.0341179
245	0.0341182
246	0.0341182
247	0.0341182
248	0.0341182
249	0.0341167
250	0.0341174
251	0.0341178
252	0.0341174
253	0.0341175
254	0.0341173
255	0.0341157
256	0.0341158
257	0.0341167
258	0.0341172
259	0.0341172
260	0.0341172
261	0.0341171
262	0.0341174
263	0.0341181
264	0.0341182
265	0.0341184
266	0.0341183
267	0.0341183
268	0.0341181
269	0.0341182
270	0.0341183
271	0.0341183
272	0.0341187
273	0.0341182
274	0.0341183
275	0.0341183
276	0.0341183
277	0.0341184
278	0.0341186
279	0.0341186
280	0.0341185
281	0.0341186
282	0.0341183
283	0.0341181
284	0.0341187
285	0.0341187
286	0.0341186
287	0.0341184
288	0.0341183
289	0.0341183
290	0.0341180
291	0.0341177
292	0.0341171
293	0.0341173
294	0.0341174
295	0.0341180
296	0.0341184
297	0.0341191
298	0.0341194
299	0.0341190
300	0.0341189
301	0.0341190
302	0.0341189
303	0.0341191
304	0.0341190
305	0.0341190
306	0.0341190
307	0.0341192
308	0.0341176
309	0.0341184
310	0.0341186
311	0.0341185
312	0.0341182
313	0.0341178
314	0.0341164
315	0.0341171
316	0.0341173
317	0.0341173
318	0.0341173
319	0.0341175
320	0.0341179
321	0.0341181
322	0.0341178
323	0.0341174
324	0.0341174
325	0.0341175
326	0.0341174
327	0.0341175
328	0.0341176
329	0.0341184
330	0.0341183
331	0.0341183
332	0.0341184
333	0.0341182
334	0.0341181
335	0.0341184
336	0.0341181
337	0.0341181
338	0.0341181
339	0.0341182
340	0.0341181
341	0.0341183
342	0.0341184
343	0.0341190
344	0.0341193
345	0.0341191
346	0.0341187
347	0.0341176
348	0.0341176
349	0.0341179
350	0.0341180
351	0.0341181
352	0.0341181
353	0.0341180
354	0.0341173
355	0.0341175
356	0.0341175
357	0.0341175
358	0.0341175
359	0.0341174
360	0.0341176
361	0.0341180
362	0.0341177
363	0.0341177
364	0.0341178
365	0.0341178
366	0.0341178
367	0.0341183
368	0.0341181
369	0.0341173
370	0.0341176
371	0.0341176
372	0.0341178
373	0.0341178
374	0.0341178
375	0.0341178
376	0.0341180
377	0.0341180
378	0.0341181
379	0.0341183
380	0.0341183
381	0.0341183
382	0.0341184
383	0.0341185
384	0.0341186
385	0.0341187
386	0.0341186
387	0.0341186
388	0.0341189
389	0.0341191
390	0.0341189
391	0.0341188
392	0.0341188
393	0.0341183
394	0.0341189
395	0.0341193
396	0.0341178
397	0.0341176
398	0.0341176
399	0.0341176
400	0.0341172
401	0.0341173
402	0.0341182
403	0.0341180
404	0.0341183
405	0.0341180
406	0.0341178
407	0.0341178
408	0.0341177
409	0.0341178
410	0.0341178
411	0.0341178
412	0.0341175
413	0.0341174
414	0.0341184
415	0.0341186
416	0.0341185
417	0.0341185
418	0.0341184
419	0.0341184
420	0.0341179
421	0.0341182
422	0.0341180
423	0.0341184
424	0.0341184
425	0.0341180
426	0.0341181
427	0.0341193
428	0.0341194
429	0.0341193
430	0.0341192
431	0.0341191
432	0.0341183
433	0.0341182
434	0.0341186
435	0.0341187
436	0.0341192
437	0.0341193
438	0.0341192
439	0.0341182
440	0.0341180
441	0.0341176
442	0.0341178
443	0.0341179
444	0.0341173
445	0.0341170
446	0.0341170
447	0.0341170
448	0.0341171
449	0.0341171
450	0.0341171
451	0.0341171
452	0.0341173
453	0.0341172
454	0.0341185
455	0.0341184
456	0.0341182
457	0.0341182
458	0.0341183
459	0.0341179
460	0.0341173
461	0.0341173
462	0.0341161
463	0.0341167
464	0.0341168
465	0.0341170
466	0.0341179
467	0.0341180
468	0.0341175
469	0.0341176
470	0.0341175
471	0.0341176
472	0.0341177
473	0.0341186
474	0.0341192
475	0.0341188
476	0.0341174
477	0.0341167
478	0.0341169
479	0.0341172
480	0.0341173
481	0.0341177
482	0.0341175
