x	y
1	597.3964286
2	597.3964286
3	597.4039338
4	597.3950000
5	597.3995455
6	597.3972222
7	597.3979167
8	597.4012604
9	597.4011538
10	597.3957692
11	597.4017391
12	597.4017391
13	597.3992857
14	597.3993333
15	597.3979167
16	597.3960000
17	597.3914286
18	597.3915018
19	597.3900000
20	597.3940000
21	597.3972727
22	597.3989744
23	597.4011966
24	597.3900000
25	597.3921154
26	597.3922222
27	597.3954701
28	597.3866528
29	597.3913333
30	597.4021111
31	597.3955556
32	597.3972727
33	597.4144755
34	597.4125175
35	597.4105594
36	597.4109654
37	597.4198039
38	597.4217640
39	597.4132360
40	597.4033333
41	597.3921149
42	597.3862500
43	597.3848611
44	597.3916667
45	597.3908333
46	597.3721429
47	597.3771429
48	597.3862500
49	597.3900234
50	597.3961905
51	597.3975000
52	597.3948077
53	597.3942857
54	597.3930435
55	597.3910000
56	597.3738462
57	597.3723077
58	597.3724518
59	597.3694444
60	597.3746154
61	597.3787179
62	597.3828205
63	597.3827778
64	597.3826087
65	597.3875000
66	597.3986538
67	597.4040000
68	597.4052973
69	597.4008565
70	597.4012030
71	597.4006667
72	597.3915043
73	597.3925000
74	597.3876923
75	597.3928205
76	597.3937179
77	597.3906597
78	597.3900000
79	597.3937500
80	597.3966236
81	597.3953846
82	597.3900624
83	597.3941667
84	597.3912500
85	597.3947826
86	597.3939103
87	597.3918590
88	597.3920000
89	597.3891667
90	597.3887786
91	597.3850000
92	597.3850000
93	597.3921726
94	597.3780769
95	597.3800000
96	597.3875000
97	597.3950000
98	597.4020062
99	597.4025000
100	597.3990385
101	597.3933333
102	597.3866667
103	597.3866667
104	597.3906667
105	597.3914137
106	597.3909468
107	597.3901679
108	597.3852167
109	597.3806278
110	597.3895238
111	597.3938480
112	597.3940000
113	597.3936923
114	597.3854719
115	597.3810607
116	597.3817391
117	597.3821182
118	597.3824972
119	597.3926273
120	597.4005556
121	597.4125000
122	597.4123077
123	597.3830769
124	597.3833333
125	597.3772896
126	597.3800000
127	597.3893750
128	597.3986667
129	597.3925000
130	597.3983333
131	597.4010616
132	597.3820153
133	597.3827564
134	597.3900000
135	597.3888462
136	597.3873333
137	597.3878261
138	597.3857692
139	597.3988462
140	597.3972222
