x	y
1	0.0332093
2	0.0332093
3	0.0332097
4	0.0332092
5	0.0332094
6	0.0332093
7	0.0332094
8	0.0332095
9	0.0332095
10	0.0332092
11	0.0332096
12	0.0332096
13	0.0332094
14	0.0332094
15	0.0332094
16	0.0332092
17	0.0332090
18	0.0332090
19	0.0332089
20	0.0332091
21	0.0332093
22	0.0332094
23	0.0332095
24	0.0332089
25	0.0332090
26	0.0332090
27	0.0332092
28	0.0332087
29	0.0332090
30	0.0332096
31	0.0332092
32	0.0332093
33	0.0332103
34	0.0332102
35	0.0332101
36	0.0332101
37	0.0332106
38	0.0332107
39	0.0332102
40	0.0332097
41	0.0332090
42	0.0332087
43	0.0332086
44	0.0332090
45	0.0332090
46	0.0332079
47	0.0332082
48	0.0332087
49	0.0332089
50	0.0332093
51	0.0332093
52	0.0332092
53	0.0332091
54	0.0332091
55	0.0332090
56	0.0332080
57	0.0332079
58	0.0332079
59	0.0332078
60	0.0332081
61	0.0332083
62	0.0332085
63	0.0332085
64	0.0332085
65	0.0332088
66	0.0332094
67	0.0332097
68	0.0332098
69	0.0332095
70	0.0332095
71	0.0332095
72	0.0332090
73	0.0332090
74	0.0332088
75	0.0332091
76	0.0332091
77	0.0332089
78	0.0332089
79	0.0332091
80	0.0332093
81	0.0332092
82	0.0332089
83	0.0332091
84	0.0332090
85	0.0332092
86	0.0332091
87	0.0332090
88	0.0332090
89	0.0332089
90	0.0332088
91	0.0332086
92	0.0332086
93	0.0332090
94	0.0332082
95	0.0332084
96	0.0332088
97	0.0332092
98	0.0332096
99	0.0332096
100	0.0332094
101	0.0332091
102	0.0332087
103	0.0332087
104	0.0332089
105	0.0332090
106	0.0332090
107	0.0332089
108	0.0332086
109	0.0332084
110	0.0332089
111	0.0332091
112	0.0332091
113	0.0332091
114	0.0332087
115	0.0332084
116	0.0332085
117	0.0332085
118	0.0332085
119	0.0332091
120	0.0332095
121	0.0332102
122	0.0332102
123	0.0332085
124	0.0332085
125	0.0332082
126	0.0332084
127	0.0332089
128	0.0332094
129	0.0332090
130	0.0332094
131	0.0332095
132	0.0332085
133	0.0332085
134	0.0332089
135	0.0332088
136	0.0332088
137	0.0332088
138	0.0332087
139	0.0332094
140	0.0332093
141	0.0332094
142	0.0332091
143	0.0332088
144	0.0332086
145	0.0332085
146	0.0332084
147	0.0332085
148	0.0332084
149	0.0332082
150	0.0332082
151	0.0332090
152	0.0332093
153	0.0332093
154	0.0332093
155	0.0332098
156	0.0332099
157	0.0332099
158	0.0332095
159	0.0332094
160	0.0332094
161	0.0332088
162	0.0332071
163	0.0332070
164	0.0332070
165	0.0332072
166	0.0332071
167	0.0332072
168	0.0332080
169	0.0332084
170	0.0332084
171	0.0332085
172	0.0332094
173	0.0332097
174	0.0332101
175	0.0332094
176	0.0332082
177	0.0332085
178	0.0332089
179	0.0332089
180	0.0332089
181	0.0332089
182	0.0332089
183	0.0332082
184	0.0332085
185	0.0332081
186	0.0332082
187	0.0332084
188	0.0332085
189	0.0332084
190	0.0332081
191	0.0332080
192	0.0332082
193	0.0332081
194	0.0332076
195	0.0332079
196	0.0332076
197	0.0332075
198	0.0332073
199	0.0332074
200	0.0332094
201	0.0332088
202	0.0332082
203	0.0332083
204	0.0332086
205	0.0332077
206	0.0332079
207	0.0332084
208	0.0332083
209	0.0332077
210	0.0332079
211	0.0332084
212	0.0332081
213	0.0332081
214	0.0332085
215	0.0332083
216	0.0332083
217	0.0332090
218	0.0332089
219	0.0332087
220	0.0332087
221	0.0332089
222	0.0332087
223	0.0332090
224	0.0332090
225	0.0332089
226	0.0332089
227	0.0332086
228	0.0332079
229	0.0332079
230	0.0332085
231	0.0332082
232	0.0332080
233	0.0332083
234	0.0332080
235	0.0332078
236	0.0332080
237	0.0332079
238	0.0332080
239	0.0332080
240	0.0332081
241	0.0332086
242	0.0332086
243	0.0332087
244	0.0332084
245	0.0332080
246	0.0332080
247	0.0332069
248	0.0332064
249	0.0332078
250	0.0332076
251	0.0332075
252	0.0332060
253	0.0332047
254	0.0332072
255	0.0332071
256	0.0332070
257	0.0332072
258	0.0332071
259	0.0332072
260	0.0332082
261	0.0332084
262	0.0332080
263	0.0332087
264	0.0332084
265	0.0332070
266	0.0332072
267	0.0332082
268	0.0332078
269	0.0332067
270	0.0332070
271	0.0332071
272	0.0332072
273	0.0332073
274	0.0332072
275	0.0332073
276	0.0332074
277	0.0332079
278	0.0332078
279	0.0332069
280	0.0332067
281	0.0332066
282	0.0332066
283	0.0332066
284	0.0332065
285	0.0332065
286	0.0332067
287	0.0332068
288	0.0332080
289	0.0332080
290	0.0332080
291	0.0332081
292	0.0332081
293	0.0332079
294	0.0332076
295	0.0332077
296	0.0332081
297	0.0332080
298	0.0332077
299	0.0332075
300	0.0332072
301	0.0332075
302	0.0332073
303	0.0332064
304	0.0332064
305	0.0332069
306	0.0332073
307	0.0332073
308	0.0332072
309	0.0332071
310	0.0332066
311	0.0332068
312	0.0332068
313	0.0332068
314	0.0332069
315	0.0332082
316	0.0332079
317	0.0332073
318	0.0332073
319	0.0332072
320	0.0332081
321	0.0332075
322	0.0332076
323	0.0332081
324	0.0332080
325	0.0332081
326	0.0332085
327	0.0332081
328	0.0332076
329	0.0332070
330	0.0332074
331	0.0332073
332	0.0332071
333	0.0332068
334	0.0332067
335	0.0332068
336	0.0332069
337	0.0332067
338	0.0332066
339	0.0332063
340	0.0332069
341	0.0332069
342	0.0332069
343	0.0332074
344	0.0332073
345	0.0332070
346	0.0332069
347	0.0332078
348	0.0332078
349	0.0332072
350	0.0332072
351	0.0332073
352	0.0332075
353	0.0332077
354	0.0332078
355	0.0332078
356	0.0332076
357	0.0332078
358	0.0332077
359	0.0332071
360	0.0332072
361	0.0332072
362	0.0332070
363	0.0332064
364	0.0332064
365	0.0332071
366	0.0332068
367	0.0332069
368	0.0332069
369	0.0332067
370	0.0332070
371	0.0332070
372	0.0332070
373	0.0332073
374	0.0332072
375	0.0332075
376	0.0332068
377	0.0332066
378	0.0332064
379	0.0332057
380	0.0332053
381	0.0332062
382	0.0332059
383	0.0332066
384	0.0332069
385	0.0332070
386	0.0332071
387	0.0332071
388	0.0332070
389	0.0332065
390	0.0332061
391	0.0332061
392	0.0332060
393	0.0332059
394	0.0332060
395	0.0332061
396	0.0332062
397	0.0332071
398	0.0332069
399	0.0332058
400	0.0332065
401	0.0332065
402	0.0332057
403	0.0332057
404	0.0332045
405	0.0332046
406	0.0332054
407	0.0332052
408	0.0332054
409	0.0332054
410	0.0332049
411	0.0332046
412	0.0332044
413	0.0332045
414	0.0332059
415	0.0332058
416	0.0332058
417	0.0332047
418	0.0332048
419	0.0332050
420	0.0332050
421	0.0332051
422	0.0332050
423	0.0332049
424	0.0332051
425	0.0332050
426	0.0332051
427	0.0332052
428	0.0332052
429	0.0332052
430	0.0332056
431	0.0332053
432	0.0332050
433	0.0332048
434	0.0332055
435	0.0332054
436	0.0332054
437	0.0332057
438	0.0332055
439	0.0332054
440	0.0332052
441	0.0332050
442	0.0332044
443	0.0332044
444	0.0332051
445	0.0332055
446	0.0332055
447	0.0332052
448	0.0332050
449	0.0332052
450	0.0332051
451	0.0332050
452	0.0332050
453	0.0332049
454	0.0332049
455	0.0332057
