x	y
1	0.0570395
2	0.0570395
3	0.0571864
4	0.0572078
5	0.0572618
6	0.0573254
7	0.0572907
8	0.0572878
9	0.0572021
10	0.0572143
11	0.0572327
12	0.0571866
13	0.0572100
14	0.0572174
15	0.0571066
16	0.0571400
17	0.0572253
18	0.0570825
19	0.0571733
20	0.0572084
21	0.0572293
22	0.0572806
23	0.0572943
24	0.0572514
25	0.0572699
26	0.0572878
27	0.0572243
28	0.0572243
29	0.0571988
30	0.0572466
31	0.0573608
32	0.0573702
33	0.0573434
34	0.0573452
35	0.0573495
36	0.0572994
37	0.0573142
38	0.0573585
39	0.0573753
40	0.0573650
41	0.0573353
42	0.0573845
43	0.0573671
44	0.0573775
45	0.0573270
46	0.0573085
47	0.0572126
48	0.0570979
49	0.0570963
50	0.0570818
51	0.0571309
52	0.0572526
53	0.0572338
54	0.0572356
55	0.0572954
56	0.0573870
57	0.0573870
58	0.0574829
59	0.0573836
60	0.0574372
61	0.0574201
62	0.0573451
63	0.0573263
64	0.0573058
65	0.0572927
66	0.0572829
67	0.0573201
68	0.0574124
69	0.0573116
70	0.0573292
71	0.0574388
72	0.0575273
73	0.0571795
74	0.0572543
75	0.0573065
76	0.0573289
77	0.0573402
78	0.0573604
79	0.0573948
80	0.0574403
81	0.0573647
82	0.0573582
83	0.0573517
84	0.0573488
85	0.0573119
86	0.0573787
87	0.0573109
88	0.0573016
89	0.0573374
90	0.0574580
91	0.0574369
92	0.0573623
93	0.0573631
94	0.0573400
95	0.0573776
96	0.0574981
97	0.0575044
98	0.0574807
99	0.0574633
100	0.0574756
101	0.0573940
102	0.0573066
103	0.0573686
104	0.0573137
105	0.0573157
106	0.0572850
107	0.0572966
108	0.0573204
109	0.0573319
110	0.0574393
111	0.0574079
112	0.0574036
113	0.0574099
114	0.0574224
115	0.0573663
116	0.0573993
117	0.0574154
118	0.0573739
119	0.0573898
120	0.0574264
121	0.0574059
122	0.0574489
123	0.0575141
124	0.0574861
125	0.0573191
126	0.0573290
127	0.0573329
128	0.0573603
129	0.0574269
130	0.0574229
131	0.0574080
132	0.0575193
133	0.0575867
134	0.0573867
135	0.0573166
136	0.0572741
137	0.0573097
138	0.0573999
139	0.0574030
140	0.0573852
141	0.0573228
142	0.0573539
143	0.0574145
144	0.0574419
145	0.0574902
146	0.0575742
147	0.0575411
148	0.0575057
149	0.0574616
150	0.0574829
151	0.0574834
152	0.0574923
153	0.0575764
154	0.0575150
155	0.0572498
156	0.0572192
157	0.0572780
158	0.0574524
159	0.0574674
160	0.0574202
161	0.0573423
162	0.0574387
163	0.0573810
164	0.0573463
165	0.0573033
166	0.0572650
167	0.0573048
168	0.0573321
169	0.0573623
170	0.0573808
171	0.0574027
172	0.0574175
173	0.0574786
174	0.0575600
175	0.0575709
176	0.0575481
177	0.0575758
178	0.0576215
