x	y
1	-9.3430769
2	-9.3430769
3	-9.3671368
4	-9.3706481
5	-9.3794896
6	-9.3899048
7	-9.3842208
8	-9.3837500
9	-9.3697157
10	-9.3717071
11	-9.3747215
12	-9.3671739
13	-9.3710000
14	-9.3722222
15	-9.3540741
16	-9.3595455
17	-9.3735165
18	-9.3501282
19	-9.3650000
20	-9.3707489
21	-9.3741667
22	-9.3825641
23	-9.3848233
24	-9.3777963
25	-9.3808166
26	-9.3837500
27	-9.3733524
28	-9.3733468
29	-9.3691667
30	-9.3770000
31	-9.3957143
32	-9.3972533
33	-9.3928571
34	-9.3931454
35	-9.3938540
36	-9.3856577
37	-9.3880673
38	-9.3953333
39	-9.3980769
40	-9.3963942
41	-9.3915385
42	-9.3995833
43	-9.3967369
44	-9.3984461
45	-9.3901722
46	-9.3871429
47	-9.3714286
48	-9.3526476
49	-9.3523810
50	-9.3500000
51	-9.3580580
52	-9.3779933
53	-9.3749017
54	-9.3752000
55	-9.3850000
56	-9.4000000
57	-9.4000000
58	-9.4157003
59	-9.3994444
60	-9.4082225
61	-9.4054167
62	-9.3931410
63	-9.3900572
64	-9.3867047
65	-9.3845496
66	-9.3829556
67	-9.3890355
68	-9.4041667
69	-9.3876557
70	-9.3905316
71	-9.4084794
72	-9.4229814
73	-9.3660130
74	-9.3782657
75	-9.3868205
76	-9.3904762
77	-9.3923297
78	-9.3956359
79	-9.4012698
80	-9.4087348
81	-9.3963462
82	-9.3952821
83	-9.3942195
84	-9.3937443
85	-9.3876923
86	-9.3986364
87	-9.3875291
88	-9.3860102
89	-9.3918750
90	-9.4116293
91	-9.4081746
92	-9.3959605
93	-9.3960870
94	-9.3923077
95	-9.3984676
96	-9.4181990
97	-9.4192308
98	-9.4153480
99	-9.4125000
100	-9.4145128
101	-9.4011538
102	-9.3868333
103	-9.3969787
104	-9.3880000
105	-9.3883184
106	-9.3832856
107	-9.3851905
108	-9.3890909
109	-9.3909722
110	-9.4085696
111	-9.4034182
112	-9.4027143
113	-9.4037500
114	-9.4058013
115	-9.3966026
116	-9.4020130
117	-9.4046503
118	-9.3978495
119	-9.4004647
120	-9.4064530
121	-9.4030953
122	-9.4101389
123	-9.4208155
124	-9.4162319
125	-9.3888814
126	-9.3905000
127	-9.3911364
128	-9.3956298
129	-9.4065385
130	-9.4058732
131	-9.4034426
132	-9.4216667
133	-9.4327177
134	-9.3999455
135	-9.3884615
136	-9.3815038
137	-9.3873397
138	-9.4021209
139	-9.4026247
140	-9.3997029
141	-9.3894800
142	-9.3945833
143	-9.4045000
144	-9.4090000
145	-9.4169048
146	-9.4306582
147	-9.4252469
148	-9.4194493
149	-9.4122115
150	-9.4157143
151	-9.4157937
152	-9.4172423
153	-9.4310317
154	-9.4209722
155	-9.3775185
156	-9.3725062
157	-9.3821429
158	-9.4107143
159	-9.4131746
160	-9.4054348
161	-9.3926849
162	-9.4084615
163	-9.3990217
164	-9.3933333
165	-9.3862879
166	-9.3800233
167	-9.3865385
168	-9.3910000
169	-9.3959565
170	-9.3989855
171	-9.4025654
172	-9.4050000
173	-9.4150000
174	-9.4283333
175	-9.4301282
176	-9.4263906
177	-9.4309333
178	-9.4384099
179	-9.4344444
180	-9.4295238
181	-9.4250279
182	-9.4223264
183	-9.4272727
184	-9.4264291
185	-9.4240000
186	-9.4236703
187	-9.4234921
188	-9.4215873
189	-9.4194017
190	-9.4213636
191	-9.4329167
192	-9.4396667
193	-9.4442857
194	-9.4390325
195	-9.4323016
196	-9.4228388
197	-9.4248620
198	-9.4298996
199	-9.4370330
200	-9.4406891
201	-9.4328571
202	-9.4303333
203	-9.4289553
204	-9.4338462
205	-9.4360083
206	-9.4253416
207	-9.4207634
208	-9.4251136
209	-9.4274690
210	-9.4266144
211	-9.4235714
212	-9.4284167
213	-9.4300035
214	-9.4348103
215	-9.4293035
216	-9.4273779
217	-9.4307555
218	-9.4479762
219	-9.4489316
220	-9.4334783
221	-9.4351982
222	-9.4293182
223	-9.4022203
224	-9.4039103
225	-9.4016736
226	-9.4083824
227	-9.4010921
228	-9.4033333
229	-9.4130000
230	-9.4218561
231	-9.4339948
232	-9.4287296
233	-9.4303333
234	-9.4188942
235	-9.4168549
236	-9.4163300
237	-9.4079000
238	-9.4018971
239	-9.4102356
240	-9.4326715
241	-9.4377619
242	-9.4404078
243	-9.4075897
244	-9.4046858
245	-9.4143077
246	-9.4271429
247	-9.4681818
248	-9.4800350
249	-9.4750000
250	-9.4453333
251	-9.4421368
252	-9.4545796
253	-9.4524542
254	-9.4424908
255	-9.4512179
256	-9.4460001
257	-9.4249870
258	-9.4250000
259	-9.4295455
260	-9.4239293
261	-9.4003571
262	-9.4003339
263	-9.4122684
264	-9.4177522
265	-9.4270163
266	-9.4287500
267	-9.4283333
268	-9.4146258
269	-9.4206154
270	-9.4185474
271	-9.4341367
272	-9.4408633
273	-9.4324665
274	-9.4294383
275	-9.4300000
276	-9.4443333
277	-9.4479402
278	-9.4463640
279	-9.4225962
280	-9.4182568
281	-9.4172039
282	-9.4201729
283	-9.4217563
284	-9.4262500
285	-9.4308013
286	-9.4308333
287	-9.4254762
288	-9.4342857
289	-9.4442063
290	-9.4445347
291	-9.4466667
292	-9.4475484
293	-9.4556133
294	-9.4688782
295	-9.4667619
296	-9.4710870
297	-9.4660684
298	-9.4689469
299	-9.4691712
300	-9.4763245
301	-9.4654000
302	-9.4650000
303	-9.4528596
304	-9.4562000
305	-9.4571949
306	-9.4485956
307	-9.4398074
308	-9.4465278
309	-9.4554652
310	-9.4588037
311	-9.4529221
312	-9.4457500
313	-9.4402778
314	-9.4639048
315	-9.4639286
316	-9.4647727
317	-9.4482086
318	-9.4466910
319	-9.4508523
320	-9.4508490
321	-9.4575725
322	-9.4569231
323	-9.4471429
324	-9.4344945
325	-9.4361859
326	-9.4433268
327	-9.4443636
328	-9.4467879
329	-9.4496737
330	-9.4468750
331	-9.4602951
332	-9.4590476
333	-9.4607399
334	-9.4506475
335	-9.4515719
336	-9.4373077
337	-9.4407343
338	-9.4387879
339	-9.4251515
340	-9.4260590
341	-9.4272222
