x	y
1	516.1400000
2	516.1400000
3	516.1400000
4	516.1410897
5	516.1500000
6	516.1613333
7	516.1613636
8	516.1612500
9	516.1537157
10	516.1533333
11	516.1514286
12	516.1450000
13	516.1500000
14	516.1488889
15	516.1240741
16	516.1295455
17	516.1442857
18	516.1450000
19	516.1525000
20	516.1590000
21	516.1600000
22	516.1625641
23	516.1648233
24	516.1600000
25	516.1606250
26	516.1637500
27	516.1644635
28	516.1625000
29	516.1558333
30	516.1600000
31	516.1700000
32	516.1700000
33	516.1700000
34	516.1704545
35	516.1680952
36	516.1621795
37	516.1648000
38	516.1653333
39	516.1650000
40	516.1657692
41	516.1700000
42	516.1695833
43	516.1678480
44	516.1682609
45	516.1598077
46	516.1585714
47	516.1585714
48	516.1436000
49	516.1416667
50	516.1400000
51	516.1473913
52	516.1679933
53	516.1724017
54	516.1704000
55	516.1750000
56	516.1900000
57	516.1900000
58	516.1853846
59	516.1800000
60	516.1776923
61	516.1779167
62	516.1788462
63	516.1756861
64	516.1705142
65	516.1704348
66	516.1709166
67	516.1775000
68	516.1941667
69	516.1904762
70	516.1905316
71	516.1956222
72	516.1942857
73	516.1712304
74	516.1762500
75	516.1828571
76	516.1819048
77	516.1823297
78	516.1860000
79	516.1855556
80	516.1944491
81	516.1838462
82	516.1746154
83	516.1746362
84	516.1794586
85	516.1885714
86	516.1800000
87	516.1702564
88	516.1700000
89	516.1750000
90	516.1838889
91	516.1838889
92	516.1739605
93	516.1743478
94	516.1700000
95	516.1738095
96	516.1911905
97	516.1950000
98	516.1938095
99	516.1925000
100	516.1955128
101	516.1911538
102	516.1893333
103	516.1878483
104	516.1780000
105	516.1783184
106	516.1753369
107	516.1761905
108	516.1753217
109	516.1754167
110	516.1876923
111	516.1824182
112	516.1817143
113	516.1825000
114	516.1823077
115	516.1807692
116	516.1877273
117	516.1877273
118	516.1856250
119	516.1854647
120	516.1892308
121	516.1861722
122	516.1862500
123	516.1882372
124	516.1895652
125	516.1876923
126	516.1880000
127	516.1886364
128	516.1881298
129	516.1825000
130	516.1825000
131	516.1765195
132	516.1766667
133	516.1978632
134	516.1948000
135	516.1846154
136	516.1810690
137	516.1830769
138	516.1878794
139	516.1862500
140	516.1827053
141	516.1709524
142	516.1770833
143	516.1855000
144	516.1900000
145	516.2019048
146	516.2169082
147	516.2157692
148	516.2062500
149	516.1995192
150	516.2033333
151	516.2022222
152	516.1966073
153	516.2033333
154	516.2020833
155	516.2090000
156	516.2141111
157	516.2121429
158	516.2073810
159	516.2026190
160	516.1950000
161	516.1938889
162	516.1978205
163	516.1865217
164	516.1804762
165	516.1858333
166	516.1850000
167	516.1850000
168	516.1850000
169	516.1869565
170	516.1873188
171	516.1876812
172	516.1900000
173	516.1900000
174	516.2033333
175	516.2166667
176	516.2168376
177	516.2153333
178	516.2162535
179	516.2133333
180	516.2095238
181	516.2091304
182	516.2090000
183	516.2100000
184	516.2090049
185	516.2086667
186	516.2093846
187	516.2142857
188	516.2133333
189	516.2116239
190	516.2100000
191	516.2100000
192	516.2150000
193	516.2214286
194	516.2215325
195	516.2178571
196	516.2156960
197	516.2175286
198	516.2168519
199	516.2234615
200	516.2250014
201	516.2233333
202	516.2233333
203	516.2214553
204	516.2200000
205	516.2224324
206	516.2139130
207	516.2159332
208	516.2237500
209	516.2247500
210	516.2225000
211	516.2150000
212	516.2154167
213	516.2128924
214	516.2171180
215	516.2150000
216	516.2136279
217	516.2214286
218	516.2204762
219	516.2227778
220	516.2234783
221	516.2281982
222	516.2268182
223	516.1998485
224	516.2016667
225	516.1993659
226	516.2058824
227	516.2064255
228	516.2083333
229	516.2100000
230	516.2122727
231	516.2097319
232	516.2071911
233	516.2120000
234	516.2102578
235	516.2092308
236	516.2072222
237	516.2004000
238	516.2050000
239	516.2119023
240	516.2100000
241	516.2147619
242	516.2177411
243	516.2169231
244	516.2150000
245	516.2223077
246	516.2271429
247	516.2281818
248	516.2350350
249	516.2350000
250	516.2320000
251	516.2300000
252	516.2351351
253	516.2347619
254	516.2242857
255	516.2325000
256	516.2243455
257	516.2229870
258	516.2250000
259	516.2250000
260	516.2189293
261	516.2028571
262	516.2031250
263	516.2140865
264	516.2128571
265	516.2100000
266	516.2100000
267	516.2100000
268	516.2100000
269	516.2146154
270	516.2130377
271	516.2283333
272	516.2283333
273	516.2200000
274	516.2204762
275	516.2200000
276	516.2150000
277	516.2161111
278	516.2151140
279	516.2157692
280	516.2147826
281	516.2156250
282	516.2173158
283	516.2184615
284	516.2212500
285	516.2199038
286	516.2225000
287	516.2271429
288	516.2314286
289	516.2371429
290	516.2375347
291	516.2366667
292	516.2375484
293	516.2376923
294	516.2484615
295	516.2453333
296	516.2450000
297	516.2422222
298	516.2460897
299	516.2425000
300	516.2462283
301	516.2404000
302	516.2400000
303	516.2300000
304	516.2332000
305	516.2351692
306	516.2275000
307	516.2183974
308	516.2254167
309	516.2339268
310	516.2374994
311	516.2336364
312	516.2282500
313	516.2300000
314	516.2519048
315	516.2525000
316	516.2522727
317	516.2440909
318	516.2423160
319	516.2427273
320	516.2425881
321	516.2425000
322	516.2344231
323	516.2314286
324	516.2190000
325	516.2209111
326	516.2204348
327	516.2213636
328	516.2237879
329	516.2262121
330	516.2293750
331	516.2440000
332	516.2404762
333	516.2314408
334	516.2246475
335	516.2246154
336	516.2134615
337	516.2134615
338	516.2133333
339	516.2118182
340	516.2140590
341	516.2166667
342	516.2215385
343	516.2286957
344	516.2365766
345	516.2370000
346	516.2375000
347	516.2381410
348	516.2360870
349	516.2200000
350	516.2222727
351	516.2250000
352	516.2285714
353	516.2292892
354	516.2322222
355	516.2333048
356	516.2321739
357	516.2300000
358	516.2288889
359	516.2277778
360	516.2260000
361	516.2254537
362	516.2358013
363	516.2420348
364	516.2420000
365	516.2400000
366	516.2424515
367	516.2438462
368	516.2430000
369	516.2400000
370	516.2427273
371	516.2399567
372	516.2371861
373	516.2350000
374	516.2321739
375	516.2320000
376	516.2250000
377	516.2215385
378	516.2175000
379	516.2150000
380	516.2173333
381	516.2276466
382	516.2266318
383	516.2247368
384	516.2338889
385	516.2350000
386	516.2346667
387	516.2350000
388	516.2400000
389	516.2405308
390	516.2326923
391	516.2450000
392	516.2438889
393	516.2429630
394	516.2430177
395	516.2412500
396	516.2409722
397	516.2406944
398	516.2377671
399	516.2367334
400	516.2343478
401	516.2324749
402	516.2345455
403	516.2337500
404	516.2314156
405	516.2333333
406	516.2336364
407	516.2426059
408	516.2414286
409	516.2370330
410	516.2385714
411	516.2392989
412	516.2377778
413	516.2360000
414	516.2342857
415	516.2387573
416	516.2353846
417	516.2406838
418	516.2373631
419	516.2178261
420	516.2193267
421	516.2188963
422	516.2226422
423	516.2260000
424	516.2333333
425	516.2327273
426	516.2347218
427	516.2331818
428	516.2362500
429	516.2344823
430	516.2303003
431	516.2330769
432	516.2350000
433	516.2302684
434	516.2323077
435	516.2300018
436	516.2283333
437	516.2160870
438	516.2171429
439	516.2163210
440	516.2209091
441	516.2210000
442	516.2420769
443	516.2405468
444	516.2401823
445	516.2398177
446	516.2355556
447	516.2390000
448	516.2451212
449	516.2450000
450	516.2300000
451	516.2220000
452	516.2283333
453	516.2410000
454	516.2511026
455	516.2429412
456	516.2421925
457	516.2451399
458	516.2500000
459	516.2511111
460	516.2486364
461	516.2400000
462	516.2366667
463	516.2350000
464	516.2271429
465	516.2261610
466	516.2307621
467	516.2295833
468	516.2321739
469	516.2307692
470	516.2380769
471	516.2334615
472	516.2334200
473	516.2375000
474	516.2612179
475	516.2568000
476	516.2561538
477	516.2494872
478	516.2457143
479	516.2469231
480	516.2492308
481	516.2454167
482	516.2471429
483	516.2200000
484	516.2200000
485	516.2200000
486	516.2300000
487	516.2295455
488	516.2275610
489	516.2404545
490	516.2400000
491	516.2288835
492	516.2350000
493	516.2419048
494	516.2457143
495	516.2528453
496	516.2503846
497	516.2500000
498	516.2443590
499	516.2460000
500	516.2599487
501	516.2550000
502	516.2596154
503	516.2600000
504	516.2600000
505	516.2450000
506	516.2400000
507	516.2392857
508	516.2386508
509	516.2380159
510	516.2400000
511	516.2399679
512	516.2377778
513	516.2388889
514	516.2393905
515	516.2395833
516	516.2379167
517	516.2366667
518	516.2364706
519	516.2347368
520	516.2394444
521	516.2387892
522	516.2404167
523	516.2400000
524	516.2400000
525	516.2350000
526	516.2379227
527	516.2400000
528	516.2388889
529	516.2510000
530	516.2530915
531	516.2600000
532	516.2631157
533	516.2680000
534	516.2806250
535	516.3290909
536	516.3310000
537	516.3590000
538	516.4257778
539	516.4500000
540	516.5000000
541	516.5855556
542	516.6450000
543	516.7316667
544	516.8238096
545	516.8942857
546	517.0100000
547	517.1200000
548	517.3050000
549	517.4533545
550	517.5850000
551	517.7328571
552	517.9325000
553	518.1437500
554	518.3654545
555	518.6145455
556	518.8450000
557	519.1550000
558	519.4716667
559	519.7883333
560	520.1050000
561	520.4400000
562	520.8025000
563	521.2228846
564	521.6404000
565	522.0100000
566	522.5000000
567	522.9550000
568	523.5375000
569	524.0837500
570	524.6300000
571	525.1900000
572	525.7900000
573	526.4100000
574	527.0300000
575	527.6400000
576	528.2500000
577	528.9550000
578	529.7014103
579	530.4057051
580	531.1100000
581	531.9100000
582	532.6800000
583	533.3912821
584	534.0956410
585	534.7578205
586	535.4200000
587	536.1900000
588	536.9000000
589	537.6000000
590	538.2500000
591	538.9000000
592	539.7200000
593	540.4083333
594	541.0766239
595	541.6883120
596	542.2900000
597	542.9225000
598	543.5391667
599	544.1345914
600	544.6522957
601	545.1700000
602	545.8500000
603	546.4344444
604	546.9772222
605	547.5200000
606	548.1050000
607	548.7114103
608	549.2707051
609	549.7853526
610	550.3000000
611	550.7200000
612	551.3800000
613	551.8553846
614	552.3275000
615	552.7987500
616	553.2700000
617	553.9900000
618	554.3616667
619	554.8458333
620	555.3300000
621	555.8450000
622	556.3600000
623	556.8517949
624	557.2708974
625	557.6900000
626	558.1600000
627	558.7200000
628	559.1912821
629	559.6625641
630	560.1262821
631	560.5900000
632	561.0875000
633	561.5737821
634	562.0234783
635	562.4117391
636	562.8000000
637	563.3600000
638	563.7492308
639	564.1775214
640	564.5887607
641	565.0000000
642	565.3800000
643	565.9225641
644	566.3462821
645	566.7700000
646	567.2300000
647	567.6100000
648	568.0450000
649	568.4425000
650	568.8400000
651	569.2125000
652	569.6050000
653	570.0444444
654	570.4622222
655	570.8611111
656	571.2250000
657	571.6700000
658	572.0483333
659	572.3991667
660	572.7395833
661	573.0800000
662	573.4671795
663	573.7968376
664	574.1264957
665	574.5195238
666	574.9075336
667	575.2125000
668	575.5462500
669	575.8800000
670	576.2300000
671	576.5362500
672	576.8546474
673	577.1542857
674	577.4421429
675	577.6842857
676	578.0380000
677	578.1850000
678	578.5406410
679	578.8653205
680	579.1357143
681	579.4200000
682	579.7235897
683	579.9673504
684	580.1888889
685	580.4344075
686	580.6271429
687	580.8808425
688	581.0960000
689	581.3156667
690	581.5506507
691	581.7620000
692	581.9750000
693	582.1950000
694	582.3875000
695	582.5800000
696	582.8123077
697	582.8650000
698	583.1211111
699	583.3337037
700	583.5058504
701	583.6150000
702	583.8025000
703	583.9436111
704	584.0700000
705	584.2250000
706	584.4050000
707	584.5325000
708	584.6728846
709	584.8045833
710	584.9443373
711	585.0300000
712	585.1786667
713	585.2842857
714	585.3845455
715	585.4862238
716	585.5700000
717	585.7025000
718	585.7925000
719	585.8750000
720	585.9962821
721	586.0400000
722	586.1600000
723	586.2717949
724	586.3239316
725	586.3450000
726	586.4587500
727	586.5477885
728	586.6085714
729	586.6766667
730	586.7548649
731	586.8210000
732	586.8810000
733	586.9493493
734	586.9780000
735	586.9857143
736	587.0804545
737	587.1114286
738	587.1783550
739	587.2162500
740	587.2470833
741	587.2779167
742	587.2825000
743	587.3625000
744	587.4016667
745	587.4025000
746	587.4832900
747	587.4871429
748	587.5420879
749	587.5600000
750	587.5984615
751	587.6471795
752	587.6485714
753	587.6600000
754	587.7006250
755	587.7176442
756	587.7346635
757	587.7571955
758	587.7581250
759	587.7587500
760	587.7885714
761	587.8213187
762	587.8500000
763	587.8500000
764	587.8578261
765	587.8757143
766	587.8850000
767	587.8885714
768	587.8957143
769	587.9196154
770	587.9250000
771	587.9196778
772	587.9183333
773	587.9296570
774	587.9305556
775	587.9311111
776	587.9513960
777	587.9476923
778	587.9392857
779	587.9284066
780	587.9310000
781	587.9257432
782	587.9125901
783	587.8737500
784	587.8410000
785	587.8450000
786	587.8442308
787	587.7920000
788	587.7875897
789	587.7831795
790	587.7275000
791	587.6900000
792	587.6225000
793	587.5803205
794	587.5525000
795	587.4933974
796	587.4525000
797	587.3450000
798	587.2950000
799	587.2326923
800	587.1196154
801	587.0250000
802	587.0000000
803	586.8766667
804	586.7445299
805	586.6459044
806	586.5371726
807	586.4400000
808	586.3400000
809	586.1769231
810	586.0775000
811	585.9475000
812	585.8050000
813	585.6925000
814	585.5075000
815	585.3550000
816	585.1850000
817	584.9975000
818	584.8048077
819	584.6550000
820	584.4150000
821	584.2100000
822	584.0014286
823	583.7943651
824	583.5873016
825	583.3436508
826	583.1325000
827	582.8275000
828	582.6250000
829	582.3457143
830	582.0650000
831	581.7525000
832	581.4687500
833	581.1798397
834	580.8949199
835	580.6100000
836	580.2750000
837	579.9875000
838	579.6186667
839	579.3144274
840	579.0101880
841	578.6185714
842	578.2300000
843	577.8423077
844	577.4961538
845	577.1500000
846	576.7300000
847	576.3412500
848	575.9709524
849	575.6304762
850	575.2900000
851	574.8600000
852	574.4950000
853	574.0778205
854	573.6950000
855	573.3075000
856	572.9200000
857	572.4900000
858	572.1074359
859	571.7550000
860	571.4000000
861	571.0200000
862	570.6475000
863	570.2814744
864	569.9257372
865	569.5700000
866	569.2200000
867	568.8575000
868	568.4714744
869	568.1007479
870	567.7553739
871	567.4275000
872	567.1400000
873	566.7625000
874	566.4213462
875	566.0929954
876	565.8325000
877	565.4451923
878	565.0875962
879	564.7637981
880	564.4400000
881	564.0850000
882	563.8200000
883	563.4350000
884	563.0952564
885	562.7676282
886	562.4425000
887	562.1800000
888	561.8302564
889	561.5251282
890	561.2200000
891	560.8900000
892	560.5600000
893	560.1979487
894	559.8358974
895	559.4679487
896	559.1425000
897	558.9125000
898	558.5712500
899	558.2406250
900	557.9100000
901	557.6300000
902	557.3128571
903	556.9900000
904	556.6807692
905	556.3803846
906	556.0800000
907	555.6950000
908	555.3685714
909	555.0842857
