Seconds	Ch1	Ch2
1	506.800000	516.060000
1	506.850000	516.150000
1	506.820000	516.200000
1	506.920000	516.140000
1	506.750000	516.160000
1	506.780000	516.180000
1	506.770000	516.140000
1	506.710000	516.160000
1	506.770000	516.110000
1	506.780000	516.150000
1	506.830000	516.140000
1	506.770000	516.100000
1	506.810000	516.130000
2	506.780000	516.140000
2	506.830000	516.260000
2	506.780000	516.090000
2	506.680000	516.110000
2	506.660000	516.090000
2	506.740000	516.120000
2	506.760000	516.090000
2	506.860000	516.100000
2	506.800000	516.090000
2	506.770000	516.280000
2	506.640000	516.130000
2	506.780000	516.180000
3	506.840000	516.110000
3	506.810000	516.030000
3	506.750000	516.030000
3	506.670000	516.220000
3	506.770000	516.010000
3	506.710000	516.150000
3	506.740000	516.120000
3	506.870000	516.180000
3	506.820000	516.140000
3	506.680000	516.240000
3	506.730000	516.090000
3	506.740000	516.220000
4	506.840000	516.200000
4	506.730000	516.140000
4	506.680000	516.140000
4	506.810000	516.070000
4	506.860000	516.210000
4	506.790000	516.130000
4	506.760000	516.100000
4	506.730000	516.130000
4	506.710000	516.250000
4	506.820000	516.240000
4	506.660000	516.110000
4	506.760000	516.100000
4	506.850000	516.180000
5	506.730000	516.130000
5	506.780000	516.190000
5	506.710000	516.240000
5	506.760000	516.170000
5	506.770000	516.140000
5	506.780000	516.130000
5	506.780000	516.210000
5	506.870000	516.240000
5	506.650000	516.140000
5	506.800000	516.010000
5	506.850000	516.130000
5	506.750000	516.140000
6	506.850000	516.200000
6	506.600000	516.280000
6	506.800000	516.030000
6	506.750000	516.180000
6	506.850000	516.110000
6	506.790000	516.230000
6	506.790000	516.230000
6	506.730000	516.160000
6	506.750000	516.190000
6	506.790000	516.230000
6	506.840000	516.170000
6	506.870000	516.110000
6	506.860000	516.170000
7	506.830000	516.100000
7	506.910000	516.260000
7	506.850000	516.200000
7	506.850000	516.140000
7	506.780000	516.100000
7	506.620000	516.140000
7	506.860000	516.130000
7	506.730000	516.060000
7	506.720000	516.270000
7	506.820000	516.150000
7	506.680000	516.190000
7	506.630000	516.140000
7	506.860000	516.180000
8	506.840000	516.150000
8	506.770000	516.230000
8	506.730000	516.130000
8	506.870000	516.190000
8	506.880000	516.210000
8	506.860000	516.190000
8	506.740000	516.130000
8	506.830000	516.090000
8	506.790000	516.100000
8	506.730000	516.150000
8	506.820000	516.030000
8	506.690000	515.970000
8	506.830000	516.130000
9	506.820000	516.220000
9	506.860000	516.220000
9	506.740000	516.200000
9	506.700000	516.080000
9	506.860000	516.160000
9	506.810000	516.250000
9	506.830000	516.120000
9	506.760000	516.020000
9	506.860000	516.130000
9	506.830000	516.240000
9	506.850000	516.250000
9	506.620000	516.140000
10	506.740000	516.190000
10	506.850000	516.120000
10	506.770000	516.100000
10	506.800000	516.130000
10	506.690000	516.110000
10	506.740000	516.130000
10	506.880000	516.230000
10	506.780000	516.190000
