x	y
1	570.3948462
2	570.3948462
3	571.8636987
4	572.0780694
5	572.6178411
6	573.2536857
7	572.9066786
8	572.8779375
9	572.0211426
10	572.1427196
11	572.3267446
12	571.8659674
13	572.0995500
14	572.1741667
15	571.0662222
16	571.4002500
17	572.2531813
18	570.8253269
19	571.7332500
20	572.0842233
21	572.2928750
22	572.8055385
23	572.9434616
24	572.5144615
25	572.6988538
26	572.8779375
27	572.2431646
28	572.2428232
29	571.9876250
30	572.4658500
31	573.6083571
32	573.7023124
33	573.4339286
34	573.4515247
35	573.4947881
36	572.9944055
37	573.1415089
38	573.5851000
39	573.7525962
40	573.6498678
41	573.3534231
42	573.8445625
43	573.6707851
44	573.7751316
45	573.2700138
46	573.0850714
47	572.1257143
48	570.9791371
49	570.9628571
50	570.8175000
51	571.3094391
52	572.5264916
53	572.3377488
54	572.3559600
55	572.9542500
56	573.8700000
57	573.8700000
58	574.8285037
59	573.8360833
60	574.3719808
61	574.2006875
62	573.4512596
63	573.2629904
64	573.0583211
65	572.9267504
66	572.8294419
67	573.2006168
68	574.1243750
69	573.1163791
70	573.2919561
71	574.3876648
72	575.2730124
73	571.7950945
74	572.5431228
75	573.0653927
76	573.2885714
77	573.4017273
78	573.6035731
79	573.9475238
80	574.4032582
81	573.6469327
82	573.5819692
83	573.5171010
84	573.4880882
85	573.1186154
86	573.7867500
87	573.1086538
88	573.0159231
89	573.3739688
90	574.5799671
91	574.3690595
92	573.6233884
93	573.6311087
94	573.4003846
95	573.7764496
96	574.9810504
97	575.0440385
98	574.8069945
99	574.6331250
100	574.7560077
101	573.9404423
102	573.0661750
103	573.6855524
104	573.1374000
105	573.1568414
106	572.8495881
107	572.9658786
108	573.2040003
109	573.3188542
110	574.3931744
111	574.0786802
112	574.0357071
113	574.0989375
114	574.2241683
115	573.6625865
116	573.9928929
117	574.1539038
118	573.7387139
119	573.8983726
120	574.2639551
121	574.0589685
122	574.4889792
123	575.1407879
124	574.8609565
125	573.1912083
126	573.2900250
127	573.3288750
128	573.6032018
129	574.2691731
130	574.2285577
131	574.0801677
132	575.1927500
133	575.8674167
134	573.8666746
135	573.1655769
136	572.7408070
137	573.0970913
138	573.9994791
139	574.0302404
140	573.8518620
141	573.2277538
142	573.5393125
143	574.1447250
144	574.4194500
145	574.9020357
146	575.7416847
147	575.4113221
148	575.0573826
149	574.6155144
150	574.8293571
151	574.8342024
152	574.9226398
153	575.7644881
154	575.1503542
155	572.4975056
156	572.1915019
157	572.7798214
158	574.5241071
159	574.6743095
160	574.2017935
161	573.4234116
162	574.3865769
163	573.8102772
164	573.4630000
165	573.0328750
166	572.6504231
167	573.0481731
168	573.3205500
169	573.6231457
170	573.8080652
171	574.0266194
172	574.1752500
173	574.7857500
174	575.5997500
175	575.7093269
176	575.4811474
177	575.7584800
178	576.2149221
179	575.9728333
180	575.6724286
181	575.3979515
182	575.2330270
183	575.5350000
184	575.4834985
185	575.3352000
186	575.3150736
187	575.3041905
188	575.1879048
189	575.0544744
190	575.1742500
191	575.8795625
192	576.2916500
193	576.5736429
194	576.2529354
195	575.8420119
196	575.2643104
197	575.3878230
198	575.6953713
199	576.1308626
200	576.3540720
201	575.8759286
202	575.7218500
203	575.6377211
204	575.9363077
205	576.0683077
206	575.4171056
207	575.1376072
208	575.4031875
209	575.5469831
210	575.4948097
211	575.3090357
212	575.6048375
213	575.7017140
214	575.9951679
215	575.6589807
216	575.5414183
217	575.7476229
218	576.7989464
219	576.8572756
220	575.9138478
221	576.0188529
222	575.6598750
223	574.0055481
224	574.1087212
225	573.9721731
226	574.3817426
227	573.9366739
228	574.0735000
229	574.6636500
230	575.2043125
231	575.9453798
232	575.6239423
233	575.7218500
234	575.0234884
235	574.8989943
236	574.8669484
237	574.3522950
238	573.9858173
239	574.4948846
240	575.8645962
241	576.1753643
242	576.3368971
243	574.3333538
244	574.1560682
245	574.7434846
246	575.5270714
247	578.0325000
248	578.7561346
249	578.4487500
250	576.6376000
251	576.4424487
252	577.2020833
253	577.0723297
254	576.4640659
255	576.9968558
256	576.6783087
257	575.3954546
258	575.3962500
259	575.6737500
260	575.3308847
261	573.8918036
262	573.8903870
263	574.6189832
264	574.9537747
265	575.5193462
266	575.6251875
267	575.5997500
268	574.7629038
269	575.1285692
270	575.0023202
271	575.9540431
272	576.3647069
273	575.8520777
274	575.6672080
275	575.7015000
276	576.5765500
277	576.7967474
278	576.7005198
279	575.2494952
280	574.9845792
281	574.9203010
282	575.1015556
283	575.1982226
284	575.4725625
285	575.7504183
286	575.7523750
287	575.4253214
288	575.9631429
289	576.5687976
290	576.5888418
291	576.7190000
292	576.7728285
293	577.2651923
294	578.0750144
295	577.9458143
296	578.2098587
297	577.9034744
298	578.0792074
299	578.0928994
300	578.5296080
301	577.8626700
302	577.8382500
303	577.0970762
304	577.3010100
305	577.3617469
306	576.8367635
307	576.3002414
308	576.7105208
309	577.2561522
310	577.4599687
311	577.1008929
312	576.6630362
313	576.3289583
314	577.7713857
315	577.7728393
316	577.8243750
317	576.8131324
318	576.7204866
319	576.9745312
320	576.9743323
321	577.3847989
322	577.3451538
323	576.7480714
324	575.9758896
325	576.0791462
326	576.5151004
327	576.5784000
328	576.7264000
329	576.9025769
330	576.7317188
331	577.5510160
332	577.4748571
333	577.5781685
334	576.9620296
335	577.0184649
336	576.1476346
337	576.3568269
338	576.2380000
339	575.4055000
340	575.4609004
341	575.5319167
342	575.8423846
343	576.3618693
344	576.8491690
345	577.4370643
346	577.6856250
347	577.6738846
348	577.3958587
349	576.0328397
350	576.3789265
351	576.5730503
352	576.5977162
353	576.4539566
354	576.9055417
355	576.7912607
356	577.1424317
357	577.0350512
358	576.9408164
359	575.3715833
360	575.3700857
361	576.0392948
362	577.0747833
363	577.8591108
364	577.6685176
365	577.4457857
366	577.7711459
367	577.3947244
368	577.1847889
369	576.8433611
370	577.2768462
371	577.2861571
372	578.1564297
373	577.9654375
374	577.2379759
375	577.1463500
376	576.5259359
377	576.2877887
378	576.2611250
