x	y
1	31510.3470000
2	31510.3470000
3	31510.3470000
4	31510.4135288
5	31510.9575000
6	31511.6494000
7	31511.6512500
8	31511.6443125
9	31511.1843426
10	31511.1610000
11	31511.0447143
12	31510.6522500
13	31510.9575000
14	31510.8896667
15	31509.3747222
16	31509.7087500
17	31510.6086429
18	31510.6522500
19	31511.1101250
20	31511.5069500
21	31511.5680000
22	31511.7245385
23	31511.8624616
24	31511.5680000
25	31511.6061562
26	31511.7969375
27	31511.8404979
28	31511.7206250
29	31511.3136250
30	31511.5680000
31	31512.1785000
32	31512.1785000
33	31512.1785000
34	31512.2062500
35	31512.0622143
36	31511.7010577
37	31511.8610400
38	31511.8936000
39	31511.8732500
40	31511.9202115
41	31512.1785000
42	31512.1530625
43	31512.0471184
44	31512.0723261
45	31511.5562596
46	31511.4807857
47	31511.4807857
48	31510.5667800
49	31510.4487500
50	31510.3470000
51	31510.7982391
52	31512.0559916
53	31512.3251238
54	31512.2029200
55	31512.4837500
56	31513.3995000
57	31513.3995000
58	31513.1177308
59	31512.7890000
60	31512.6481154
61	31512.6618125
62	31512.7185577
63	31512.5256346
64	31512.2098925
65	31512.2050435
66	31512.2344565
67	31512.6363750
68	31513.6538750
69	31513.4285714
70	31513.4319561
71	31513.7427362
72	31513.6611429
73	31512.2536163
74	31512.5600625
75	31512.9634286
76	31512.9052857
77	31512.9312273
78	31513.1553000
79	31513.1281667
80	31513.6711154
81	31513.0238077
82	31512.4602692
83	31512.4615385
84	31512.7559453
85	31513.3122857
86	31512.7890000
87	31512.1941538
88	31512.1785000
89	31512.4837500
90	31513.0264167
91	31513.0264167
92	31512.4202884
93	31512.4439348
94	31512.1785000
95	31512.4110714
96	31513.4721786
97	31513.7047500
98	31513.6320714
99	31513.5521250
100	31513.7360577
101	31513.4699423
102	31513.3588000
103	31513.2681394
104	31512.6669000
105	31512.6863414
106	31512.5043189
107	31512.5564286
108	31512.5033888
109	31512.5091875
110	31513.2586154
111	31512.9366302
112	31512.8936571
113	31512.9416250
114	31512.9298846
115	31512.8359615
116	31513.2607500
117	31513.2607500
118	31513.1324063
119	31513.1226226
120	31513.3525385
121	31513.1658146
122	31513.1705625
123	31513.2918798
124	31513.3729565
125	31513.2586154
126	31513.2774000
127	31513.3162500
128	31513.2853268
129	31512.9416250
130	31512.9416250
131	31512.5765139
132	31512.5855000
133	31513.8795513
134	31513.6925400
135	31513.0707692
136	31512.8542635
137	31512.9768462
138	31513.2700384
139	31513.1705625
140	31512.9541587
141	31512.2366429
142	31512.6109375
143	31513.1247750
144	31513.3995000
145	31514.1262857
146	31515.0422472
147	31514.9727115
148	31514.3915625
149	31513.9806490
150	31514.2135000
151	31514.1456667
152	31513.8028779
153	31514.2135000
154	31514.1371875
155	31514.5594500
156	31514.8714833
157	31514.7513214
158	31514.4606071
159	31514.1698929
160	31513.7047500
161	31513.6369167
162	31513.8769423
163	31513.1871522
164	31512.8180714
165	31513.1451250
166	31513.0942500
167	31513.0942500
168	31513.0942500
169	31513.2136957
170	31513.2358152
171	31513.2579348
172	31513.3995000
173	31513.3995000
174	31514.2135000
175	31515.0275000
176	31515.0379359
177	31514.9461000
178	31515.0022749
179	31514.8240000
180	31514.5914286
181	31514.5674130
182	31514.5594500
183	31514.6205000
184	31514.5597485
185	31514.5391000
186	31514.5829308
187	31514.8821429
188	31514.8240000
189	31514.7196410
190	31514.6205000
191	31514.6205000
192	31514.9257500
193	31515.3182143
194	31515.3245604
195	31515.1001786
196	31514.9682390
197	31515.0801230
198	31515.0388113
199	31515.4423269
200	31515.5363346
201	31515.4345000
202	31515.4345000
203	31515.3198461
204	31515.2310000
205	31515.3795000
206	31514.8593913
207	31514.9827194
208	31515.4599375
209	31515.5209901
210	31515.3836250
211	31514.9257500
212	31514.9511875
213	31514.7970807
214	31515.0550525
215	31514.9257500
216	31514.8419808
217	31515.3182143
218	31515.2600714
219	31515.4005833
220	31515.4433478
221	31515.7315029
222	31515.6472500
223	31514.0007500
224	31514.1117500
225	31513.9712885
226	31514.3691176
227	31514.4022739
228	31514.5187500
229	31514.6205000
230	31514.7592500
231	31514.6041346
232	31514.4490192
233	31514.7426000
234	31514.6362384
235	31514.5735385
236	31514.4509167
237	31514.0344200
238	31514.3152500
239	31514.7366346
240	31514.6205000
241	31514.9112143
242	31515.0930971
243	31515.0431538
244	31514.9257500
245	31515.3718846
246	31515.6670714
247	31515.7305000
248	31516.1488846
249	31516.1467500
250	31515.9636000
251	31515.8415000
252	31516.1550000
253	31516.1322143
254	31515.4926429
255	31515.9941250
256	31515.4962944
257	31515.4133546
258	31515.5362500
259	31515.5362500
260	31515.1656347
261	31514.1844286
262	31514.2007813
263	31514.8699832
264	31514.7949286
265	31514.6205000
266	31514.6205000
267	31514.6205000
268	31514.6205000
269	31514.9022692
270	31514.8059525
271	31515.7397500
272	31515.7397500
273	31515.2310000
274	31515.2600714
275	31515.2310000
276	31514.9257500
277	31514.9935833
278	31514.9327073
279	31514.9727115
280	31514.9124783
281	31514.9639062
282	31515.0671271
283	31515.1370769
284	31515.3073125
285	31515.2251298
286	31515.3836250
287	31515.6670714
288	31515.9287143
289	31516.2775714
290	31516.3014918
291	31516.2485000
292	31516.3023285
293	31516.3111154
294	31516.9685769
295	31516.7776000
296	31516.7572500
297	31516.5876667
298	31516.8237788
299	31516.6046250
300	31516.8322378
301	31516.4764200
302	31516.4520000
303	31515.8415000
304	31516.0368600
305	31516.1570815
306	31515.6888750
307	31515.1331635
308	31515.5616875
309	31516.0812292
310	31516.2993383
311	31516.0635000
312	31515.7346612
313	31515.8415000
314	31517.1787857
315	31517.2151250
316	31517.2012500
317	31516.7017500
318	31516.5933929
319	31516.6185000
320	31516.6100062
321	31516.6046250
322	31516.1115288
323	31515.9287143
324	31515.1699500
325	31515.2866242
326	31515.2575435
327	31515.3142500
328	31515.4622500
329	31515.6102500
330	31515.8033438
331	31516.6962000
332	31516.4810714
333	31515.9294597
334	31515.5147296
335	31515.5127692
336	31514.8318269
337	31514.8318269
338	31514.8240000
339	31514.7315000
340	31514.8683004
341	31515.0275000
342	31515.3249231
343	31515.7618696
344	31516.2430023
345	31516.2688500
346	31516.2993750
347	31516.3385096
348	31516.2131087
349	31515.2310000
350	31515.3697500
351	31515.5362500
352	31515.7542857
353	31515.7981045
354	31515.9771667
355	31516.0432607
356	31515.9742174
357	31515.8415000
358	31515.7736667
359	31515.7058333
360	31515.5973000
361	31515.5639495
362	31516.1956683
363	31516.5762259
364	31516.5741000
365	31516.4520000
366	31516.6016615
367	31516.6868077
368	31516.6351500
369	31516.4520000
370	31516.6185000
371	31516.4493571
372	31516.2802143
373	31516.1467500
374	31515.9742174
375	31515.9636000
376	31515.5362500
377	31515.3249231
378	31515.0783750
379	31514.9257500
