x	y
1	0.4241003
2	0.4241003
3	0.4243970
4	0.4244019
5	0.4242446
6	0.4242020
7	0.4241627
8	0.4241336
9	0.4239789
10	0.4238927
11	0.4239044
12	0.4239215
13	0.4239519
14	0.4239519
15	0.4239248
16	0.4239561
17	0.4240251
18	0.4240283
19	0.4238908
20	0.4238678
21	0.4236603
22	0.4236664
23	0.4237938
24	0.4237821
25	0.4237762
26	0.4239153
27	0.4239541
28	0.4240917
29	0.4241076
30	0.4239200
31	0.4239098
32	0.4240078
33	0.4238393
34	0.4237438
35	0.4237452
36	0.4237407
37	0.4237820
38	0.4238838
39	0.4238997
40	0.4238630
41	0.4236954
42	0.4236232
43	0.4236743
44	0.4238105
45	0.4238551
46	0.4238379
47	0.4237866
48	0.4237410
49	0.4237972
50	0.4238324
51	0.4237838
52	0.4237766
53	0.4238364
54	0.4238192
55	0.4238426
56	0.4238532
57	0.4238650
58	0.4238760
59	0.4238858
60	0.4238805
61	0.4238786
62	0.4238162
63	0.4237636
64	0.4238303
65	0.4239231
66	0.4239063
67	0.4238774
68	0.4239035
69	0.4239846
70	0.4239647
71	0.4239719
72	0.4239907
73	0.4239399
74	0.4239461
75	0.4240888
76	0.4240561
77	0.4240228
78	0.4239026
79	0.4240015
80	0.4240009
81	0.4239433
82	0.4238771
83	0.4238906
84	0.4236989
85	0.4237637
86	0.4237470
87	0.4237752
88	0.4237296
89	0.4237175
90	0.4237335
91	0.4237788
92	0.4238739
93	0.4238461
94	0.4238025
95	0.4238379
96	0.4238561
97	0.4239090
98	0.4238738
99	0.4238407
100	0.4238182
101	0.4238549
102	0.4239118
103	0.4239455
104	0.4239225
105	0.4238789
106	0.4239198
107	0.4238125
108	0.4237074
109	0.4238004
110	0.4241078
111	0.4240118
112	0.4238835
113	0.4238524
114	0.4237803
115	0.4237562
116	0.4237714
117	0.4237536
118	0.4237690
119	0.4237677
120	0.4238031
121	0.4238077
122	0.4239535
123	0.4239662
124	0.4239647
125	0.4239440
126	0.4239506
127	0.4239370
128	0.4239637
129	0.4240499
130	0.4240630
131	0.4240368
132	0.4240788
133	0.4240031
134	0.4240806
135	0.4242315
136	0.4242223
137	0.4242318
138	0.4243513
139	0.4243025
140	0.4243603
141	0.4243864
142	0.4244247
143	0.4243905
144	0.4243721
145	0.4246282
146	0.4246533
147	0.4246326
148	0.4246239
149	0.4247321
150	0.4248948
151	0.4248885
152	0.4249163
153	0.4250800
154	0.4250551
155	0.4250740
156	0.4251061
157	0.4250736
158	0.4251673
159	0.4252847
160	0.4252743
