x	y
1	-0.0038617
2	-0.0038617
3	-0.0038644
4	-0.0038645
5	-0.0038630
6	-0.0038626
7	-0.0038623
8	-0.0038620
9	-0.0038606
10	-0.0038598
11	-0.0038599
12	-0.0038601
13	-0.0038604
14	-0.0038604
15	-0.0038601
16	-0.0038604
17	-0.0038610
18	-0.0038611
19	-0.0038598
20	-0.0038596
21	-0.0038577
22	-0.0038578
23	-0.0038589
24	-0.0038588
25	-0.0038588
26	-0.0038600
27	-0.0038604
28	-0.0038616
29	-0.0038618
30	-0.0038601
31	-0.0038600
32	-0.0038609
33	-0.0038593
34	-0.0038585
35	-0.0038585
36	-0.0038584
37	-0.0038588
38	-0.0038597
39	-0.0038599
40	-0.0038595
41	-0.0038580
42	-0.0038574
43	-0.0038578
44	-0.0038591
45	-0.0038595
46	-0.0038593
47	-0.0038589
48	-0.0038584
49	-0.0038589
50	-0.0038593
51	-0.0038588
52	-0.0038588
53	-0.0038593
54	-0.0038591
55	-0.0038594
56	-0.0038595
57	-0.0038596
58	-0.0038597
59	-0.0038598
60	-0.0038597
61	-0.0038597
62	-0.0038591
63	-0.0038586
64	-0.0038593
65	-0.0038601
66	-0.0038599
67	-0.0038597
68	-0.0038599
69	-0.0038607
70	-0.0038605
71	-0.0038605
72	-0.0038607
73	-0.0038602
74	-0.0038603
75	-0.0038616
76	-0.0038613
77	-0.0038610
78	-0.0038599
79	-0.0038608
80	-0.0038608
81	-0.0038603
82	-0.0038597
83	-0.0038598
84	-0.0038581
85	-0.0038586
86	-0.0038585
87	-0.0038587
88	-0.0038583
89	-0.0038582
90	-0.0038584
91	-0.0038588
92	-0.0038596
93	-0.0038594
94	-0.0038590
95	-0.0038593
96	-0.0038595
97	-0.0038600
98	-0.0038596
99	-0.0038593
100	-0.0038591
101	-0.0038595
102	-0.0038600
103	-0.0038603
104	-0.0038601
105	-0.0038597
106	-0.0038601
107	-0.0038591
108	-0.0038581
109	-0.0038590
110	-0.0038618
111	-0.0038609
112	-0.0038597
113	-0.0038595
114	-0.0038588
115	-0.0038586
116	-0.0038587
117	-0.0038586
118	-0.0038587
119	-0.0038587
120	-0.0038590
121	-0.0038590
122	-0.0038604
123	-0.0038605
124	-0.0038605
125	-0.0038603
126	-0.0038603
127	-0.0038602
128	-0.0038605
129	-0.0038613
130	-0.0038614
131	-0.0038611
132	-0.0038615
133	-0.0038608
134	-0.0038615
135	-0.0038629
136	-0.0038628
137	-0.0038629
138	-0.0038640
139	-0.0038636
140	-0.0038641
141	-0.0038643
142	-0.0038647
143	-0.0038644
144	-0.0038642
145	-0.0038665
146	-0.0038667
147	-0.0038666
148	-0.0038665
149	-0.0038675
