x	y
1	3.6853631
2	3.6853631
3	3.6853777
4	3.6854171
5	3.6854008
6	3.6854883
7	3.6854791
8	3.6854906
9	3.6854914
10	3.6854623
11	3.6854435
12	3.6854478
13	3.6854328
14	3.6854335
15	3.6854457
16	3.6854497
17	3.6854596
18	3.6853831
19	3.6853687
20	3.6853825
21	3.6854155
22	3.6854181
23	3.6854333
24	3.6854908
25	3.6855100
26	3.6855009
27	3.6854596
28	3.6854582
29	3.6854542
30	3.6852317
31	3.6852363
32	3.6853356
33	3.6854827
34	3.6854825
35	3.6854785
36	3.6854850
37	3.6854988
38	3.6854993
39	3.6855244
40	3.6855152
41	3.6854833
42	3.6854313
43	3.6854561
44	3.6854355
45	3.6853643
46	3.6853589
47	3.6853394
48	3.6853748
49	3.6854609
50	3.6854596
51	3.6854097
52	3.6854150
53	3.6854629
54	3.6854588
55	3.6854969
56	3.6856156
57	3.6856150
58	3.6855432
59	3.6853855
60	3.6853786
61	3.6852912
62	3.6852389
63	3.6852930
64	3.6852957
65	3.6852700
66	3.6853980
67	3.6853548
68	3.6853544
69	3.6853906
70	3.6853957
71	3.6854969
72	3.6854730
73	3.6854665
74	3.6854639
75	3.6854550
76	3.6854121
77	3.6853931
78	3.6853748
79	3.6853639
80	3.6853631
81	3.6853725
82	3.6854476
83	3.6854054
84	3.6853443
85	3.6853104
86	3.6853126
87	3.6852985
88	3.6853298
89	3.6853748
90	3.6853260
91	3.6852098
92	3.6853443
93	3.6853662
94	3.6853748
95	3.6853774
96	3.6854052
97	3.6854137
98	3.6854420
99	3.6853565
100	3.6853797
101	3.6854028
102	3.6854097
103	3.6854087
104	3.6854053
105	3.6853678
106	3.6853584
107	3.6853612
108	3.6853562
109	3.6853748
110	3.6853748
111	3.6853193
112	3.6853141
113	3.6853269
114	3.6853680
115	3.6854399
116	3.6854373
117	3.6854013
118	3.6854228
119	3.6854359
120	3.6854359
121	3.6853609
122	3.6853770
123	3.6853596
124	3.6853733
125	3.6853494
126	3.6852526
127	3.6852629
128	3.6852639
129	3.6852650
130	3.6852710
131	3.6852786
132	3.6852349
133	3.6852527
134	3.6852484
135	3.6852457
136	3.6852537
137	3.6853630
138	3.6853541
139	3.6853708
140	3.6853626
141	3.6853348
142	3.6853356
143	3.6854003
144	3.6853809
145	3.6851951
146	3.6851313
147	3.6851559
148	3.6851611
149	3.6851757
150	3.6852100
151	3.6852154
152	3.6852247
153	3.6852760
154	3.6852832
155	3.6853077
156	3.6852934
157	3.6852222
158	3.6852069
159	3.6851514
160	3.6852909
161	3.6853316
162	3.6853290
163	3.6852109
164	3.6852442
165	3.6851917
166	3.6851146
167	3.6852142
168	3.6852101
169	3.6852333
170	3.6852222
171	3.6851688
172	3.6851955
173	3.6851880
174	3.6851611
175	3.6851263
176	3.6851281
177	3.6851383
178	3.6852349
179	3.6853138
180	3.6853192
181	3.6853016
182	3.6853340
183	3.6854108
184	3.6853557
185	3.6853581
186	3.6853138
187	3.6852527
188	3.6852480
189	3.6852462
190	3.6852500
191	3.6852997
192	3.6852900
193	3.6853055
194	3.6853007
195	3.6853051
196	3.6852920
197	3.6851828
198	3.6851861
199	3.6852113
200	3.6852459
201	3.6852597
202	3.6852410
203	3.6852222
204	3.6851917
205	3.6851612
206	3.6850299
207	3.6850973
208	3.6852595
209	3.6852571
210	3.6852652
211	3.6852856
212	3.6852649
213	3.6852527
214	3.6852188
215	3.6851550
216	3.6851230
217	3.6851212
218	3.6851396
219	3.6851612
220	3.6851421
221	3.6851544
222	3.6852375
223	3.6852711
224	3.6852527
225	3.6852527
226	3.6851165
227	3.6851001
228	3.6849475
229	3.6849627
230	3.6849627
231	3.6850027
232	3.6850314
233	3.6851148
234	3.6850931
235	3.6851165
236	3.6851077
237	3.6850643
238	3.6850957
239	3.6851192
240	3.6851021
241	3.6851132
242	3.6851001
243	3.6851052
244	3.6851404
245	3.6849569
246	3.6849646
247	3.6849694
248	3.6850085
249	3.6851258
250	3.6851278
251	3.6850899
252	3.6850879
253	3.6850696
254	3.6850884
255	3.6850779
256	3.6850113
257	3.6849933
258	3.6850002
259	3.6849682
260	3.6849688
261	3.6850619
262	3.6851907
263	3.6851798
264	3.6851873
265	3.6851484
266	3.6850925
267	3.6851024
268	3.6851154
269	3.6851146
270	3.6850528
271	3.6850474
272	3.6850136
273	3.6850118
274	3.6850361
275	3.6850307
276	3.6849658
277	3.6849614
278	3.6849570
279	3.6849228
280	3.6849475
281	3.6849616
282	3.6849169
283	3.6849751
284	3.6850169
285	3.6850187
286	3.6851069
287	3.6850848
288	3.6850136
289	3.6849947
290	3.6849867
291	3.6849983
292	3.6850751
293	3.6850761
294	3.6850771
295	3.6850716
296	3.6850652
297	3.6850085
298	3.6849725
299	3.6849457
300	3.6849305
301	3.6849588
302	3.6848830
303	3.6848712
304	3.6849729
305	3.6850625
306	3.6850586
307	3.6850628
308	3.6850418
309	3.6849882
310	3.6849774
311	3.6849808
312	3.6849603
313	3.6849530
314	3.6849805
315	3.6850129
316	3.6850347
317	3.6850407
318	3.6850200
319	3.6849933
320	3.6847949
321	3.6848418
322	3.6848633
323	3.6848051
324	3.6848210
325	3.6849017
326	3.6849170
327	3.6849170
328	3.6848105
329	3.6848004
330	3.6848644
331	3.6848587
332	3.6848784
333	3.6848898
334	3.6849517
335	3.6849616
336	3.6850569
337	3.6850260
338	3.6849001
339	3.6848966
340	3.6848917
341	3.6848992
342	3.6848975
343	3.6848664
344	3.6848814
345	3.6849001
346	3.6848681
347	3.6848099
348	3.6847948
349	3.6847745
350	3.6847687
351	3.6847667
352	3.6847774
353	3.6848864
354	3.6848479
355	3.6848774
356	3.6849005
357	3.6848395
358	3.6848401
359	3.6848254
360	3.6848392
361	3.6848864
362	3.6848525
