x	y
1	0.0039915
2	0.0039915
3	0.0039918
4	0.0039923
5	0.0039923
6	0.0039932
7	0.0039937
8	0.0039943
9	0.0039941
10	0.0039936
11	0.0039939
12	0.0039945
13	0.0039938
14	0.0039936
15	0.0039937
16	0.0039937
17	0.0039938
18	0.0039925
19	0.0039923
20	0.0039922
21	0.0039922
22	0.0039923
23	0.0039926
24	0.0039932
25	0.0039936
26	0.0039937
27	0.0039934
28	0.0039934
29	0.0039937
30	0.0039917
31	0.0039919
32	0.0039931
33	0.0039944
34	0.0039929
35	0.0039929
36	0.0039928
37	0.0039930
38	0.0039930
39	0.0039932
40	0.0039927
41	0.0039927
42	0.0039926
43	0.0039924
44	0.0039923
45	0.0039917
46	0.0039921
47	0.0039920
48	0.0039927
49	0.0039934
50	0.0039934
51	0.0039932
52	0.0039931
53	0.0039936
54	0.0039937
55	0.0039939
56	0.0039951
57	0.0039956
58	0.0039949
59	0.0039932
60	0.0039925
61	0.0039926
62	0.0039924
63	0.0039927
64	0.0039927
65	0.0039925
66	0.0039940
67	0.0039935
68	0.0039937
69	0.0039940
70	0.0039940
71	0.0039943
72	0.0039935
73	0.0039930
74	0.0039936
75	0.0039935
76	0.0039931
77	0.0039934
78	0.0039932
79	0.0039929
80	0.0039928
81	0.0039932
82	0.0039935
83	0.0039931
84	0.0039924
85	0.0039920
86	0.0039923
87	0.0039924
88	0.0039930
89	0.0039937
90	0.0039936
91	0.0039924
92	0.0039935
93	0.0039936
94	0.0039938
95	0.0039943
96	0.0039944
97	0.0039942
98	0.0039941
99	0.0039933
100	0.0039934
101	0.0039937
102	0.0039941
103	0.0039939
104	0.0039938
105	0.0039932
106	0.0039931
107	0.0039934
108	0.0039938
109	0.0039939
110	0.0039934
111	0.0039923
112	0.0039922
113	0.0039926
114	0.0039930
115	0.0039935
116	0.0039936
117	0.0039934
118	0.0039948
119	0.0039953
120	0.0039933
121	0.0039923
122	0.0039926
123	0.0039926
124	0.0039934
125	0.0039939
126	0.0039925
127	0.0039922
128	0.0039923
129	0.0039926
130	0.0039925
131	0.0039927
132	0.0039926
133	0.0039924
134	0.0039925
135	0.0039926
136	0.0039926
137	0.0039938
138	0.0039937
139	0.0039938
140	0.0039938
141	0.0039935
142	0.0039935
143	0.0039941
144	0.0039940
145	0.0039919
146	0.0039910
147	0.0039916
148	0.0039924
149	0.0039926
150	0.0039931
151	0.0039931
152	0.0039933
153	0.0039932
154	0.0039928
155	0.0039933
156	0.0039932
157	0.0039928
158	0.0039927
159	0.0039923
160	0.0039935
161	0.0039937
162	0.0039935
163	0.0039936
164	0.0039946
165	0.0039931
166	0.0039923
167	0.0039931
168	0.0039932
169	0.0039934
170	0.0039937
171	0.0039918
172	0.0039922
173	0.0039922
174	0.0039919
175	0.0039917
176	0.0039916
177	0.0039919
178	0.0039928
179	0.0039939
180	0.0039943
181	0.0039940
182	0.0039939
183	0.0039951
184	0.0039945
185	0.0039940
186	0.0039935
187	0.0039929
188	0.0039934
189	0.0039935
190	0.0039935
191	0.0039942
192	0.0039942
193	0.0039945
194	0.0039949
195	0.0039940
196	0.0039937
197	0.0039929
198	0.0039930
199	0.0039930
200	0.0039935
201	0.0039936
202	0.0039932
203	0.0039930
204	0.0039932
205	0.0039930
206	0.0039918
207	0.0039928
208	0.0039939
209	0.0039938
210	0.0039941
211	0.0039943
212	0.0039943
213	0.0039942
214	0.0039938
215	0.0039939
216	0.0039936
217	0.0039935
218	0.0039938
219	0.0039936
220	0.0039930
221	0.0039931
222	0.0039939
223	0.0039941
224	0.0039942
225	0.0039950
226	0.0039936
227	0.0039926
228	0.0039915
229	0.0039914
230	0.0039917
231	0.0039921
232	0.0039921
233	0.0039935
234	0.0039942
235	0.0039944
236	0.0039939
237	0.0039935
238	0.0039935
239	0.0039935
240	0.0039934
241	0.0039933
242	0.0039932
243	0.0039933
244	0.0039935
245	0.0039925
246	0.0039929
247	0.0039928
248	0.0039932
249	0.0039942
250	0.0039930
251	0.0039927
252	0.0039929
253	0.0039927
254	0.0039929
255	0.0039930
256	0.0039927
257	0.0039926
258	0.0039926
259	0.0039921
260	0.0039922
261	0.0039934
262	0.0039943
263	0.0039943
264	0.0039948
265	0.0039942
266	0.0039937
267	0.0039940
268	0.0039941
269	0.0039940
270	0.0039935
271	0.0039932
272	0.0039929
273	0.0039930
274	0.0039933
275	0.0039931
276	0.0039928
277	0.0039934
278	0.0039941
279	0.0039928
280	0.0039926
281	0.0039920
282	0.0039917
283	0.0039922
284	0.0039927
285	0.0039928
286	0.0039934
287	0.0039936
288	0.0039936
289	0.0039930
290	0.0039930
291	0.0039935
292	0.0039941
293	0.0039940
294	0.0039940
295	0.0039937
296	0.0039939
297	0.0039936
298	0.0039933
299	0.0039929
300	0.0039927
301	0.0039930
302	0.0039923
303	0.0039930
304	0.0039940
305	0.0039949
306	0.0039948
307	0.0039946
308	0.0039949
309	0.0039944
310	0.0039944
311	0.0039944
312	0.0039934
313	0.0039934
314	0.0039932
315	0.0039937
316	0.0039945
317	0.0039947
318	0.0039943
319	0.0039939
320	0.0039919
321	0.0039923
322	0.0039924
323	0.0039916
324	0.0039918
325	0.0039926
326	0.0039928
327	0.0039927
328	0.0039917
329	0.0039917
330	0.0039923
331	0.0039923
332	0.0039929
333	0.0039930
334	0.0039934
335	0.0039936
336	0.0039951
337	0.0039947
338	0.0039935
339	0.0039941
340	0.0039936
341	0.0039935
342	0.0039932
343	0.0039930
344	0.0039932
345	0.0039929
346	0.0039926
347	0.0039919
348	0.0039918
349	0.0039915
350	0.0039916
351	0.0039916
352	0.0039920
353	0.0039934
354	0.0039931
355	0.0039930
356	0.0039933
357	0.0039924
358	0.0039922
359	0.0039922
360	0.0039928
361	0.0039932
362	0.0039931
363	0.0039931
364	0.0039935
365	0.0039936
366	0.0039933
367	0.0039933
368	0.0039930
369	0.0039933
370	0.0039941
371	0.0039945
372	0.0039946
373	0.0039936
374	0.0039935
375	0.0039926
376	0.0039923
377	0.0039926
378	0.0039925
379	0.0039946
380	0.0039952
381	0.0039944
382	0.0039940
383	0.0039941
384	0.0039943
385	0.0039931
386	0.0039928
387	0.0039928
388	0.0039927
389	0.0039929
390	0.0039925
391	0.0039920
392	0.0039923
393	0.0039926
394	0.0039929
395	0.0039927
396	0.0039924
397	0.0039930
398	0.0039935
399	0.0039929
400	0.0039937
401	0.0039938
402	0.0039937
403	0.0039935
404	0.0039942
405	0.0039945
406	0.0039938
407	0.0039944
408	0.0039941
409	0.0039939
410	0.0039940
411	0.0039953
412	0.0039951
413	0.0039952
414	0.0039953
415	0.0039950
416	0.0039951
417	0.0039950
418	0.0039932
419	0.0039934
420	0.0039934
421	0.0039932
422	0.0039928
423	0.0039929
424	0.0039927
425	0.0039927
426	0.0039930
427	0.0039936
428	0.0039942
429	0.0039940
430	0.0039938
431	0.0039940
432	0.0039935
433	0.0039935
434	0.0039936
435	0.0039941
436	0.0039936
437	0.0039931
438	0.0039936
439	0.0039953
440	0.0039953
441	0.0039950
442	0.0039938
443	0.0039936
444	0.0039941
445	0.0039947
446	0.0039942
447	0.0039926
448	0.0039925
449	0.0039929
450	0.0039929
451	0.0039926
452	0.0039922
453	0.0039922
454	0.0039924
455	0.0039934
456	0.0039943
457	0.0039941
458	0.0039932
459	0.0039943
460	0.0039950
461	0.0039949
462	0.0039943
463	0.0039946
464	0.0039945
465	0.0039939
466	0.0039937
467	0.0039932
468	0.0039928
469	0.0039924
470	0.0039922
471	0.0039924
472	0.0039925
473	0.0039925
474	0.0039936
475	0.0039932
476	0.0039923
477	0.0039926
478	0.0039934
479	0.0039935
480	0.0039936
481	0.0039929
482	0.0039915
483	0.0039918
484	0.0039926
485	0.0039929
486	0.0039933
487	0.0039916
488	0.0039918
489	0.0039933
490	0.0039935
491	0.0039945
492	0.0039947
493	0.0039945
494	0.0039922
495	0.0039924
496	0.0039931
497	0.0039935
498	0.0039929
