x	y
1	-4383.5778462
2	-4383.5778462
3	-4383.8807863
4	-4384.4309808
5	-4384.4717611
6	-4385.4406538
7	-4385.9122260
8	-4386.5730165
9	-4386.3437317
10	-4385.8158989
11	-4386.2135625
12	-4386.7993623
13	-4386.0369160
14	-4385.8400380
15	-4385.9303654
16	-4385.9706819
17	-4386.0694843
18	-4384.6942500
19	-4384.4391875
20	-4384.2646587
21	-4384.3605385
22	-4384.4051875
23	-4384.8034664
24	-4385.3717769
25	-4385.8320000
26	-4385.9939152
27	-4385.6718090
28	-4385.5963038
29	-4385.9134000
30	-4383.7902167
31	-4383.9378846
32	-4385.2563857
33	-4386.6849304
34	-4385.0769079
35	-4385.0537018
36	-4385.0003043
37	-4385.2234148
38	-4385.2399829
39	-4385.3944750
40	-4384.8959000
41	-4384.8411115
42	-4384.7836396
43	-4384.5081101
44	-4384.4466346
45	-4383.7428462
46	-4384.2259428
47	-4384.0388743
48	-4384.8145000
49	-4385.6433077
50	-4385.6314493
51	-4385.3761071
52	-4385.3286704
53	-4385.8436490
54	-4385.9083125
55	-4386.1372500
56	-4387.4987619
57	-4388.0653469
58	-4387.3212191
59	-4385.4431636
60	-4384.5982812
61	-4384.7137284
62	-4384.4946126
63	-4384.8796200
64	-4384.8184626
65	-4384.6619023
66	-4386.2365226
67	-4385.7048496
68	-4385.9325276
69	-4386.3309226
70	-4386.2906053
71	-4386.5668362
72	-4385.7457980
73	-4385.1358011
74	-4385.8065625
75	-4385.7853646
76	-4385.3326144
77	-4385.6760842
78	-4385.4589167
79	-4385.0737668
80	-4385.0023462
81	-4385.3869835
82	-4385.7165529
83	-4385.3232500
84	-4384.5832500
85	-4384.0683333
86	-4384.3961944
87	-4384.5601250
88	-4385.1782655
89	-4385.9081538
90	-4385.8986000
91	-4384.5254909
92	-4385.7194880
93	-4385.8397476
94	-4386.0762000
95	-4386.6161837
96	-4386.7615454
97	-4386.4865171
98	-4386.3554224
99	-4385.4786383
100	-4385.6770269
101	-4385.9290538
102	-4386.3552857
103	-4386.2050833
104	-4386.0762000
105	-4385.3811692
106	-4385.2606346
107	-4385.5782295
108	-4386.0190412
109	-4386.1372500
110	-4385.5737115
111	-4384.4551731
112	-4384.3085962
113	-4384.7418214
114	-4385.1536667
115	-4385.7235043
116	-4385.8465357
117	-4385.6285000
118	-4387.2023824
119	-4387.6942859
120	-4385.5267500
121	-4384.4713848
122	-4384.7855107
123	-4384.7636250
124	-4385.6520865
125	-4386.1651988
126	-4384.6101829
127	-4384.3256346
128	-4384.4179359
129	-4384.7066764
130	-4384.6584833
131	-4384.9074447
132	-4384.7381875
133	-4384.5469039
134	-4384.5908736
135	-4384.7644077
136	-4384.7632337
137	-4386.0444904
138	-4385.9766415
139	-4386.0974348
140	-4386.0151500
141	-4385.7365115
142	-4385.7447857
143	-4386.3916250
144	-4386.3125307
145	-4383.9908095
146	-4383.0448151
147	-4383.6860254
148	-4384.5676649
149	-4384.7272857
150	-4385.2622000
151	-4385.2630743
152	-4385.4649732
153	-4385.3879923
154	-4384.9280471
155	-4385.4657000
156	-4385.3614062
157	-4385.0017200
158	-4384.8880959
159	-4384.3886926
160	-4385.7688820
161	-4386.0098509
162	-4385.7815481
163	-4385.8124327
164	-4386.9315441
165	-4385.2651071
166	-4384.4273657
167	-4385.3291202
168	-4385.4056971
169	-4385.6377500
170	-4385.9846250
171	-4383.8889663
172	-4384.2828562
173	-4384.2826867
174	-4384.0344167
175	-4383.7195467
176	-4383.7037292
177	-4384.0259375
178	-4384.9384086
179	-4386.1616700
180	-4386.6184778
181	-4386.3204000
182	-4386.1234153
183	-4387.4810685
184	-4386.8367812
185	-4386.2670377
186	-4385.7048125
187	-4385.0434375
188	-4385.5907885
189	-4385.7694250
190	-4385.7440987
191	-4386.5012654
192	-4386.4594583
193	-4386.7918029
194	-4387.2939045
195	-4386.2442857
196	-4385.9955268
197	-4385.1331676
198	-4385.1494999
199	-4385.2434560
200	-4385.6878542
201	-4385.8607163
202	-4385.4378509
203	-4385.1635687
204	-4385.3910833
205	-4385.2253077
206	-4383.8477693
207	-4385.0059038
208	-4386.2050833
209	-4386.1045446
210	-4386.4147129
211	-4386.5931683
212	-4386.6027562
213	-4386.4861071
214	-4386.1033333
215	-4386.1701231
216	-4385.8320000
217	-4385.7198317
218	-4386.0442154
219	-4385.8065625
220	-4385.2051473
221	-4385.2468645
222	-4386.1372500
223	-4386.4385865
224	-4386.5569688
225	-4387.3416178
226	-4385.8437404
227	-4384.7466667
228	-4383.5543654
229	-4383.4017404
230	-4383.7091250
231	-4384.1587212
232	-4384.2547837
233	-4385.7494778
234	-4386.5464863
235	-4386.7594904
236	-4386.1939952
237	-4385.7084086
238	-4385.7883929
239	-4385.7410120
240	-4385.6012909
241	-4385.5325522
242	-4385.4504375
243	-4385.4666250
244	-4385.7834712
245	-4384.6540481
246	-4385.0628109
247	-4384.9827788
248	-4385.3741250
249	-4386.5201743
250	-4385.2373571
251	-4384.8145000
252	-4385.0728565
253	-4384.8145000
254	-4385.0485962
255	-4385.2437000
256	-4384.8970385
257	-4384.7166635
258	-4384.7860385
259	-4384.1638350
260	-4384.3219994
261	-4385.5812589
262	-4386.5992163
263	-4386.6011970
264	-4387.1620179
265	-4386.5442500
266	-4385.9846250
267	-4386.2475144
268	-4386.3577083
269	-4386.3052183
270	-4385.7465507
271	-4385.4157500
272	-4385.0566731
273	-4385.1670165
274	-4385.5703571
275	-4385.2773977
276	-4384.9249714
277	-4385.6660692
278	-4386.3736231
279	-4384.9489431
280	-4384.7636250
281	-4384.1413846
282	-4383.7970000
283	-4384.3375690
284	-4384.8468750
285	-4384.9162500
286	-4385.6180641
287	-4385.8476538
288	-4385.7996250
289	-4385.2300385
290	-4385.1730476
291	-4385.6961831
292	-4386.3453750
293	-4386.2385673
294	-4386.2465897
295	-4385.9948000
296	-4386.2090900
297	-4385.8320000
298	-4385.4719615
299	-4385.0628462
300	-4384.8888787
301	-4385.1838485
302	-4384.4462619
303	-4385.2215000
304	-4386.2390000
305	-4387.2296648
306	-4387.2076600
307	-4386.9810842
308	-4387.2378172
309	-4386.6765710
310	-4386.7675227
311	-4386.6904868
312	-4385.6553995
313	-4385.6526923
314	-4385.4582644
315	-4385.9225687
316	-4386.8137198
317	-4387.0697720
318	-4386.6124688
319	-4386.1372500
320	-4383.9739565
321	-4384.4231538
322	-4384.4811154
323	-4383.6284744
324	-4383.8260714
325	-4384.7982871
326	-4384.9162500
327	-4384.8726429
328	-4383.7500385
329	-4383.7510962
330	-4384.3907884
331	-4384.4358461
332	-4385.1197052
333	-4385.2299792
334	-4385.6304132
335	-4385.8856703
336	-4387.4752625
337	-4387.0399632
338	-4385.7650390
339	-4386.3746667
340	-4385.8808116
341	-4385.7010040
342	-4385.3579375
343	-4385.2330625
344	-4385.4021220
345	-4385.0532212
346	-4384.7331000
347	-4384.0333731
348	-4383.9241875
349	-4383.5621923
350	-4383.5999293
351	-4383.6907995
352	-4384.1355907
353	-4385.6768846
354	-4385.3114529
355	-4385.2274074
356	-4385.5278606
357	-4384.5483846
358	-4384.3308808
359	-4384.3057500
360	-4385.0080385
361	-4385.4214039
362	-4385.3402083
363	-4385.3029000
364	-4385.7012877
365	-4385.8775764
366	-4385.5097020
367	-4385.5036416
368	-4385.1696466
369	-4385.5699167
370	-4386.4218456
371	-4386.8626682
372	-4386.9003000
373	-4385.9004856
374	-4385.7726458
375	-4384.7799311
376	-4384.3958654
377	-4384.8028714
378	-4384.6826674
379	-4386.9524240
380	-4387.6024278
381	-4386.7665346
382	-4386.2785371
383	-4386.4124446
384	-4386.6605357
385	-4385.2968919
386	-4384.9265725
387	-4384.9543269
388	-4384.8607500
389	-4385.0688750
390	-4384.6942500
391	-4384.1313214
392	-4384.4025923
393	-4384.7945309
394	-4385.1289519
395	-4384.8290357
396	-4384.5000000
397	-4385.2006875
398	-4385.7694368
399	-4385.0991987
400	-4385.9459914
401	-4386.0310737
402	-4385.9916010
403	-4385.6833008
404	-4386.5353413
405	-4386.8380096
406	-4386.0282321
407	-4386.7332143
408	-4386.3895400
409	-4386.1863080
410	-4386.2576371
411	-4387.7101820
412	-4387.5472143
413	-4387.5663132
414	-4387.7182885
415	-4387.3948038
416	-4387.5250338
417	-4387.4281304
418	-4385.4263045
419	-4385.5994286
420	-4385.6808286
421	-4385.4250000
422	-4384.9990697
423	-4385.1113489
424	-4384.8782335
425	-4384.8780937
426	-4385.1696026
427	-4385.8376528
428	-4386.5103333
429	-4386.3414230
430	-4386.0990937
431	-4386.2982610
432	-4385.7767281
433	-4385.7758818
434	-4385.8111012
435	-4386.4252307
436	-4385.8155805
437	-4385.3062917
438	-4385.8065625
439	-4387.7356381
440	-4387.7190000
441	-4387.4080033
442	-4386.0355000
443	-4385.8852976
444	-4386.4012468
445	-4387.0103885
446	-4386.5416071
447	-4384.7979148
448	-4384.6277665
449	-4385.1019615
450	-4385.1112708
451	-4384.7854781
452	-4384.3546683
453	-4384.3466750
454	-4384.5555000
455	-4385.6582423
456	-4386.5951250
457	-4386.3592500
458	-4385.4060934
459	-4386.6714375
460	-4387.3641202
461	-4387.2248662
462	-4386.5645783
463	-4386.8930916
464	-4386.8809500
465	-4386.1572115
466	-4385.9627308
467	-4385.3868438
468	-4384.9223870
469	-4384.5728437
470	-4384.3008582
471	-4384.5754527
472	-4384.6473047
473	-4384.6763192
474	-4385.8554087
475	-4385.4368510
476	-4384.4479760
477	-4384.7560323
478	-4385.6501187
479	-4385.7186214
480	-4385.8490769
481	-4385.1105000
482	-4383.5935000
483	-4383.8409375
484	-4384.7867500
485	-4385.0705282
486	-4385.5236667
487	-4383.6538918
488	-4383.8953269
489	-4385.5614375
490	-4385.7709500
491	-4386.8338462
492	-4387.0639018
493	-4386.8141087
494	-4384.2889391
495	-4384.4947143
496	-4385.2773989
497	-4385.7566165
498	-4385.1080096
499	-4385.4046500
500	-4385.1784519
501	-4386.5364231
502	-4386.3916250
503	-4386.4848958
504	-4386.3305750
505	-4385.7447857
506	-4384.9324965
507	-4384.8427153
508	-4385.1682863
509	-4385.4736630
510	-4386.8848210
511	-4386.4839974
512	-4386.1542083
513	-4384.4867740
514	-4384.7254687
515	-4385.6536071
516	-4387.2367667
517	-4386.2911795
518	-4385.2985000
519	-4385.1777345
520	-4385.1349728
521	-4384.9729952
522	-4383.1584535
523	-4383.9676269
524	-4384.4482000
525	-4384.7476313
526	-4385.1156502
527	-4385.5856383
528	-4385.3232500
529	-4384.4787131
530	-4384.6110000
531	-4384.7002269
532	-4385.8320000
533	-4385.7028558
534	-4385.1124519
535	-4385.5097917
536	-4385.5045737
537	-4384.2382428
538	-4384.0536281
539	-4385.5771982
540	-4385.4657000
541	-4384.9635994
542	-4385.0383332
543	-4384.4231538
544	-4384.4514375
545	-4385.0470714
546	-4385.7785813
547	-4386.4655361
548	-4385.7662733
549	-4384.8462645
550	-4385.6676346
551	-4386.3277051
552	-4386.2895578
553	-4386.1408077
554	-4386.2515000
555	-4386.3177713
556	-4386.4118084
557	-4386.5623202
558	-4386.9609405
559	-4386.6169286
560	-4386.6949183
561	-4387.2472500
562	-4387.1667692
563	-4385.4882713
564	-4385.4871456
565	-4385.4728644
566	-4385.5984375
567	-4385.8202596
568	-4385.2978125
569	-4386.0015833
570	-4386.4709671
571	-4385.8875000
572	-4385.7473669
573	-4385.4657000
574	-4385.0995586
575	-4384.3057500
576	-4384.6965744
577	-4384.5237857
578	-4384.7074819
579	-4384.8857250
580	-4385.8830452
581	-4385.9171104
582	-4385.2723750
583	-4385.4046895
584	-4384.7254688
585	-4384.6957917
586	-4384.6706357
587	-4384.4004192
588	-4383.4991992
589	-4383.7092569
590	-4384.1480934
591	-4384.7981473
592	-4385.0214942
593	-4384.8435714
594	-4385.1401000
595	-4385.1912641
596	-4385.7231069
597	-4386.0019174
598	-4385.1080096
599	-4385.1070312
600	-4384.5278656
601	-4384.4329375
602	-4384.0386563
603	-4384.9475577
604	-4385.7041085
605	-4386.0936429
606	-4385.2679511
607	-4384.7988462
608	-4384.9035577
609	-4384.9536882
610	-4384.6872087
611	-4385.4680481
612	-4386.0778958
613	-4385.6793750
614	-4386.4425000
615	-4387.3088286
616	-4386.2331298
617	-4385.8320000
618	-4386.0324282
619	-4386.1427584
620	-4386.1545058
621	-4386.5363704
622	-4386.1517857
623	-4386.1614762
624	-4386.4182738
625	-4386.2425735
626	-4385.2999764
627	-4386.0922452
628	-4386.6714375
629	-4385.9672812
630	-4385.2844063
631	-4384.2841731
632	-4384.6110000
633	-4384.3908678
634	-4384.5900032
635	-4384.4464623
636	-4384.7893067
637	-4385.2241734
638	-4385.9297835
639	-4386.3394286
640	-4386.2386469
641	-4386.2266819
642	-4385.8856703
643	-4384.7292818
644	-4383.8431495
645	-4384.7263167
646	-4384.4075000
647	-4384.7676627
648	-4384.7310542
649	-4385.0307690
650	-4384.6530194
