x	y
1	0.4340699
2	0.4340699
3	0.4338665
4	0.4338390
5	0.4338082
6	0.4337743
7	0.4338067
8	0.4338988
9	0.4338640
10	0.4339191
11	0.4338866
12	0.4339489
13	0.4339703
14	0.4339717
15	0.4339342
16	0.4339215
17	0.4339173
18	0.4338642
19	0.4338633
20	0.4338820
21	0.4338923
22	0.4339320
23	0.4338539
24	0.4338369
25	0.4339186
26	0.4339804
27	0.4340264
28	0.4339187
29	0.4337818
30	0.4338457
31	0.4338792
32	0.4338812
33	0.4338757
34	0.4338906
35	0.4338074
36	0.4337696
37	0.4336509
38	0.4335841
39	0.4336483
40	0.4337533
41	0.4337645
42	0.4337695
43	0.4337408
44	0.4337174
45	0.4336992
46	0.4337167
47	0.4337079
48	0.4337297
49	0.4338035
50	0.4337909
51	0.4337351
52	0.4337433
53	0.4338555
54	0.4338865
55	0.4338954
56	0.4338534
57	0.4338465
58	0.4337874
59	0.4337654
60	0.4338046
61	0.4337681
62	0.4337236
63	0.4337053
64	0.4337252
65	0.4337570
66	0.4337552
67	0.4337171
68	0.4337136
69	0.4338021
70	0.4338154
71	0.4338020
72	0.4337088
73	0.4337411
74	0.4336821
75	0.4337604
76	0.4337742
77	0.4337611
78	0.4336919
79	0.4336809
80	0.4336819
81	0.4337085
82	0.4336837
83	0.4336522
84	0.4336755
85	0.4336864
86	0.4336341
87	0.4336253
88	0.4336686
89	0.4334499
90	0.4334493
91	0.4335244
92	0.4335900
93	0.4336320
94	0.4336800
95	0.4336220
96	0.4336546
97	0.4336726
98	0.4336573
99	0.4336846
100	0.4337262
101	0.4336885
102	0.4336967
103	0.4336372
104	0.4334274
105	0.4334760
106	0.4335030
107	0.4336113
108	0.4336592
109	0.4336620
110	0.4336076
111	0.4335534
112	0.4335743
113	0.4336110
114	0.4336274
115	0.4337043
116	0.4337166
117	0.4336643
118	0.4336581
119	0.4336062
120	0.4335366
121	0.4335567
122	0.4335355
123	0.4334510
124	0.4334661
125	0.4335424
126	0.4335449
127	0.4335489
128	0.4335474
129	0.4337345
130	0.4337541
131	0.4337436
132	0.4337295
133	0.4336540
134	0.4335926
135	0.4337008
136	0.4337450
137	0.4337270
138	0.4337596
139	0.4337751
140	0.4337720
141	0.4335184
142	0.4335186
143	0.4336186
144	0.4336101
