x	y
1	71.1007143
2	71.1007143
3	71.0674098
4	71.0629032
5	71.0578571
6	71.0523077
7	71.0576087
8	71.0726882
9	71.0669928
10	71.0760119
11	71.0707000
12	71.0808974
13	71.0844096
14	71.0846410
15	71.0784872
16	71.0764066
17	71.0757273
18	71.0670341
19	71.0668750
20	71.0699428
21	71.0716239
22	71.0781250
23	71.0653409
24	71.0625578
25	71.0759444
26	71.0860577
27	71.0935897
28	71.0759615
29	71.0535256
30	71.0640000
31	71.0694872
32	71.0698182
33	71.0689138
34	71.0713462
35	71.0577273
36	71.0515359
37	71.0320833
38	71.0211538
39	71.0316667
40	71.0488636
41	71.0506913
42	71.0515152
43	71.0468182
44	71.0429877
45	71.0400000
46	71.0428632
47	71.0414286
48	71.0450000
49	71.0570833
50	71.0550137
51	71.0458854
52	71.0472222
53	71.0655944
54	71.0706818
55	71.0721429
56	71.0652510
57	71.0641304
58	71.0544444
59	71.0508501
60	71.0572596
61	71.0512890
62	71.0440000
63	71.0410000
64	71.0442650
65	71.0494744
66	71.0491667
67	71.0429293
68	71.0423575
69	71.0568587
70	71.0590343
71	71.0568307
72	71.0415742
73	71.0468709
74	71.0372000
75	71.0500275
76	71.0522930
77	71.0501404
78	71.0388055
79	71.0370000
80	71.0371612
81	71.0415273
82	71.0374608
83	71.0323077
84	71.0361111
85	71.0379006
86	71.0293333
87	71.0278984
88	71.0349951
89	70.9991667
90	70.9990670
91	71.0113636
92	71.0221212
93	71.0289899
94	71.0368615
95	71.0273626
96	71.0326923
97	71.0356410
98	71.0331429
99	71.0376057
100	71.0444231
101	71.0382415
102	71.0395833
103	71.0298394
104	70.9954836
105	71.0034444
106	71.0078571
107	71.0256044
108	71.0334416
109	71.0339044
110	71.0250000
111	71.0161111
112	71.0195385
113	71.0255556
114	71.0282336
115	71.0408333
116	71.0428571
117	71.0342857
118	71.0332609
119	71.0247619
120	71.0133608
121	71.0166667
122	71.0131914
123	70.9993407
124	71.0018182
125	71.0143240
126	71.0147193
127	71.0153846
128	71.0151419
129	71.0457778
130	71.0489942
131	71.0472727
132	71.0449679
133	71.0325962
134	71.0225321
135	71.0402564
136	71.0475000
137	71.0445513
138	71.0498909
139	71.0524359
140	71.0519231
141	71.0103892
142	71.0104167
143	71.0268056
144	71.0254095
145	71.0188889
146	70.9973077
147	70.9791667
148	70.9857729
149	70.9844517
150	70.9945833
151	71.0178214
152	71.0149145
153	71.0014286
154	71.0112454
155	71.0058868
156	71.0170513
157	71.0172970
158	71.0082814
159	71.0096364
160	71.0046584
161	71.0091667
162	71.0446154
163	71.0511435
164	71.0208455
165	71.0135897
166	71.0146429
167	71.0190385
168	71.0150000
169	71.0219444
170	71.0141071
171	71.0116987
172	71.0126515
173	71.0028205
174	70.9992672
175	71.0143971
176	71.0152178
177	71.0067249
178	70.9987226
179	70.9964178
180	70.9945082
181	71.0070000
182	71.0059362
183	71.0062500
184	70.9969231
185	71.0031929
186	71.0058547
187	71.0028534
188	71.0113714
189	71.0161905
190	71.0421917
191	71.0387717
192	71.0353045
193	71.0260723
194	71.0181944
195	71.0200000
196	71.0264511
197	71.0348398
198	71.0280000
199	71.0246615
200	71.0183897
201	71.0156529
202	71.0158974
203	71.0143750
204	71.0134615
205	71.0142857
206	71.0019712
207	70.9759667
208	70.9850000
209	71.0058242
210	71.0232540
211	71.0213095
212	71.0258696
213	71.0204181
214	71.0148291
215	71.0160000
216	71.0590513
217	71.0558836
218	71.0376923
219	71.0060628
220	71.0226374
221	71.0240875
222	71.0253571
223	71.0145759
224	70.9986667
225	70.9983243
226	71.0056190
227	70.9856027
228	70.9873529
229	71.0052973
230	71.0069956
231	71.0000000
232	71.0095536
233	71.0089583
234	71.0089316
235	71.0107357
236	71.0185933
237	71.0171212
238	71.0070746
239	70.9914724
240	71.0069318
241	71.0145277
242	71.0160428
243	71.0176667
244	70.9875427
245	70.9961577
246	71.0069870
247	71.0042857
248	70.9984806
249	70.9961111
250	70.9753828
251	70.9775703
252	70.9940000
253	70.9931793
254	70.9954286
255	71.0185000
256	71.0137446
257	71.0007619
258	70.9961441
259	70.9948571
260	70.9841758
261	70.9914737
262	70.9980000
263	71.0191667
264	71.0200000
265	71.0072028
266	71.0185618
267	71.0333171
268	71.0255037
269	71.0240000
270	71.0154615
271	71.0172964
272	71.0091071
273	71.0046643
274	71.0125362
275	71.0138889
276	71.0133007
277	70.9861002
278	70.9905881
279	70.9981250
280	70.9925000
281	70.9899708
282	70.9911194
283	70.9953289
284	70.9964233
285	70.9962238
286	70.9820746
287	70.9832000
288	70.9900000
289	70.9948077
290	70.9973627
291	71.0116667
292	71.0233333
293	71.0224696
294	71.0212963
295	71.0169688
296	71.0033333
297	71.0036444
298	71.0002899
299	70.9786752
300	70.9783333
301	70.9930494
302	70.9913781
303	70.9986045
304	70.9979762
305	71.0067391
306	71.0044444
307	71.0017431
308	71.0079416
309	71.0230080
310	71.0229859
311	71.0265064
312	71.0360000
313	71.0390874
314	71.0357381
315	71.0430575
316	71.0435000
317	71.0335746
318	71.0297395
319	71.0226087
320	71.0200000
321	71.0043365
322	71.0132826
323	71.0125211
324	71.0115754
325	71.0121083
326	71.0523352
327	71.0486718
328	71.0530872
329	71.0533197
330	71.0339744
331	71.0248413
332	71.0252561
333	71.0305235
334	71.0273642
335	71.0168821
336	71.0171692
337	71.0165516
338	71.0249372
339	71.0247518
340	71.0183458
341	71.0220000
342	71.0412222
343	71.0352106
344	71.0312500
345	71.0359178
346	71.0328158
347	71.0257419
348	71.0319591
349	71.0357606
350	71.0362500
351	71.0221978
352	71.0265073
353	71.0127742
354	71.0031616
355	71.0121667
356	71.0421039
357	71.0385797
358	71.0242793
359	71.0291667
360	71.0263370
361	71.0307385
362	71.0284965
363	71.0230000
364	71.0199359
365	71.0192568
366	71.0014917
367	71.0014647
368	71.0008784
369	71.0147650
370	71.0232222
371	71.0287500
372	71.0485577
373	71.0465064
374	71.0257782
375	71.0228341
376	71.0016410
377	71.0057500
378	71.0122115
379	70.9953846
380	71.0044444
381	71.0013690
382	71.0048447
383	71.0030769
384	71.0245000
385	71.0190780
386	71.0211868
387	71.0124286
388	71.0155000
389	71.0160165
390	71.0161189
391	71.0183077
392	71.0233590
393	71.0177083
