x	y
1	528.0785714
2	528.0785714
3	528.0725902
4	528.0745327
5	528.0850000
6	528.0900000
7	528.0850000
8	528.0883333
9	528.0944444
10	528.0885714
11	528.0925000
12	528.0821795
13	528.0799494
14	528.0810000
15	528.0875128
16	528.0904167
17	528.0920000
18	528.0998974
19	528.0968750
20	528.0943429
21	528.0922222
22	528.0850000
23	528.0909091
24	528.0941089
25	528.0940556
26	528.0826923
27	528.0814103
28	528.0975000
29	528.1007051
30	528.1000000
31	528.0943590
32	528.0981818
33	528.0993939
34	528.0961538
35	528.1000000
36	528.1072141
37	528.1129167
38	528.1200000
39	528.1179167
40	528.1025000
41	528.1020010
42	528.0968182
43	528.0900000
44	528.0906250
45	528.0950000
46	528.0944444
47	528.0950000
48	528.0950000
49	528.1012500
50	528.1014286
51	528.1085714
52	528.1077778
53	528.1086364
54	528.1068182
55	528.1050000
56	528.1100000
57	528.1108696
58	528.1122222
59	528.1170085
60	528.1096154
61	528.1137110
62	528.1200000
63	528.1200000
64	528.1222222
65	528.1225000
66	528.1250000
67	528.1281818
68	528.1275000
69	528.1128571
70	528.1112500
71	528.1144234
72	528.1248078
73	528.1188462
74	528.1336000
75	528.1204487
76	528.1080000
77	528.1094444
78	528.1200712
79	528.1200000
80	528.1164103
81	528.1128205
82	528.1147131
83	528.1169231
84	528.1138889
85	528.1131250
86	528.1200000
87	528.1214954
88	528.1210113
89	528.1354167
90	528.1359330
91	528.1336364
92	528.1273232
93	528.1210101
94	528.1216000
95	528.1357143
96	528.1350000
97	528.1326923
98	528.1328571
99	528.1354545
100	528.1275000
101	528.1318867
102	528.1287500
103	528.1382609
104	528.1640357
105	528.1555556
106	528.1500000
107	528.1315385
108	528.1222727
109	528.1197319
110	528.1225000
111	528.1238889
112	528.1234615
113	528.1205556
114	528.1212108
115	528.1091667
116	528.1071429
117	528.1100733
118	528.1117391
119	528.1185714
120	528.1308059
121	528.1276190
122	528.1282372
123	528.1300000
124	528.1300000
125	528.1316667
126	528.1310499
127	528.1300000
128	528.1314563
129	528.1122222
130	528.1093392
131	528.1150000
132	528.1162821
133	528.1138462
134	528.1146154
135	528.1135897
136	528.1087500
137	528.1096154
138	528.1100000
139	528.1125641
140	528.1130769
141	528.1471429
142	528.1445833
143	528.1281944
144	528.1304238
145	528.1300000
146	528.1376923
147	528.1333333
148	528.1271429
149	528.1325483
150	528.1329167
151	528.1296061
152	528.1323077
153	528.1285714
154	528.1136264
155	528.1162500
156	528.1166987
157	528.1171474
158	528.1266667
159	528.1263636
160	528.1314286
161	528.1325000
162	528.1072222
163	528.1063098
164	528.1149238
165	528.1183333
166	528.1178571
167	528.1200000
168	528.1200000
169	528.1155556
170	528.1237500
171	528.1248397
172	528.1259295
173	528.1338462
174	528.1382328
175	528.1225000
176	528.1206913
177	528.1190909
178	528.1170000
179	528.1205822
180	528.1238889
181	528.1180000
182	528.1193972
183	528.1200000
184	528.1192308
185	528.1191880
186	528.1191453
187	528.1196466
188	528.1072000
189	528.1033333
190	528.0815385
191	528.0830769
192	528.0928205
193	528.1025641
194	528.1105556
195	528.1107143
196	528.1097115
197	528.1001602
198	528.1004000
199	528.1083385
200	528.1162769
201	528.1104070
202	528.1178205
203	528.1200000
204	528.1200000
205	528.1157143
206	528.1161538
207	528.1140333
208	528.1141667
209	528.0934615
210	528.0828571
211	528.0795238
212	528.0850000
213	528.0939744
214	528.0990171
215	528.1000000
216	528.1016667
217	528.1041164
218	528.1115385
219	528.1078261
220	528.0930769
221	528.0925000
222	528.0925000
223	528.1044231
224	528.1213333
225	528.1223825
226	528.1123810
227	528.1070640
228	528.1079102
229	528.1079956
230	528.1120044
231	528.1100000
232	528.0968750
233	528.0993750
234	528.1000000
235	528.0987942
236	528.0979167
237	528.0983333
238	528.0950000
239	528.0972222
240	528.0968182
241	528.0894737
242	528.0889572
243	528.0883333
244	528.1146795
245	528.1132173
246	528.1027778
247	528.1007143
248	528.1037417
249	528.1016667
250	528.1040909
251	528.0997024
252	528.0900000
253	528.0950000
254	528.0960000
255	528.0915000
256	528.0986364
257	528.1140000
258	528.1134726
259	528.1071429
260	528.1215385
261	528.1205263
262	528.1200000
263	528.1125000
264	528.1100000
265	528.0946154
266	528.0824908
267	528.0722727
268	528.0798810
269	528.0820000
270	528.0880000
271	528.0854167
272	528.0871429
273	528.0900416
274	528.0891304
275	528.1000000
276	528.1003357
277	528.0967786
278	528.0932214
279	528.0881250
280	528.0950000
281	528.0960000
282	528.0946544
283	528.0941156
