x	y
1	42726.1913571
2	42726.1913571
3	42725.8961703
4	42726.3003750
5	42727.0635000
6	42729.0171000
7	42728.9438400
8	42728.9357000
9	42728.8395000
10	42728.8271667
11	42728.7471581
12	42728.6671496
13	42728.6915000
14	42728.7622826
15	42729.0694286
16	42729.7380714
17	42730.1256905
18	42730.3195000
19	42730.1160000
20	42730.1541563
21	42730.1277404
22	42729.9861449
23	42730.2381000
24	42730.4975625
25	42731.0493606
26	42731.9475000
27	42731.8484999
28	42731.7449166
29	42732.1219286
30	42733.5084121
31	42733.6261886
32	42733.6034835
33	42733.7408437
34	42734.6947500
35	42735.1800192
36	42735.2557500
37	42735.2374167
38	42735.1730620
39	42735.4796786
40	42737.3201236
41	42736.5262500
42	42736.7375769
43	42739.4651538
44	42739.2989375
45	42739.7095714
46	42739.4849176
47	42739.7568125
48	42739.7789888
49	42739.4261250
50	42739.5530481
51	42739.6805000
52	42739.8996538
53	42740.1892500
54	42740.3418750
55	42741.2794286
56	42741.4102500
57	42742.0207500
58	42742.0207500
59	42741.6322500
60	42741.3720937
61	42742.2751250
62	42742.3301250
63	42741.9203750
64	42741.7710000
65	42741.6282857
66	42741.7409375
67	42742.6319022
68	42742.8008333
69	42743.0179000
70	42742.5702000
71	42742.5326308
72	42742.6312500
73	42742.6469038
74	42742.6625577
75	42742.6007885
76	42742.6590000
77	42742.6468846
78	42742.8008333
79	42742.6312500
80	42742.9365000
81	42742.8008333
82	42742.2651239
83	42741.7294145
84	42741.8376000
85	42742.1474392
86	42741.9144894
87	42742.3260000
88	42742.2527400
89	42741.2638057
90	42741.1050000
91	42740.1892500
92	42740.0875000
93	42738.4595000
94	42739.0537200
95	42740.4131000
96	42740.5299821
97	42740.3164375
98	42740.1553333
99	42739.9906153
100	42739.8840000
101	42740.1060000
102	42739.6961538
103	42739.8053076
104	42739.9348750
105	42740.3705737
106	42739.9348750
107	42740.0549400
108	42742.2577492
109	42742.6077692
110	42742.4795769
111	42742.1298180
112	42741.4890281
113	42741.5741045
114	42741.9508186
115	42742.4194122
116	42742.8267528
117	42742.7977500
118	42741.9457500
119	42741.8542500
120	42741.1050000
121	42741.0710833
122	42741.4153268
123	42742.0207500
124	42743.0891250
125	42743.0891250
126	42743.1400000
127	42742.5091500
128	42742.4199231
129	42742.1903333
130	42741.7497692
131	42742.1806429
132	42742.1401106
133	42742.1074984
134	42742.3729615
135	42742.3768750
136	42742.4629712
137	42742.9365000
138	42742.9365000
139	42742.2790385
140	42742.2066923
141	42742.4616667
142	42742.0818000
143	42742.0178308
144	42742.0530399
145	42741.9062813
146	42741.7918125
147	42741.7070208
148	42741.7155000
149	42741.9972692
150	42741.7018029
151	42741.1922143
152	42740.7997500
153	42740.8979423
154	42740.5433400
155	42739.8220108
156	42740.5817143
157	42740.4029250
158	42740.4945000
159	42740.4654286
160	42740.7079060
161	42740.7762692
162	42740.9976593
163	42741.6327582
164	42741.8608571
165	42741.8172500
166	42741.8172500
167	42741.9698750
168	42741.4380000
169	42741.4102500
170	42741.3173478
171	42741.2377174
172	42740.5250250
173	42740.2503000
174	42741.0953286
175	42741.1846304
176	42741.0728684
177	42740.7890395
178	42740.5052105
179	42741.3375714
180	42740.9433502
181	42740.2003956
182	42740.2401250
183	42741.1610929
184	42741.0236000
185	42740.4414130
186	42740.4654286
187	42740.4112500
188	42740.4866731
189	42740.6980000
190	42740.6609551
191	42740.4945000
192	42741.1050000
193	42741.8250769
194	42742.5295000
195	42743.0826026
196	42743.6357051
197	42743.9157350
198	42744.1957650
199	42744.0354000
200	42743.7098000
201	42743.3842000
202	42743.5470000
203	42743.9200833
204	42743.9583382
205	42743.3725714
206	42743.3638500
207	42743.1196500
208	42743.1671333
209	42742.9761792
210	42743.0801471
211	42743.0083235
212	42742.4881035
213	42741.6600000
214	42740.1892500
215	42740.4894125
216	42740.5962500
217	42740.5199375
218	42740.0366250
219	42739.9348750
220	42739.8331250
221	42739.8926613
222	42739.7265101
223	42739.5177000
224	42739.1378333
225	42739.5351429
226	42740.8037143
227	42740.9305714
228	42741.4829286
229	42742.4519762
230	42743.0801045
231	42743.1076526
232	42743.0237143
233	42743.2813843
234	42743.5470000
235	42743.1456923
236	42742.0442308
237	42741.8542500
238	42741.8869808
239	42741.9197115
240	42741.9278478
241	42741.9789375
242	42742.1643125
243	42742.2579814
244	42741.6386538
245	42741.7399200
246	42741.5827826
247	42741.1414282
248	42740.1892500
249	42739.6398000
250	42738.3577500
251	42738.5103750
252	42738.6630000
253	42738.4885714
254	42738.7444000
255	42739.3752500
256	42739.3968899
257	42740.8608000
258	42741.2271000
259	42742.9975500
260	42743.2417500
261	42743.2596436
262	42743.3214225
263	42743.1988526
264	42743.2417500
265	42743.2284783
266	42742.9775217
267	42743.2650429
268	42743.2417500
269	42742.0207500
270	42740.3372500
271	42740.4605833
272	42740.0635588
273	42740.2146875
274	42740.5962500
275	42738.8753478
276	42738.5184716
277	42738.4506522
278	42738.6019500
279	42738.6426500
280	42738.6833500
281	42739.3575175
282	42739.4055212
283	42739.6964788
284	42739.6716522
285	42739.8840000
286	42740.6040769
287	42740.6430001
288	42740.6610000
289	42740.6980000
290	42741.0407368
291	42742.6312500
292	42743.5470000
293	42743.6269196
294	42743.9540000
295	42745.6436667
296	42745.0967308
297	42744.9319548
298	42745.8011538
299	42746.7431471
300	42747.2100000
301	42748.3292500
302	42749.3467500
303	42750.2625000
304	42752.8749066
305	42753.6202500
306	42756.8762500
307	42759.7252500
308	42764.3040000
309	42768.3740000
310	42771.8335000
311	42775.7000000
312	42786.2924359
313	42792.0817500
314	42797.8815000
315	42807.6495000
316	42818.2993333
317	42825.0487500
318	42830.3906250
319	42839.0208750
320	42844.2795000
321	42850.1810000
322	42856.0825000
323	42860.0908333
324	42863.0523750
325	42867.3767500
326	42868.6995000
327	42871.5485000
328	42873.8548333
329	42875.9237500
330	42876.6360000
331	42877.2465000
332	42877.3991250
333	42878.4675000
334	42878.7727500
335	42879.2306250
336	42880.3498750
337	42880.3408778
338	42879.9937500
339	42879.9065357
340	42879.9366996
341	42880.0391744
342	42879.7448256
343	42879.7946739
344	42879.7493040
345	42879.5259460
346	42879.4715153
347	42879.4170847
348	42879.2142771
349	42879.1361429
350	42878.3802857
351	42877.0938750
352	42877.0430000
353	42877.0669412
354	42877.4500000
355	42877.3991250
356	42876.8540357
357	42875.8074643
358	42875.3713929
359	42874.9062500
360	42874.9155000
361	42875.0191770
362	42873.5908230
363	42873.6112500
364	42873.8887500
365	42874.0296346
366	42874.1131392
367	42874.1546875
368	42874.6557292
369	42874.4853675
370	42874.0409691
371	42874.5246875
372	42874.7482292
373	42874.6261292
374	42874.7081053
375	42874.3921447
376	42873.1086667
377	42872.3059722
378	42872.2268333
379	42870.8249444
380	42869.4230556
381	42868.6995000
382	42868.2416250
383	42868.0211667
384	42867.7498333
385	42867.6313356
386	42867.1323289
387	42866.4101250
388	42866.4101250
389	42866.4101250
390	42866.3447143
391	42865.0285714
392	42863.7124286
393	42863.6398195
394	42863.4666429
395	42863.3576250
396	42863.2050000
397	42860.7630000
398	42860.6690769
399	42860.5751538
400	42857.8174679
401	42855.7045714
402	42853.0828571
403	42853.1317500
404	42853.0401750
405	42852.8265000
406	42852.2160000
407	42849.0340000
408	42847.3320000
409	42843.0585000
410	42840.0060000
411	42836.9535000
412	42834.9693750
413	42829.2374583
414	42825.8966667
415	42821.1415500
416	42818.9437500
417	42812.5527633
418	42812.5335000
419	42807.1068333
420	42805.0040000
421	42799.0033590
422	42796.0500000
423	42792.4548333
424	42788.8596667
425	42783.6873750
426	42780.5644327
427	42780.5115433
428	42780.2573554
429	42779.7913946
430	42774.2246250
431	42769.4932500
432	42768.2722500
433	42765.5250000
434	42762.7777500
435	42759.9965833
436	42760.2747000
437	42759.5217500
438	42755.7570000
439	42753.1115000
440	42752.1550500
441	42749.9436833
442	42747.7594500
443	42746.4095667
444	42745.5662276
445	42746.1416250
446	42745.9381250
447	42745.7855000
448	42744.7680000
449	42743.7912000
450	42743.9540000
451	42743.2694101
452	42741.5860899
453	42741.2027479
454	42741.1089135
455	42740.9305714
456	42737.9494286
457	42737.7468095
458	42738.1055870
459	42736.5262500
460	42736.6134643
461	42737.2893750
462	42737.2893750
463	42736.9751471
464	42737.0469706
465	42736.8310876
466	42736.7980774
467	42736.5983591
468	42736.5972349
469	42736.2718750
470	42735.6105000
471	42735.6105000
472	42737.6794167
473	42737.3199000
474	42737.0774782
475	42737.1367500
476	42737.3983929
477	42738.6630000
478	42739.0990714
479	42738.9682500
480	42739.0164474
481	42739.2735000
482	42739.2735000
483	42739.3135085
484	42740.0671500
485	42739.7619000
486	42739.1514000
487	42739.1717500
488	42739.2395833
489	42739.3074167
490	42739.4770000
491	42740.0686835
492	42740.0747812
493	42740.0875000
494	42740.5475870
495	42738.7915263
496	42738.1970921
497	42738.0525000
498	42737.9116154
499	42737.4628718
500	42737.6862000
501	42738.0525000
502	42738.2614333
503	42737.9168333
504	42737.9652857
505	42738.5103750
506	42739.1887083
507	42739.0700000
508	42738.8156250
509	42738.9682500
510	42739.3431443
511	42738.2967000
512	42738.1606710
513	42738.5520000
514	42739.3660000
515	42739.3056316
516	42738.3006272
517	42737.8998750
518	42736.7127917
519	42736.6174628
520	42736.4364706
521	42736.8993333
522	42738.1429444
523	42738.0830250
524	42737.5132250
525	42736.2447417
526	42736.2718750
527	42737.0438478
528	42737.0495357
529	42737.3111786
530	42737.5728214
531	42737.5437500
532	42736.5262500
533	42736.5262500
534	42736.5099503
535	42736.3913168
536	42736.2726832
537	42736.3227500
538	42736.9949167
539	42736.9702500
540	42737.2170789
541	42737.4080833
542	42737.2045833
543	42736.4449159
544	42736.6280000
545	42736.2210000
546	42736.4245000
547	42736.5390584
548	42736.5771250
549	42736.7467083
550	42736.0267500
551	42736.0938125
552	42736.1192500
553	42735.9157500
554	42736.2224605
555	42736.4499375
556	42735.5783684
557	42735.6160372
558	42735.6783333
559	42735.6610457
560	42736.0687043
561	42736.0331538
562	42736.4923333
563	42736.4424462
564	42736.4598913
565	42736.2210000
566	42736.3227500
567	42736.2487500
568	42735.2532552
569	42735.3029375
570	42735.4360714
571	42737.6243571
572	42737.1547059
573	42736.7172353
574	42736.2797647
575	42735.8140000
576	42734.6330085
577	42734.2199167
578	42734.2538333
579	42735.1831500
580	42735.1526250
581	42735.1585522
582	42735.0000000
583	42734.4573333
584	42733.9944706
585	42734.0503333
586	42734.1546923
587	42735.3468750
588	42736.7297500
589	42736.9187143
590	42735.3561250
591	42735.4070000
592	42735.3488571
593	42735.6821875
594	42736.0378500
595	42736.6409500
596	42737.2440500
597	42737.2269375
598	42736.8276458
599	42736.4283542
600	42735.4578750
601	42734.8962742
602	42734.9315081
603	42734.9667419
604	42736.2210000
605	42735.7814849
606	42735.9157500
607	42736.9332500
608	42737.9168333
609	42737.4420000
610	42736.8315000
611	42736.7575000
612	42736.8250575
613	42735.9157500
614	42734.9495157
615	42734.7965000
616	42734.7965000
617	42734.7965000
618	42736.0853333
619	42735.2907143
620	42733.5367381
621	42733.3211250
622	42733.1823750
623	42733.0436250
624	42732.8625765
625	42732.9134676
626	42733.3516500
627	42733.2322172
628	42733.1632202
629	42733.7790000
630	42733.1492366
631	42732.9246622
632	42734.3252368
633	42733.7815520
634	42733.8298750
635	42734.8552779
636	42734.7456250
637	42733.6263750
638	42733.2804153
639	42733.3041667
640	42733.9606303
641	42732.4562500
642	42732.4223333
643	42732.5901316
644	42732.4707857
645	42732.5277797
646	42732.8910000
647	42732.2527500
648	42732.1602500
649	42732.9395625
650	42732.9395625
651	42733.0158750
652	42733.1916250
653	42733.1685000
654	42733.2363333
655	42733.3761111
656	42732.2188333
657	42732.1001250
658	42733.2193750
659	42734.7545667
660	42734.6786842
661	42734.8255714
662	42734.7750789
663	42734.8072105
664	42736.5262500
665	42736.3736250
666	42735.9327083
667	42735.4917917
668	42734.5251667
669	42734.0667751
670	42734.9633456
671	42734.9321667
672	42734.6813889
673	42734.4403750
674	42734.2877500
675	42733.7790000
676	42733.9864514
677	42733.9316250
678	42732.7938750
679	42732.8355000
680	42733.1248929
681	42732.9465000
682	42731.7440000
683	42731.0317500
684	42730.2516667
685	42730.2511727
686	42730.4551667
687	42730.3703750
688	42730.2007917
689	42730.2686250
690	42730.2686250
691	42730.1923125
692	42730.6710000
693	42730.8427857
694	42730.4913378
695	42730.5738750
696	42731.1843750
697	42732.1001250
698	42732.3748500
699	42731.6858571
700	42731.6583158
701	42732.3545000
702	42732.2527500
703	42732.1611750
704	42732.1764375
705	42732.3784412
706	42732.8373137
707	42733.2961863
708	42733.0260621
709	42733.0667500
710	42732.9437610
711	42733.1685000
712	42733.1685000
713	42733.1685000
714	42733.2044118
715	42734.1301373
716	42735.0558627
717	42735.0951157
718	42735.1017500
719	42735.8354211
720	42734.8890000
721	42734.6947500
722	42734.2877500
723	42734.0842500
724	42734.0030751
725	42733.9226471
726	42733.4198824
727	42733.2970263
728	42733.2725625
729	42733.2702500
730	42733.4010714
731	42733.4737500
732	42733.6402500
733	42734.3093333
734	42734.5560000
735	42734.4912500
736	42734.1860000
737	42732.6566667
738	42732.6258333
739	42731.9475000
740	42732.2045526
741	42732.1611750
742	42732.1001250
743	42731.6283750
744	42732.2527500
745	42732.2527500
746	42731.8658969
747	42732.1598478
748	42732.1417500
749	42731.9542184
750	42733.2702500
751	42733.7790000
752	42735.0370000
753	42736.2718750
754	42734.6947500
755	42734.4573333
756	42734.2199167
757	42733.7779722
758	42733.3360278
759	42732.1050926
760	42731.3675250
761	42731.2480924
762	42731.2703641
763	42731.2606875
764	42731.4480000
765	42730.5669375
766	42730.5015789
767	42730.8398125
768	42731.9174375
769	42732.9141250
770	42734.3386250
771	42733.3808478
772	42733.2557143
773	42733.4689048
774	42733.2557143
775	42733.2702500
776	42733.7790000
777	42733.7790000
778	42732.8632500
779	42731.3691316
780	42730.9096500
781	42730.3435500
782	42731.0172143
783	42731.1564048
784	42731.1034375
785	42730.8583125
786	42730.7265000
787	42731.2984733
788	42731.5524706
789	42731.5405000
790	42731.4896250
791	42731.2788571
792	42731.2865970
793	42731.1792875
794	42731.3232096
795	42731.3324032
796	42731.1674167
797	42731.5405000
798	42731.7948750
799	42732.2188333
800	42732.5580000
801	42732.0238125
802	42731.9051042
803	42732.0911471
804	42732.2527500
805	42732.2660217
806	42732.3425294
807	42732.4830298
808	42732.6347599
809	42732.7864901
810	42732.8123750
811	42732.9141250
812	42733.9316250
813	42733.7790000
814	42733.4897825
815	42733.4033077
816	42732.7041026
817	42732.6412500
818	42732.1219286
819	42731.0608214
820	42731.4874620
821	42730.9036731
822	42730.1565577
823	42729.4094423
824	42729.4376667
825	42730.1923125
826	42730.6162708
827	42730.7265000
828	42730.6756250
829	42730.5914988
830	42730.4551667
831	42729.9916389
832	42729.9934375
833	42729.4376667
834	42728.6044578
835	42729.2002500
836	42730.7658854
837	42731.7847000
838	42731.6583158
839	42731.2406053
840	42731.2537500
841	42731.3370000
842	42731.2643920
843	42730.6973580
844	42730.8376229
845	42731.9381271
846	42731.9475000
847	42732.2250000
848	42732.7487812
849	42732.3545000
850	42731.3370000
851	42731.3370000
852	42732.7615000
853	42732.6801000
854	42732.3545000
855	42732.1219286
856	42732.1219286
857	42732.0928571
858	42732.2382143
859	42732.1655357
860	42731.6306177
861	42731.6099699
