x	y
1	630.1837500
2	630.1738426
3	630.1733333
4	630.1822222
5	630.1864525
6	630.1850000
7	630.1824074
8	630.1798148
9	630.1805263
10	630.1756540
11	630.1730000
12	630.1650000
13	630.1662500
14	630.1610526
15	630.1603509
16	630.1607143
17	630.1581818
18	630.1550000
19	630.1550000
20	630.1561111
21	630.1518750
22	630.1420000
23	630.1258397
24	630.1344444
25	630.1319917
26	630.1321429
27	630.1350000
28	630.1374473
29	630.1335714
30	630.1350000
31	630.1383333
32	630.1353846
33	630.1384181
34	630.1350000
35	630.1333333
36	630.1277778
37	630.1280000
38	630.1311133
39	630.1312500
40	630.1271429
41	630.1221429
42	630.1216667
43	630.1100000
44	630.1120000
45	630.1116667
46	630.1010000
47	630.1011111
48	630.1070370
49	630.0950000
50	630.1021429
51	630.0948614
52	630.0856945
53	630.0881250
54	630.0962486
55	630.0947368
56	630.0975000
57	630.1081818
58	630.1115458
59	630.1109091
60	630.1000000
61	630.1000000
62	630.0750000
63	630.0746296
64	630.0742593
65	630.0762500
66	630.0768750
67	630.0853472
68	630.0918768
69	630.0921429
70	630.0930000
71	630.0950000
72	630.1300000
73	630.1400000
74	630.1405263
75	630.1450000
76	630.1794444
77	630.2107424
78	630.2150000
79	630.2400000
80	630.2475000
81	630.2600000
82	630.2926667
83	630.3070000
84	630.3334444
85	630.3560000
86	630.3836364
87	630.4175000
88	630.4400000
89	630.4600000
90	630.4950000
91	630.5350000
92	630.5450000
93	630.5979630
94	630.6340000
95	630.6775000
96	630.7100000
97	630.7475000
98	630.7858333
99	630.8412500
100	630.8975000
101	630.9600000
102	630.9800000
103	631.0483333
104	631.1331481
105	631.2110494
106	631.2650000
107	631.3430000
108	631.4125000
109	631.4782407
110	631.5400000
111	631.6200000
112	631.6400000
113	631.7450000
114	631.8400000
115	631.8900000
116	631.9750000
117	632.0300000
118	632.1300000
119	632.1980000
120	632.2760000
121	632.3300000
122	632.3700000
123	632.4406667
124	632.4950000
125	632.5400000
126	632.6400000
127	632.7100000
128	632.7600000
129	632.8300000
130	632.9000000
131	632.9580000
132	632.9825000
133	633.0425000
134	633.1000000
135	633.2050000
136	633.2500000
137	633.3040741
138	633.3525000
139	633.4000000
140	633.4837037
141	633.5400000
142	633.5948148
143	633.6496296
144	633.7112500
145	633.7633333
146	633.8420253
147	633.8500000
148	633.9500000
149	634.0233333
150	634.0960000
151	634.1475556
152	634.1916667
153	634.2520370
154	634.2850000
155	634.3693750
156	634.4475694
157	634.5000000
158	634.5631646
159	634.5958697
160	634.6000000
161	634.7000000
162	634.7725000
163	634.8350000
164	634.8864815
165	634.9000000
166	634.9937500
167	635.0482870
168	635.0875000
169	635.1216667
170	635.1716667
171	635.2533028
172	635.3175000
173	635.3500000
174	635.4250000
175	635.4550000
176	635.5244444
177	635.5690652
178	635.6050000
179	635.6500000
180	635.7248001
181	635.7683333
182	635.8146296
183	635.8609259
184	635.8700000
185	635.9633333
186	635.9900000
187	636.0544444
188	636.0600000
189	636.1363949
190	636.1787983
191	636.2100000
192	636.2633333
193	636.2950000
194	636.3250000
195	636.3661111
196	636.4072222
197	636.4750000
198	636.5100000
199	636.5400000
200	636.5500000
201	636.6178571
202	636.6500000
203	636.7100000
204	636.7455556
205	636.7662500
206	636.8000000
207	636.8400000
208	636.8637500
209	636.9075000
210	636.9200000
211	636.9711111
212	637.0070370
213	637.0300000
214	637.0300000
215	637.1085185
216	637.1481728
217	637.1500000
218	637.1900000
219	637.2266667
220	637.2607407
221	637.2650000
222	637.2937500
223	637.3164352
224	637.3175000
225	637.3300000
226	637.4091667
227	637.4378704
228	637.4383333
229	637.4715929
230	637.4754545
231	637.5067677
232	637.5400000
233	637.5540741
234	637.5681481
235	637.6034787
236	637.6209091
237	637.6275000
238	637.6300000
239	637.6580000
240	637.6650000
241	637.7166667
242	637.7433333
243	637.7500000
244	637.7488608
245	637.7500000
246	637.7580000
247	637.7625000
248	637.8023148
249	637.8050000
250	637.8078571
251	637.8150000
252	637.8152110
253	637.8175000
254	637.8298333
255	637.8296667
256	637.8284074
257	637.8275000
258	637.8275000
