x	y
1	5676.5156084
2	5675.9868609
3	5676.2108010
4	5676.5591523
5	5676.9890714
6	5677.2540150
7	5676.6172109
8	5676.0714605
9	5677.2761755
10	5677.1049028
11	5676.4958157
12	5676.3697437
13	5675.8624497
14	5676.3663082
15	5676.8461463
16	5676.6864346
17	5676.2145227
18	5676.6488792
19	5676.8639598
20	5676.8491152
21	5676.9365329
22	5676.6026963
23	5675.3399227
24	5676.1594814
25	5676.1815094
26	5676.2709708
27	5676.1128272
28	5676.2942602
29	5676.7333280
30	5677.9525577
31	5677.8794451
32	5677.0302183
33	5676.7702744
34	5677.1252233
35	5677.1155468
36	5676.9945915
37	5676.8282551
38	5676.9612078
39	5676.7623573
40	5676.7042987
41	5676.3153064
42	5676.2688596
43	5676.0312941
44	5675.4058983
45	5675.5389806
46	5676.4048825
47	5676.3128182
48	5676.0366253
49	5675.7608472
50	5675.4850691
51	5674.3819565
52	5674.2533792
53	5674.4255004
54	5674.7738517
55	5674.7761435
56	5674.5211714
57	5674.4286672
58	5674.6907225
59	5675.3225051
60	5675.4212046
61	5675.4923264
62	5675.3616946
63	5675.0438240
64	5675.3896871
65	5675.8334204
66	5676.2583035
67	5676.0801692
68	5675.2383202
69	5674.8668452
70	5675.1491588
71	5676.4712351
72	5675.8624497
73	5677.1252233
74	5677.9090138
75	5679.7378582
76	5681.6586288
77	5683.1342838
78	5684.4406012
79	5683.1342837
80	5684.3391497
81	5685.7469188
82	5689.2565584
83	5689.5091131
84	5692.0429695
85	5693.0622967
86	5696.5893540
87	5697.3731445
88	5699.6761339
89	5700.7695700
90	5700.9630985
91	5706.0993454
92	5706.8730319
93	5710.7270238
94	5712.2651640
95	5716.0174055
96	5718.8067044
97	5722.8898797
98	5721.5738857
99	5726.0637474
100	5728.8553963
101	5729.9439942
102	5734.9080007
103	5735.7788790
104	5741.5266760
105	5744.9231015
106	5744.1393110
107	5750.0264485
108	5750.9046606
109	5755.4225329
110	5760.4629323
111	5763.8647053
112	5767.8272017
113	5771.8854947
114	5776.5621114
115	5778.6260930
116	5783.1720779
117	5787.1171568
118	5789.4685282
119	5797.5676968
120	5798.0249079
121	5802.9235985
122	5802.8558635
123	5810.0906046
124	5810.6961876
125	5817.3801788
126	5822.5183610
127	5828.2661580
128	5831.6625835
129	5833.2301645
130	5837.6232619
131	5842.3924175
132	5843.5363220
133	5848.2459404
134	5853.0861905
135	5856.7729088
136	5859.2911986
137	5864.4317999
138	5867.5098710
139	5873.5692489
140	5875.9119116
141	5874.9839424
142	5880.4220937
143	5882.1844128
144	5885.4828645
145	5890.4178417
146	5892.3578562
147	5897.0220024
148	5900.0483046
149	5903.5584281
150	5907.4918953
151	5908.8659477
152	5912.0944181
153	5915.2669035
154	5916.6603088
155	5920.8840687
156	5923.1879378
157	5926.3789152
158	5929.6078945
159	5930.1589230
160	5932.0574378
161	5934.6004025
162	5938.1274597
163	5938.6935307
164	5945.0335249
165	5945.6605573
166	5947.4627917
167	5949.7014328
168	5951.5725771
169	5954.2454542
170	5954.5677074
