x	y
1	108.8109080
2	108.8263485
3	108.8302500
4	108.8227500
5	108.8246171
6	108.8245238
7	108.8295455
8	108.8334133
9	108.8166667
10	108.7977899
11	108.8031645
12	108.8174044
13	108.8138144
14	108.8070455
15	108.8147917
16	108.8215602
17	108.8231250
18	108.8233333
19	108.8281481
20	108.8283457
21	108.8230988
22	108.8179788
23	108.8178148
24	108.8190000
25	108.8179167
26	108.8153760
27	108.8096394
28	108.8097143
29	108.8273557
30	108.8208713
31	108.8171429
32	108.7926852
33	108.7857164
34	108.7970833
35	108.8164722
36	108.8100000
37	108.7996062
38	108.8045455
39	108.8039683
40	108.7934091
41	108.7854167
42	108.8057407
43	108.8051189
44	108.7891273
45	108.7879852
46	108.7928175
47	108.7820077
48	108.7810000
49	108.7850000
50	108.7900000
51	108.7887500
52	108.7865916
53	108.7767222
54	108.7777273
55	108.7824747
56	108.7890067
57	108.7877778
58	108.8044444
59	108.8062197
60	108.8014286
61	108.7751852
62	108.7722574
63	108.7758439
64	108.7772222
65	108.7744444
66	108.7731944
67	108.7778006
68	108.7835123
69	108.7722403
70	108.7650000
71	108.7548232
72	108.7633333
73	108.7586111
74	108.7465608
75	108.7531922
76	108.7637125
77	108.7852910
78	108.7804762
79	108.7743750
80	108.7611806
81	108.7700000
82	108.7600000
83	108.7493905
84	108.7450000
85	108.7883102
86	108.7225000
87	108.7297222
88	108.7216667
89	108.7445000
90	108.6857037
91	108.6315387
92	108.6300000
93	108.5810741
94	108.4690000
95	108.3925000
96	108.1800000
97	108.1551852
98	108.0756250
99	107.9187500
100	107.8500000
101	107.7100000
102	107.4800000
103	107.4200000
104	107.2400000
105	107.4000000
106	107.2900000
107	107.1900000
108	107.2400000
109	107.2500000
110	107.4700000
111	107.6600000
112	107.8500000
113	107.7500000
114	108.1700000
115	108.3200000
116	108.5700000
117	108.7500000
118	108.8100000
119	109.1100000
120	109.1300000
121	109.4700000
122	109.3000000
123	109.5400000
124	109.4847222
125	109.5176786
126	109.4782143
127	109.4186640
128	109.6400000
129	109.4540000
130	109.4182500
131	109.3575000
132	109.3238889
133	109.2840278
134	109.2824074
135	109.2600000
136	109.1853704
137	109.1413549
138	109.1185298
139	109.0785813
140	109.0358234
141	109.0082642
142	108.9690909
143	108.9250000
144	108.8958650
145	108.8593750
146	108.8021711
147	108.7531681
148	108.7386837
149	108.7603704
150	108.7340000
151	108.6730000
152	108.6850000
153	108.6831481
154	108.6500000
155	108.6200000
156	108.5975000
157	108.6362037
158	108.6419074
159	108.6033713
160	108.6353571
161	108.6561376
162	108.5973333
163	108.5837277
164	108.6298611
165	108.5600000
166	108.5400000
167	108.5762171
168	108.5797037
169	108.6164444
170	108.5858333
171	108.6083333
172	108.6116667
173	108.6025000
174	108.5972222
175	108.5779630
176	108.5659259
177	108.5664198
178	108.6158951
179	108.5700926
180	108.6383333
181	108.6200000
182	108.5960000
183	108.6233333
184	108.6200000
185	108.6000000
186	108.6209167
187	108.6195833
188	108.6179167
189	108.6622685
190	108.6560000
191	108.6606667
192	108.6962500
193	108.7170833
194	108.7029167
195	108.6962500
196	108.6912963
197	108.7083333
198	108.7532700
199	108.7350000
200	108.7740741
201	108.7609259
202	108.7925421
203	108.7716667
204	108.7806606
205	108.8032407
206	108.8360417
207	108.8625000
208	108.8915769
209	108.9089886
210	108.9024003
211	108.9292894
212	108.9520000
213	109.0140000
214	109.0195370
215	109.1260000
216	109.0780000
217	109.1300000
218	109.2540000
219	109.3215556
220	109.3933333
221	109.4300000
222	109.6200000
223	109.5900000
224	109.5100000
225	109.5800000
226	109.6300000
227	109.5000000
228	109.4000000
229	109.2700000
230	108.9300000
231	108.7100000
232	108.7100000
233	108.6100000
