x	y
1	-0.3608875
2	-0.3609387
3	-0.3609516
4	-0.3609267
5	-0.3609329
6	-0.3609326
7	-0.3609493
8	-0.3609621
9	-0.3609065
10	-0.3608439
11	-0.3608618
12	-0.3609090
13	-0.3608971
14	-0.3608746
15	-0.3609003
16	-0.3609228
17	-0.3609280
18	-0.3609287
19	-0.3609446
20	-0.3609453
21	-0.3609279
22	-0.3609109
23	-0.3609104
24	-0.3609143
25	-0.3609107
26	-0.3609023
27	-0.3608832
28	-0.3608835
29	-0.3609420
30	-0.3609205
31	-0.3609081
32	-0.3608270
33	-0.3608039
34	-0.3608416
35	-0.3609059
36	-0.3608844
37	-0.3608500
38	-0.3608663
39	-0.3608644
40	-0.3608294
41	-0.3608029
42	-0.3608703
43	-0.3608683
44	-0.3608152
45	-0.3608114
46	-0.3608275
47	-0.3607916
48	-0.3607883
49	-0.3608015
50	-0.3608181
51	-0.3608140
52	-0.3608068
53	-0.3607741
54	-0.3607774
55	-0.3607931
56	-0.3608148
57	-0.3608107
58	-0.3608660
59	-0.3608719
60	-0.3608560
61	-0.3607690
62	-0.3607593
63	-0.3607712
64	-0.3607757
65	-0.3607665
66	-0.3607624
67	-0.3607776
68	-0.3607966
69	-0.3607592
70	-0.3607352
71	-0.3607014
72	-0.3607297
73	-0.3607140
74	-0.3606740
75	-0.3606960
76	-0.3607309
77	-0.3608025
78	-0.3607865
79	-0.3607663
80	-0.3607225
81	-0.3607518
82	-0.3607186
83	-0.3606834
84	-0.3606689
85	-0.3608125
86	-0.3605942
87	-0.3606182
88	-0.3605915
89	-0.3606672
90	-0.3604722
91	-0.3602925
92	-0.3602874
93	-0.3601252
94	-0.3597535
95	-0.3594997
96	-0.3587950
97	-0.3587126
98	-0.3584488
99	-0.3579285
100	-0.3577005
101	-0.3572361
102	-0.3564733
103	-0.3562743
104	-0.3556773
105	-0.3562080
106	-0.3558431
107	-0.3555115
108	-0.3556773
109	-0.3557105
110	-0.3564401
111	-0.3570703
112	-0.3577005
