x	y
1	-5685.6637338
2	-5686.4705395
3	-5686.6744042
4	-5686.2825089
5	-5686.3800694
6	-5686.3751953
7	-5686.6375898
8	-5686.8396951
9	-5685.9646383
10	-5684.9782786
11	-5685.2591123
12	-5686.0031878
13	-5685.8155999
14	-5685.4619040
15	-5685.8666645
16	-5686.2203379
17	-5686.3021037
18	-5686.3129897
19	-5686.5645767
20	-5686.5748983
21	-5686.3007329
22	-5686.0332027
23	-5686.0246322
24	-5686.0865613
25	-5686.0299542
26	-5685.8971964
27	-5685.5974453
28	-5685.6013577
29	-5686.5231693
30	-5686.1843406
31	-5685.9895206
32	-5684.7115412
33	-5684.3474024
34	-5684.9413563
35	-5685.9544781
36	-5685.6162870
37	-5685.0731823
38	-5685.3312723
39	-5685.3011120
40	-5684.7493672
41	-5684.3317415
42	-5685.3937292
43	-5685.3612379
44	-5684.5256327
45	-5684.4659559
46	-5684.7184529
47	-5684.1536156
48	-5684.1009587
49	-5684.3099695
50	-5684.5712330
51	-5684.5059171
52	-5684.3931370
53	-5683.8774333
54	-5683.9299499
55	-5684.1780182
56	-5684.5193322
57	-5684.4551159
58	-5685.3259942
59	-5685.4187540
60	-5685.1684067
61	-5683.7971189
62	-5683.6441334
63	-5683.8315376
64	-5683.9035596
65	-5683.7584132
66	-5683.6930973
67	-5683.9337831
68	-5684.2322336
69	-5683.6432409
70	-5683.2649155
71	-5682.7331519
72	-5683.1778277
73	-5682.9310788
74	-5682.3014199
75	-5682.6479282
76	-5683.1976413
77	-5684.3251753
78	-5684.0735882
79	-5683.7547846
80	-5683.0653392
81	-5683.5261790
82	-5683.0036520
83	-5682.4492786
84	-5682.2198615
85	-5684.4829343
86	-5681.0441758
87	-5681.4215564
88	-5681.0006318
89	-5682.1937351
90	-5679.1214699
91	-5676.2912033
92	-5676.2108010
93	-5673.6542893
94	-5667.7981163
95	-5663.8007848
96	-5652.6970860
97	-5651.4004449
98	-5647.2432104
99	-5639.0460681
100	-5635.4536950
101	-5628.1383170
102	-5616.1201960
103	-5612.9850340
104	-5603.5795480
105	-5611.9399800
106	-5606.1921830
107	-5600.9669130
108	-5603.5795480
109	-5604.1020750
110	-5615.5976690
111	-5625.5256820
112	-5635.4536950
113	-5630.2284250
114	-5652.1745590
115	-5660.0124640
116	-5673.0756390
117	-5682.4811250
118	-5685.6162870
119	-5701.2920970
120	-5702.3371510
121	-5720.1030690
122	-5711.2201100
123	-5723.7607580
124	-5720.8723449
125	-5722.5944031
126	-5720.5322876
127	-5717.4206255
128	-5728.9860280
129	-5719.2670258
130	-5717.3989918
131	-5714.2246403
132	-5712.4683689
133	-5710.3855183
134	-5710.3008495
135	-5709.1300020
136	-5705.2304024
137	-5702.9304751
138	-5701.7378043
139	-5699.6503834
140	-5697.4161686
141	-5695.9761245
142	-5693.9292165
143	-5691.6253475
144	-5690.1029640
145	-5688.1962641
146	-5685.2072057
147	-5682.6466691
148	-5681.8898182
149	-5683.0230049
150	-5681.6450818
151	-5678.4576671
152	-5679.0846995
153	-5678.9879352
154	-5677.2558550
155	-5675.6882740
156	-5674.5125882
157	-5676.5349613
158	-5676.8329952
159	-5674.8193800
160	-5676.4907262
161	-5677.5765594
162	-5674.5038795
163	-5673.7929488
164	-5676.2035437
165	-5672.5531120
166	-5671.5080580
167	-5673.4005009
168	-5673.5826837
169	-5675.5024866
170	-5673.9029734
171	-5675.0786592
172	-5675.2528348
173	-5674.7738517
174	-5674.4980736
175	-5673.4917253
176	-5672.8627576
177	-5672.8885614
178	-5675.4737799
179	-5673.0804772
180	-5676.6462402
181	-5675.6882740
182	-5674.4342092
183	-5675.8624497
184	-5675.6882740
185	-5674.6432200
186	-5675.7361723
187	-5675.6665020
188	-5675.5794142
189	-5677.8969182
190	-5677.5693712
191	-5677.8132171
192	-5679.6725424
193	-5680.7611403
194	-5680.0208937
195	-5679.6725424
196	-5679.4136980
197	-5680.3039292
198	-5682.6519935
199	-5681.6973345
200	-5683.7390604
201	-5683.0520341
202	-5684.7040639
203	-5683.6132668
204	-5684.0832233
205	-5685.2630975
206	-5686.9770344
207	-5688.3595537
208	-5689.8789015
209	-5690.7887088
210	-5690.4444514
211	-5691.8494782
212	-5693.0361704
213	-5696.2758378
214	-5696.5651629
215	-5702.1281402
216	-5699.6200106
217	-5702.3371510
218	-5708.8164858
219	-5712.3464460
220	-5716.0970287
221	-5718.0129610
222	-5727.9409740
223	-5726.3733930
224	-5722.1931770
225	-5725.8508660
226	-5728.4635010
227	-5721.6706500
228	-5716.4453800
229	-5709.6525290
230	-5691.8866110
231	-5680.3910170
232	-5680.3910170
233	-5675.1657470
234	-5659.4899370
235	-5650.0844510
236	-5634.9311680
237	-5630.7509520
238	-5625.5256820
239	-5624.4806280
240	-5626.0482090
241	-5611.9399800
242	-5618.2103040
243	-5618.2103040
244	-5630.2284250
245	-5627.8770535
246	-5629.1833710
247	-5638.0663300
248	-5634.4086410
249	-5641.2014920
250	-5645.3623551
251	-5650.8585651
252	-5655.8322480
253	-5660.4575796
254	-5661.8026028
255	-5664.4139476
256	-5666.7008096
257	-5670.6110646
258	-5673.5981660
259	-5674.9828625
260	-5679.3338557
261	-5677.0816793
262	-5680.1297535
263	-5682.3069493
264	-5682.9925665
265	-5682.7423885
266	-5684.3758671
267	-5685.8272331
268	-5688.0199112
269	-5689.0127125
270	-5690.2174275
271	-5688.1879135
272	-5688.8820808
273	-5690.1109868
274	-5690.2496823
275	-5690.4432108
276	-5691.9388637
277	-5692.2427035
278	-5692.3503690
279	-5692.2066435
280	-5692.4035690
281	-5692.1299040
282	-5691.4947158
283	-5691.6495386
284	-5691.4976187
285	-5691.3638013
286	-5691.8588880
287	-5692.2523799
288	-5692.0795897
289	-5692.1312005
290	-5691.5259442
291	-5691.2632146
292	-5691.2327192
293	-5692.3422360
294	-5692.2191282
295	-5691.6134216
296	-5691.3336565
297	-5691.4321702
298	-5691.4208237
299	-5689.7343762
300	-5688.3509590
301	-5688.4420580
302	-5689.0906663
303	-5689.7755054
304	-5689.6482044
305	-5688.8733720
306	-5688.8994983
307	-5688.8147856
308	-5689.0688407
309	-5688.5040019
310	-5688.5966262
311	-5688.4684868
312	-5688.3698459
313	-5688.3550674
314	-5688.1488393
315	-5688.6401701
316	-5688.6117421
317	-5688.4338505
318	-5688.5275089
319	-5688.8820807
320	-5688.6672641
321	-5688.4524474
322	-5687.2251201
323	-5687.3870729
324	-5687.0125953
325	-5686.7329466
326	-5686.6177971
327	-5686.7484288
328	-5686.4436214
329	-5686.1506896
330	-5686.4042436
331	-5685.9256021
332	-5685.5878823
333	-5686.1388140
334	-5686.2067205
335	-5686.1977637
336	-5686.1562316
337	-5686.0459937
338	-5685.3361163
339	-5685.4595289
340	-5685.7671924
341	-5685.8573987
342	-5685.4856553
343	-5685.4357175
344	-5685.3736852
345	-5685.2837698
346	-5684.8953088
347	-5683.7257553
348	-5684.2073303
349	-5683.7584132
350	-5684.1770411
351	-5684.1905114
352	-5683.7983975
353	-5683.6560232
354	-5683.6401807
355	-5683.5310596
356	-5684.5059171
357	-5684.9823647
358	-5685.0893292
359	-5685.0611021
360	-5683.5261790
361	-5683.4449760
362	-5683.3041050
363	-5683.7735707
364	-5683.4221880
365	-5683.7129252
366	-5683.7351898
367	-5684.0388841
368	-5684.3401047
369	-5685.0564963
370	-5684.4297153
371	-5683.8425981
372	-5683.2184687
373	-5683.1095538
374	-5683.1312659
375	-5683.0796547
376	-5683.1503581
377	-5683.2300804
378	-5683.6699290
379	-5683.9180743
380	-5684.0554795
381	-5684.0537861
382	-5684.0436259
383	-5683.8773557
384	-5683.9616182
385	-5684.2338456
386	-5684.2693285
