x	y
1	-108.6735199
2	-108.6719970
3	-108.6655114
4	-108.6633333
5	-108.6500000
6	-108.6500000
7	-108.6492035
8	-108.6507222
9	-108.6572917
10	-108.6563565
11	-108.6557143
12	-108.6593197
13	-108.6644309
14	-108.6699052
15	-108.6730994
16	-108.6817857
17	-108.6733730
18	-108.6575000
19	-108.6447493
20	-108.6450000
21	-108.6451263
22	-108.6466689
23	-108.6312302
24	-108.6350000
25	-108.6494444
26	-108.6554167
27	-108.6558472
28	-108.6447619
29	-108.6383333
30	-108.6366667
31	-108.6406061
32	-108.6526780
33	-108.6592921
34	-108.6657721
35	-108.6610807
36	-108.6528947
37	-108.6438889
38	-108.6481250
39	-108.6536806
40	-108.6451667
41	-108.6225000
42	-108.6200000
43	-108.6231667
44	-108.6350833
45	-108.6397627
46	-108.6376987
47	-108.6615608
48	-108.6619737
49	-108.6600926
50	-108.6621557
51	-108.6405556
52	-108.6321846
53	-108.6256250
54	-108.6270833
55	-108.6325093
56	-108.6350000
57	-108.6311796
58	-108.6340741
59	-108.6327075
60	-108.6300000
61	-108.6312500
62	-108.6379545
63	-108.6468333
64	-108.6458929
65	-108.6466667
66	-108.6346825
67	-108.6346249
68	-108.6553509
69	-108.6593750
70	-108.6567474
71	-108.6497222
72	-108.6489074
73	-108.6450833
74	-108.6461909
75	-108.6497278
76	-108.6547419
77	-108.6717103
78	-108.6627222
79	-108.6198882
80	-108.6222222
81	-108.6275000
82	-108.6254630
83	-108.6331250
84	-108.6349815
85	-108.6335663
86	-108.6331032
87	-108.6328571
88	-108.6340909
89	-108.6358333
90	-108.6297152
91	-108.6218182
92	-108.6232943
93	-108.6305114
94	-108.6591040
95	-108.6452016
96	-108.6403333
97	-108.6383567
98	-108.6402222
99	-108.6387500
100	-108.6115833
101	-108.6083333
102	-108.6150000
103	-108.6258333
104	-108.6510888
105	-108.6218182
106	-108.6183838
107	-108.6216667
108	-108.6166667
109	-108.6461111
110	-108.6475000
111	-108.6513889
112	-108.6600000
113	-108.6285714
114	-108.6272917
115	-108.6235417
116	-108.6920139
117	-108.7235207
118	-108.7121429
119	-108.6819192
120	-108.6672727
121	-108.6540000
122	-108.6737500
123	-108.7028571
124	-108.6866667
125	-108.6788889
126	-108.7170370
127	-108.7028086
128	-108.6864506
129	-108.6862837
130	-108.6989947
131	-108.6794180
132	-108.6629431
133	-108.6608333
134	-108.6647222
135	-108.6669048
136	-108.6943182
137	-108.6894318
138	-108.6781679
139	-108.6775758
140	-108.6818571
141	-108.6892350
142	-108.6891667
143	-108.6843713
144	-108.6762500
145	-108.6706744
146	-108.6649685
147	-108.6631299
148	-108.6687963
149	-108.6579559
150	-108.6670602
151	-108.6650113
152	-108.6757143
153	-108.6741534
154	-108.6700808
155	-108.6621418
156	-108.6677778
157	-108.6653893
158	-108.6540141
159	-108.6518913
160	-108.6503571
161	-108.6501076
162	-108.6444444
163	-108.6572593
164	-108.6559211
165	-108.6341371
166	-108.6379817
167	-108.6417782
168	-108.6427778
169	-108.6311111
170	-108.6308955
171	-108.6355000
172	-108.6390456
173	-108.6453988
174	-108.6433333
175	-108.6439636
176	-108.6450000
177	-108.6463889
178	-108.6492413
179	-108.6410000
180	-108.6310000
181	-108.6314491
182	-108.6391071
183	-108.6469722
184	-108.6350499
185	-108.6345000
186	-108.6365741
187	-108.6439318
188	-108.6441667
189	-108.6404370
190	-108.6290909
191	-108.6245808
192	-108.6297835
193	-108.6269444
194	-108.6337500
195	-108.6379167
196	-108.6341994
197	-108.6357517
198	-108.6278571
199	-108.6404762
200	-108.6414694
201	-108.6435690
202	-108.6496633
203	-108.6480973
204	-108.6416667
205	-108.6383333
206	-108.6412963
207	-108.6421944
208	-108.6372181
209	-108.6397727
210	-108.6389583
211	-108.6367778
212	-108.6433041
213	-108.6582804
214	-108.6569345
215	-108.6569643
216	-108.6659722
217	-108.6641922
218	-108.6626984
219	-108.6554921
220	-108.6524509
221	-108.6513108
222	-108.6411111
223	-108.6269943
224	-108.6414055
225	-108.6495833
226	-108.6495833
227	-108.6484571
228	-108.6463538
229	-108.6450000
230	-108.6535227
231	-108.6540000
232	-108.6501182
233	-108.6487500
234	-108.6470000
235	-108.6473611
236	-108.6626759
237	-108.6600000
238	-108.6568519
239	-108.6577778
240	-108.6550564
241	-108.6522222
242	-108.6581985
243	-108.6572994
244	-108.6473148
245	-108.6565967
246	-108.6563790
247	-108.6539177
248	-108.6480682
249	-108.6500000
250	-108.6518269
251	-108.6409447
252	-108.6438889
253	-108.6516667
254	-108.6427778
255	-108.6355682
256	-108.6487687
257	-108.6489929
258	-108.6581832
259	-108.6520011
260	-108.6542045
261	-108.6388089
262	-108.6345833
263	-108.6382143
264	-108.6501852
265	-108.6477593
266	-108.6491759
267	-108.6450286
268	-108.6372222
269	-108.6363492
270	-108.6590179
271	-108.6630000
272	-108.6275689
273	-108.6295833
274	-108.6259722
275	-108.6177315
276	-108.6417222
277	-108.6387500
278	-108.6379140
279	-108.6393750
280	-108.6387500
281	-108.6650000
282	-108.6529630
283	-108.6725000
284	-108.6475000
285	-108.6475000
286	-108.6444444
287	-108.6435714
288	-108.6774868
289	-108.6550000
290	-108.6565741
291	-108.6612500
292	-108.6625000
293	-108.6341667
294	-108.6000000
295	-108.5721429
296	-108.5827513
297	-108.6194722
298	-108.6247500
299	-108.5838056
300	-108.5575000
301	-108.6100000
302	-108.5833333
303	-108.5648148
304	-108.5776790
305	-108.5901728
306	-108.6063704
307	-108.5837975
308	-108.6191506
309	-108.6124286
310	-108.5884352
311	-108.5789425
312	-108.5904306
313	-108.5897727
314	-108.5875508
315	-108.5850000
316	-108.5967086
317	-108.5936335
318	-108.5922619
319	-108.6328225
320	-108.6231032
321	-108.6138750
322	-108.6162222
323	-108.6110000
324	-108.6072727
325	-108.6117180
326	-108.6150473
327	-108.6070000
328	-108.6054791
329	-108.5951323
330	-108.5915152
331	-108.5736700
332	-108.5812179
333	-108.6027778
334	-108.6100000
335	-108.6089934
336	-108.6050000
337	-108.6010795
338	-108.6144111
339	-108.6146481
340	-108.6190000
341	-108.6144329
342	-108.6141667
343	-108.6129167
344	-108.6028241
345	-108.6025738
346	-108.5993750
347	-108.5965656
348	-108.5928571
349	-108.5934705
350	-108.5860556
351	-108.5953110
352	-108.6177848
353	-108.6268147
354	-108.6112500
355	-108.5951389
356	-108.5825000
357	-108.5757639
358	-108.5814543
359	-108.5910429
360	-108.5880989
361	-108.5827778
362	-108.5789745
363	-108.5811618
364	-108.6013889
365	-108.5993372
366	-108.5959459
367	-108.5964286
368	-108.6051395
369	-108.6051515
370	-108.5969949
371	-108.5918814
372	-108.6095000
373	-108.6104630
374	-108.6035648
375	-108.6125000
376	-108.6097532
377	-108.6007303
378	-108.6092047
379	-108.6100034
380	-108.5899537
381	-108.5784136
382	-108.5792500
383	-108.6037778
384	-108.5981250
385	-108.6000326
386	-108.6013195
387	-108.5805556
388	-108.5853704
389	-108.5862727
390	-108.5894613
391	-108.5901419
392	-108.5910000
393	-108.5755185
394	-108.5761481
395	-108.5787945
396	-108.5711111
397	-108.5830556
398	-108.5931667
399	-108.5897772
400	-108.5813333
401	-108.5951939
402	-108.5989828
403	-108.6043943
404	-108.6027778
405	-108.6008333
406	-108.5950000
407	-108.5862968
408	-108.5917330
409	-108.6018407
410	-108.6052222
411	-108.6043750
412	-108.5887467
413	-108.5787377
414	-108.5837500
415	-108.5987879
416	-108.6218254
417	-108.6206818
418	-108.6112442
419	-108.5880513
420	-108.5974276
421	-108.6002442
422	-108.5799285
423	-108.5787500
424	-108.5797404
425	-108.5803333
426	-108.5880000
427	-108.5861002
428	-108.5788722
429	-108.5813167
430	-108.6021250
431	-108.6025000
432	-108.5933333
433	-108.5866667
434	-108.5866204
435	-108.5851157
436	-108.5912191
437	-108.5868056
438	-108.5820833
439	-108.5778369
440	-108.5772559
441	-108.5836337
442	-108.6046715
443	-108.5970403
444	-108.5891667
445	-108.5894444
446	-108.6002910
447	-108.6025496
448	-108.5836106
449	-108.5835714
450	-108.5723333
451	-108.5690943
452	-108.5740476
453	-108.5815000
454	-108.5854861
455	-108.5900000
456	-108.5900000
457	-108.5830169
458	-108.5720000
459	-108.5452222
460	-108.5500000
461	-108.5828472
462	-108.5795928
463	-108.5793091
464	-108.5845480
465	-108.5863078
466	-108.5882727
467	-108.5862500
468	-108.5894285
469	-108.5819042
470	-108.5838889
471	-108.5859630
472	-108.5822619
473	-108.5757903
474	-108.5733333
475	-108.5747232
476	-108.5719623
477	-108.5686006
478	-108.5625000
479	-108.5679444
480	-108.5684444
481	-108.5709740
482	-108.6038912
483	-108.5993750
484	-108.5900321
485	-108.5828333
486	-108.5822222
487	-108.5777778
488	-108.5730556
489	-108.5760526
490	-108.5810000
491	-108.5788889
492	-108.5785556
493	-108.5773386
494	-108.5706667
495	-108.5600000
496	-108.5664074
497	-108.5568889
498	-108.5528241
499	-108.5587579
500	-108.5626873
501	-108.5678889
502	-108.5654167
503	-108.5598148
504	-108.5568750
505	-108.5571667
506	-108.5650000
507	-108.5638095
508	-108.5639084
509	-108.5633333
510	-108.5727901
511	-108.5679044
512	-108.5562593
513	-108.5557901
514	-108.5538537
515	-108.5520000
516	-108.5550316
517	-108.5604630
518	-108.5629630
519	-108.5500000
520	-108.5538539
521	-108.5591091
522	-108.5587374
523	-108.5646561
524	-108.5727083
525	-108.5787500
526	-108.5790000
527	-108.5590000
528	-108.5584697
529	-108.5700000
530	-108.5499303
531	-108.5556250
532	-108.5610206
533	-108.5587311
534	-108.5611962
535	-108.5725000
536	-108.5858466
537	-108.5653563
538	-108.5448181
539	-108.5546263
540	-108.5523016
541	-108.5326190
542	-108.5332955
543	-108.5337500
544	-108.5436667
545	-108.5440972
546	-108.5583468
547	-108.5661156
548	-108.5623735
549	-108.5637500
550	-108.5684705
551	-108.5535295
552	-108.5450115
553	-108.5437120
554	-108.5377778
555	-108.5378099
556	-108.5412222
557	-108.5527778
558	-108.5500000
559	-108.5488889
560	-108.5520741
561	-108.5518889
562	-108.5530000
563	-108.5520370
564	-108.5625000
565	-108.5665476
566	-108.5676241
567	-108.5605263
568	-108.5772321
569	-108.5749306
570	-108.5571435
571	-108.5600585
572	-108.5576862
573	-108.5489444
574	-108.5491375
575	-108.5747037
576	-108.5827160
577	-108.5676984
578	-108.5636243
579	-108.5618188
580	-108.5566667
581	-108.5555026
582	-108.5529545
583	-108.5566330
584	-108.5629328
585	-108.5654409
586	-108.5538051
587	-108.5333981
588	-108.5278872
589	-108.5435329
590	-108.5560269
591	-108.5566667
592	-108.5537131
593	-108.5469048
594	-108.5375036
595	-108.5398028
596	-108.5334921
597	-108.5303274
598	-108.5316731
599	-108.5364286
600	-108.5351326
601	-108.5456648
602	-108.5529583
603	-108.5450000
604	-108.5460000
605	-108.5354545
606	-108.5497619
607	-108.5438179
608	-108.5441821
609	-108.5525052
610	-108.5538778
611	-108.5471429
612	-108.5441667
613	-108.5681915
614	-108.5668799
615	-108.5635000
616	-108.5400000
617	-108.5360000
618	-108.5270370
619	-108.5297837
620	-108.5453947
621	-108.5481818
622	-108.5447159
623	-108.5437424
624	-108.5285968
625	-108.5343333
626	-108.5363636
627	-108.5381250
628	-108.5418750
629	-108.5315855
630	-108.5305000
631	-108.5500000
632	-108.5644444
633	-108.5680741
634	-108.5645055
635	-108.5654444
636	-108.5626667
637	-108.5626667
638	-108.5588384
639	-108.5569149
640	-108.5530851
641	-108.5598517
642	-108.5655629
643	-108.5628400
644	-108.5505000
645	-108.5488194
646	-108.5511367
647	-108.5431250
648	-108.5366682
649	-108.5330026
650	-108.5354057
651	-108.5296498
652	-108.5460365
653	-108.5465225
654	-108.5481111
655	-108.5627138
656	-108.5638889
657	-108.5716948
658	-108.5702857
659	-108.5630306
660	-108.5537500
661	-108.5447619
662	-108.5424603
663	-108.5598148
664	-108.5541488
665	-108.5411618
666	-108.5324493
667	-108.5337500
668	-108.5427976
669	-108.5445741
670	-108.5391898
671	-108.5340341
672	-108.5371326
673	-108.5355944
674	-108.5381250
