x	y
1	33069.0648302
2	33069.1372197
3	33068.9762392
4	33068.9920733
5	33069.6887760
6	33069.6887760
7	33069.6557474
8	33069.5639501
9	33069.0791612
10	33069.0094909
11	33069.1662490
12	33069.1658536
13	33069.0867827
14	33068.9703014
15	33068.8676621
16	33068.4197819
17	33068.3368411
18	33068.7743537
19	33068.8832478
20	33068.7743537
21	33068.7387269
22	33068.6290905
23	33068.9423089
24	33068.9049855
25	33068.3824585
26	33068.2953707
27	33068.2556851
28	33068.4695463
29	33068.4695463
30	33068.4695463
31	33068.4695463
32	33067.8889608
33	33067.5551241
34	33067.2067727
35	33067.3220535
36	33067.7086737
37	33067.1341996
38	33067.1414569
39	33067.3374045
40	33067.3374045
41	33067.4680363
42	33067.5986680
43	33067.5638329
44	33067.5289977
45	33067.0761410
46	33067.0761410
47	33065.8375585
48	33065.9004553
49	33066.0262488
50	33065.8204717
51	33065.8278821
52	33065.7891764
53	33065.7698235
54	33065.8351394
55	33066.2096171
56	33066.0310870
57	33065.9439992
58	33065.7311178
59	33065.7407942
60	33065.7698235
61	33065.8351394
62	33065.7460723
63	33065.9265816
64	33065.9191169
65	33065.5956478
66	33065.5832067
67	33065.4214722
68	33064.3764182
69	33064.3981901
70	33064.5680114
71	33064.8554013
72	33064.8554013
73	33065.0513489
74	33064.9207171
75	33064.7960232
76	33064.5941377
77	33064.5389821
78	33064.4518943
79	33064.7451267
80	33064.4344767
81	33064.0716107
82	33063.8297001
83	33063.9409790
84	33063.8103473
85	33063.8968750
86	33063.9036556
87	33063.9409790
88	33063.9884815
89	33063.8103473
90	33063.9558612
91	33064.4160035
92	33064.4635060
93	33064.2734962
94	33064.1656021
95	33064.8775270
96	33065.0731208
97	33065.1544028
98	33065.2356848
99	33065.5738759
100	33067.5159346
101	33068.2082828
102	33069.4275125
103	33070.0371273
104	33072.0885296
105	33073.7739871
106	33074.9984948
107	33075.3494852
108	33078.4846472
109	33080.1393160
110	33081.7068970
111	33083.2744780
112	33084.8420590
113	33087.5293407
114	33090.0346711
115	33090.4047944
116	33090.7749176
117	33091.1123830
118	33093.7250180
119	33096.0473602
120	33097.3827070
121	33099.2638042
122	33099.3421832
123	33099.4728150
124	33101.2145717
125	33101.6209816
126	33102.0273914
127	33103.2611357
128	33104.6061590
129	33104.6109972
130	33104.8625842
131	33106.0044025
132	33106.9841406
133	33107.1365443
134	33107.1365443
135	33107.1365443
136	33107.7026152
137	33107.9282519
138	33107.9638787
139	33108.0074227
140	33108.2064806
141	33107.7502585
142	33107.7461592
143	33107.7615925
144	33107.8332470
145	33108.1264795
146	33108.7011856
147	33108.8192625
148	33108.5457838
149	33108.5279008
150	33107.9312208
151	33108.0464192
152	33108.0571871
153	33108.1014222
154	33108.1456573
155	33108.5843796
156	33107.9783934
157	33107.9696649
158	33108.0074227
159	33108.2242923
160	33108.2064806
161	33108.1467632
162	33108.1235398
163	33107.3378140
164	33107.3932243
165	33108.3050647
166	33108.2832008
167	33108.2552587
168	33107.9493641
169	33108.0364519
170	33108.0767493
171	33107.9638787
172	33107.9203348
173	33106.8172223
174	33106.9623687
175	33107.0204272
176	33107.0494565
177	33106.9188248
178	33106.6652780
179	33106.7359403
180	33106.7881930
181	33106.6911837
182	33106.4616136
183	33106.0174657
184	33106.0211471
185	33106.1350343
186	33106.1834164
187	33105.7277018
188	33105.6560512
189	33105.7949508
190	33105.7906415
191	33105.6937892
192	33105.2952587
193	33105.6125072
194	33105.2859279
195	33105.0682083
196	33105.4946785
197	33105.3119675
198	33105.2206120
199	33104.5239093
200	33104.4464979
201	33104.3690865
202	33104.0981466
203	33104.0849675
204	33104.2626458
205	33104.0884702
206	33103.7594717
207	33103.4570834
208	33103.4616544
209	33103.5223993
210	33103.4788553
211	33103.0376103
212	33103.1030026
213	33102.5333303
214	33102.4089191
215	33102.3093901
216	33102.4120294
217	33102.3793714
218	33102.4960069
219	33102.6403239
220	33102.7798799
221	33102.8201008
222	33102.8111819
223	33102.7531234
224	33102.0854500
225	33101.4976071
226	33101.6500108
227	33101.7860486
228	33101.9910329
229	33101.8241865
230	33101.2363436
231	33100.8967011
232	33100.8709306
233	33100.9097643
234	33101.0403960
235	33100.9823374
236	33100.1579060
237	33100.5178690
238	33100.9436317
239	33100.8952496
240	33100.9995969
241	33101.0403960
242	33100.5793428
243	33100.5283509
244	33100.5178690
245	33099.8167567
246	33099.8320523
247	33099.8528346
248	33099.9003371
249	33099.6687626
250	33099.5381309
251	33099.5118777
252	33099.3566979
253	33098.8632002
254	33098.9793173
255	33098.8552831
256	33098.0670942
257	33098.0566048
258	33097.9526635
259	33098.2186925
260	33097.9705499
261	33097.9270060
262	33097.9923218
263	33097.7746022
264	33097.2423988
265	33097.0691908
266	33096.9685560
267	33097.1199492
268	33097.5278534
269	33097.4988241
270	33096.4305467
271	33095.8151260
272	33095.8202355
273	33095.7498101
274	33095.2127685
275	33094.6757268
276	33094.6800812
277	33094.6394402
278	33094.6504641
279	33094.5741244
280	33094.3781768
281	33092.1574370
282	33090.9575602
283	33089.0222750
284	33088.4649129
285	33088.3691163
286	33086.8450792
287	33085.7004962
288	33083.9283279
289	33083.5357415
290	33081.0537383
291	33080.0740001
292	33077.9185762
293	33075.5672048
294	33074.9140460
295	33073.8689920
296	33072.7368502
297	33070.5654602
298	33068.9049855
299	33068.4211642
300	33067.9905633
301	33064.4635060
302	33064.4635060
303	33063.1862178
304	33062.2688926
305	33061.3709203
306	33060.4729479
307	33060.2832900
308	33058.5475552
309	33058.6410623
310	33058.3891296
311	33058.0198331
312	33057.2932744
313	33057.2906354
314	33057.3631921
315	33057.1481280
316	33055.6676348
317	33055.6146250
318	33055.5370031
319	33053.3278384
320	33053.4014655
321	33053.3859336
322	33053.2814282
323	33053.3336809
324	33053.1104194
325	33052.9761152
326	33052.7937363
327	33052.9679120
328	33052.9679120
329	33052.7743835
330	33052.7937363
331	33052.8711477
332	33052.7066485
333	33051.8357702
334	33051.4003310
335	33051.4749777
336	33051.6615945
337	33051.6378433
338	33050.9695383
339	33051.0519797
340	33050.8778040
341	33051.0194072
342	33051.0084358
343	33051.0737516
344	33051.6011168
345	33051.4003310
346	33051.4003310
347	33051.3713017
348	33051.4003310
349	33051.3496217
350	33051.3713017
351	33050.9328068
352	33050.2097632
353	33050.2602721
354	33050.8778040
355	33050.7471723
356	33050.7471722
357	33051.4583896
358	33051.2078211
359	33050.5620469
360	33050.5196540
361	33050.5584819
362	33050.6768321
363	33050.6864643
364	33049.4408547
365	33049.4232167
366	33049.6962389
367	33049.4968398
368	33048.9466659
369	33048.7876960
370	33048.9909009
371	33049.4441470
372	33049.4408547
373	33049.3150612
374	33049.1892677
375	33048.9183278
376	33048.8634263
377	33049.3577255
378	33049.0614865
379	33048.4609379
380	33048.5264325
381	33048.9328424
382	33048.9836436
383	33048.9909009
384	33049.1469333
385	33049.0252083
386	33048.8638973
387	33048.7586667
388	33048.5070796
389	33048.4076764
390	33048.3513772
391	33048.2950780
392	33048.2129163
393	33048.2090457
394	33048.2051752
395	33048.1780812
396	33048.1200226
397	33047.6120102
398	33047.1417360
399	33047.3576221
400	33047.5684663
401	33046.7590618
402	33046.7180793
403	33047.0459393
404	33047.0459393
405	33047.0459393
406	33047.2201150
407	33047.1910583
408	33047.1668855
409	33047.1799206
410	33047.1214155
411	33047.0894832
412	33047.1827916
413	33047.1163341
414	33046.9588515
415	33046.9351003
416	33046.1377376
417	33046.0444292
418	33046.3222284
419	33047.3741929
420	33047.3362321
421	33047.1598517
422	33047.2854309
423	33047.3507467
424	33047.3246204
425	33047.3072028
426	33046.9588515
427	33046.9406947
428	33046.9261936
429	33047.0766681
430	33046.2730348
431	33046.1750610
432	33046.4363245
433	33046.4363245
434	33046.4169716
435	33046.3976188
436	33045.7847785
437	33045.8847682
438	33046.0008853
439	33046.0030752
440	33046.0299146
441	33045.8358962
442	33045.1300070
443	33045.5364169
444	33045.7831657
445	33045.7686511
446	33045.2267713
447	33045.0792881
448	33045.2679235
449	33045.3912705
450	33045.7047867
451	33045.7473630
452	33045.7396218
453	33045.2606387
454	33045.2606387
455	33044.9993753
456	33044.8687435
457	33044.9558313
458	33045.1300070
459	33045.1822597
460	33045.1300070
461	33045.0138899
462	33045.0180369
463	33044.8936257
464	33044.4333043
465	33044.3835399
466	33044.2274604
467	33044.0849530
468	33043.8408369
469	33044.2467170
470	33043.8817481
471	33043.7733721
472	33044.0414091
473	33044.3462165
474	33044.4333043
475	33044.4333043
476	33044.6500887
477	33044.6074800
478	33044.6074800
479	33044.3752458
480	33044.3984692
481	33044.2715698
482	33043.7910316
483	33043.9869792
484	33044.0048963
485	33043.9107773
486	33043.4463089
487	33043.5624260
488	33043.6930577
489	33043.5074232
490	33043.5624260
491	33043.5624260
492	33043.6146787
493	33044.1969231
494	33044.1372057
495	33043.8236895
496	33043.6108081
497	33043.6379021
498	33043.3664784
499	33043.0721435
500	33042.8498892
501	33043.0166756
502	33043.1052149
503	33043.1269868
504	33043.2685046
505	33043.2576186
506	33043.0398990
507	33042.9279289
508	33042.8632351
509	33042.9528112
510	33042.9594255
511	33042.7720212
512	33042.5173720
513	33042.2851378
514	33042.3160043
515	33042.5173720
516	33042.3850867
517	33042.5173720
518	33042.3625492
519	33043.3011625
520	33043.1444044
521	33042.5715600
522	33042.6123769
523	33042.5546954
524	33042.3431963
525	33041.9948450
526	33041.7335815
527	33041.7335815
528	33041.8048352
529	33041.9948450
530	33042.9782276
531	33042.7786355
532	33042.5184744
533	33042.6598794
534	33042.5648745
535	33042.2561085
536	33041.5400530
537	33041.1078393
538	33042.1399914
539	33041.9948450
540	33041.7626108
541	33042.1690207
542	33042.0601609
543	33041.9948450
544	33042.1690207
545	33042.1399914
546	33041.4161947
547	33041.4149045
548	33041.4136143
549	33041.0804227
550	33040.9774592
551	33041.5491552
552	33041.7098303
553	33041.7335815
554	33041.6464937
555	33041.6949983
556	33041.6174644
557	33041.3271716
558	33041.2110545
559	33041.2110545
560	33040.9981731
561	33041.0078496
562	33040.9497910
563	33041.1046138
564	33040.9497910
565	33040.6512041
566	33040.6064161
567	33040.9222896
568	33040.0167071
569	33040.1369712
570	33041.1317078
571	33041.0047938
572	33041.1229481
573	33041.0804228
574	33040.8627032
575	33039.4499450
576	33038.9790256
577	33039.0089764
578	33039.5287387
579	33039.7087894
580	33039.8176492
581	33039.9531191
582	33040.0353687
583	33039.7305613
584	33039.3299573
585	33039.2285386
586	33039.0714129
587	33040.0353687
588	33040.4901608
589	33040.0913538
590	33039.8572345
591	33039.8176492
592	33039.7978063
593	33039.9793837
594	33040.5102048
595	33040.5765574
596	33040.4770285
597	33040.3774995
598	33040.4272640
599	33040.4272640
600	33040.4272640
601	33039.9047370
602	33039.5215505
603	33039.6434735
604	33039.5912208
605	33039.6197223
606	33039.0462998
607	33039.2349695
608	33039.4249451
609	33039.1642208
610	33038.9836357
611	33039.2702399
612	33039.1644904
