x	y
1	0.0068880
2	0.0068881
3	0.0068889
4	0.0068887
5	0.0068885
6	0.0068895
7	0.0068895
8	0.0068885
9	0.0068888
10	0.0068908
11	0.0068907
12	0.0068897
13	0.0068896
14	0.0068898
15	0.0068895
16	0.0068895
17	0.0068889
18	0.0068892
19	0.0068895
20	0.0068897
21	0.0068902
22	0.0068888
23	0.0068891
24	0.0068893
25	0.0068889
26	0.0068886
27	0.0068882
28	0.0068891
29	0.0068891
30	0.0068882
31	0.0068892
32	0.0068884
33	0.0068883
34	0.0068891
35	0.0068895
36	0.0068893
37	0.0068890
38	0.0068893
39	0.0068891
40	0.0068893
41	0.0068895
42	0.0068885
43	0.0068886
44	0.0068885
45	0.0068889
46	0.0068889
47	0.0068877
48	0.0068879
49	0.0068879
50	0.0068875
51	0.0068873
52	0.0068872
53	0.0068872
54	0.0068871
55	0.0068879
56	0.0068879
57	0.0068879
58	0.0068877
59	0.0068880
60	0.0068886
61	0.0068882
62	0.0068877
63	0.0068877
64	0.0068874
65	0.0068882
66	0.0068889
67	0.0068894
68	0.0068895
69	0.0068896
70	0.0068892
71	0.0068895
72	0.0068889
73	0.0068881
74	0.0068884
75	0.0068888
76	0.0068887
77	0.0068887
78	0.0068878
79	0.0068880
80	0.0068885
81	0.0068887
82	0.0068891
83	0.0068877
84	0.0068874
85	0.0068868
86	0.0068874
87	0.0068872
88	0.0068874
89	0.0068881
90	0.0068872
91	0.0068873
92	0.0068869
93	0.0068866
94	0.0068868
95	0.0068885
96	0.0068883
97	0.0068886
98	0.0068876
99	0.0068876
100	0.0068875
101	0.0068879
102	0.0068878
103	0.0068887
104	0.0068895
105	0.0068883
106	0.0068894
107	0.0068892
108	0.0068906
109	0.0068906
110	0.0068922
111	0.0068940
112	0.0068934
113	0.0068923
114	0.0068926
115	0.0068939
116	0.0068961
117	0.0068972
118	0.0068937
119	0.0068963
120	0.0068934
121	0.0068927
122	0.0068940
123	0.0068968
124	0.0068971
125	0.0068953
126	0.0068944
127	0.0068941
128	0.0068950
129	0.0068959
130	0.0068959
131	0.0068949
132	0.0068964
133	0.0068975
134	0.0068968
135	0.0068968
136	0.0068973
137	0.0068972
138	0.0068972
139	0.0068973
140	0.0068974
141	0.0068967
142	0.0068964
143	0.0068967
144	0.0068975
145	0.0068981
146	0.0068969
147	0.0068960
148	0.0068962
149	0.0068966
150	0.0068967
151	0.0068964
152	0.0068963
153	0.0068968
154	0.0068970
