x	y
1	-0.3595480
2	-0.3595815
3	-0.3595752
4	-0.3595681
5	-0.3595661
6	-0.3595730
7	-0.3595725
8	-0.3595659
9	-0.3595670
10	-0.3595596
11	-0.3595688
12	-0.3595648
13	-0.3595055
14	-0.3594813
15	-0.3595076
16	-0.3595301
17	-0.3595467
18	-0.3595161
19	-0.3595051
20	-0.3595127
21	-0.3595128
22	-0.3595370
23	-0.3594926
24	-0.3594977
25	-0.3595025
26	-0.3595215
27	-0.3595217
28	-0.3595282
29	-0.3595198
30	-0.3595187
31	-0.3595250
32	-0.3595665
33	-0.3595371
34	-0.3595495
35	-0.3595560
36	-0.3595387
37	-0.3595271
38	-0.3594813
39	-0.3594980
40	-0.3594981
41	-0.3595692
42	-0.3596080
43	-0.3595909
44	-0.3595219
45	-0.3595453
46	-0.3594967
47	-0.3594224
48	-0.3594657
49	-0.3594694
50	-0.3594929
51	-0.3595250
52	-0.3595346
53	-0.3595387
54	-0.3595323
55	-0.3594969
56	-0.3595304
57	-0.3595286
58	-0.3595446
59	-0.3595334
60	-0.3595534
61	-0.3595893
62	-0.3596008
63	-0.3595734
64	-0.3595301
65	-0.3595312
66	-0.3595346
67	-0.3595311
68	-0.3595233
69	-0.3595578
70	-0.3595596
71	-0.3595733
72	-0.3595692
73	-0.3595792
74	-0.3596092
75	-0.3595384
76	-0.3595523
77	-0.3595780
78	-0.3596004
79	-0.3596001
80	-0.3595341
81	-0.3595205
82	-0.3594888
83	-0.3595266
84	-0.3595514
85	-0.3595866
86	-0.3595942
87	-0.3595909
88	-0.3595714
89	-0.3595863
90	-0.3596127
91	-0.3595760
92	-0.3597020
93	-0.3597070
94	-0.3597257
95	-0.3597629
96	-0.3597866
97	-0.3596475
98	-0.3597070
99	-0.3598919
100	-0.3599032
101	-0.3600369
102	-0.3602229
103	-0.3603017
104	-0.3601548
105	-0.3602101
106	-0.3603096
107	-0.3604560
108	-0.3605598
109	-0.3606642
110	-0.3607695
111	-0.3608781
112	-0.3609873
113	-0.3610503
114	-0.3610767
115	-0.3613267
116	-0.3614906
117	-0.3614841
118	-0.3616044
119	-0.3617273
120	-0.3617910
121	-0.3618800
122	-0.3618647
123	-0.3620314
124	-0.3621319
125	-0.3621531
126	-0.3622059
127	-0.3621980
128	-0.3623703
129	-0.3621945
130	-0.3622746
131	-0.3623593
132	-0.3624546
133	-0.3625056
134	-0.3625697
135	-0.3625587
136	-0.3626948
137	-0.3627623
138	-0.3628214
139	-0.3627989
140	-0.3627932
141	-0.3627891
142	-0.3628067
143	-0.3628276
144	-0.3627744
145	-0.3628081
146	-0.3629076
147	-0.3629029
148	-0.3629450
149	-0.3629669
150	-0.3630272
151	-0.3630899
152	-0.3630816
153	-0.3630670
154	-0.3630612
155	-0.3630776
156	-0.3631164
157	-0.3631024
158	-0.3630869
159	-0.3630961
160	-0.3630814
161	-0.3630805
162	-0.3631218
163	-0.3631269
164	-0.3630997
165	-0.3631066
166	-0.3631300
167	-0.3631342
168	-0.3631527
169	-0.3631646
170	-0.3631867
171	-0.3631676
172	-0.3631803
173	-0.3631746
174	-0.3632074
175	-0.3631723
176	-0.3631576
177	-0.3631538
178	-0.3630953
179	-0.3630801
180	-0.3630753
181	-0.3630921
182	-0.3630958
183	-0.3630923
184	-0.3631202
185	-0.3631435
186	-0.3631343
187	-0.3631370
188	-0.3631403
189	-0.3631239
190	-0.3631342
191	-0.3631410
192	-0.3631543
193	-0.3631552
194	-0.3632008
195	-0.3631648
196	-0.3631759
197	-0.3631682
198	-0.3631630
199	-0.3631630
200	-0.3631729
201	-0.3631906
202	-0.3632144
203	-0.3632023
204	-0.3632019
205	-0.3632219
206	-0.3632248
207	-0.3632152
208	-0.3631569
209	-0.3631624
210	-0.3631554
211	-0.3631532
212	-0.3631643
213	-0.3631261
214	-0.3631080
215	-0.3631282
216	-0.3631113
217	-0.3631109
218	-0.3631199
219	-0.3631507
220	-0.3631509
221	-0.3631631
222	-0.3631753
223	-0.3631800
224	-0.3631781
225	-0.3631569
226	-0.3631563
227	-0.3631279
228	-0.3631232
229	-0.3631312
230	-0.3631336
231	-0.3630967
232	-0.3631236
233	-0.3631510
234	-0.3631488
235	-0.3631350
236	-0.3631186
237	-0.3631195
238	-0.3631411
239	-0.3631019
240	-0.3631098
241	-0.3631178
242	-0.3630950
243	-0.3630317
244	-0.3630541
245	-0.3630424
246	-0.3631265
247	-0.3631260
248	-0.3631246
249	-0.3631107
250	-0.3631619
