x	y
1	-0.0068813
2	-0.0068813
3	-0.0068808
4	-0.0068802
5	-0.0068803
6	-0.0068815
7	-0.0068815
8	-0.0068820
9	-0.0068821
10	-0.0068821
11	-0.0068817
12	-0.0068819
13	-0.0068828
14	-0.0068826
15	-0.0068824
16	-0.0068824
17	-0.0068820
18	-0.0068822
19	-0.0068823
20	-0.0068820
21	-0.0068823
22	-0.0068823
23	-0.0068818
24	-0.0068810
25	-0.0068805
26	-0.0068806
27	-0.0068813
28	-0.0068809
29	-0.0068807
30	-0.0068809
31	-0.0068814
32	-0.0068810
33	-0.0068810
34	-0.0068822
35	-0.0068819
36	-0.0068823
37	-0.0068823
38	-0.0068821
39	-0.0068812
40	-0.0068809
41	-0.0068813
42	-0.0068815
43	-0.0068811
44	-0.0068813
45	-0.0068818
46	-0.0068823
47	-0.0068823
48	-0.0068824
49	-0.0068823
50	-0.0068813
51	-0.0068813
52	-0.0068807
53	-0.0068809
54	-0.0068810
55	-0.0068811
56	-0.0068802
57	-0.0068809
58	-0.0068808
59	-0.0068795
60	-0.0068793
61	-0.0068806
62	-0.0068808
63	-0.0068813
64	-0.0068812
65	-0.0068791
66	-0.0068801
67	-0.0068811
68	-0.0068812
69	-0.0068812
70	-0.0068812
71	-0.0068816
72	-0.0068824
73	-0.0068825
74	-0.0068819
75	-0.0068814
76	-0.0068814
77	-0.0068809
78	-0.0068805
79	-0.0068796
80	-0.0068794
81	-0.0068793
82	-0.0068797
83	-0.0068804
84	-0.0068792
85	-0.0068796
86	-0.0068796
87	-0.0068815
88	-0.0068795
89	-0.0068802
90	-0.0068770
91	-0.0068773
92	-0.0068750
93	-0.0068707
94	-0.0068646
95	-0.0068565
96	-0.0068515
97	-0.0068462
98	-0.0068402
99	-0.0068291
100	-0.0068262
101	-0.0068094
102	-0.0067993
103	-0.0067973
104	-0.0067885
105	-0.0067948
106	-0.0067770
107	-0.0067701
108	-0.0067929
109	-0.0067923
110	-0.0068024
111	-0.0068107
112	-0.0068240
113	-0.0068373
114	-0.0068380
115	-0.0068545
116	-0.0068608
117	-0.0068665
118	-0.0068887
119	-0.0068919
120	-0.0069037
121	-0.0069118
122	-0.0069164
123	-0.0069204
124	-0.0069245
125	-0.0069196
126	-0.0069217
127	-0.0069217
128	-0.0069217
129	-0.0069192
130	-0.0069183
131	-0.0069185
132	-0.0069154
133	-0.0069097
134	-0.0069081
135	-0.0069062
136	-0.0069049
137	-0.0069013
138	-0.0068982
139	-0.0068959
140	-0.0068931
141	-0.0068922
142	-0.0068907
143	-0.0068878
144	-0.0068845
145	-0.0068831
146	-0.0068820
147	-0.0068793
148	-0.0068800
149	-0.0068762
150	-0.0068733
151	-0.0068719
152	-0.0068714
153	-0.0068688
154	-0.0068650
155	-0.0068681
156	-0.0068691
157	-0.0068691
158	-0.0068670
159	-0.0068671
160	-0.0068685
161	-0.0068715
162	-0.0068669
163	-0.0068650
164	-0.0068645
165	-0.0068697
166	-0.0068687
167	-0.0068656
168	-0.0068640
169	-0.0068646
170	-0.0068660
171	-0.0068669
172	-0.0068655
173	-0.0068696
174	-0.0068722
175	-0.0068670
176	-0.0068660
177	-0.0068670
178	-0.0068634
179	-0.0068634
180	-0.0068660
181	-0.0068675
182	-0.0068682
183	-0.0068659
184	-0.0068680
185	-0.0068673
186	-0.0068672
187	-0.0068680
188	-0.0068669
189	-0.0068707
190	-0.0068705
191	-0.0068704
192	-0.0068717
193	-0.0068716
194	-0.0068742
195	-0.0068742
196	-0.0068751
197	-0.0068737
198	-0.0068761
199	-0.0068763
200	-0.0068780
201	-0.0068757
202	-0.0068790
203	-0.0068804
204	-0.0068816
205	-0.0068820
206	-0.0068812
207	-0.0068831
208	-0.0068833
209	-0.0068832
210	-0.0068813
211	-0.0068822
212	-0.0068858
213	-0.0068893
214	-0.0068913
215	-0.0068926
216	-0.0068988
217	-0.0069030
218	-0.0069103
219	-0.0069130
220	-0.0069186
221	-0.0069221
222	-0.0069262
223	-0.0069297
224	-0.0069275
225	-0.0069348
226	-0.0069256
227	-0.0069249
228	-0.0069179
229	-0.0069059
230	-0.0068945
231	-0.0068856
232	-0.0068780
233	-0.0068526
234	-0.0068411
235	-0.0068335
236	-0.0068183
237	-0.0068145
238	-0.0068075
239	-0.0067980
240	-0.0067935
241	-0.0068043
242	-0.0068018
243	-0.0068018
244	-0.0067989
245	-0.0068132
246	-0.0068151
247	-0.0068161
248	-0.0068218
249	-0.0068254
250	-0.0068313
251	-0.0068388
252	-0.0068480
253	-0.0068513
254	-0.0068545
255	-0.0068573
256	-0.0068635
257	-0.0068642
258	-0.0068667
259	-0.0068707
260	-0.0068754
261	-0.0068766
262	-0.0068787
263	-0.0068791
264	-0.0068802
265	-0.0068823
266	-0.0068846
267	-0.0068856
268	-0.0068851
269	-0.0068860
270	-0.0068870
271	-0.0068876
272	-0.0068881
273	-0.0068888
274	-0.0068908
275	-0.0068923
276	-0.0068917
277	-0.0068916
278	-0.0068915
279	-0.0068919
280	-0.0068918
281	-0.0068920
282	-0.0068920
283	-0.0068927
284	-0.0068928
285	-0.0068924
286	-0.0068925
287	-0.0068928
288	-0.0068933
289	-0.0068932
290	-0.0068928
291	-0.0068922
292	-0.0068917
293	-0.0068916
294	-0.0068901
295	-0.0068905
296	-0.0068913
297	-0.0068914
298	-0.0068910
299	-0.0068912
300	-0.0068910
301	-0.0068895
302	-0.0068902
303	-0.0068901
304	-0.0068908
305	-0.0068909
306	-0.0068904
307	-0.0068908
308	-0.0068897
309	-0.0068893
310	-0.0068887
311	-0.0068890
312	-0.0068887
313	-0.0068886
314	-0.0068889
315	-0.0068882
316	-0.0068879
317	-0.0068884
318	-0.0068886
319	-0.0068903
320	-0.0068898
321	-0.0068891
322	-0.0068885
323	-0.0068876
324	-0.0068876
325	-0.0068872
326	-0.0068866
327	-0.0068870
328	-0.0068869
329	-0.0068873
330	-0.0068869
331	-0.0068864
332	-0.0068861
333	-0.0068862
334	-0.0068863
335	-0.0068871
336	-0.0068867
337	-0.0068864
338	-0.0068850
339	-0.0068848
340	-0.0068849
341	-0.0068860
342	-0.0068866
343	-0.0068871
344	-0.0068871
345	-0.0068866
346	-0.0068864
347	-0.0068862
348	-0.0068862
349	-0.0068871
350	-0.0068869
351	-0.0068870
352	-0.0068865
353	-0.0068859
354	-0.0068856
355	-0.0068856
356	-0.0068854
357	-0.0068856
358	-0.0068856
359	-0.0068855
360	-0.0068866
361	-0.0068874
362	-0.0068870
363	-0.0068872
364	-0.0068874
365	-0.0068875
366	-0.0068867
367	-0.0068863
368	-0.0068858
369	-0.0068859
370	-0.0068861
371	-0.0068869
372	-0.0068867
373	-0.0068856
374	-0.0068842
375	-0.0068843
376	-0.0068844
377	-0.0068845
378	-0.0068845
379	-0.0068849
380	-0.0068851
381	-0.0068843
382	-0.0068848
383	-0.0068846
384	-0.0068843
385	-0.0068842
386	-0.0068846
387	-0.0068845
388	-0.0068836
389	-0.0068839
390	-0.0068854
391	-0.0068867
392	-0.0068863
393	-0.0068852
394	-0.0068852
395	-0.0068862
396	-0.0068853
397	-0.0068853
398	-0.0068853
399	-0.0068855
400	-0.0068857
401	-0.0068846
402	-0.0068846
403	-0.0068846
404	-0.0068849
405	-0.0068849
406	-0.0068849
407	-0.0068849
408	-0.0068843
409	-0.0068848
410	-0.0068849
411	-0.0068847
412	-0.0068852
413	-0.0068848
414	-0.0068837
415	-0.0068838
416	-0.0068836
417	-0.0068845
418	-0.0068845
419	-0.0068840
420	-0.0068842
421	-0.0068846
422	-0.0068851
423	-0.0068848
424	-0.0068845
425	-0.0068848
426	-0.0068849
427	-0.0068850
428	-0.0068848
429	-0.0068849
430	-0.0068852
431	-0.0068842
432	-0.0068848
433	-0.0068846
434	-0.0068843
435	-0.0068854
436	-0.0068861
437	-0.0068855
438	-0.0068850
439	-0.0068847
440	-0.0068844
441	-0.0068845
442	-0.0068852
443	-0.0068864
444	-0.0068863
445	-0.0068861
446	-0.0068859
447	-0.0068861
448	-0.0068858
449	-0.0068840
450	-0.0068837
451	-0.0068837
452	-0.0068838
453	-0.0068843
454	-0.0068844
455	-0.0068852
456	-0.0068852
457	-0.0068853
458	-0.0068842
459	-0.0068842
460	-0.0068844
461	-0.0068856
462	-0.0068849
463	-0.0068849
464	-0.0068840
