x	y
1	0.5665984
2	0.5667009
3	0.5666595
4	0.5666677
5	0.5667153
6	0.5666960
7	0.5667164
8	0.5667090
9	0.5666992
10	0.5666686
11	0.5666924
12	0.5666971
13	0.5666384
14	0.5666291
15	0.5666586
16	0.5667004
17	0.5666805
18	0.5666142
19	0.5666188
20	0.5666633
21	0.5666586
22	0.5666364
23	0.5666858
24	0.5666863
25	0.5667616
26	0.5667098
27	0.5666979
28	0.5667125
29	0.5666675
30	0.5666256
31	0.5666112
32	0.5666283
33	0.5666592
34	0.5666467
35	0.5666511
36	0.5667099
37	0.5666315
38	0.5666991
39	0.5667328
40	0.5667270
41	0.5666566
42	0.5666295
43	0.5665048
44	0.5665125
45	0.5664976
46	0.5665234
47	0.5665947
48	0.5666278
49	0.5666379
50	0.5666440
51	0.5667399
52	0.5667319
53	0.5666965
54	0.5666606
55	0.5666638
56	0.5666486
57	0.5666923
58	0.5667140
59	0.5667263
60	0.5666858
61	0.5666784
62	0.5666498
63	0.5666519
64	0.5666710
65	0.5666776
66	0.5666720
67	0.5666971
68	0.5666861
69	0.5666535
70	0.5666626
71	0.5666600
72	0.5665391
73	0.5665325
74	0.5665818
75	0.5666399
76	0.5666467
77	0.5666239
78	0.5666525
79	0.5666595
80	0.5666279
81	0.5665939
82	0.5665737
83	0.5666437
84	0.5666805
85	0.5666666
86	0.5666642
87	0.5666155
88	0.5665873
89	0.5665793
90	0.5666486
91	0.5666831
92	0.5666245
93	0.5665675
94	0.5665871
95	0.5666349
96	0.5665441
97	0.5665353
98	0.5668073
99	0.5668242
100	0.5665112
101	0.5665412
102	0.5666910
103	0.5665760
104	0.5665309
105	0.5664894
106	0.5664715
107	0.5665133
108	0.5663235
109	0.5663525
110	0.5667229
111	0.5668460
112	0.5668373
113	0.5668799
114	0.5668739
115	0.5669287
116	0.5669893
117	0.5670045
118	0.5672495
119	0.5670405
120	0.5671431
121	0.5669186
122	0.5670942
123	0.5671421
124	0.5674072
125	0.5674259
126	0.5671624
127	0.5670192
128	0.5669898
129	0.5671550
130	0.5671055
131	0.5671187
132	0.5670670
133	0.5670463
134	0.5670051
135	0.5669757
136	0.5669017
137	0.5669928
138	0.5670094
139	0.5668699
140	0.5668337
141	0.5668460
142	0.5669284
143	0.5669136
144	0.5669232
145	0.5669212
146	0.5667955
147	0.5668112
148	0.5668151
149	0.5668000
150	0.5667916
151	0.5668661
152	0.5668749
153	0.5668930
154	0.5668480
155	0.5668433
156	0.5668337
157	0.5667869
158	0.5667393
159	0.5667783
160	0.5667747
161	0.5667845
162	0.5667896
163	0.5668626
164	0.5668263
165	0.5667940
166	0.5668110
167	0.5668077
168	0.5667790
169	0.5667720
170	0.5667752
171	0.5668464
172	0.5668098
173	0.5667589
174	0.5667414
175	0.5667766
176	0.5669392
177	0.5668790
178	0.5668841
179	0.5669021
180	0.5668629
181	0.5668578
182	0.5667201
183	0.5666521
184	0.5667128
185	0.5667692
186	0.5668212
187	0.5668606
188	0.5668706
189	0.5668470
190	0.5668033
191	0.5666892
192	0.5666935
193	0.5666913
194	0.5667088
195	0.5668924
196	0.5667814
197	0.5667675
198	0.5667170
199	0.5666544
200	0.5666498
201	0.5666558
202	0.5666457
203	0.5666457
204	0.5666154
205	0.5666574
206	0.5666572
207	0.5666186
208	0.5666758
209	0.5666883
210	0.5667091
211	0.5667005
212	0.5666910
213	0.5667458
214	0.5667290
215	0.5667276
216	0.5667263
217	0.5667501
218	0.5667513
219	0.5667200
220	0.5667061
221	0.5666898
222	0.5666883
223	0.5667589
224	0.5668613
225	0.5668739
226	0.5668308
227	0.5667150
228	0.5667332
229	0.5667406
230	0.5666326
231	0.5665891
232	0.5666224
233	0.5666022
234	0.5665907
235	0.5665998
236	0.5666109
237	0.5665971
238	0.5665975
239	0.5665956
240	0.5666971
241	0.5667560
242	0.5667391
243	0.5667204
244	0.5667273
245	0.5666979
246	0.5666917
247	0.5667965
248	0.5667762
249	0.5667481
250	0.5666547
251	0.5665918
252	0.5665999
253	0.5667816
254	0.5668392
255	0.5668373
256	0.5668321
257	0.5667691
258	0.5667099
259	0.5667520
260	0.5666950
261	0.5666618
262	0.5667385
263	0.5667187
264	0.5666925
265	0.5666860
266	0.5667069
267	0.5667937
268	0.5667996
269	0.5667798
270	0.5667502
271	0.5666632
272	0.5666608
273	0.5666337
274	0.5667123
275	0.5667611
276	0.5666718
277	0.5666544
278	0.5667411
279	0.5668112
280	0.5667641
281	0.5666805
282	0.5668164
283	0.5668117
284	0.5667204
285	0.5668569
286	0.5669418
287	0.5666351
288	0.5667396
289	0.5664541
290	0.5662625
291	0.5666753
292	0.5666262
293	0.5664810
294	0.5664889
295	0.5664541
296	0.5663764
297	0.5664212
298	0.5663827
299	0.5664222
300	0.5664715
