x	y
1	0.0068580
2	0.0068578
3	0.0068584
4	0.0068585
5	0.0068573
6	0.0068571
7	0.0068570
8	0.0068571
9	0.0068572
10	0.0068571
11	0.0068563
12	0.0068562
13	0.0068563
14	0.0068562
15	0.0068568
16	0.0068567
17	0.0068568
18	0.0068572
19	0.0068575
20	0.0068573
21	0.0068576
22	0.0068575
23	0.0068569
24	0.0068569
25	0.0068568
26	0.0068567
27	0.0068570
28	0.0068570
29	0.0068569
30	0.0068567
31	0.0068561
32	0.0068558
33	0.0068558
34	0.0068560
35	0.0068575
36	0.0068574
37	0.0068572
38	0.0068569
39	0.0068571
40	0.0068571
41	0.0068566
42	0.0068560
43	0.0068558
44	0.0068561
45	0.0068563
46	0.0068570
47	0.0068571
48	0.0068576
49	0.0068572
50	0.0068569
51	0.0068562
52	0.0068560
53	0.0068560
54	0.0068563
55	0.0068564
56	0.0068564
57	0.0068568
58	0.0068554
59	0.0068553
60	0.0068550
61	0.0068553
62	0.0068555
63	0.0068557
64	0.0068563
65	0.0068560
66	0.0068555
67	0.0068555
68	0.0068559
69	0.0068571
70	0.0068572
71	0.0068569
72	0.0068563
73	0.0068565
74	0.0068569
75	0.0068571
76	0.0068562
77	0.0068561
78	0.0068563
79	0.0068566
80	0.0068565
81	0.0068570
82	0.0068566
83	0.0068565
84	0.0068566
85	0.0068567
86	0.0068565
87	0.0068560
88	0.0068567
89	0.0068572
90	0.0068573
91	0.0068575
92	0.0068593
93	0.0068580
94	0.0068589
95	0.0068588
96	0.0068608
97	0.0068611
98	0.0068613
99	0.0068633
100	0.0068635
101	0.0068649
102	0.0068643
103	0.0068632
104	0.0068639
105	0.0068655
106	0.0068660
107	0.0068690
108	0.0068694
109	0.0068700
110	0.0068699
111	0.0068703
112	0.0068719
113	0.0068734
114	0.0068750
115	0.0068748
116	0.0068748
117	0.0068759
118	0.0068780
119	0.0068789
120	0.0068795
121	0.0068812
122	0.0068827
123	0.0068827
124	0.0068817
125	0.0068822
126	0.0068834
127	0.0068845
128	0.0068846
129	0.0068871
130	0.0068881
131	0.0068866
132	0.0068883
133	0.0068893
134	0.0068896
135	0.0068910
136	0.0068917
137	0.0068931
138	0.0068940
139	0.0068937
140	0.0068938
141	0.0068941
142	0.0068945
143	0.0068942
144	0.0068964
145	0.0068962
146	0.0068963
147	0.0068969
148	0.0068970
149	0.0068977
150	0.0068979
151	0.0068987
152	0.0068992
153	0.0068988
154	0.0068992
155	0.0068986
156	0.0068981
157	0.0068982
158	0.0068985
159	0.0068987
160	0.0069007
161	0.0069012
162	0.0069014
163	0.0069012
164	0.0069013
165	0.0069011
166	0.0069011
167	0.0069008
168	0.0069006
169	0.0069006
170	0.0069015
171	0.0069020
172	0.0069027
173	0.0069024
174	0.0069029
175	0.0069032
176	0.0069040
177	0.0069041
178	0.0069040
179	0.0069039
180	0.0069038
181	0.0069038
182	0.0069041
183	0.0069061
184	0.0069050
185	0.0069050
186	0.0069066
187	0.0069066
188	0.0069069
189	0.0069071
190	0.0069075
191	0.0069077
192	0.0069074
193	0.0069070
194	0.0069070
195	0.0069069
196	0.0069075
197	0.0069071
198	0.0069071
199	0.0069066
200	0.0069073
201	0.0069074
202	0.0069065
203	0.0069064
204	0.0069064
205	0.0069072
206	0.0069092
207	0.0069088
208	0.0069087
209	0.0069087
210	0.0069092
211	0.0069090
212	0.0069085
213	0.0069083
214	0.0069089
215	0.0069104
216	0.0069101
217	0.0069092
218	0.0069096
219	0.0069110
220	0.0069115
221	0.0069112
222	0.0069096
223	0.0069095
224	0.0069104
225	0.0069106
226	0.0069113
227	0.0069124
228	0.0069123
229	0.0069120
230	0.0069108
231	0.0069114
232	0.0069122
233	0.0069128
234	0.0069126
235	0.0069128
236	0.0069125
237	0.0069115
238	0.0069125
239	0.0069112
240	0.0069111
241	0.0069112
242	0.0069113
243	0.0069126
244	0.0069128
245	0.0069123
246	0.0069118
247	0.0069121
248	0.0069127
249	0.0069127
250	0.0069137
251	0.0069136
252	0.0069135
253	0.0069134
254	0.0069138
255	0.0069147
256	0.0069151
257	0.0069144
258	0.0069143
259	0.0069142
260	0.0069147
261	0.0069146
262	0.0069132
263	0.0069132
264	0.0069119
265	0.0069120
266	0.0069120
267	0.0069119
268	0.0069124
269	0.0069127
270	0.0069129
271	0.0069124
272	0.0069129
273	0.0069129
274	0.0069145
275	0.0069145
276	0.0069141
277	0.0069138
278	0.0069135
279	0.0069118
280	0.0069117
281	0.0069117
282	0.0069115
283	0.0069109
284	0.0069090
285	0.0069081
286	0.0069074
287	0.0069071
288	0.0069071
289	0.0069065
290	0.0069066
291	0.0069071
292	0.0069069
293	0.0069061
294	0.0069061
295	0.0069052
296	0.0069047
297	0.0069035
298	0.0069034
299	0.0069027
300	0.0069020
301	0.0069005
302	0.0068999
303	0.0068994
304	0.0068986
305	0.0068978
306	0.0068967
307	0.0068964
308	0.0068947
309	0.0068929
310	0.0068933
311	0.0068937
312	0.0068944
313	0.0068934
314	0.0068927
315	0.0068918
316	0.0068922
317	0.0068921
318	0.0068927
319	0.0068916
320	0.0068902
321	0.0068899
322	0.0068895
323	0.0068898
324	0.0068895
325	0.0068888
326	0.0068883
327	0.0068880
328	0.0068881
329	0.0068881
330	0.0068872
331	0.0068876
332	0.0068895
333	0.0068881
334	0.0068877
335	0.0068864
336	0.0068861
337	0.0068838
338	0.0068839
339	0.0068839
340	0.0068840
341	0.0068850
342	0.0068851
343	0.0068850
344	0.0068844
345	0.0068846
346	0.0068849
347	0.0068848
348	0.0068842
349	0.0068831
350	0.0068828
351	0.0068824
352	0.0068828
353	0.0068832
354	0.0068833
355	0.0068831
356	0.0068845
357	0.0068842
358	0.0068841
359	0.0068841
360	0.0068843
361	0.0068846
362	0.0068842
363	0.0068842
364	0.0068837
365	0.0068835
366	0.0068832
367	0.0068825
368	0.0068822
369	0.0068828
370	0.0068826
371	0.0068824
372	0.0068825
373	0.0068820
374	0.0068823
375	0.0068823
376	0.0068821
377	0.0068826
378	0.0068834
379	0.0068833
380	0.0068818
381	0.0068810
382	0.0068808
383	0.0068810
384	0.0068812
385	0.0068810
386	0.0068809
387	0.0068810
388	0.0068804
389	0.0068807
390	0.0068801
391	0.0068800
392	0.0068804
393	0.0068803
394	0.0068792
395	0.0068790
396	0.0068788
397	0.0068794
398	0.0068790
399	0.0068792
400	0.0068794
401	0.0068791
402	0.0068793
403	0.0068796
404	0.0068790
405	0.0068796
406	0.0068796
407	0.0068794
408	0.0068793
409	0.0068785
410	0.0068783
411	0.0068783
412	0.0068783
413	0.0068791
414	0.0068786
415	0.0068774
416	0.0068775
417	0.0068777
418	0.0068780
419	0.0068779
420	0.0068766
421	0.0068767
422	0.0068767
423	0.0068767
424	0.0068772
425	0.0068781
426	0.0068773
427	0.0068777
428	0.0068775
429	0.0068769
430	0.0068768
431	0.0068774
432	0.0068770
433	0.0068767
434	0.0068762
435	0.0068763
436	0.0068762
437	0.0068750
438	0.0068748
439	0.0068756
440	0.0068752
441	0.0068753
442	0.0068765
443	0.0068771
444	0.0068772
445	0.0068776
446	0.0068775
447	0.0068769
448	0.0068767
449	0.0068769
450	0.0068765
451	0.0068764
452	0.0068768
453	0.0068767
454	0.0068768
455	0.0068764
456	0.0068754
457	0.0068756
458	0.0068765
459	0.0068763
460	0.0068762
461	0.0068761
462	0.0068752
463	0.0068750
464	0.0068752
465	0.0068749
466	0.0068752
467	0.0068750
468	0.0068747
469	0.0068748
470	0.0068749
471	0.0068751
472	0.0068746
473	0.0068747
474	0.0068750
475	0.0068749
476	0.0068747
477	0.0068744
478	0.0068743
479	0.0068744
480	0.0068743
481	0.0068742
482	0.0068743
483	0.0068753
484	0.0068751
485	0.0068752
486	0.0068748
487	0.0068731
488	0.0068736
489	0.0068735
490	0.0068732
491	0.0068730
492	0.0068730
493	0.0068731
494	0.0068730
495	0.0068730
496	0.0068729
497	0.0068726
498	0.0068722
499	0.0068725
500	0.0068739
501	0.0068741
502	0.0068737
503	0.0068734
504	0.0068738
505	0.0068726
506	0.0068729
507	0.0068728
508	0.0068731
509	0.0068730
510	0.0068731
511	0.0068736
512	0.0068736
513	0.0068730
514	0.0068745
515	0.0068752
516	0.0068752
517	0.0068752
518	0.0068745
519	0.0068745
520	0.0068732
521	0.0068729
522	0.0068728
523	0.0068735
524	0.0068733
525	0.0068730
526	0.0068730
527	0.0068729
528	0.0068726
529	0.0068731
530	0.0068734
531	0.0068736
532	0.0068745
533	0.0068742
534	0.0068741
535	0.0068738
536	0.0068737
537	0.0068733
538	0.0068717
539	0.0068713
540	0.0068713
541	0.0068712
542	0.0068713
543	0.0068715
544	0.0068713
545	0.0068713
546	0.0068715
547	0.0068713
548	0.0068715
549	0.0068722
550	0.0068722
551	0.0068716
552	0.0068722
553	0.0068722
554	0.0068723
555	0.0068711
556	0.0068696
557	0.0068700
558	0.0068703
559	0.0068715
560	0.0068719
561	0.0068719
562	0.0068723
563	0.0068721
564	0.0068715
565	0.0068718
566	0.0068719
567	0.0068718
568	0.0068696
569	0.0068683
570	0.0068685
571	0.0068691
572	0.0068693
573	0.0068706
574	0.0068714
575	0.0068713
576	0.0068709
577	0.0068714
578	0.0068714
579	0.0068713
580	0.0068713
581	0.0068712
582	0.0068702
583	0.0068702
584	0.0068717
585	0.0068716
586	0.0068719
587	0.0068717
588	0.0068705
589	0.0068701
590	0.0068702
591	0.0068701
592	0.0068702
593	0.0068704
594	0.0068704
595	0.0068701
596	0.0068697
597	0.0068690
598	0.0068687
599	0.0068698
600	0.0068702
601	0.0068702
602	0.0068697
603	0.0068690
604	0.0068688
605	0.0068689
606	0.0068694
607	0.0068702
608	0.0068700
609	0.0068700
610	0.0068702
611	0.0068704
612	0.0068704
613	0.0068695
614	0.0068695
615	0.0068695
616	0.0068684
617	0.0068690
618	0.0068690
619	0.0068700
620	0.0068697
621	0.0068696
622	0.0068697
623	0.0068700
624	0.0068702
625	0.0068689
626	0.0068688
627	0.0068689
628	0.0068704
629	0.0068705
630	0.0068703
631	0.0068700
632	0.0068702
633	0.0068705
634	0.0068707
635	0.0068704
636	0.0068700
637	0.0068693
638	0.0068687
639	0.0068687
640	0.0068687
641	0.0068692
642	0.0068691
643	0.0068693
644	0.0068692
645	0.0068697
646	0.0068699
647	0.0068699
648	0.0068701
649	0.0068702
650	0.0068696
651	0.0068689
652	0.0068686
653	0.0068685
654	0.0068692
655	0.0068693
656	0.0068692
657	0.0068689
658	0.0068691
659	0.0068687
660	0.0068688
661	0.0068688
662	0.0068686
663	0.0068682
664	0.0068682
665	0.0068683
666	0.0068686
667	0.0068678
668	0.0068681
669	0.0068681
670	0.0068682
671	0.0068682
672	0.0068676
673	0.0068672
674	0.0068674
