x	y
1	629.7203750
2	629.7153333
3	629.7155556
4	629.7159932
5	629.7125000
6	629.7125000
7	629.7143750
8	629.7112500
9	629.7084167
10	629.7121053
11	629.7121832
12	629.7122612
13	629.7115000
14	629.7080000
15	629.7100000
16	629.7000556
17	629.7000000
18	629.7072222
19	629.7118750
20	629.7156250
21	629.7114612
22	629.7087500
23	629.7064286
24	629.7080000
25	629.7090909
26	629.7111785
27	629.7132660
28	629.7115633
29	629.6944444
30	629.6975000
31	629.6968249
32	629.6974602
33	629.6968750
34	629.7000000
35	629.7016667
36	629.7012500
37	629.6985714
38	629.7061111
39	629.7092757
40	629.7099102
41	629.7100000
42	629.7104365
43	629.7102342
44	629.7100000
45	629.7110000
46	629.7135714
47	629.7125000
48	629.7128571
49	629.7135714
50	629.7064051
51	629.7058333
52	629.7034259
53	629.7021429
54	629.7000476
55	629.7000000
56	629.7000000
57	629.6990909
58	629.6950000
59	629.6937500
60	629.6922222
61	629.6907407
62	629.6915000
63	629.6945000
64	629.6933333
65	629.6992308
66	629.7005263
67	629.7110526
68	629.7121097
69	629.7100000
70	629.7077778
71	629.7075000
72	629.7062507
73	629.7065832
74	629.7078947
75	629.7059494
76	629.7042857
77	629.7080182
78	629.7125000
79	629.7116667
80	629.7100000
81	629.7100000
82	629.7112500
83	629.7172727
84	629.7233333
85	629.7321429
86	629.7345455
87	629.7507744
88	629.7472222
89	629.7500000
90	629.7662963
91	629.7650000
92	629.7587037
93	629.7725000
94	629.7875000
95	629.7900000
96	629.7901362
97	629.7910000
98	629.7933333
99	629.8166667
100	629.8133617
101	629.8255556
102	629.8292593
103	629.8275000
104	629.8216667
105	629.8050000
106	629.8072222
107	629.8090909
108	629.8134007
109	629.8055556
110	629.8000000
111	629.8000000
112	629.7987500
113	629.7987500
114	629.7990909
115	629.7970303
116	629.7971791
117	629.8000000
118	629.7928571
119	629.7912500
120	629.7840000
121	629.7820741
122	629.7850000
123	629.7853126
124	629.7956250
125	629.8062500
126	629.8300000
127	629.8329536
128	629.8477778
129	629.8427145
130	629.8437500
131	629.8500000
132	629.8559259
133	629.8618519
134	629.8883333
135	629.8916667
136	629.8964815
137	629.9007143
138	629.9100000
139	629.9300000
140	629.9314815
141	629.9329630
142	629.9420988
143	629.9442857
144	629.9468254
145	629.9910000
146	629.9917595
147	629.9928127
148	629.9951873
149	630.0000000
150	630.0050000
151	630.0157143
152	630.0162500
153	630.0215278
154	630.0316667
155	630.0379630
156	630.0400000
157	630.0549953
158	630.0570000
159	630.0649259
160	630.0650000
161	630.0608333
162	630.0800000
163	630.0825000
164	630.1126852
165	630.1142323
166	630.1166667
167	630.1200000
168	630.1450000
169	630.1453704
170	630.1457407
171	630.1500000
172	630.1512500
173	630.1643750
174	630.1681818
175	630.1730000
176	630.1943333
177	630.1942897
178	630.1968750
179	630.2048843
180	630.2071429
181	630.2090476
182	630.2100000
183	630.2277778
184	630.2275000
185	630.2275000
186	630.2276852
187	630.2278704
188	630.2330000
189	630.2447778
190	630.2749259
191	630.2805309
192	630.2818750
193	630.2895139
194	630.3100000
195	630.3137553
196	630.3100000
197	630.3100000
198	630.3200000
199	630.3200000
200	630.3240000
201	630.3343750
202	630.3340000
203	630.3372727
204	630.3400000
205	630.3560000
206	630.3687500
207	630.3732870
208	630.3778241
209	630.3770743
210	630.3793750
211	630.3925000
212	630.4152778
213	630.4200000
214	630.4194118
215	630.4128571
216	630.4076832
217	630.4166667
218	630.4275556
219	630.4287500
220	630.4287500
221	630.4307143
222	630.4532011
223	630.4599559
224	630.4618182
225	630.4622222
226	630.4610487
227	630.4600000
228	630.4600000
229	630.4633333
230	630.4950000
231	630.4909494
232	630.4782030
233	630.4800000
234	630.4844444
235	630.4888889
236	630.5000000
237	630.5170370
238	630.5200000
239	630.5222222
240	630.5244444
241	630.5227778
242	630.5257895
243	630.5345224
244	630.5354545
245	630.5375000
246	630.5494983
247	630.5525000
248	630.5627273
249	630.5645455
250	630.5675000
251	630.5880000
252	630.5849306
253	630.5775000
254	630.5788889
255	630.5842857
256	630.5933333
257	630.5950000
258	630.6055556
259	630.6062500
260	630.6083333
261	630.6087037
262	630.6090741
263	630.6125000
264	630.6106250
265	630.6100000
266	630.6112500
267	630.6150000
268	630.6361111
269	630.6400000
270	630.6450000
271	630.6430000
272	630.6360380
273	630.6375000
274	630.6375000
275	630.6425000
276	630.6450000
277	630.6418182
278	630.6398653
279	630.6433333
280	630.6473418
281	630.6615471
282	630.6656885
283	630.6685556
284	630.6683333
285	630.6700000
286	630.6862500
287	630.6983796
288	630.7093993
289	630.7011111
290	630.7044444
291	630.7100000
292	630.7233333
293	630.7440741
294	630.7520000
295	630.7530000
296	630.7739630
297	630.7550000
298	630.7487500
299	630.7510000
300	630.7636667
301	630.7650000
302	630.7700000
303	630.7725000
304	630.7758333
305	630.7763636
306	630.7836364
307	630.7800000
308	630.7775000
309	630.7727273
310	630.7553535
311	630.7554545
312	630.7550000
313	630.7516667
314	630.7533333
315	630.7545691
316	630.7490909
317	630.7412160
