x	y
1	-0.3588484
2	-0.3588552
3	-0.3588698
4	-0.3588746
5	-0.3588843
6	-0.3588862
7	-0.3588763
8	-0.3588792
9	-0.3588608
10	-0.3588764
11	-0.3588673
12	-0.3588677
13	-0.3588784
14	-0.3588638
15	-0.3588511
16	-0.3588966
17	-0.3589090
18	-0.3589213
19	-0.3588938
20	-0.3588758
21	-0.3588800
22	-0.3588861
23	-0.3588598
24	-0.3588547
25	-0.3588795
26	-0.3588772
27	-0.3588749
28	-0.3588789
29	-0.3589278
30	-0.3589167
31	-0.3589190
32	-0.3588808
33	-0.3588814
34	-0.3588580
35	-0.3588321
36	-0.3588357
37	-0.3588458
38	-0.3588207
39	-0.3588210
40	-0.3588189
41	-0.3587697
42	-0.3587714
43	-0.3588342
44	-0.3588281
45	-0.3588124
46	-0.3588121
47	-0.3588069
48	-0.3587764
49	-0.3587739
50	-0.3588168
51	-0.3588400
52	-0.3588542
53	-0.3588647
54	-0.3588706
55	-0.3588371
56	-0.3588317
57	-0.3588571
58	-0.3588865
59	-0.3588875
60	-0.3588856
61	-0.3588940
62	-0.3588781
63	-0.3588762
64	-0.3588801
65	-0.3588428
66	-0.3588354
67	-0.3587716
68	-0.3587974
69	-0.3588068
70	-0.3588217
71	-0.3588032
72	-0.3588037
73	-0.3587933
74	-0.3587895
75	-0.3587973
76	-0.3588213
77	-0.3588332
78	-0.3588198
79	-0.3588373
80	-0.3588668
81	-0.3588613
82	-0.3588571
83	-0.3588372
84	-0.3589249
85	-0.3588822
86	-0.3588812
87	-0.3588454
88	-0.3588779
89	-0.3589491
90	-0.3589037
91	-0.3589509
92	-0.3590779
93	-0.3590852
94	-0.3591150
95	-0.3591421
96	-0.3591770
97	-0.3592803
98	-0.3593544
99	-0.3593367
100	-0.3594471
101	-0.3595418
102	-0.3596279
103	-0.3596656
104	-0.3597678
105	-0.3598940
106	-0.3599733
107	-0.3600196
108	-0.3601245
109	-0.3602441
110	-0.3602792
111	-0.3603191
112	-0.3603330
113	-0.3604626
114	-0.3604673
115	-0.3606455
116	-0.3607372
