x	y
1	-5653.5396608
2	-5653.6463434
3	-5653.8764004
4	-5653.9515036
5	-5654.1050060
6	-5654.1340352
7	-5653.9780029
8	-5654.0251755
9	-5653.7341816
10	-5653.9804856
11	-5653.8370708
12	-5653.8439971
13	-5654.0121123
14	-5653.7813295
15	-5653.5809173
16	-5654.2990874
17	-5654.4932726
18	-5654.6874768
19	-5654.2537810
20	-5653.9707456
21	-5654.0372206
22	-5654.1337111
23	-5653.7186187
24	-5653.6376346
25	-5654.0296178
26	-5653.9927888
27	-5653.9559597
28	-5654.0196887
29	-5654.7908227
30	-5654.6151770
31	-5654.6510181
32	-5654.0490297
33	-5654.0590686
34	-5653.6898873
35	-5653.2818186
36	-5653.3390175
37	-5653.4974647
38	-5653.1034959
39	-5653.1081679
40	-5653.0750128
41	-5652.2989702
42	-5652.3259249
43	-5653.3154088
44	-5653.2196130
45	-5652.9714127
46	-5652.9676803
47	-5652.8857763
48	-5652.4052852
49	-5652.3653228
50	-5653.0417530
51	-5653.4065957
52	-5653.6302919
53	-5653.7952384
54	-5653.8887359
55	-5653.3608216
56	-5653.2756222
57	-5653.6755747
58	-5654.1395566
59	-5654.1558072
60	-5654.1254000
61	-5654.2569504
62	-5654.0063064
63	-5653.9772772
64	-5654.0382386
65	-5653.4514006
66	-5653.3343550
67	-5652.3285670
68	-5652.7361417
69	-5652.8837028
70	-5653.1192546
71	-5652.8277177
72	-5652.8349381
73	-5652.6717230
74	-5652.6111441
75	-5652.7345668
76	-5653.1117900
77	-5653.3003858
78	-5653.0889812
79	-5653.3642731
80	-5653.8292278
81	-5653.7421400
82	-5653.6768241
83	-5653.3621204
84	-5654.7436501
85	-5654.0714649
86	-5654.0561840
87	-5653.4926641
88	-5654.0034035
89	-5655.1259914
90	-5654.4106931
91	-5655.1540185
92	-5657.1543997
93	-5657.2691972
94	-5657.7394716
95	-5658.1662019
96	-5658.7164481
97	-5660.3433978
98	-5661.5103747
99	-5661.2316937
100	-5662.9719679
101	-5664.4636199
102	-5665.8192994
103	-5666.4134197
104	-5668.0245447
105	-5670.0117307
106	-5671.2608693
107	-5671.9909996
108	-5673.6430294
109	-5675.5286130
110	-5676.0801692
111	-5676.7097653
112	-5676.9292756
113	-5678.9710015
114	-5679.0451141
115	-5681.8525092
116	-5683.2961982
117	-5683.2649155
118	-5684.9444666
119	-5686.0734981
120	-5690.5164291
121	-5692.2354462
122	-5692.8615109
123	-5693.6241314
124	-5696.5026694
125	-5696.6111260
126	-5696.9957639
127	-5698.0026022
128	-5699.6277517
129	-5702.0647410
130	-5702.7290462
131	-5703.2298013
132	-5703.5950864
133	-5704.8530217
134	-5707.1850404
135	-5709.0429142
136	-5709.6815583
137	-5710.1377326
138	-5711.7448416
139	-5710.9588465
140	-5712.9605727
141	-5713.4166587
142	-5715.0947122
143	-5716.3302996
144	-5717.3623941
145	-5716.3931273
146	-5716.7453369
147	-5717.7179400
148	-5718.3297540
149	-5719.0580150
150	-5719.1886468
151	-5719.1948673
152	-5720.7925143
153	-5720.7323823
154	-5721.0845351
155	-5720.9279843
156	-5721.6706500
157	-5723.0207585
158	-5723.4696358
159	-5723.5033651
160	-5725.0090169
161	-5725.7550694
162	-5725.0670755
163	-5725.7202342
164	-5724.2300647
165	-5725.8909804
166	-5726.7120679
167	-5726.5475687
168	-5725.7173313
169	-5726.1740586
170	-5728.2680372
171	-5729.0556983
172	-5730.0006013
173	-5729.3452653
174	-5729.6446847
175	-5729.8912576
176	-5729.3866320
177	-5729.8395911
178	-5730.2197723
179	-5730.0978493
180	-5730.0236173
181	-5730.6478850
182	-5731.3219172
183	-5730.7070495
184	-5731.9009822
185	-5732.6698434
186	-5733.2717170
187	-5733.8735907
188	-5734.3158034
189	-5735.3840808
190	-5734.1629159
191	-5734.9673494
192	-5734.9435556
193	-5734.6024675
194	-5734.5726574
195	-5734.6246900
196	-5735.3821455
197	-5735.4305277
198	-5736.0691718
199	-5736.2143182
200	-5736.2665709
201	-5736.8565909
202	-5737.5922412
203	-5738.0114944
204	-5738.3334554
205	-5737.9618807
206	-5738.0213907
207	-5737.8931781
208	-5739.6155819
209	-5739.6155693
210	-5739.4982552
211	-5739.8486737
212	-5739.1132874
213	-5739.0090459
214	-5739.2060414
215	-5740.9071083
216	-5741.4561429
217	-5741.0738193
218	-5740.7399826
219	-5741.8659327
220	-5742.3757824
221	-5742.7085823
222	-5741.5219131
223	-5741.2241725
224	-5742.4238198
225	-5742.4556129
226	-5743.4126934
227	-5743.5645313
228	-5744.1393110
229	-5744.4876623
230	-5742.8837028
231	-5743.1317380
232	-5744.7847646
233	-5744.9153604
234	-5744.9076192
235	-5745.7649506
236	-5745.2681457
