x	y
1	32944.9086431
2	32944.7879020
3	32944.6103268
4	32944.6088754
5	32944.5725888
6	32944.3476119
7	32944.7395071
8	32944.7830510
9	32944.7757937
10	32944.7177352
11	32943.8855625
12	32943.9022764
13	32944.6587969
14	32945.0660865
15	32945.0660865
16	32943.8468568
17	32943.7887983
18	32943.9687798
19	32944.0036149
20	32944.0384501
21	32944.4913068
22	32944.7051681
23	32944.8048230
24	32944.8048230
25	32944.6548997
26	32945.1314024
27	32945.3273500
28	32945.4579817
29	32945.1250638
30	32945.0987444
31	32945.0660865
32	32945.0660865
33	32945.1241451
34	32945.2798475
35	32945.5194417
36	32945.4687920
37	32945.4181422
38	32944.9318513
39	32944.7573205
40	32944.7193186
41	32944.7223187
42	32944.6306473
43	32944.6398145
44	32944.6088754
45	32944.4564717
46	32944.2076493
47	32944.3459189
48	32944.5435595
49	32944.6790295
50	32944.7701594
51	32944.7158571
52	32944.8048230
53	32944.9596458
54	32944.8628816
55	32944.5145302
56	32944.4564717
57	32944.4564717
58	32944.4564717
59	32944.4564717
60	32944.1952082
61	32945.2112329
62	32945.2499386
63	32945.2558179
64	32945.0505307
65	32944.4222571
66	32944.3776907
67	32944.1952082
68	32943.9436211
69	32943.9255584
70	32943.9074958
71	32943.0282312
72	32943.4114177
73	32943.3025579
74	32943.4331896
75	32943.3940707
76	32943.1849187
77	32942.4534515
78	32942.4011988
79	32942.3315285
80	32941.1935808
81	32941.1164143
82	32940.6246070
83	32939.4402125
84	32939.3395776
85	32939.2389428
86	32939.1876577
87	32937.0540058
88	32935.4980365
89	32933.9420673
90	32933.8317560
91	32934.1977454
92	32934.3542830
93	32940.1020800
94	32945.3273500
95	32956.3004170
96	32969.3635920
97	32985.0394020
98	33012.7333330
99	33039.3822100
100	33080.6618430
101	33126.6442190
102	33177.3293380
103	33230.1045650
104	33298.0330750
105	33381.1148680
106	33454.7911750
107	33534.7378060
108	33615.2069640
109	33703.5140270
110	33784.5057120
111	33856.0919110
112	33932.3808530
113	34002.3994710
114	34072.4180890
115	34130.4185860
116	34186.3289750
117	34231.7888240
118	34279.3387810
119	34315.3931440
120	34340.4744400
121	34369.2134250
122	34393.7721940
123	34414.1507470
124	34428.7815030
125	34443.4122590
126	34455.1691165
127	34466.9259740
128	34479.9891490
129	34484.1693650
130	34492.5685027
131	34498.0356834
132	34503.1296304
133	34507.2650584
134	34511.9155487
135	34515.1290898
136	34518.9512780
137	34520.8768867
138	34524.9700149
139	34526.4892138
140	34527.7350536
141	34528.1922647
142	34528.4274019
143	34528.7801076
144	34528.8430044
145	34528.9059012
146	34528.9623470
147	34528.4274019
148	34527.5391060
149	34525.9715250
150	34523.6201535
151	34522.2461010
152	34521.9872566
153	34517.0667940
154	34514.3641683
155	34511.6615425
156	34509.2027627
157	34505.7562617
158	34503.3722322
159	34500.8902290
160	34497.7550670
161	34492.6604288
162	34488.0883175
163	34484.1693650
164	34479.2053585
165	34478.4215680
166	34473.5446493
167	34468.0484394
168	34466.9259740
169	34460.6556500
170	34455.0711427
171	34451.3626525
172	34447.0699480
173	34441.2873159
174	34439.3626748
175	34434.2244926
176	34432.0037528
177	34428.1283442
178	34422.0225195
179	34418.4180508
180	34413.2508394
181	34410.2317945
182	34406.5741055
183	34403.3083117
184	34398.4991281
185	34394.8825639
186	34391.1595590
187	34387.2406065
188	34384.2360763
189	34383.8441810
190	34379.7800821
191	34376.0272916
192	34374.5693267
193	34371.8696039
194	34368.6280012
195	34365.5883939
196	34363.9881550
197	34363.3909813
198	34359.0166838
199	34357.7178310
200	34357.1953040
201	34352.9180787
202	34352.1006657
203	34350.7943482
204	34349.7057503
205	34347.0737625
206	34344.6546560
207	34344.1321290
208	34342.8258115
209	34341.6501258
210	34339.5413561
211	34337.8618050
212	34336.8167510
213	34334.2041160
214	34330.1980757
215	34326.1920353
216	34319.4862722
217	34310.6904010
218	34302.3299690
219	34291.3569020
220	34270.5332334
221	34249.7095648
222	34227.2167127
223	34202.5273120
224	34165.9504220
225	34128.8510050
226	34091.7515880
227	34040.0214150
228	33995.6066200
229	33943.3539200
230	33893.7138550
231	33837.8034660
232	33777.1903340
233	33721.8024720
234	33659.0992320
235	33600.0536810
236	33538.9180220
237	33485.0977410
238	33429.1873520
239	33382.1599220
240	33329.9072220
241	33284.9699000
242	33245.2578480
243	33209.2034850
244	33176.8068110
245	33145.9777180
246	33116.1936790
247	33093.7250180
248	33068.6437220
249	33056.1030740
250	33038.3371560
251	33024.7514540
252	33012.0559832
253	33002.0957154
254	32993.8570451
255	32986.1387775
256	32981.2510812
257	32973.2486770
258	32969.8861190
259	32967.2734840
260	32961.5256870
261	32955.5650086
262	32952.4943561
263	32950.2260406
264	32948.9850390
265	32945.1314024
266	32943.4428661
267	32942.7147150
268	32941.6696610
269	32939.6666408
270	32937.4894450
271	32937.2281815
272	32936.9669180
273	32935.4186899
274	32935.2568296
275	32934.8768100
276	32934.2497776
277	32934.1801073
278	32933.0248155
279	32932.7867020
280	32932.3948067
281	32932.3377311
282	32932.5016873
283	32932.5491897
284	32932.5907544
285	32932.5907544
286	32932.2569177
287	32932.6560702
288	32932.5064836
289	32932.5254385
290	32932.5776912
291	32933.2589116
292	32933.2617265
293	32933.2933948
294	32933.3250632
295	32934.1660325
296	32934.1583354
297	32934.5742944
298	32934.5527109
299	32934.4372821
300	32934.5110411
301	32935.0258270
302	32934.8187514
303	32934.8804845
304	32934.9477051
305	32935.0149257
306	32934.7897222
307	32934.8293075
308	32935.5963842
309	32935.5797990
310	32935.6170566
311	32936.4443910
312	32936.1831275
313	32936.3076690
314	32936.7858740
315	32936.0670104
316	32936.2024804
317	32936.3379503
318	32936.3343853
319	32936.5314788
320	32937.0540058
321	32936.8719131
322	32937.1083202
323	32937.1067544
324	32936.9145641
325	32936.7765950
326	32936.7099485
327	32936.6490273
328	32937.4894450
329	32937.4147983
330	32937.4977061
331	32937.5727620
332	32937.4894450
333	32936.2121568
334	32936.2702153
335	32937.1162114
336	32937.1162114
337	32937.1628656
338	32937.6070136
339	32937.5416977
340	32937.6636207
341	32937.6926499
342	32937.6394013
343	32937.1628656
344	32937.3094819
345	32937.3021385
346	32937.3883038
347	32937.3469376
348	32937.4313864
349	32937.4023572
350	32937.4604157
351	32937.5958857
352	32937.6462031
353	32937.6926499
354	32937.7507085
355	32937.7180506
356	32937.6462031
357	32937.3944401
358	32937.3056886
359	32937.0415647
360	32936.4443910
361	32937.0540058
362	32936.6906649
