x	y
1	3.2932996
2	3.2932973
3	3.2931804
4	3.2931810
5	3.2931884
6	3.2931898
7	3.2932003
8	3.2932177
9	3.2932235
10	3.2932264
11	3.2932264
12	3.2932264
13	3.2932264
14	3.2932264
15	3.2933106
16	3.2933309
17	3.2933309
18	3.2933077
19	3.2932729
20	3.2932700
21	3.2932833
22	3.2932866
23	3.2932903
24	3.2932808
25	3.2932787
26	3.2932824
27	3.2932791
28	3.2932754
29	3.2932721
30	3.2932637
31	3.2932350
32	3.2932264
33	3.2931742
34	3.2931676
35	3.2931676
36	3.2931872
37	3.2931828
38	3.2932003
39	3.2931839
40	3.2931829
41	3.2931611
42	3.2931454
43	3.2931588
44	3.2931711
45	3.2931692
46	3.2932006
47	3.2932036
48	3.2931951
49	3.2931695
50	3.2931804
51	3.2931798
52	3.2932700
53	3.2932644
54	3.2932212
55	3.2932003
56	3.2931742
57	3.2931393
58	3.2931132
59	3.2931219
60	3.2931219
61	3.2931480
62	3.2932038
63	3.2931852
64	3.2931967
65	3.2932088
66	3.2931761
67	3.2931834
68	3.2931905
69	3.2931872
70	3.2931669
71	3.2931466
72	3.2931480
73	3.2931592
74	3.2931637
75	3.2931742
76	3.2931807
77	3.2931800
78	3.2931667
79	3.2931538
80	3.2931632
81	3.2931689
82	3.2931742
83	3.2932090
84	3.2932438
85	3.2931335
86	3.2931350
87	3.2931350
88	3.2931448
89	3.2931717
90	3.2931308
91	3.2931480
92	3.2932090
93	3.2932787
94	3.2932504
95	3.2932567
96	3.2933184
97	3.2933309
98	3.2933235
99	3.2933570
100	3.2934180
101	3.2935640
102	3.2935922
103	3.2936052
104	3.2938265
105	3.2939318
106	3.2941157
107	3.2941670
108	3.2942628
109	3.2944021
110	3.2945327
111	3.2947222
112	3.2948201
113	3.2949943
114	3.2951075
115	3.2952120
116	3.2952381
117	3.2954452
118	3.2954833
119	3.2955213
120	3.2956039
121	3.2957607
122	3.2957737
123	3.2958870
124	3.2959436
125	3.2960089
126	3.2961154
127	3.2961193
128	3.2961003
129	3.2960974
